Ge-73(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1060.23 31.2832
1060.57 22.2052
1060.91 17.2140
1061.25 14.1407
1061.59 12.0932
1061.94 10.6478
1062.62 8.76660
1063.30 7.61135
1063.99 6.83682
1064.67 6.28384
1066.04 5.54840
1067.41 5.08027
1070.14 4.51013
1072.88 4.16373
1075.61 3.92020
1081.09 3.57445
1086.56 3.31274
1092.03 3.08512
1102.97 2.66016
1113.91 2.25179
1119.38 2.09261
1124.86 2.07153
1127.59 2.19673
1130.33 2.52724
1133.06 3.27520
1135.80 4.94816
1137.17 6.49913
1138.53 8.96598
1139.90 13.0692
1141.27 20.3304
1142.64 34.4078
1143.32 46.6486
1144.01 65.5440
1144.69 96.3015
1145.37 149.692
1146.06 249.166
1146.74 442.456
1147.37 741.079
1148.00 969.568
1148.63 812.528
1149.26 532.118
1149.81 362.186
1150.36 256.555
1150.90 190.167
1151.45 146.755
1152.54 96.0527
1153.64 68.9460
1154.73 52.7431
1155.83 42.2670
1158.02 29.8739
1160.20 23.0003
1162.39 18.7307
1166.77 13.8110
1171.15 11.0973
1175.53 9.38011
1184.28 7.28395
1193.04 5.97109
1197.41 5.46357
1201.79 5.05867
1206.17 4.89177
1208.36 5.06093
1210.55 5.69965
1211.64 6.39791
1212.73 7.60121
1213.83 9.74841
1214.92 13.8139
1215.47 17.2389
1216.02 22.3337
1216.57 30.2592
1217.11 43.3017
1217.66 66.4298
1218.21 111.791
1218.48 151.767
1218.75 213.408
1219.03 312.495
1219.30 472.132
1219.65 787.174
1220.00 1025.51
1220.35 852.075
1220.70 553.099
1221.07 344.243
1221.45 228.927
1221.82 162.677
1222.19 122.257
1222.57 95.8895
1222.94 77.8763
1223.69 55.4391
1224.44 42.4933
1225.18 34.3010
1226.68 24.8069
1228.17 19.6269
1229.66 16.4377
1231.16 14.3028
1232.65 12.7844
1235.64 10.7751
1238.63 9.50677
1241.61 8.62741
1244.60 7.97562
1250.58 7.05282
1256.55 6.40334
1268.50 5.45729
1280.45 4.66218
1286.43 4.25195
1292.40 3.80472
1295.39 3.56464
1298.38 3.32071
1301.36 3.09853
1304.35 2.98404
1305.84 3.04321
1307.34 3.28633
1308.83 3.91284
1310.33 5.40441
1311.07 6.82661
1311.82 9.12226
1312.57 12.9863
1313.31 19.8962
1313.69 25.4505
1314.06 33.3840
1314.43 45.1761
1314.81 63.3623
1315.18 93.0743
1315.55 144.496
1315.93 240.070
1316.30 425.633
1316.65 719.636
1317.00 949.568
1317.35 798.193
1317.70 523.599
1318.02 350.385
1318.34 245.407
1318.66 180.853
1318.98 139.392
1319.63 91.4887
1320.27 66.1683
1320.91 51.1001
1321.55 41.3854
1322.83 29.8970
1324.11 23.5137
1325.40 19.5418
1326.68 16.8614
1327.96 14.9467
1330.53 12.4044
1333.09 10.7963
1335.66 9.67892
1338.22 8.84475
1343.35 7.62650
1345.92 7.13113
1348.48 6.66162
1351.05 6.19206
1352.33 5.96022
1353.61 5.75980
1354.26 5.69917
1354.90 5.70697
1355.54 5.86525
1356.18 6.38043
1356.82 7.85997
1357.14 9.50244
1357.46 12.5546
1357.78 18.8033
1357.94 24.4446
1358.10 33.4498
1358.26 48.8523
1358.42 76.9653
1358.50 100.048
1358.58 133.490
1358.66 182.800
1358.74 255.373
1358.87 427.497
1359.00 561.457
1359.13 473.734
1359.26 313.191
1359.34 236.195
1359.42 181.791
1359.59 116.456
1359.75 81.8149
1359.92 61.6534
1360.09 48.9521
1360.25 40.4323
1360.58 30.0225
1360.92 24.0905
1361.25 20.3511
1361.91 16.0063
1362.58 13.6157
1363.24 12.1254
1363.90 11.1143
1364.57 10.3851
1365.90 9.40293
1367.22 8.76832
1369.88 7.98276
1372.54 7.50002
1375.19 7.16156
1380.50 6.69631
1385.82 6.37287
1391.13 6.12278
1401.75 5.73929
1423.00 5.18185
1444.25 4.72253
1465.50 4.25800
1476.12 3.99351
1486.74 3.68224
1497.37 3.29056
1502.68 3.04988
1507.99 2.77580
1510.65 2.63292
1513.30 2.50213
1515.96 2.42223
1518.62 2.50461
1519.94 2.69806
1521.27 3.11444
1522.60 3.97248
1523.93 5.78288
1524.59 7.40463
1525.26 9.92245
1525.92 14.0004
1526.58 20.9947
1527.25 33.9742
1527.58 44.8030
1527.91 60.8709
1528.24 85.6974
1528.58 125.844
1528.91 193.706
1529.24 310.498
1529.62 523.162
1530.00 689.147
1530.38 582.117
1530.76 384.371
1531.00 290.660
1531.24 223.901
1531.73 142.940
1532.21 99.5873
1532.70 74.2326
1533.18 58.1495
1533.66 47.3290
1534.63 34.0800
1535.60 26.5012
1536.57 21.7214
1538.50 16.1598
1540.44 13.1008
1542.37 11.1968
1544.31 9.90785
1546.24 8.98101
1550.11 7.73659
1553.98 6.93548
1561.72 5.94243
1569.46 5.31939
1577.20 4.86079
1592.68 4.14342
1608.15 3.49346
1615.89 3.16268
1623.63 2.84591
1627.50 2.72039
1631.37 2.66254
1635.24 2.76696
1639.11 3.27940
1641.05 3.87767
1642.98 4.94235
1644.92 6.88390
1646.85 10.6158
1647.82 13.7737
1648.79 18.4747
1649.75 25.7691
1650.72 37.6520
1651.69 58.3770
1652.66 97.7023
1653.14 131.105
1653.62 180.844
1654.11 256.975
1654.59 373.203
1655.30 629.017
1656.00 828.575
1656.71 699.768
1657.41 461.945
1657.99 322.086
1658.58 232.555
1659.16 175.014
1659.75 136.738
1660.91 91.2724
1662.08 66.5122
1663.25 51.5479
1664.42 41.7784
1666.75 30.1194
1669.09 23.5982
1671.43 19.5232
1673.76 16.7720
1676.10 14.8059
1680.77 12.2041
1685.44 10.5700
1690.11 9.44974
1694.79 8.63141
1704.13 7.50279
1713.47 6.74128
1732.16 5.70513
1750.85 4.91554
1760.19 4.53451
1769.54 4.13206
1778.88 3.69597
1783.55 3.47988
1788.22 3.31760
1790.56 3.30158
1792.90 3.39348
1795.23 3.71633
1797.57 4.57177
1798.74 5.42047
1799.90 6.81770
1801.07 9.20594
1802.24 13.5295
1803.41 22.0540
1803.99 29.5397
1804.58 41.1592
1805.16 60.1535
1805.74 93.2084
1806.33 154.813
1806.91 274.241
1807.46 461.911
1808.00 609.042
1808.55 514.665
1809.10 339.718
1809.65 220.602
1810.21 151.539
1810.76 110.539
1811.31 84.7875
1811.87 67.6940
1812.42 55.7959
1813.52 40.7420
1814.63 31.8727
1815.74 26.1729
1817.95 19.4516
