30-Zn_n-tot
>  30-Zn-64:0.491700
>  30-Zn-66:0.277300
>  30-Zn-67:0.040400
>  30-Zn-68:0.184500
>  30-Zn-70:0.006100
6.075850e+02 9.68498490e+00
6.105930e+02 9.38274743e+00
6.126180e+02 9.24277912e+00
6.176520e+02 8.90315716e+00
6.243430e+02 8.45988318e+00
6.255700e+02 8.37858651e+00
6.277180e+02 8.27533828e+00
6.405480e+02 7.67254580e+00
6.478520e+02 7.44003216e+00
6.657350e+02 6.88257971e+00
6.679860e+02 6.81237614e+00
6.705020e+02 6.73508387e+00
7.000000e+02 6.15018117e+00
7.004560e+02 6.14114313e+00
7.082530e+02 6.03137196e+00
7.283860e+02 5.75347834e+00
7.304110e+02 5.72576371e+00
7.384530e+02 5.64279100e+00
7.409700e+02 5.61709369e+00
7.434870e+02 5.59179069e+00
7.447450e+02 5.57954299e+00
7.460030e+02 5.56806491e+00
7.466320e+02 5.56301408e+00
7.472620e+02 5.55903869e+00
7.478910e+02 5.55762023e+00
7.482050e+02 5.55910533e+00
7.485200e+02 5.56391655e+00
7.485210e+02 5.56400352e+00
7.485220e+02 5.56402114e+00
7.485230e+02 5.56403875e+00
7.485250e+02 5.56410771e+00
7.485260e+02 5.56412785e+00
7.485310e+02 5.56422445e+00
7.485320e+02 5.56425020e+00
7.485410e+02 5.56448122e+00
7.485430e+02 5.56453103e+00
7.485620e+02 5.56500490e+00
7.485660e+02 5.56511767e+00
