S-32(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
321117 0.0694283
321129 0.0253396
321141 0.0129133
321153 0.00780016
321177 0.00373057
321201 0.00219288
321249 0.00103224
321297 0.000609839
321394 0.000299343
321490 0.000188537
321682 0.000108216
321874 7.97382E-05
322259 5.91106E-05
322643 5.17117E-05
324182 4.40168E-05
327258 4.15259E-05
333411 4.24842E-05
339564 5.01876E-05
341103 5.54607E-05
342641 6.73440E-05
343410 8.19452E-05
343795 9.58948E-05
344179 0.000120789
344564 0.000173072
344948 0.000317545
345141 0.000513245
345333 0.00104677
345429 0.00175148
345525 0.00358855
345573 0.00588068
345621 0.0113523
345670 0.0301180
345694 0.0617730
345706 0.0971740
345718 0.162911
345723 0.209295
345729 0.261396
345740 0.326398
345746 0.306636
345751 0.260444
345763 0.162890
345777 0.0875468
345792 0.0518442
345806 0.0336354
345821 0.0234513
345850 0.0131101
345879 0.00834398
345937 0.00422516
345996 0.00255614
346054 0.00171858
346112 0.00124151
346229 0.000745709
346345 0.000507142
346462 0.000374495
346695 0.000240120
346928 0.000177143
347161 0.000142931
347627 0.000109578
348559 8.88033E-05
349491 8.66065E-05
350423 9.41284E-05
351355 0.000119655
351821 0.000154565
352287 0.000251485
352520 0.000384340
352753 0.000755396
352869 0.00126168
352986 0.00265389
353044 0.00451262
353102 0.00942906
353161 0.0311179
353190 0.0875478
353204 0.194241
353212 0.328139
353219 0.604854
353224 0.973481
353230 1.21444
353236 0.966535
353241 0.604819
353251 0.275101
353260 0.147312
353279 0.0604661
353298 0.0323669
353317 0.0200688
353355 0.00986219
353393 0.00586487
353468 0.00278276
353544 0.00163994
353696 0.000793169
353847 0.000488609
354150 0.000268020
354453 0.000190787
355058 0.000137474
355664 0.000121347
358086 0.000121998
360508 0.000148258
362931 0.000193030
365353 0.000267449
367775 0.000398655
368987 0.000502911
369592 0.000570016
370198 0.000650104
370803 0.000746036
371409 0.000861048
372015 0.000998568
372620 0.00116153
373111 0.00131341
373603 0.00148163
374585 0.00184601
376550 0.00229484
377531 0.00217488
378021 0.00211149
378267 0.00235582
378328 0.00266241
378389 0.00353128
378420 0.00468893
378450 0.00767562
378481 0.0199493
378496 0.0476583
378504 0.0910874
378508 0.135353
378512 0.212158
378516 0.339049
378520 0.422229
378524 0.339037
378528 0.211888
378532 0.135337
378536 0.0910702
378544 0.0479852
378551 0.0294749
378559 0.0200979
378574 0.0113965
378589 0.00768935
378620 0.00464184
378650 0.00345114
378711 0.00252720
378772 0.00217194
379016 0.00174641
379504 0.00148088
380480 0.00114337
381290 0.000930160
381695 0.000841451
381897 0.000801392
381998 0.000783710
382049 0.000780731
382074 0.000801198
382087 0.000894956
382093 0.00123683
382099 0.0351714
382100 0.0695907
382101 0.0351711
382105 0.00159003
382110 0.000996135
382119 0.000821294
382138 0.000771795
382175 0.000753255
382249 0.000737156
382397 0.000711124
382694 0.000663674
383288 0.000580905
384476 0.000453109
386851 0.000294419
389226 0.000205718
391601 0.000152142
393976 0.000117849
396351 9.54472E-05
398726 8.48229E-05
399320 8.75486E-05
399914 0.000101672
400211 0.000124114
400508 0.000190203
400656 0.000282701
400805 0.000542253
400879 0.000895939
400953 0.00186305
400990 0.00314187
401027 0.00648563
401046 0.0106790
401064 0.0206937
401083 0.0554981
401092 0.115412
401097 0.182684
401102 0.311272
401106 0.498757
401110 0.622097
401114 0.498745
401118 0.310891
401129 0.0991558
401140 0.0449002
401151 0.0251446
401162 0.0159887
401184 0.00806117
401206 0.00486066
401250 0.00233553
401293 0.00138456
401380 0.000670033
401468 0.000410118
401642 0.000219496
401817 0.000151099
402166 0.000100870
402515 8.23823E-05
403214 6.77865E-05
403912 6.15427E-05
406706 5.35999E-05
408103 5.57786E-05
409500 6.94161E-05
410897 0.000154749
411595 0.000484611
411770 0.000806613
411944 0.00165508
412031 0.00272492
412119 0.00532872
412162 0.00830661
412206 0.0145949
412228 0.0207185
412250 0.0312659
412272 0.0510684
412293 0.0903388
412312 0.144567
412330 0.180400
412348 0.144231
412367 0.0900775
412380 0.0632834
412393 0.0457086
412406 0.0340629
412419 0.0261514
412446 0.0166123
412472 0.0113993
412498 0.00826920
412524 0.00626868
412577 0.00395196
412629 0.00271581
412682 0.00198368
412786 0.00119525
412996 0.000580271
413206 0.000349662
413626 0.000177184
414045 0.000114367
414884 6.78406E-05
415724 5.06630E-05
417402 3.72051E-05
419080 3.16100E-05
422437 2.73620E-05
423276 2.79379E-05
424115 3.14334E-05
424535 3.70938E-05
424954 5.39003E-05
425164 7.75808E-05
425374 0.000144754
425479 0.000237505
425584 0.000496353
425636 0.000848259
425689 0.00180458
425715 0.00306173
425741 0.00632001
425767 0.0198560
425780 0.0514871
425787 0.103365
425793 0.257158
425797 0.410746
425800 0.514412
425803 0.410738
425807 0.257151
425815 0.0846662
425823 0.0384998
425840 0.0137947
425856 0.00697786
425873 0.00419810
425906 0.00200429
425939 0.00117454
426005 0.000550951
426071 0.000324519
