47-Ag_n-g
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
5.145400e+01 9.37820397e+02
5.147710e+01 1.23454183e+03
5.151860e+01 1.97359937e+03
5.156000e+01 2.46523970e+03
5.160150e+01 1.97166949e+03
5.164290e+01 1.23230982e+03
5.169180e+01 6.98509088e+02
5.174080e+01 4.28459504e+02
5.178970e+01 2.84270842e+02
5.183860e+01 2.00721369e+02
5.188760e+01 1.48694178e+02
5.193650e+01 1.14346137e+02
5.203430e+01 7.34958907e+01
5.213220e+01 5.11752594e+01
5.214200e+01 4.98264371e+01
5.223000e+01 3.77314513e+01
5.242580e+01 2.30888389e+01
5.262150e+01 1.57470334e+01
5.281720e+01 1.15769452e+01
5.285600e+01 1.10662129e+01
5.301290e+01 9.04593285e+00
5.320860e+01 7.41343517e+00
5.321300e+01 7.39251556e+00
5.356990e+01 5.82681514e+00
5.360000e+01 5.71493996e+00
5.392690e+01 5.29076825e+00
5.399150e+01 5.29523787e+00
5.428390e+01 5.65937262e+00
5.438290e+01 5.98188010e+00
5.446240e+01 6.29179295e+00
5.464090e+01 7.43805112e+00
5.477430e+01 8.89424106e+00
5.481940e+01 9.40896948e+00
5.499790e+01 1.30233748e+01
5.517640e+01 2.02067992e+01
5.526570e+01 2.67318649e+01
5.535490e+01 3.74006319e+01
5.544420e+01 5.64860865e+01
5.548880e+01 7.21437803e+01
5.553340e+01 9.52702820e+01
5.555720e+01 1.14421643e+02
5.557800e+01 1.31165813e+02
5.562270e+01 1.90147890e+02
5.566730e+01 2.93062470e+02
5.571190e+01 4.78159945e+02
5.575600e+01 7.64049443e+02
5.580000e+01 9.54267637e+02
5.584410e+01 7.63204786e+02
5.588810e+01 4.77178115e+02
5.591750e+01 3.43709230e+02
5.594690e+01 2.52918697e+02
5.600560e+01 1.48581172e+02
5.606430e+01 9.60249103e+01
5.612310e+01 6.67192937e+01
5.618180e+01 4.89317096e+01
5.624060e+01 3.73996211e+01
5.634000e+01 2.59886579e+01
5.635810e+01 2.39136628e+01
5.647560e+01 1.66672372e+01
5.659300e+01 1.23331799e+01
5.682800e+01 7.62462108e+00
5.706300e+01 5.24609139e+00
5.712290e+01 4.89485429e+00
5.729800e+01 3.88299504e+00
5.753300e+01 3.02426889e+00
5.776790e+01 2.44212335e+00
5.790570e+01 2.22850656e+00
5.823790e+01 1.73528617e+00
5.870780e+01 1.33033980e+00
5.917780e+01 1.06773818e+00
5.947140e+01 9.52217481e-01
5.964780e+01 8.90475231e-01
6.058770e+01 6.83346581e-01
6.103710e+01 6.24363355e-01
6.152760e+01 5.71331906e-01
6.260280e+01 5.24628787e-01
6.338570e+01 5.11812576e-01
6.340740e+01 5.12666742e-01
6.358140e+01 5.31490482e-01
6.377710e+01 5.72877436e-01
6.387490e+01 6.15556498e-01
6.397280e+01 7.02991503e-01
6.402170e+01 7.88076415e-01
6.407070e+01 9.39159856e-01
6.411960e+01 1.23904900e+00
6.414400e+01 1.50153852e+00
6.416850e+01 1.89008515e+00
6.420430e+01 2.70375761e+00
