53-I_n-g
>  53-I-127:1.000000
1.540430e+02 1.16170000e+00
1.541000e+02 8.54885000e-01
1.542150e+02 5.63897000e-01
1.543300e+02 4.36604000e-01
1.545600e+02 3.32051000e-01
1.547890e+02 2.92308000e-01
1.557090e+02 2.59892000e-01
1.575470e+02 2.90250000e-01
1.593860e+02 3.68039000e-01
1.612240e+02 5.21146000e-01
1.621430e+02 6.52624000e-01
1.630630e+02 8.54461000e-01
1.639820e+02 1.18592000e+00
1.649010e+02 1.78559000e+00
1.653610e+02 2.28657000e+00
1.658200e+02 3.04476000e+00
1.662800e+02 4.27227000e+00
1.667400e+02 6.45465000e+00
1.669690e+02 8.24785000e+00
1.671990e+02 1.09170000e+01
1.674290e+02 1.51419000e+01
1.676590e+02 2.24093000e+01
1.677740e+02 2.81823000e+01
1.678890e+02 3.65030000e+01
1.680040e+02 4.91051000e+01
1.681180e+02 6.94628000e+01
1.682330e+02 1.05327000e+02
1.682910e+02 1.34361000e+02
1.683480e+02 1.76608000e+02
1.684060e+02 2.41121000e+02
1.684630e+02 3.44431000e+02
1.685210e+02 5.19112000e+02
1.685780e+02 8.19639000e+02
1.686390e+02 1.30851000e+03
1.687000e+02 1.63295000e+03
1.687610e+02 1.30766000e+03
1.688220e+02 8.18746000e+02
1.688640e+02 5.85692000e+02
1.689050e+02 4.28579000e+02
1.689470e+02 3.22360000e+02
1.689880e+02 2.49365000e+02
1.690710e+02 1.59951000e+02
1.691540e+02 1.10398000e+02
1.692380e+02 8.04609000e+01
1.693210e+02 6.11179000e+01
1.694870e+02 3.85990000e+01
1.696530e+02 2.65287000e+01
1.698190e+02 1.93445000e+01
1.699850e+02 1.47276000e+01
1.701510e+02 1.15925000e+01
1.704840e+02 7.73127000e+00
1.708160e+02 5.54019000e+00
1.711480e+02 4.18399000e+00
1.714810e+02 3.29311000e+00
1.721450e+02 2.26543000e+00
1.728100e+02 1.83780000e+00
1.731420e+02 1.86936000e+00
1.734740e+02 2.33530000e+00
1.736410e+02 3.06946000e+00
1.737240e+02 3.78175000e+00
1.738070e+02 4.99880000e+00
1.738900e+02 7.30025000e+00
1.739310e+02 9.28980000e+00
1.739730e+02 1.23693000e+01
1.740150e+02 1.74889000e+01
1.740560e+02 2.67160000e+01
1.740980e+02 4.52097000e+01
1.741180e+02 6.14882000e+01
1.741390e+02 8.54480000e+01
1.741700e+02 1.35905000e+02
1.742000e+02 1.69428000e+02
1.742310e+02 1.35864000e+02
1.742610e+02 8.53836000e+01
1.742910e+02 5.30058000e+01
1.743220e+02 3.48491000e+01
1.743520e+02 2.43384000e+01
1.743820e+02 1.78938000e+01
1.744430e+02 1.08729000e+01
1.745040e+02 7.38578000e+00
1.745640e+02 5.41895000e+00
1.746250e+02 4.20423000e+00
1.747460e+02 2.84334000e+00
1.748670e+02 2.13447000e+00
1.749880e+02 1.71598000e+00
1.752310e+02 1.25913000e+00
1.757160e+02 8.78899000e-01
1.762010e+02 7.21935000e-01
1.766850e+02 6.57508000e-01
1.771700e+02 6.93085000e-01
1.774130e+02 8.04252000e-01
1.775340e+02 9.23628000e-01
1.776550e+02 1.13962000e+00
1.777760e+02 1.57308000e+00
1.778370e+02 1.96812000e+00
1.778980e+02 2.61480000e+00
1.779580e+02 3.77169000e+00
1.780190e+02 6.12047000e+00
1.780490e+02 8.29013000e+00
1.780790e+02 1.18483000e+01
1.781100e+02 1.80368000e+01
1.781400e+02 2.91074000e+01
1.781700e+02 4.61387000e+01
1.782000e+02 5.74141000e+01
1.782300e+02 4.61269000e+01
1.782600e+02 2.90895000e+01
1.782930e+02 1.72297000e+01
1.783270e+02 1.09757000e+01
1.783600e+02 7.51656000e+00
1.783930e+02 5.47387000e+00
1.784260e+02 4.17782000e+00
1.784600e+02 3.31473000e+00
1.785260e+02 2.27345000e+00
1.785930e+02 1.69669000e+00
1.786590e+02 1.34479000e+00
1.787920e+02 9.54998000e-01
1.789250e+02 7.54217000e-01
1.790580e+02 6.36328000e-01
1.793240e+02 5.08246000e-01
1.798560e+02 4.01321000e-01
1.803880e+02 3.54718000e-01
1.825160e+02 2.97470000e-01
1.846440e+02 3.09457000e-01
1.867720e+02 3.79685000e-01
1.888990e+02 5.62683000e-01
1.899630e+02 7.52337000e-01
1.910270e+02 1.09996000e+00
1.915590e+02 1.39209000e+00
1.920910e+02 1.83599000e+00
1.926230e+02 2.55775000e+00
1.931550e+02 3.84809000e+00
1.934210e+02 4.91405000e+00
1.936870e+02 6.51033000e+00
1.939530e+02 9.05685000e+00
1.942190e+02 1.34854000e+01
1.943520e+02 1.70448000e+01
1.944850e+02 2.22324000e+01
1.946180e+02 3.02076000e+01
1.947510e+02 4.33652000e+01
1.948840e+02 6.72891000e+01
1.949510e+02 8.72753000e+01
1.950170e+02 1.17361000e+02
1.950840e+02 1.65274000e+02
1.951500e+02 2.46997000e+02
1.952170e+02 3.97474000e+02
1.952500e+02 5.19077000e+02
1.952830e+02 6.87604000e+02
1.953420e+02 1.10159000e+03
1.954000e+02 1.37797000e+03
1.954590e+02 1.10095000e+03
1.955170e+02 6.86959000e+02
1.955520e+02 5.10405000e+02
1.955870e+02 3.85791000e+02
1.956570e+02 2.35331000e+02
1.957270e+02 1.55479000e+02
1.957970e+02 1.09500000e+02
1.958670e+02 8.09181000e+01
1.959370e+02 6.21171000e+01
1.960770e+02 3.97812000e+01
1.962180e+02 2.75982000e+01
1.963580e+02 2.02554000e+01
1.966380e+02 1.22471000e+01
1.969180e+02 8.21536000e+00
1.971980e+02 5.90935000e+00
1.974780e+02 4.47063000e+00
1.977590e+02 3.51520000e+00
1.983190e+02 2.36914000e+00
1.988790e+02 1.74158000e+00
1.994400e+02 1.36980000e+00
2.000000e+02 1.14167000e+00
2.007880e+02 9.67828000e-01
2.015770e+02 9.14422000e-01
2.023650e+02 9.74660000e-01
2.031540e+02 1.19919000e+00
2.039420e+02 1.77456000e+00
2.043360e+02 2.36936000e+00
2.047300e+02 3.45163000e+00
2.049270e+02 4.35141000e+00
