Zr-90(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
13563.0 19.8293
13617.6 15.7107
13672.2 13.2560
13726.9 11.6391
13836.1 9.64666
13945.4 8.46309
14054.6 7.67114
14273.1 6.65178
14491.6 5.98823
14710.1 5.48537
15147.1 4.66260
15584.1 3.84783
15802.6 3.37953
16021.1 2.83327
16239.6 2.17345
16458.1 1.36506
16567.4 0.907104
16676.6 0.444889
16731.3 0.238239
16758.6 0.150909
16785.9 0.0811721
16799.6 0.0554118
16813.2 0.0377325
16826.9 0.0305308
16840.5 0.0380448
16854.2 0.0701585
16861.0 0.103632
16867.8 0.161446
16874.7 0.275114
16878.1 0.381235
16881.5 0.564594
16883.2 0.713594
16884.9 0.934229
16886.6 1.28260
16888.3 1.87791
16890.0 3.04343
16890.9 4.08556
16891.7 5.77740
16892.6 8.82897
16893.0 11.3330
16893.4 14.9289
16893.9 20.6103
16894.3 29.6508
16894.7 45.6239
16895.1 73.2150
16895.6 116.836
16896.0 145.879
16896.4 116.059
16896.9 72.7586
16897.1 53.5542
16897.4 40.1459
16897.9 24.4423
16898.5 16.1770
16899.0 11.4289
16899.5 8.48845
16900.1 6.55428
16901.1 4.26177
16902.2 3.00474
16903.3 2.25750
16905.4 1.44606
16907.5 1.04105
16909.6 0.815698
16913.9 0.594364
16918.1 0.503919
16922.4 0.469715
16930.9 0.476651
16947.8 0.618383
16956.3 0.727551
16960.6 0.795935
16962.7 0.857768
16963.8 0.981229
16964.3 1.29781
16964.6 1.96439
16964.7 2.84922
16964.8 4.91690
16965.0 9.17133
16965.2 5.11631
16965.3 3.04739
16965.4 2.17915
16965.7 1.48371
16966.2 1.11188
16967.1 0.975750
16969.0 0.957780
16972.9 1.01265
16980.6 1.16480
16996.0 1.54321
17026.9 2.62810
17057.7 4.33113
17088.6 6.99774
17119.5 11.2049
17150.3 17.9163
17181.2 28.7347
17212.0 46.1115
17262.5 94.8290
17313.0 147.846
17338.3 154.054
17363.5 144.316
17414.0 108.240
17466.2 77.9602
17518.4 58.7397
17570.6 46.5651
17622.8 38.4980
17675.1 32.8874
17727.3 28.8157
17831.7 23.3813
17936.1 19.9692
18040.5 17.6516
18249.3 14.7308
18458.2 12.9784
18667.0 11.8149
18771.4 11.3689
18875.8 10.9876
18928.0 10.8172
18980.2 10.6588
19032.5 10.5138
19058.6 10.4589
19065.1 10.4583
19071.6 10.4893
19074.9 10.5478
19078.1 10.7251
19079.8 10.9697
19081.4 11.6242
19082.2 12.4621
19082.6 13.2344
19083.0 14.4803
19083.4 16.8125
19083.6 18.8384
19083.8 21.7689
19084.1 26.7387
19084.3 34.9421
19084.5 50.1603
19084.7 80.9431
19084.8 124.101
19085.0 151.907
19085.2 124.406
19085.3 81.3282
19085.5 57.4585
19085.6 43.1830
19085.8 33.6695
19085.9 27.9444
19086.2 21.1105
19086.5 17.5624
19086.8 15.5075
19087.1 14.2175
19087.7 12.7549
19088.8 11.5409
19090.0 11.0609
19092.3 10.6860
19094.6 10.5425
19099.3 10.4270
19103.9 10.3774
19122.4 10.2928
19159.5 10.1936
19196.6 10.1071
19233.7 10.0261
19307.8 9.87790
19382.0 9.74971
19419.1 9.69577
19456.1 9.65242
19493.2 9.62663
19530.3 9.63508
19548.8 9.66434
19567.4 9.72529
