Se-76(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3935.32 5.13804
3935.88 4.89575
3936.44 4.62222
3936.99 4.32738
3937.55 4.06166
3938.11 4.03157
3938.38 4.32413
3938.66 5.19155
3938.80 6.06747
3938.94 7.49621
3939.08 9.87255
3939.15 11.6458
3939.22 13.9619
3939.29 17.1181
3939.36 21.3623
3939.43 27.3461
3939.50 35.7104
3939.57 48.0204
3939.64 66.0112
3939.71 93.5494
3939.77 134.467
3939.83 181.655
3939.89 238.592
3940.00 331.411
3940.06 328.701
3940.11 294.759
3940.23 204.678
3940.32 149.998
3940.41 113.814
3940.50 89.4309
3940.59 72.9061
3940.77 52.4578
3940.95 40.8743
3941.13 33.6466
3941.31 28.7993
3941.67 22.8264
3942.04 19.3587
3942.40 17.1260
3942.76 15.5814
3943.12 14.4554
3943.85 12.9319
3944.57 11.9544
3945.29 11.2763
3946.02 10.7791
3947.47 10.0991
3948.91 9.65553
3950.36 9.34241
3951.81 9.10872
3954.71 8.78083
3957.60 8.55888
3963.39 8.26976
3969.19 8.08155
3974.98 7.94278
3986.56 7.73815
4009.73 7.44722
4032.90 7.21117
4079.23 6.77207
4125.56 6.29565
4171.90 5.68946
4195.07 5.28486
4218.23 4.75129
4229.82 4.40714
4241.40 3.98443
4252.98 3.44917
4264.57 2.74925
4270.36 2.31545
4276.15 1.81458
4281.94 1.25027
4287.73 0.675691
4290.63 0.446605
4292.08 0.374820
4293.53 0.353683
4294.25 0.370220
4294.97 0.410769
4295.70 0.481195
4296.42 0.588881
4297.15 0.743189
4297.87 0.956074
4298.59 1.24293
4299.32 1.62378
4300.04 2.12487
4300.77 2.78109
4302.21 4.76326
4303.66 8.19756
4305.11 14.3387
4305.83 19.1736
4306.56 25.9133
4307.28 35.5031
4308.01 49.4786
4308.73 70.4024
4309.45 102.626
4310.18 153.448
4310.90 233.760
4311.95 418.779
4313.00 582.867
4314.06 516.667
4315.11 355.920
4315.78 276.304
4316.45 218.188
4317.79 145.746
4319.12 105.689
4320.46 81.5950
4321.80 65.9694
4323.14 55.2301
4325.81 41.7160
4328.49 33.7317
4331.16 28.5483
4336.51 22.3145
4341.86 18.7494
4347.22 16.4622
4352.57 14.8768
4357.92 13.7151
4368.62 12.1267
4379.32 11.0893
4390.02 10.3548
4400.72 9.80405
4422.13 9.02380
4443.53 8.48627
4486.33 7.76264
4529.14 7.26431
4571.94 6.87226
4657.56 6.22815
4743.17 5.64245
4828.78 5.02927
4914.39 4.29464
4935.79 4.06625
4957.20 3.79634
4967.90 3.63354
4978.60 3.43644
4989.30 3.17464
4994.65 2.99758
5000.00 2.76223
5002.46 2.62281
5004.91 2.45331
5007.36 2.24126
5009.82 1.96833
5011.05 1.80186
5012.27 1.61332
5013.50 1.40794
5014.73 1.21643
5015.34 1.15797
5015.95 1.17296
5016.57 1.35615
5016.87 1.57344
5017.18 1.93987
5017.49 2.55290
5017.79 3.58325
5018.10 5.35960
5018.25 6.71100
5018.41 8.54774
5018.56 11.1094
5018.71 14.7142
5018.87 19.9929
