Rh-103(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
190.249 9.04244
191.018 7.86289
191.788 7.15434
192.557 6.68669
193.326 6.35702
194.865 5.92536
196.403 5.65779
197.942 5.48785
198.711 5.45814
199.095 5.50709
199.288 5.59344
199.480 5.79149
199.630 6.05914
199.780 6.23425
199.930 6.03757
200.080 5.74792
200.237 5.55213
200.394 5.44061
200.708 5.32884
201.021 5.27258
201.335 5.23610
202.590 5.14831
203.218 5.11919
203.845 5.10179
204.159 5.10452
204.473 5.13419
204.629 5.18019
204.708 5.22363
204.786 5.29508
204.865 5.42188
204.943 5.67129
204.982 5.89282
205.022 6.24068
205.061 6.81018
205.100 7.75503
205.145 9.39100
205.190 10.4809
205.235 9.38844
205.280 7.74917
205.325 6.69703
205.370 6.10781
205.415 5.76643
205.460 5.55751
205.550 5.32872
205.640 5.21392
205.729 5.14788
205.819 5.10602
205.999 5.05665
206.359 5.00916
206.718 4.98335
208.156 4.92307
211.032 4.83911
216.783 4.70656
222.535 4.59106
228.286 4.47574
234.037 4.34643
236.913 4.27081
239.789 4.18329
242.665 4.07887
245.540 3.95309
246.978 3.88519
248.416 3.82906
249.135 3.82049
249.854 3.85039
250.573 3.98776
250.932 4.20908
251.112 4.56814
251.202 5.13848
251.247 5.82160
251.292 7.24536
251.360 10.2844
251.428 7.35755
251.466 6.15212
251.504 5.53874
251.580 5.05356
251.732 4.92543
252.036 5.38899
252.340 6.41614
252.644 8.43894
252.796 10.1906
252.948 12.8783
253.099 17.2427
253.251 24.8945
253.327 31.0268
253.403 39.8775
253.479 53.2300
253.555 74.5077
253.631 111.095
253.669 139.808
253.707 180.228
253.745 239.326
253.783 328.555
253.821 467.305
253.859 683.308
253.910 1110.83
253.960 1413.02
254.011 1153.47
254.061 736.698
254.096 529.931
254.132 390.471
254.167 296.606
254.203 231.991
254.273 152.842
254.344 108.753
254.415 81.9176
254.486 64.4237
254.627 43.7728
254.769 32.4662
254.910 25.5889
255.052 21.0702
255.194 17.9333
255.477 13.9440
255.760 11.5761
256.043 10.0396
256.326 8.97646
256.892 7.62164
257.459 6.80706
258.025 6.26827
258.591 5.88734
259.724 5.38868
260.856 5.10059
261.422 5.03553
261.989 5.09610
262.272 5.26520
262.413 5.44348
262.555 5.75738
262.696 6.35878
262.767 6.87874
262.838 7.68132
262.909 9.00338
262.980 11.3594
263.050 15.9798
263.086 19.9469
263.121 25.6883
263.176 38.2530
263.230 46.6020
263.285 38.2531
263.339 25.6913
263.398 17.1361
263.457 12.5676
263.516 10.0315
263.575 8.53021
263.693 6.98075
263.810 6.32611
263.928 6.15440
264.046 6.51707
264.105 7.10155
264.164 8.34960
264.193 9.48943
264.223 11.2878
264.252 14.2509
264.282 19.1472
264.316 27.7433
264.350 33.4544
264.384 27.6759
264.418 19.0528
264.448 14.0267
264.478 11.0007
264.508 9.14920
264.538 7.96749
264.598 6.61640
264.658 5.90969
264.778 5.22514
264.898 4.90641
265.137 4.60738
265.377 4.46018
265.856 4.30004
266.336 4.20437
267.294 4.09838
268.253 4.12102
268.732 4.23109
269.211 4.48262
269.691 5.01910
270.170 6.19455
270.410 7.28705
270.649 9.04653
270.889 12.0479
271.129 17.5935
271.248 22.2318
271.368 29.1603
