12-Mg_n-tot
>  12-Mg-24:0.789900
>  12-Mg-25:0.100000
>  12-Mg-26:0.110100
8.055340e+04 3.76888593e+01
8.074990e+04 3.92672729e+01
8.094630e+04 4.08522559e+01
8.114280e+04 4.24405225e+01
8.124100e+04 4.32346935e+01
8.124900e+04 4.33000866e+01
8.126550e+04 4.34460131e+01
8.129010e+04 4.36704754e+01
8.130240e+04 4.37917795e+01
8.130850e+04 4.38580923e+01
8.131460e+04 4.39325971e+01
8.132080e+04 4.40233705e+01
8.132690e+04 4.41440903e+01
8.133310e+04 4.43325036e+01
8.133920e+04 4.46673374e+01
8.134460e+04 4.51610242e+01
8.135000e+04 4.55969810e+01
8.135540e+04 4.54738278e+01
8.136080e+04 4.51299746e+01
8.136530e+04 4.49281153e+01
8.136980e+04 4.48100959e+01
8.137430e+04 4.47465866e+01
8.137880e+04 4.47165073e+01
8.138780e+04 4.47113086e+01
8.139680e+04 4.47433759e+01
8.140580e+04 4.47934603e+01
8.141480e+04 4.48532766e+01
8.143280e+04 4.49879802e+01
8.145090e+04 4.51336275e+01
8.146890e+04 4.52833181e+01
8.150490e+04 4.55898264e+01
8.157690e+04 4.62141251e+01
8.164890e+04 4.68437757e+01
8.193690e+04 4.93757322e+01
8.237450e+04 5.32348066e+01
8.251290e+04 5.37187754e+01
8.350000e+04 5.71880742e+01
8.366500e+04 5.60698469e+01
8.435030e+04 5.14375711e+01
8.596920e+04 4.04947201e+01
8.800200e+04 2.67812948e+01
8.827340e+04 2.55792851e+01
8.950180e+04 2.01483609e+01
9.057750e+04 1.70666335e+01
9.100150e+04 1.58546879e+01
9.250130e+04 1.30052235e+01
9.400100e+04 1.10398166e+01
9.518590e+04 1.00738633e+01
9.700050e+04 8.60137407e+00
9.749010e+04 8.37338939e+00
9.864220e+04 7.83823577e+00
9.921820e+04 7.57086373e+00
9.950620e+04 7.43710671e+00
9.965020e+04 7.37044370e+00
9.972230e+04 7.33921715e+00
9.974030e+04 7.33359965e+00
9.975830e+04 7.33303615e+00
9.976730e+04 7.33890390e+00
9.977630e+04 7.35861765e+00
9.978080e+04 7.38233602e+00
9.978530e+04 7.43014340e+00
9.978980e+04 7.53820677e+00
9.979200e+04 7.64313773e+00
9.979430e+04 7.81169115e+00
9.979710e+04 8.13918682e+00
9.980000e+04 8.37573595e+00
9.980290e+04 8.18263508e+00
