40-Zr_n-tot
>  40-Zr-90:0.514500
>  40-Zr-91:0.112200
>  40-Zr-92:0.171500
>  40-Zr-94:0.173800
>  40-Zr-96:0.028000
7.872210e+02 6.27342741e+00
8.135490e+02 6.23544795e+00
8.232600e+02 6.22386903e+00
8.398770e+02 6.20406270e+00
8.463500e+02 6.19710808e+00
8.530400e+02 6.18993711e+00
8.578950e+02 6.18497414e+00
8.596220e+02 6.18322390e+00
8.607810e+02 6.18209336e+00
8.636670e+02 6.17933899e+00
8.651100e+02 6.17804454e+00
8.662040e+02 6.17724021e+00
8.665530e+02 6.17700396e+00
8.672750e+02 6.17683094e+00
8.676360e+02 6.17698607e+00
8.679960e+02 6.17753440e+00
8.683570e+02 6.17904053e+00
8.685380e+02 6.18065539e+00
8.687180e+02 6.18363142e+00
8.688980e+02 6.18980336e+00
8.689890e+02 6.19563157e+00
8.690790e+02 6.20554843e+00
8.691690e+02 6.22435304e+00
8.692140e+02 6.24073043e+00
8.692590e+02 6.26643153e+00
8.693040e+02 6.30980540e+00
8.693490e+02 6.39035067e+00
8.693720e+02 6.45831904e+00
8.693950e+02 6.55931061e+00
8.694170e+02 6.71418070e+00
8.694400e+02 6.95227428e+00
8.694700e+02 7.41946019e+00
8.695000e+02 7.72913770e+00
8.695300e+02 7.41740841e+00
8.695610e+02 6.95044060e+00
8.695930e+02 6.63990786e+00
8.696240e+02 6.47163565e+00
8.696560e+02 6.37651531e+00
8.696880e+02 6.31948898e+00
8.697200e+02 6.28290992e+00
8.697520e+02 6.25836191e+00
8.698150e+02 6.22851932e+00
8.698790e+02 6.21187613e+00
8.699430e+02 6.20168358e+00
8.700700e+02 6.19037141e+00
8.701980e+02 6.18454687e+00
8.703250e+02 6.18113769e+00
8.705800e+02 6.17745105e+00
8.708350e+02 6.17553766e+00
8.710890e+02 6.17436382e+00
8.715990e+02 6.17293327e+00
8.726180e+02 6.17128381e+00
8.727860e+02 6.17108637e+00
8.736370e+02 6.17015880e+00
8.756750e+02 6.16825829e+00
8.760770e+02 6.16790661e+00
8.777130e+02 6.16668232e+00
