37-Rb_n-g
>  37-Rb-85:0.721700
>  37-Rb-87:0.278300
2.680210e+02 1.21772926e+00
2.682350e+02 8.09136855e-01
2.684480e+02 5.77958131e-01
2.686620e+02 4.34610675e-01
2.688750e+02 3.39684847e-01
2.693020e+02 2.25636056e-01
2.697290e+02 1.62365326e-01
2.701550e+02 1.23644207e-01
2.705820e+02 9.82306268e-02
2.711050e+02 7.96930958e-02
2.714360e+02 6.80006352e-02
2.722890e+02 5.14225822e-02
2.731430e+02 4.13368987e-02
2.739960e+02 3.47444446e-02
2.757030e+02 2.69228426e-02
2.774100e+02 2.26263275e-02
2.808250e+02 1.82935338e-02
2.830950e+02 1.69384809e-02
2.842390e+02 1.63498674e-02
2.876530e+02 1.55220309e-02
2.944810e+02 1.50565913e-02
3.070740e+02 1.60710001e-02
3.081380e+02 1.62011958e-02
3.217950e+02 2.00188539e-02
3.286230e+02 2.32371654e-02
3.310530e+02 2.49662214e-02
3.354520e+02 2.82349164e-02
3.422800e+02 3.63309498e-02
3.491090e+02 5.07231398e-02
3.525230e+02 6.26782996e-02
3.550310e+02 7.59829513e-02
3.559370e+02 8.08301776e-02
3.593510e+02 1.10461047e-01
3.627650e+02 1.63635262e-01
3.644720e+02 2.07856154e-01
3.661800e+02 2.74623351e-01
3.678870e+02 3.82452768e-01
3.687400e+02 4.63219893e-01
3.695940e+02 5.73648342e-01
3.704470e+02 7.30316226e-01
3.713010e+02 9.63082572e-01
3.721540e+02 1.33055992e+00
3.730080e+02 1.96023773e+00
3.734350e+02 2.45863635e+00
3.738620e+02 3.17451808e+00
3.742880e+02 4.25378436e+00
3.747150e+02 5.98574773e+00
3.751420e+02 9.00921792e+00
3.753550e+02 1.14316201e+01
3.755690e+02 1.49288171e+01
3.757820e+02 2.01983674e+01
3.759950e+02 2.85168613e+01
3.762090e+02 4.22568340e+01
3.764220e+02 6.53134558e+01
3.766610e+02 1.04492556e+02
3.769000e+02 1.30549533e+02
3.771390e+02 1.04333421e+02
3.773780e+02 6.51579909e+01
3.776180e+02 4.00419988e+01
3.778570e+02 2.60032650e+01
3.780970e+02 1.79225725e+01
3.783360e+02 1.29889520e+01
3.785760e+02 9.80082914e+00
3.788150e+02 7.63810256e+00
3.790100e+02 6.56190821e+00
3.792940e+02 4.99455553e+00
3.797730e+02 3.51109331e+00
3.802520e+02 2.59997175e+00
3.812100e+02 1.58875604e+00
3.821680e+02 1.07124176e+00
3.831260e+02 7.72003724e-01
3.840840e+02 5.83754515e-01
3.850420e+02 4.57799978e-01
3.869580e+02 3.05132685e-01
3.888740e+02 2.19807312e-01
3.907900e+02 1.67449079e-01
3.927060e+02 1.33106039e-01
3.965380e+02 9.24603554e-02
4.003700e+02 7.04429605e-02
4.029890e+02 6.15065540e-02
4.042020e+02 5.77204935e-02
4.080340e+02 5.05792344e-02
4.149790e+02 4.43501372e-02
4.156970e+02 4.42253455e-02
4.179760e+02 4.52768058e-02
4.209730e+02 5.14441115e-02
4.224720e+02 6.08881232e-02
4.232210e+02 7.04595394e-02
4.233610e+02 7.37129450e-02
4.239710e+02 8.80724329e-02
4.247200e+02 1.24893537e-01
4.250950e+02 1.60499084e-01
4.254690e+02 2.23161623e-01
4.258440e+02 3.49188963e-01
4.260310e+02 4.66313041e-01
4.262190e+02 6.63628357e-01
4.264060e+02 1.03424812e+00
4.265000e+02 1.35438720e+00
4.265930e+02 1.85231755e+00
4.266870e+02 2.68463269e+00
4.267810e+02 4.20468463e+00
