37-Rb_n-tot
>  37-Rb-85:0.721700
>  37-Rb-87:0.278300
2.677010e+02 8.44486120e+00
2.678080e+02 7.53050774e+00
2.679150e+02 6.94758176e+00
2.680210e+02 6.55342247e+00
2.682350e+02 6.06999828e+00
2.684480e+02 5.79590715e+00
2.686620e+02 5.62545079e+00
2.688750e+02 5.51214192e+00
2.693020e+02 5.37497679e+00
2.697290e+02 5.29773799e+00
2.701550e+02 5.24947994e+00
2.705820e+02 5.21692221e+00
2.711050e+02 5.19190147e+00
2.714360e+02 5.17623514e+00
2.722890e+02 5.15184323e+00
2.731430e+02 5.13509257e+00
2.739960e+02 5.12244770e+00
2.757030e+02 5.10341328e+00
2.774100e+02 5.08843647e+00
2.808250e+02 5.06316023e+00
2.830950e+02 5.04781809e+00
2.842390e+02 5.04035321e+00
2.876530e+02 5.01860478e+00
2.944810e+02 4.97455967e+00
3.070740e+02 4.88620303e+00
3.081380e+02 4.87851413e+00
3.217950e+02 4.76222617e+00
3.286230e+02 4.69412364e+00
3.310530e+02 4.66666071e+00
3.354520e+02 4.61461395e+00
3.422800e+02 4.52291701e+00
3.491090e+02 4.42106353e+00
3.525230e+02 4.36986613e+00
3.550310e+02 4.33762821e+00
3.559370e+02 4.32520793e+00
3.593510e+02 4.30342205e+00
3.627650e+02 4.35755920e+00
3.644720e+02 4.45546626e+00
3.661800e+02 4.65818444e+00
3.678870e+02 5.07287761e+00
3.687400e+02 5.42965570e+00
3.695940e+02 5.96107317e+00
3.704470e+02 6.77660098e+00
3.713010e+02 8.07939370e+00
3.721540e+02 1.02798759e+01
3.730080e+02 1.42968450e+01
3.734350e+02 1.76149676e+01
3.738620e+02 2.25209587e+01
3.742880e+02 3.01296931e+01
3.747150e+02 4.26836743e+01
3.751420e+02 6.52088106e+01
3.753550e+02 8.36092196e+01
3.755690e+02 1.10540075e+02
3.757820e+02 1.51690118e+02
3.759950e+02 2.17594667e+02
3.762090e+02 3.28151611e+02
3.764220e+02 5.16993794e+02
3.766610e+02 8.46522063e+02
3.769000e+02 1.08427812e+03
3.771390e+02 8.89781407e+02
3.773780e+02 5.71407795e+02
3.776180e+02 3.61573961e+02
3.778570e+02 2.42055995e+02
3.780970e+02 1.72163090e+02
3.783360e+02 1.28871216e+02
3.785760e+02 1.00512916e+02
3.788150e+02 8.10232063e+01
3.790100e+02 7.11501225e+01
3.792940e+02 5.67704799e+01
3.797730e+02 4.28243315e+01
3.802520e+02 3.40548415e+01
3.812100e+02 2.40048310e+01
3.821680e+02 1.86292308e+01
3.831260e+02 1.53862991e+01
3.840840e+02 1.32608532e+01
3.850420e+02 1.17810077e+01
3.869580e+02 9.88589769e+00
3.888740e+02 8.74397878e+00
