Ni-59(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.55000E+07 0.000470001
1.55000E+07 0.000470000
1.55000E+07 0.000469999
1.57399E+07 0.000455606
1.60000E+07 0.000440001
1.60000E+07 0.000440000
1.60000E+07 0.000439999
1.65000E+07 0.000410000
1.70000E+07 0.000380000
1.75000E+07 0.000350000
1.80000E+07 0.000320000
1.85000E+07 0.000290000
1.90000E+07 0.000260000
1.90200E+07 0.000258800
1.90204E+07 0.000258776
1.95000E+07 0.000230000
2.00000E+07 0.000200000
