27-Co_n-tot
>  27-Co-59:1.000000
9.924350e+03 6.27951000e+00
1.000000e+04 6.02218000e+00
1.017000e+04 5.47139000e+00
1.025500e+04 5.19513000e+00
1.034000e+04 4.93177000e+00
1.042490e+04 4.75427000e+00
1.046740e+04 4.77886000e+00
1.050990e+04 5.01883000e+00
1.055240e+04 5.80507000e+00
1.057370e+04 6.66856000e+00
1.059490e+04 8.19601000e+00
1.061620e+04 1.10222000e+01
1.063740e+04 1.66079000e+01
1.064800e+04 2.14362000e+01
1.065870e+04 2.86841000e+01
1.066930e+04 3.97985000e+01
1.067990e+04 5.69233000e+01
1.071300e+04 1.42044000e+02
1.072130e+04 1.43655000e+02
1.072960e+04 1.30709000e+02
1.074610e+04 9.22181000e+01
1.076070e+04 6.62926000e+01
1.077520e+04 4.95972000e+01
1.078980e+04 3.88863000e+01
1.080430e+04 3.17619000e+01
1.083350e+04 2.32568000e+01
1.086260e+04 1.85597000e+01
1.089170e+04 1.56664000e+01
1.092080e+04 1.37359000e+01
1.097910e+04 1.13535000e+01
1.103730e+04 9.95165000e+00
1.109550e+04 9.02854000e+00
1.121200e+04 7.87364000e+00
1.132850e+04 7.16009000e+00
1.144490e+04 6.65720000e+00
1.156140e+04 6.27054000e+00
1.161960e+04 6.10568000e+00
1.164880e+04 6.02885000e+00
1.166330e+04 5.99211000e+00
1.167060e+04 5.97587000e+00
1.167420e+04 5.97513000e+00
1.167610e+04 6.00221000e+00
1.167700e+04 6.10951000e+00
1.167740e+04 6.42632000e+00
1.167770e+04 7.16445000e+00
1.167780e+04 8.25608000e+00
1.167790e+04 1.33922500e+01
1.167800e+04 1.74132000e+01
1.167810e+04 1.34143500e+01
1.167820e+04 8.61323000e+00
1.167830e+04 7.46920000e+00
1.167850e+04 6.58947000e+00
1.167890e+04 6.16732000e+00
1.167960e+04 6.01504000e+00
1.168110e+04 5.96491000e+00
1.168420e+04 5.94457000e+00
1.169020e+04 5.92635000e+00
1.170220e+04 5.89638000e+00
1.172630e+04 5.83975000e+00
1.177450e+04 5.73500000e+00
1.179860e+04 5.69013000e+00
1.181060e+04 5.67245000e+00
1.182270e+04 5.66220000e+00
1.183470e+04 5.67017000e+00
1.184070e+04 5.69083000e+00
1.184680e+04 5.73853000e+00
1.184980e+04 5.78272000e+00
1.185280e+04 5.85246000e+00
1.185580e+04 5.96857000e+00
1.185880e+04 6.17766000e+00
1.186180e+04 6.60329000e+00
1.186330e+04 7.00164000e+00
1.186480e+04 7.66675000e+00
