K-39(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
14297.5 4.99831
14297.7 7.08736
14297.9 10.3626
14298.2 16.6595
14298.4 20.8947
14298.7 16.6663
14298.9 10.3680
14299.1 6.96232
14299.3 4.91892
14299.5 3.60581
14299.7 2.73430
14300.2 1.68980
14300.6 1.14895
14301.0 0.822872
14301.4 0.621305
14302.2 0.387300
14303.0 0.264120
14303.8 0.191567
14305.4 0.114377
14307.0 0.0759185
14308.6 0.0542743
14311.9 0.0318581
14318.3 0.0151769
14324.8 0.00914920
14337.7 0.00475208
14350.6 0.00318944
14402.3 0.00166103
14505.7 0.00126992
14712.5 0.00116434
14919.3 0.00113997
15126.1 0.00113070
15332.9 0.00113240
15539.7 0.00116013
15746.5 0.00135163
15798.2 0.00155573
15849.9 0.00213859
15875.7 0.00294941
15901.6 0.00523723
15914.5 0.00838840
15921.0 0.0115071
15927.4 0.0171470
15933.9 0.0289871
15937.1 0.0405251
15940.4 0.0610172
15943.6 0.102809
15945.2 0.142421
15946.8 0.209892
15948.4 0.340842
15949.3 0.457425
15950.1 0.641878
15950.9 0.967117
15951.7 1.60439
15952.1 2.18030
15952.5 3.06666
15952.9 4.51962
15953.3 6.93579
15953.7 11.1279
15954.2 13.8368
15954.7 11.0351
15955.1 6.93920
15955.5 4.66398
15955.8 3.24202
15956.2 2.34623
15956.6 1.76153
15957.3 1.08500
15958.1 0.729852
15958.8 0.522781
15959.5 0.392243
15961.0 0.244444
15962.5 0.166342
15964.0 0.120512
15966.9 0.0718282
15969.9 0.0477376
15972.8 0.0341733
15978.7 0.0201960
15984.6 0.0135038
15990.6 0.00979706
16002.4 0.00604952
16026.0 0.00331827
16049.6 0.00234746
16096.9 0.00164691
16144.1 0.00139993
16333.2 0.00116872
16522.2 0.00120199
16616.7 0.00152719
16663.9 0.00286435
16687.6 0.00814634
16699.4 0.0285849
16702.3 0.0491426
16705.3 0.105192
16706.8 0.179647
16708.2 0.372880
16709.0 0.615760
16709.7 1.20079
16710.1 1.86018
16710.5 3.23103
16710.7 4.57689
16710.8 6.72824
16711.0 10.5608
16711.2 17.6428
16711.4 28.2389
16711.5 35.2647
16711.7 28.1568
16711.9 17.5789
16712.0 12.7735
16712.1 9.71771
16712.3 5.99211
16712.5 3.99168
16712.7 2.82646
16713.1 1.61491
16713.5 1.03838
16714.3 0.526716
16715.1 0.318943
16716.7 0.152530
16718.3 0.0895645
16721.5 0.0418515
16724.7 0.0244297
16731.1 0.0116416
16737.6 0.00706940
16763.3 0.00258512
16814.6 0.00144276
16917.4 0.00114913
17122.9 0.00106645
17533.9 0.00103223
18355.9 0.00100309
20000.0 0.000966667
21239.4 0.000952446
22478.9 0.000961971
23098.6 0.000990751
23408.4 0.00101998
23718.3 0.00106910
24028.2 0.00115719
24338.0 0.00133639
24492.9 0.00150939
24647.9 0.00183848
24725.3 0.00216360
24802.8 0.00286491
24841.5 0.00368548
24860.9 0.00444551
24880.3 0.00576669
24899.6 0.00845369
24909.3 0.0110204
24919.0 0.0155163
24928.7 0.0245522
24933.5 0.0329542
24938.4 0.0471448
24943.2 0.0739097
24945.6 0.0971511
24948.0 0.133557
24950.5 0.194877
24952.9 0.308503
24954.1 0.403954
24955.3 0.546183
24956.5 0.764108
24957.7 1.09894
24959.4 1.75678
24961.0 2.19816
24962.6 1.76227
24964.2 1.10330
24965.3 0.799116
24966.4 0.590702
24968.5 0.349339
24970.7 0.226858
24972.8 0.158235
24974.9 0.116472
24977.1 0.0893481
24981.4 0.0576546
24985.6 0.0405538
24989.9 0.0303473
24998.5 0.0193367
25007.0 0.0138527
25015.6 0.0107583
25032.7 0.00761496
25049.8 0.00618676
25066.9 0.00547441
25101.1 0.00497174
25135.3 0.00503752
25169.5 0.00542526
25203.8 0.00608867
25238.0 0.00706623
25272.2 0.00846813
25306.4 0.0105025
25340.6 0.0135553
25374.8 0.0183742
25409.1 0.0265423
25426.2 0.0328835
25443.3 0.0417591
25460.4 0.0546003
25477.5 0.0737962
25494.6 0.103287
25511.7 0.148565
25534.7 0.235889
25557.6 0.289569
25580.6 0.227930
25603.6 0.142077
25625.1 0.0904576
25646.6 0.0605206
25668.1 0.0427262
25689.7 0.0315960
25732.7 0.0192341
25775.7 0.0129901
25818.7 0.00943469
25861.8 0.00722963
25947.8 0.00475789
26033.9 0.00348036
26119.9 0.00273631
26206.0 0.00226545
26292.0 0.00194869
26464.1 0.00156199
26636.2 0.00134354
26808.3 0.00120787
26980.4 0.00111764
27324.6 0.00100830
27668.8 0.000946946
28013.0 0.000912220
28185.1 0.000915591
28271.1 0.000980163
28314.2 0.00125559
28335.7 0.00232626
28346.4 0.00630361
28351.8 0.0199929
28354.5 0.0607579
28355.8 0.154217
28356.5 0.302231
28356.9 0.460885
28357.2 0.731447
28357.5 1.16862
28357.9 1.46474
28358.2 1.17317
28358.6 0.735004
28359.1 0.386270
28359.5 0.225993
28360.5 0.100948
28362.4 0.0357902
28366.1 0.0113004
28373.7 0.00373443
28388.8 0.00162545
28419.0 0.00106707
28479.4 0.000920541
28600.2 0.000877676
28841.9 0.000857187
29325.2 0.000837849
30291.9 0.000818524
30775.2 0.000816763
31258.6 0.000826767
31741.9 0.000897884
31983.6 0.00117338
32104.4 0.00224478
32164.8 0.00642621
32195.0 0.0224561
32202.6 0.0383690
32210.1 0.0813445
32213.9 0.137407
32217.7 0.280201
32219.6 0.453795
32221.5 0.853585
32222.4 1.28353
32223.4 2.10867
32223.8 2.83321
32224.3 3.96085
32224.8 5.78751
32225.2 8.77901
32225.8 13.9982
32226.3 17.3991
32226.9 13.8852
32227.4 8.69040
32228.0 5.31397
32228.5 3.46334
32229.1 2.39368
32229.6 1.73838
32230.7 1.02514
32231.8 0.671505
32234.1 0.349274
32236.3 0.213614
32240.7 0.103495
32245.1 0.0610229
32253.9 0.0287219
32262.7 0.0168611
32280.3 0.00811027
32298.0 0.00497215
32333.2 0.00269670
32368.5 0.00189329
32509.6 0.00112837
32650.6 0.00101765
32791.7 0.00103333
32932.7 0.00115451
33003.3 0.00129179
33073.8 0.00154909
33109.0 0.00176736
33144.3 0.00210033
33179.6 0.00264350
33214.8 0.00361623
33232.5 0.00442052
33250.1 0.00562396
33267.7 0.00754184
33285.4 0.0108720
33303.0 0.0174229
33311.8 0.0233737
33320.6 0.0331313
33329.4 0.0507580
33333.9 0.0653701
33338.3 0.0871339
33342.7 0.121478
33347.1 0.179146
33351.5 0.282930
33355.9 0.476750
33360.0 0.762836
33364.0 0.954600
33368.1 0.764476
33372.2 0.478070
33376.2 0.294087
33380.3 0.191231
33384.4 0.132031
33388.5 0.0958908
33392.6 0.0725378
33396.6 0.0566959
33404.8 0.0373308
33413.0 0.0264617
33421.1 0.0197843
33437.4 0.0123697
33453.8 0.00857196
33470.1 0.00637379
33486.4 0.00498931
33502.7 0.00406213
33535.4 0.00293507
33568.0 0.00230270
33600.6 0.00191274
33633.3 0.00165544
33698.5 0.00134742
33763.8 0.00117702
33894.4 0.00100447
34024.9 0.000923025
34155.4 0.000878154
34416.5 0.000833030
35460.9 0.000795057
35983.1 0.000800893
36505.3 0.000826653
37027.4 0.000955866
37158.0 0.00108226
37288.5 0.00143013
37353.8 0.00190098
37386.4 0.00236282
37419.1 0.00319134
37451.7 0.00491584
37468.0 0.00658454
37484.3 0.00952800
37492.5 0.0119309
37500.7 0.0154877
37508.8 0.0210749
37517.0 0.0305853
37525.1 0.0487373
37529.2 0.0646992
37533.3 0.0900343
37537.4 0.133531
37541.5 0.216538
37543.5 0.288416
37545.5 0.398752
37547.6 0.574338
37549.6 0.854395
37552.1 1.36597
37554.6 1.70514
37557.1 1.36274
37559.6 0.851962
37561.2 0.626526
37562.7 0.469137
37565.9 0.282512
37569.0 0.185450
37572.1 0.130186
37575.2 0.0961921
37578.3 0.0739536
37584.6 0.0477707
37590.8 0.0336550
37597.1 0.0252843
37609.5 0.0166082
37622.0 0.0132864
37634.5 0.0144184
37647.0 0.0321976
37653.2 0.100432
37654.8 0.163234
37656.3 0.316360
37657.1 0.491389
37657.9 0.862127
37658.7 1.84288
37659.0 3.00956
37659.4 5.23817
37659.8 8.38461
37660.1 10.4979
37660.4 8.40968
37660.7 5.25772
37661.0 3.37542
37661.3 2.29343
37661.9 1.20078
37662.5 0.725208
37663.1 0.482555
37664.3 0.257064
37665.5 0.159734
37667.8 0.0798126
37670.2 0.0486615
37679.6 0.0155063
37698.5 0.00597051
37736.2 0.00289413
37811.6 0.00165943
37887.0 0.00129209
37962.4 0.00112667
38113.2 0.000985557
38264.0 0.000931232
38565.7 0.000899083
38867.3 0.000902667
39470.6 0.000956911
40073.9 0.00107637
40375.5 0.00117749
40677.2 0.00132826
40828.0 0.00143246
40978.8 0.00156498
41054.2 0.00164511
41129.6 0.00173685
41205.0 0.00184250
41280.4 0.00196499
41355.9 0.00210806
41431.3 0.00227650
41582.1 0.00271677
41732.9 0.00336622
41883.7 0.00437762
41959.1 0.00510657
42034.5 0.00606657
42110.0 0.00736117
42185.4 0.00915414
42260.8 0.0117108
42336.2 0.0154650
42411.6 0.0211043
42487.0 0.0295451
42594.0 0.0464846
42701.0 0.0566891
42808.5 0.0445621
42916.0 0.0279255
42985.1 0.0205256
43054.1 0.0154308
43192.2 0.00947097
43330.3 0.00640956
43468.4 0.00468049
43606.5 0.00362344
43744.6 0.00293621
44020.8 0.00213672
44297.0 0.00172043
44573.2 0.00149855
44849.4 0.00142326
44987.5 0.00153072
45056.5 0.00199980
45091.0 0.00380403
45108.3 0.0106364
45116.9 0.0352981
45121.2 0.116083
45123.4 0.335789
45124.5 0.775959
45125.0 1.36642
45125.6 2.70202
45125.9 4.33419
45126.3 5.42275
45126.7 4.36301
45127.0 2.72459
45127.5 1.55033
45127.9 0.959128
45128.8 0.453779
45130.5 0.167498
45133.9 0.0525571
45140.8 0.0156457
45154.6 0.00517264
45182.1 0.00239411
45237.2 0.00170960
45347.3 0.00164280
45457.4 0.00182128
45567.5 0.00221486
45677.6 0.00307457
45732.7 0.00391030
45787.8 0.00537096
45842.8 0.00825522
45870.4 0.0108774
