64-Gd_n-g
> 64-Gd-152:0.002000
> 64-Gd-154:0.021800
> 64-Gd-155:0.148000
> 64-Gd-156:0.204700
> 64-Gd-157:0.156500
> 64-Gd-158:0.248400
> 64-Gd-160:0.218600
6.300000e+00 6.57713636e+02
6.309570e+00 6.39828054e+02
6.333790e+00 4.90148241e+02
6.358000e+00 3.28120787e+02
6.378770e+00 2.30799146e+02
6.399540e+00 1.66573265e+02
6.420320e+00 1.24150152e+02
6.441090e+00 9.54154106e+01
6.482630e+00 6.09004325e+01
6.524180e+00 4.21330977e+01
6.565720e+00 3.09560916e+01
6.607260e+00 2.38222975e+01
6.690350e+00 1.56582286e+01
6.773440e+00 1.14256910e+01
6.856530e+00 9.04242815e+00
7.022700e+00 6.94580827e+00
7.188880e+00 6.95869098e+00
7.271960e+00 7.80712715e+00
7.355050e+00 9.62364550e+00
7.438140e+00 1.33612335e+01
7.479680e+00 1.66696681e+01
7.500000e+00 1.91970581e+01
7.521230e+00 2.18377701e+01
7.562770e+00 3.04129634e+01
7.604310e+00 4.58290126e+01
7.645860e+00 7.64152094e+01
7.666630e+00 1.02971922e+02
7.687400e+00 1.41903507e+02
7.703050e+00 1.80961174e+02
7.718700e+00 2.25554190e+02
7.750000e+00 2.80962181e+02
7.781300e+00 2.24553212e+02
7.812600e+00 1.40590638e+02
7.845270e+00 8.51958377e+01
7.877940e+00 5.49814610e+01
7.910610e+00 3.79121483e+01
7.943280e+00 2.76246396e+01
8.006070e+00 1.68882455e+01
8.068850e+00 1.15094662e+01
8.131640e+00 8.45591494e+00
8.194420e+00 6.56102608e+00
8.319990e+00 4.42975114e+00
8.445560e+00 3.32016460e+00
8.571130e+00 2.67013286e+00
8.696700e+00 2.25919512e+00
8.750000e+00 2.16272280e+00
8.947840e+00 1.80523925e+00
8.971640e+00 1.78781436e+00
9.198980e+00 1.62188750e+00
9.375000e+00 1.65820084e+00
9.450120e+00 1.67417045e+00
9.575690e+00 1.87432261e+00
9.701260e+00 2.42918193e+00
9.764050e+00 3.07439163e+00
9.826830e+00 4.42178724e+00
9.858220e+00 5.69797085e+00
9.889620e+00 7.84523815e+00
9.921010e+00 1.17182742e+01
9.952400e+00 1.89910478e+01
1.000000e+01 3.56750617e+01
1.001000e+01 3.66981520e+01
1.003900e+01 2.94778002e+01
1.006800e+01 1.87754523e+01
1.008990e+01 1.33026271e+01
1.011170e+01 9.78302475e+00
1.013360e+01 7.50913068e+00
1.015540e+01 5.99596435e+00
1.019920e+01 4.21337862e+00
1.024290e+01 3.26562423e+00
1.033030e+01 2.36989985e+00
1.038580e+01 2.13458104e+00
1.041780e+01 1.99969381e+00
1.057860e+01 1.80117202e+00
1.058010e+01 1.79937978e+00
1.059260e+01 1.78452890e+00
1.076750e+01 1.87623697e+00
1.077150e+01 1.88419640e+00
1.087010e+01 2.08989174e+00
1.094240e+01 2.24150731e+00
1.096440e+01 2.32765302e+00
1.102980e+01 2.59497638e+00
1.106080e+01 2.79537113e+00
1.111730e+01 3.17572747e+00
1.115730e+01 3.63781836e+00
1.116010e+01 3.67190888e+00
1.120470e+01 4.21611373e+00
1.125370e+01 5.39159472e+00
1.129210e+01 6.35322236e+00
1.129460e+01 6.46930807e+00
1.130190e+01 6.80864328e+00
1.133590e+01 8.44154316e+00
1.135010e+01 9.60968876e+00
1.137960e+01 1.21327589e+01
1.139840e+01 1.51917000e+01
1.142250e+01 1.92342887e+01
1.142330e+01 1.93736922e+01
1.144520e+01 2.57525990e+01
1.144660e+01 2.63483373e+01
1.145010e+01 2.78793794e+01
1.146700e+01 3.52729482e+01
1.147070e+01 3.75438650e+01
1.149480e+01 5.29086994e+01
1.149850e+01 5.54606142e+01
1.151890e+01 6.56388341e+01
1.153000e+01 7.20160980e+01
1.153100e+01 7.18222290e+01
1.154300e+01 7.05112318e+01
1.155230e+01 7.02689335e+01
1.156150e+01 7.05184576e+01
1.158000e+01 6.47246085e+01
1.159300e+01 5.41509255e+01
1.159510e+01 5.28172373e+01
1.159850e+01 5.06581986e+01
1.161430e+01 3.86361474e+01
1.161700e+01 3.69421554e+01
1.163340e+01 2.87433083e+01
1.163560e+01 2.78634238e+01
1.164980e+01 2.39314128e+01
1.166610e+01 2.03613909e+01
1.167830e+01 1.81006865e+01
1.168250e+01 1.76984007e+01
1.171530e+01 1.53830315e+01
1.172090e+01 1.50763980e+01
1.174020e+01 1.51068565e+01
1.174800e+01 1.51200723e+01
1.176350e+01 1.52566201e+01
1.178070e+01 1.64194524e+01
1.180610e+01 1.82288176e+01
1.181270e+01 1.93410091e+01
1.181350e+01 1.94759374e+01
1.184880e+01 2.55213107e+01
1.187010e+01 3.20824375e+01
