In-113(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
104.023 356.921
104.049 256.800
104.074 192.752
104.099 149.623
104.149 97.2897
104.199 68.0829
104.249 50.2695
104.350 30.5756
104.450 20.5227
104.551 14.7270
104.651 11.0838
104.752 8.64629
104.952 5.68934
105.153 4.03384
105.354 3.01491
105.555 2.34412
105.957 1.54467
106.359 1.11167
106.760 0.892578
106.961 0.961637
107.011 1.07821
107.062 1.35789
107.087 1.64789
107.112 2.17557
107.137 3.23247
107.150 4.16062
107.162 5.51835
107.181 8.49527
107.200 10.5032
107.219 8.48335
107.238 5.49346
107.261 3.30221
107.285 2.22608
107.308 1.66050
107.331 1.33428
107.378 0.994267
107.424 0.828023
107.518 0.669449
107.611 0.591330
107.983 0.452284
108.729 0.327578
110.219 0.210730
111.710 0.157532
113.200 0.132111
114.691 0.123711
116.181 0.131243
117.672 0.164314
118.417 0.206035
118.790 0.264763
118.883 0.304298
118.976 0.391630
119.023 0.487694
119.069 0.689089
119.093 0.884848
119.116 1.22676
119.139 1.88116
119.163 3.20916
119.181 4.99281
119.200 6.17384
119.219 4.98708
119.238 3.21735
119.260 1.90550
119.283 1.25749
119.306 0.918072
119.329 0.725154
119.375 0.529253
119.420 0.440057
119.512 0.368714
119.603 0.346855
119.969 0.368311
120.700 0.562502
121.066 0.752068
121.431 1.07425
121.797 1.69198
121.980 2.26955
122.071 2.77389
122.117 3.25159
122.163 4.45306
122.200 6.12403
122.238 4.93177
122.266 4.40263
122.295 4.32539
122.352 4.64193
122.467 6.02081
122.582 8.37788
122.696 12.5438
122.811 20.8688
122.868 28.5522
122.926 41.3540
122.954 51.2383
122.983 65.0861
123.012 85.2863
123.040 116.141
123.069 166.716
123.098 255.890
123.112 327.942
123.126 430.066
123.141 578.274
123.155 792.684
123.178 1273.57
123.200 1596.32
123.223 1273.28
123.245 792.348
123.266 499.495
123.287 331.273
123.308 231.760
123.330 169.766
123.372 101.103
123.414 66.6642
123.456 47.0746
123.499 34.9806
123.583 21.4403
123.668 14.4617
123.752 10.4070
123.837 7.84662
123.921 6.12811
124.090 4.03735
124.259 2.86282
124.428 2.13825
124.597 1.66038
124.935 1.08869
125.273 0.773290
125.611 0.581174
125.949 0.455813
126.625 0.308145
127.301 0.228944
127.977 0.183173
128.652 0.156512
130.004 0.140416
130.680 0.151263
131.356 0.184087
132.032 0.266835
132.370 0.353143
132.708 0.512373
132.877 0.646765
133.046 0.851425
133.215 1.18466
133.384 1.78019
133.468 2.27189
133.553 3.00717
133.637 4.17735
133.722 6.20550
133.806 10.1841
133.849 13.7905
133.891 19.6784
133.933 30.2798
133.954 39.0051
133.975 51.9667
133.997 72.2361
134.018 105.927
134.039 165.688
134.049 212.683
134.060 275.518
134.080 440.988
134.100 551.362
134.120 440.915
134.140 275.429
134.156 185.966
134.172 129.760
134.189 94.1784
134.205 70.9810
134.237 43.8941
134.269 29.5999
134.301 21.2163
134.333 15.9384
134.397 9.91927
134.462 6.75472
134.526 4.89730
134.590 3.71442
134.654 2.91544
134.783 1.93644
134.911 1.38297
135.040 1.03993
135.168 0.812862
135.425 0.539918
135.682 0.388418
135.939 0.295515
136.196 0.234420
136.710 0.161358
137.224 0.120812
138.251 0.0793590
139.279 0.0595089
140.307 0.0486845
141.335 0.0433714
141.849 0.0454962
141.977 0.0490578
142.106 0.0588149
142.170 0.0709367
142.234 0.0989870
142.266 0.128960
142.298 0.187026
142.330 0.317598
142.347 0.447173
142.363 0.658744
142.381 1.03196
142.400 1.27903
142.419 1.02991
142.438 0.658763
142.458 0.407697
142.478 0.273192
142.518 0.152721
142.558 0.104528
142.598 0.0811469
142.678 0.0601473
142.758 0.0513336
143.078 0.0414786
143.719 0.0394882
144.359 0.0418854
145.000 0.0487472
145.640 0.0655989
145.961 0.0830762
146.281 0.115284
146.601 0.183852
146.761 0.251278
146.922 0.371814
147.002 0.471364
147.082 0.620270
147.162 0.857331
147.242 1.26770
147.322 2.07382
147.362 2.80265
147.402 3.99509
147.442 6.14327
147.462 7.91172
147.482 10.5397
147.502 14.6510
147.522 21.4885
147.542 33.6249
147.562 55.9426
147.581 89.4432
147.600 111.752
147.619 89.4314
147.638 55.9279
147.650 41.0705
147.662 30.7069
147.686 18.4357
147.709 12.0636
147.733 8.43896
147.757 6.21014
147.781 4.75177
147.828 3.03209
147.876 2.09995
147.924 1.54040
148.019 0.932630
148.114 0.627023
148.209 0.452360
148.304 0.343301
148.399 0.270746
148.590 0.183045
148.780 0.134132
149.161 0.0842270
149.541 0.0604741
149.922 0.0472730
150.683 0.0337207
151.445 0.0271207
152.206 0.0233208
153.729 0.0191747
156.774 0.0155831
159.819 0.0139989
165.910 0.0129445
172.000 0.0135548
178.091 0.0160151
184.181 0.0220974
187.226 0.0282800
190.272 0.0397442
191.794 0.0499307
193.317 0.0678000
194.078 0.0842229
194.840 0.117609
195.220 0.155186
195.411 0.189373
195.601 0.248150
195.791 0.366299
195.886 0.478160
195.982 0.672127
196.077 1.05672
196.124 1.40978
196.172 1.99584
196.219 3.07842
196.243 3.99668
196.267 5.40068
196.291 7.68579
196.315 11.7083
196.338 19.4712
196.350 26.0405
196.362 35.3796
196.381 56.6324
196.400 70.7129
196.419 56.5086
196.438 35.3749
196.452 24.6326
196.466 17.6714
196.480 13.1099
196.494 10.0386
196.522 6.36084
196.549 4.37880
196.577 3.19618
196.605 2.44350
196.661 1.57605
196.716 1.11586
196.772 0.844733
196.883 0.555347
196.995 0.413834
197.106 0.335663
197.329 0.259877
197.774 0.218943
198.219 0.225133
199.110 0.301953
199.555 0.383597
200.000 0.561119
200.141 0.692176
200.281 0.979629
200.352 1.30519
200.387 1.58853
200.422 2.03793
200.457 2.82247
200.492 4.36272
200.510 5.75132
200.527 7.95614
200.545 11.6816
200.562 18.0357
200.581 28.5458
