Sr-87(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1407.97 0.144182
1409.13 0.106045
1411.46 0.0670731
1413.78 0.0483076
1416.11 0.0376708
1420.76 0.0263247
1425.42 0.0204236
1430.07 0.0167808
1439.37 0.0124275
1457.99 0.00809366
1476.60 0.00585574
1495.21 0.00448484
1513.82 0.00356890
1551.05 0.00244964
1588.27 0.00182224
1625.49 0.00146000
1662.72 0.00135435
1672.02 0.00143530
1681.33 0.00170477
1685.98 0.00206433
1690.64 0.00300706
1692.96 0.00424227
1695.29 0.00760157
1696.45 0.0121537
1697.62 0.0247810
1698.20 0.0419665
1698.78 0.0890008
1699.07 0.151655
1699.36 0.317262
1699.51 0.528124
1699.58 0.722582
1699.65 1.04150
1699.72 1.63707
1699.76 2.13458
1699.80 2.89099
1699.83 4.15653
1699.87 6.31938
1699.91 10.4410
1699.92 13.8887
1699.94 18.7970
1699.97 30.3741
1700.00 37.7886
1700.03 29.9611
1700.06 18.7963
1700.08 13.6622
1700.10 10.2830
1700.13 6.16109
1700.17 4.02631
1700.21 2.81375
1700.24 2.06879
1700.28 1.58163
1700.35 1.01300
1700.43 0.699567
1700.50 0.511687
1700.65 0.308692
1700.94 0.147727
1701.24 0.0868757
1701.83 0.0412469
1702.42 0.0247160
1703.60 0.0127803
1704.78 0.00874562
1707.14 0.00652269
1709.50 0.00710805
1711.86 0.0102447
1713.04 0.0137407
1714.22 0.0202981
1715.40 0.0344851
1715.99 0.0486358
1716.58 0.0743050
1717.17 0.128632
1717.46 0.181950
1717.76 0.277390
1718.05 0.474467
1718.20 0.663890
1718.35 0.991267
1718.49 1.64235
1718.57 2.23715
1718.64 3.20287
1718.71 4.97800
1718.75 6.46116
1718.79 8.61908
1718.82 12.1234
1718.86 18.0747
1718.90 28.9474
1718.92 37.3934
1718.93 48.8995
1718.95 62.9180
1718.97 77.9067
1719.00 97.1080
1719.03 77.9048
1719.07 48.8973
1719.10 29.3475
1719.14 18.9479
1719.17 12.8773
1719.20 9.32048
1719.24 6.97239
1719.27 5.43518
1719.34 3.55540
1719.41 2.48779
1719.48 1.84306
1719.62 1.12223
1719.75 0.751841
1719.89 0.539688
1720.16 0.316702
1720.44 0.207838
1720.71 0.147084
1721.26 0.0849473
1721.81 0.0553944
1722.36 0.0390926
1723.46 0.0226669
1724.55 0.0149524
1725.65 0.0107260
1727.85 0.00647867
1730.04 0.00448823
1732.24 0.00339430
1736.63 0.00228827
1741.02 0.00176225
1745.40 0.00146776
1754.18 0.00116007
1771.74 0.000912859
1789.30 0.000807046
1859.53 0.000677673
1929.77 0.000764038
1964.88 0.00100713
1982.44 0.00139791
1991.22 0.00193103
1995.61 0.00250443
2000.00 0.00370499
2003.23 0.00575791
2004.85 0.00779352
2006.47 0.0115007
2008.08 0.0194210
2008.89 0.0273089
2009.70 0.0416528
2010.51 0.0721620
2010.91 0.102257
2011.32 0.156512
2011.72 0.269858
2011.92 0.379738
2012.13 0.573757
2012.33 0.965799
2012.43 1.33222
2012.53 1.95331
2012.63 3.13011
2012.68 4.16901
2012.73 5.77116
2012.78 8.54332
2012.83 13.6238
2012.86 18.1181
2012.88 24.6398
2012.91 34.7011
2012.93 50.2704
2012.95 64.7383
2012.97 80.2353
2013.00 100.130
2013.03 80.2337
2013.07 50.2685
2013.11 28.5233
2013.14 17.5003
2013.18 11.6089
2013.22 8.26127
2013.26 6.10889
2013.30 4.71924
