Gd-154(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
252.708 268.449
252.722 345.722
252.736 453.900
252.750 604.411
252.775 984.741
252.800 1255.82
252.813 1194.54
252.825 1026.44
252.850 656.061
252.868 468.248
252.886 343.547
252.904 259.877
252.922 202.998
252.958 133.578
252.994 95.2401
253.029 71.9147
253.065 56.7806
253.137 38.8978
253.209 29.1166
253.280 23.1569
253.424 16.5065
253.567 13.0207
253.711 10.9337
253.997 8.60773
254.284 7.36334
254.571 6.59521
255.145 5.73949
255.431 5.54522
255.718 5.53858
256.005 5.85495
256.292 6.87142
256.435 7.93681
256.579 9.75115
256.650 11.1236
256.722 12.9802
256.758 14.1565
256.794 15.5420
256.830 17.1936
256.848 18.1345
256.865 19.1659
256.883 20.3057
256.901 21.5540
256.919 22.9318
256.937 24.4562
256.973 28.0403
257.009 32.4949
257.045 38.1394
257.081 45.3654
257.116 54.8411
257.152 67.4685
257.188 84.8330
257.224 109.326
257.260 145.413
257.296 200.812
257.332 291.486
257.367 450.066
257.385 576.324
257.403 752.926
257.421 1004.50
257.439 1361.11
257.470 2230.66
257.500 2858.09
257.531 2344.85
257.561 1503.38
257.584 1063.23
257.606 774.063
257.629 582.972
257.652 453.276
257.697 296.351
257.742 210.245
257.787 158.080
257.833 124.274
257.923 84.3629
258.014 62.5118
258.104 49.1720
258.195 40.3776
258.285 34.2453
258.466 26.3862
258.647 21.6731
258.828 18.5813
259.009 16.4219
259.371 13.6320
259.733 11.9243
260.094 10.7761
260.456 9.95042
261.180 8.83355
261.904 8.09735
263.352 7.12585
264.799 6.41947
265.523 6.09848
266.247 5.79209
266.609 5.65637
266.971 5.55698
267.333 5.54977
267.694 5.79005
267.875 6.12935
268.056 6.78295
268.237 8.06045
268.418 10.7028
268.509 13.0802
268.599 16.8250
268.622 18.0904
268.645 19.5259
268.667 21.1681
268.690 23.0557
268.712 25.2369
268.735 27.7713
268.758 30.7347
268.780 34.2234
268.803 38.3813
268.825 43.3347
268.848 49.3148
268.871 56.6099
268.893 65.6582
268.916 76.9303
268.939 91.2421
268.961 109.728
268.984 134.207
269.006 167.079
269.029 212.580
269.052 277.515
269.074 373.443
269.097 520.502
269.119 753.497
269.142 1125.47
269.171 1846.65
269.200 2369.12
269.229 1946.70
269.258 1250.57
269.289 774.020
269.319 509.629
269.350 358.135
269.380 265.867
269.410 205.792
269.441 164.805
269.502 114.220
269.563 85.2589
269.624 67.1422
269.746 46.4256
269.867 35.3500
269.989 28.6744
270.111 24.2930
270.233 21.2421
270.477 17.3273
270.720 14.9655
270.964 13.4045
271.208 12.3040
271.695 10.8642
272.183 9.96801
272.670 9.35650
273.158 8.91144
274.132 8.30264
275.107 7.90041
277.057 7.38785
279.007 7.06217
280.956 6.82797
284.856 6.49690
288.755 6.25896
292.655 6.06863
300.454 5.75797
308.252 5.48245
316.051 5.18908
319.951 5.00786
321.901 4.89693
323.850 4.76181
325.800 4.58627
326.775 4.47469
327.750 4.34100
328.725 4.18513
329.212 4.10819
329.699 4.05867
329.943 4.06615
330.187 4.12635
330.431 4.29935
330.674 4.73587
330.796 5.16754
330.918 5.88578
331.040 7.14581
331.162 9.53112
331.284 14.6329
331.344 19.5335
331.360 21.2158
331.375 23.1356
331.390 25.3524
331.405 27.9280
331.421 30.9621
331.436 34.5159
331.451 38.7681
331.466 43.8350
331.482 50.0143
331.497 57.5345
331.512 66.8555
331.527 78.5685
331.543 93.6274
331.558 113.068
331.573 138.796
331.588 173.560
331.603 221.941
331.619 289.781
331.634 386.811
331.649 524.956
331.675 856.758
331.700 1094.78
331.713 1042.00
331.726 896.627
331.751 574.134
331.767 430.212
331.782 328.656
331.814 205.577
