Cs-133(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
115.000 4.06045
115.030 3.26106
115.049 2.89184
115.068 2.71602
115.106 2.57511
115.182 2.49833
115.335 2.46519
115.640 2.44781
116.250 2.43205
116.860 2.42616
117.165 2.43365
117.318 2.46134
117.394 2.53298
117.432 2.66706
117.452 2.83513
117.471 3.18602
117.500 3.94888
117.530 3.18680
117.548 2.84510
117.566 2.67795
117.603 2.54134
117.676 2.46794
117.822 2.44181
118.115 2.44135
118.700 2.47222
119.285 2.55529
119.578 2.71477
119.651 2.83901
119.724 3.12850
119.761 3.45514
119.797 4.14774
119.816 4.82427
119.834 6.00814
119.852 8.27532
119.871 12.8645
119.885 19.0393
119.900 23.1140
119.915 19.0024
119.930 12.8778
119.942 9.44056
119.954 7.33378
119.966 6.01666
119.978 5.16218
120.003 4.17764
120.027 3.66824
120.076 3.19025
120.125 2.98678
120.321 2.78524
120.712 2.82663
121.494 3.17845
122.277 3.89041
123.059 5.37027
123.450 6.71472
123.841 8.86224
124.232 12.5196
124.623 19.3319
124.819 25.1027
125.015 33.8716
125.210 48.0155
125.406 72.7430
125.504 92.5950
125.601 121.374
125.699 165.141
125.797 235.952
125.895 360.370
125.944 460.408
125.993 605.130
126.041 823.193
126.090 1167.01
126.139 1733.08
126.188 2676.88
126.244 4328.21
126.300 5467.49
126.356 4420.90
126.412 2793.43
126.474 1663.52
126.535 1060.59
126.596 724.422
126.658 523.986
126.719 396.062
126.781 310.188
126.904 205.869
127.026 147.434
127.149 111.503
127.395 71.3161
127.641 50.4508
127.886 38.1787
128.132 30.3156
128.378 24.9527
128.869 18.2693
129.361 14.3803
129.852 11.8940
130.343 10.1936
131.326 8.05425
132.309 6.78463
133.292 5.95224
134.275 5.36575
136.240 4.58957
138.206 4.09593
139.189 3.92741
139.680 3.87479
140.171 3.86831
140.663 3.97663
140.909 4.13889
141.154 4.48085
141.400 5.26818
141.523 6.06406
141.646 7.48835
141.769 10.3600
141.830 12.9942
141.891 17.3326
141.953 25.1552
142.014 41.0770
142.045 55.7832
142.076 79.8346
142.106 121.427
142.122 153.306
142.137 195.306
142.153 250.782
142.169 314.330
142.200 397.071
142.232 322.627
142.263 205.682
142.292 134.749
142.320 92.5443
142.349 67.0076
142.378 50.8630
142.435 32.6146
142.492 23.2279
142.550 17.8037
142.607 14.3939
142.722 10.5084
142.836 8.45775
142.951 7.24628
143.180 5.95394
143.409 5.34240
143.639 5.05378
144.097 5.06063
144.326 5.36010
144.556 5.96905
144.785 7.12627
145.014 9.40681
145.129 11.3874
145.243 14.4295
145.358 19.3768
145.473 28.0776
145.530 35.0878
145.587 45.2360
145.645 60.6482
145.702 85.4996
145.759 128.874
145.788 163.552
145.816 213.146
145.845 287.318
145.874 402.086
145.902 587.824
145.931 889.356
145.966 1437.14
146.000 1817.80
146.035 1478.85
146.069 941.693
146.105 578.998
146.141 378.445
146.177 263.381
146.213 193.516
146.249 148.241
146.285 117.558
146.357 79.8149
146.429 58.4428
146.500 45.1753
146.644 30.2097
146.788 22.3473
146.932 17.6807
147.076 14.6659
147.219 12.5950
147.507 9.98452
147.794 8.44359
148.082 7.44370
148.369 6.75019
148.945 5.85946
149.520 5.31589
150.670 4.68654
151.820 4.32886
152.970 4.09462
154.120 3.93520
154.408 3.91121
154.695 3.91055
154.839 3.93864
154.911 3.97330
154.983 4.03981
155.055 4.17998
155.091 4.31214
155.127 4.53367
155.163 4.94514
155.181 5.29421
155.199 5.82311
155.217 6.68355
155.235 8.17431
155.253 11.0216
155.262 13.3970
155.270 16.7242
155.285 24.5011
155.300 29.6923
155.315 24.5001
155.330 16.7206
155.341 12.6436
155.352 10.0353
155.364 8.35789
155.375 7.25306
155.398 5.93944
155.421 5.24047
155.443 4.82571
155.466 4.56263
155.512 4.25897
155.557 4.09628
155.603 3.99855
155.693 3.89010
155.875 3.79565
156.057 3.75019
156.785 3.65900
158.240 3.54468
161.150 3.37477
164.060 3.24228
165.515 3.18564
166.243 3.16403
166.425 3.16320
166.607 3.17243
166.698 3.18971
166.789 3.23836
166.834 3.29880
166.880 3.43648
166.902 3.58103
166.925 3.85176
166.937 4.08333
166.948 4.42936
166.959 4.97209
166.971 5.81185
166.985 7.42420
167.000 8.48826
167.015 7.41191
167.030 5.81020
167.044 4.81245
167.058 4.23880
167.072 3.90119
167.086 3.69164
167.114 3.46055
167.142 3.34461
167.199 3.23700
167.255 3.18993
167.368 3.14921
167.480 3.13099
167.931 3.10021
168.832 3.06495
170.634 3.00346
174.239 2.88665
176.041 2.82861
177.843 2.77220
178.744 2.75083
179.195 2.74799
179.646 2.76081
180.096 2.81823
180.321 2.89164
180.547 3.04201
180.659 3.17660
180.772 3.38812
180.885 3.74125
180.997 4.38032
181.110 5.68949
181.166 6.90854
181.223 8.94575
181.279 12.6857
181.307 15.8288
181.335 20.5434
181.363 28.0548
181.391 40.7154
181.420 63.7497
181.434 82.1150
181.448 107.074
181.461 137.394
181.474 172.417
181.500 217.889
181.526 177.208
181.552 113.390
181.570 82.1947
181.588 61.2159
181.606 47.0409
181.624 37.2524
181.661 25.2017
181.697 18.4970
181.733 14.4030
181.769 11.7429
181.841 8.60369
181.913 6.88828
181.985 5.84874
182.129 4.69595
182.273 4.09834
182.417 3.74525
182.561 3.51673
182.705 3.35880
182.994 3.15721
183.282 3.03508
183.858 2.89384
184.435 2.81215
185.011 2.75617
186.164 2.67784
188.470 2.56805
190.776 2.47523
193.082 2.38546
195.388 2.30169
196.541 2.27482
197.694 2.29458
198.271 2.35743
198.847 2.51999
199.135 2.68270
199.424 2.95664
199.712 3.44481
200.000 4.39431
200.142 5.21216
200.285 6.47748
200.427 8.56347
200.569 12.3056
200.712 19.9329
200.783 27.0420
200.854 38.9410
200.925 60.9753
200.961 79.6276
200.996 107.900
201.032 153.550
201.068 232.485
201.103 380.313
201.121 501.720
201.139 670.819
201.169 1083.82
201.200 1367.36
201.231 1105.36
201.261 699.548
201.286 476.799
201.310 336.423
201.335 246.940
201.359 187.941
201.409 118.762
201.458 82.0277
201.507 60.3124
201.556 46.5071
201.654 30.5670
201.752 22.0632
201.850 16.9835
201.948 13.6985
202.046 11.4473
202.242 8.62719
202.438 6.98420
202.635 5.93430
202.831 5.21842
203.223 4.32212
203.615 3.79538
204.400 3.22073
205.184 2.93653
205.577 2.86317
205.969 2.84583
206.361 2.93788
206.558 3.07789
206.754 3.36727
206.950 4.01602
207.048 4.65600
207.146 5.77527
207.244 7.96337
207.293 9.91563
207.342 13.0310
207.391 18.4198
207.440 28.7036
207.465 37.5918
207.489 51.1840
207.514 72.6849
207.538 106.951
207.554 137.043
207.569 171.462
207.600 216.018
207.631 175.251
207.662 111.684
207.699 64.8833
207.735 41.1039
207.772 28.3516
207.809 20.9398
207.846 16.2824
207.882 13.1958
207.956 9.48252
208.029 7.42389
208.103 6.16288
208.250 4.75497
208.397 4.02049
208.544 3.58379
208.838 3.10157
209.132 2.84564
209.426 2.68688
210.014 2.49586
211.190 2.29459
212.366 2.17257
214.718 2.01751
215.894 1.99814
216.188 2.01857
216.482 2.08686
216.629 2.18028
216.776 2.42623
216.850 2.73589
216.887 3.02022
216.923 3.49121
216.960 4.35974
216.978 5.09473
216.997 6.20829
217.015 8.02181
217.034 11.1968
217.052 17.2729
217.061 22.3727
217.070 29.5524
217.085 46.0956
217.100 57.1232
217.115 46.0999
217.130 29.5591
217.144 19.5447
217.157 13.7251
217.171 10.2245
217.185 8.04605
217.212 5.61283
217.240 4.38642
217.267 3.68573
217.295 3.25203
217.350 2.76894
217.460 2.38038
217.569 2.23783
217.789 2.15157
218.009 2.15294
218.448 2.27142
218.888 2.56624
219.327 3.26018
219.547 3.97234
219.766 5.27723
219.876 6.37085
219.986 8.02000
220.096 10.6690
220.206 15.2883
220.316 24.4046
220.371 32.6622
220.425 46.1623
220.480 70.3748
220.508 90.2574
220.535 119.517
220.563 165.055
220.590 239.501
220.618 369.555
220.645 601.776
220.673 967.171
220.700 1213.29
220.728 974.312
220.755 612.481
220.781 389.040
220.807 259.809
220.832 183.064
220.858 135.107
220.910 81.8135
220.962 54.9420
221.013 39.5948
221.065 30.0743
221.168 19.3610
221.271 13.7853
221.375 10.5186
221.581 7.03267
221.788 5.30045
221.994 4.31275
222.407 3.28228
222.820 2.78417
223.233 2.51129
224.060 2.26568
225.712 2.31626
227.364 3.01000
228.190 3.79306
229.016 5.15933
229.842 7.64451
230.256 9.65018
230.669 12.5269
231.082 16.7980
231.495 23.4249
231.908 34.3280
232.321 53.7700
232.527 69.5984
232.734 92.7670
232.940 128.382
233.147 186.694
233.354 290.676
233.457 375.325
233.560 498.960
233.663 687.847
233.767 990.239
233.870 1499.11
233.973 2370.60
234.087 3854.70
234.200 4896.04
234.314 3981.35
234.427 2530.01
234.546 1549.24
234.665 1008.01
234.784 699.313
234.903 511.767
235.022 390.543
235.141 308.178
235.379 207.021
235.617 149.638
235.855 113.956
236.331 73.5039
236.807 52.0882
237.282 39.3750
237.520 35.2159
237.639 33.8316
237.758 33.2988
237.877 34.6149
237.937 36.8157
237.996 41.2493
238.056 50.3009
238.115 70.2627
238.145 89.3697
238.175 120.886
238.205 175.444
238.219 217.093
238.234 271.818
238.251 350.960
238.267 444.657
238.300 582.007
238.317 564.795
238.333 497.475
238.366 337.391
238.394 239.310
238.423 177.738
238.451 138.618
238.480 112.772
238.536 82.1177
238.593 65.3773
238.650 55.1118
238.707 48.2945
238.821 39.8548
238.934 34.8306
239.048 31.4555
239.275 27.0843
239.503 24.2525
239.730 22.1854
240.185 19.2406
241.094 15.5668
242.004 13.2561
243.823 10.4445
245.642 8.79027
247.461 7.70312
249.280 6.93557
252.918 5.92314
256.556 5.28093
260.194 4.83057
263.832 4.49018
265.651 4.34878
266.561 4.29156
266.788 4.28504
267.016 4.29549
267.129 4.32238
267.186 4.35153
267.243 4.40459
267.300 4.51174
267.328 4.60925
267.357 4.76840
267.385 5.05136
267.414 5.61911
267.428 6.13658
267.442 6.97310
267.456 8.39959
267.470 10.8912
267.485 14.9058
267.500 17.5858
267.515 14.9041
267.530 10.8876
267.543 8.48727
267.557 7.08209
267.570 6.23115
267.583 5.69888
267.610 5.10066
267.637 4.79592
267.664 4.62114
267.691 4.51182
267.745 4.38766
267.799 4.32151
267.852 4.28147
267.960 4.23572
268.175 4.19179
268.390 4.16659
269.250 4.09994
270.110 4.04768
270.540 4.03817
270.648 4.04850
270.756 4.08570
270.809 4.13610
270.863 4.25753
270.890 4.39093
270.917 4.65551
270.930 4.89434
270.944 5.27155
270.957 5.89939
270.971 6.96275
270.985 8.74997
271.000 9.92886
271.015 8.73546
271.030 6.95935
271.040 6.11468
271.049 5.54769
271.069 4.89478
271.089 4.56702
271.109 4.38502
271.149 4.20152
271.188 4.11602
271.268 4.03995
271.347 4.00634
271.506 3.97411
271.665 3.95600
272.300 3.90951
272.935 3.87316
273.253 3.86590
273.412 3.89487
273.451 3.92451
273.491 3.99196
273.531 4.18546
273.551 4.43618
273.571 4.97677
273.585 5.66583
273.600 6.12066
273.615 5.65920
273.630 4.97338
273.652 4.39223
273.674 4.14256
273.717 3.95798
273.761 3.89339
273.805 3.86299
273.981 3.81985
274.332 3.78919
275.035 3.74532
276.440 3.66272
279.250 3.49632
282.060 3.31992
283.465 3.22950
284.168 3.20237
284.344 3.21273
284.519 3.26210
284.607 3.33587
284.651 3.40752
284.695 3.53093
284.739 3.76680
284.761 3.97349
284.783 4.29677
284.805 4.84508
284.827 5.85775
284.838 6.71257
284.849 7.98759
284.860 9.94269
284.870 12.9134
284.885 18.7766
284.900 22.6798
284.915 18.7752
284.930 12.9100
284.943 9.39529
284.957 7.33455
284.970 6.08553
284.983 5.30393
285.010 4.42534
285.037 3.97794
285.064 3.72155
285.091 3.56140
285.145 3.38006
285.199 3.28402
285.252 3.22644
285.360 3.16154
285.575 3.10155
285.790 3.06888
286.650 2.98760
287.510 2.94572
287.725 2.96239
287.940 3.04075
288.048 3.15878
288.102 3.27482
288.155 3.47706
288.209 3.87312
288.236 4.22793
288.263 4.79763
288.290 5.79975
288.317 7.77398
288.330 9.54873
288.344 12.3434
288.357 16.9804
288.370 24.8077
288.385 38.0431
288.400 46.7864
288.415 37.9480
288.430 24.8053
288.443 16.9309
288.457 12.3094
288.470 9.52213
288.483 7.76104
288.510 5.78673
288.537 4.78008
288.564 4.20329
288.591 3.84350
288.644 3.43718
288.698 3.22452
288.751 3.09865
288.859 2.96119
289.073 2.84509
289.287 2.79169
290.145 2.70041
291.003 2.68894
291.860 2.82556
292.289 3.02520
292.718 3.41607
293.147 4.19096
293.576 5.82031
293.790 7.30540
294.005 9.66992
294.219 13.6591
294.326 16.7198
294.433 20.9544
294.541 27.0001
294.648 35.9760
294.755 49.9850
294.862 73.3296
294.969 115.851
295.023 151.144
295.077 203.659
295.130 285.616
295.184 420.831
295.237 657.123
295.291 1082.26
295.346 1770.12
295.400 2262.12
295.455 1849.25
295.509 1181.21
295.573 686.984
295.638 432.904
295.702 295.105
295.766 214.097
295.831 162.954
295.895 128.739
296.024 87.2941
296.152 64.0742
296.281 49.7226
296.538 33.5347
296.795 25.0018
297.052 19.9019
297.310 16.5811
297.567 14.2802
298.081 11.3495
298.596 9.59491
299.110 8.44306
299.624 7.63587
300.653 6.58802
301.682 5.94211
302.711 5.50515
303.740 5.18961
305.798 4.76193
307.855 4.48203
309.913 4.28177
310.942 4.20342
311.456 4.17855
311.585 4.18156
311.713 4.20407
311.778 4.23886
311.842 4.32854
311.874 4.43216
311.906 4.64824
311.922 4.85397
311.938 5.20097
311.955 5.82832
311.971 6.99854
311.985 8.72381
312.000 9.86203
312.015 8.70965
312.030 6.99492
312.041 6.06960
312.053 5.48465
312.076 4.86899
312.100 4.58265
312.123 4.43025
312.170 4.28250
312.216 4.21559
312.309 4.15615
312.403 4.12906
312.589 4.10095
312.776 4.08332
313.522 4.03294
315.015 3.95125
318.000 3.81579
320.985 3.70395
322.478 3.65528
323.224 3.63616
323.597 3.64089
323.691 3.65332
323.784 3.68911
323.831 3.73403
323.877 3.83715
323.901 3.94565
323.924 4.15120
323.947 4.59558
323.959 5.01881
323.971 5.68180
323.985 6.92870
324.000 7.75168
324.015 6.91905
324.030 5.68030
324.045 4.85682
324.060 4.40664
324.091 3.99810
324.122 3.83286
324.153 3.75163
324.214 3.67765
324.276 3.64560
324.399 3.61765
324.522 3.60477
325.015 3.58143
326.000 3.55523
326.493 3.54791
326.985 3.55336
327.231 3.57270
327.355 3.59489
327.478 3.63707
327.601 3.72735
327.663 3.81484
327.724 3.96720
327.786 4.26754
327.816 4.53963
327.847 4.98281
327.878 5.77914
327.893 6.43430
327.909 7.40534
327.924 8.91885
327.940 11.4223
327.955 15.8303
327.970 23.7783
327.985 35.9206
328.000 44.0028
328.015 35.9168
328.030 23.7731
328.047 15.2706
328.063 10.8553
328.080 8.43708
328.097 7.01107
328.114 6.10762
328.130 5.50986
328.164 4.79181
328.197 4.39449
328.231 4.15380
328.297 3.88841
328.364 3.75323
328.431 3.67495
328.565 3.59197
328.699 3.55072
328.833 3.52705
329.100 3.50315
329.368 3.49709
329.635 3.51603
329.769 3.55279
329.836 3.59068
329.903 3.65866
329.970 3.79546
330.003 3.92144
330.037 4.12937
330.070 4.50931
330.087 4.82589
330.104 5.30192
330.120 6.05845
330.137 7.34444
330.154 9.69966
330.170 14.2152
330.185 20.7144
330.200 25.0136
330.215 20.6735
330.230 14.2216
330.244 10.2080
330.258 7.91579
330.272 6.56360
330.286 5.72301
330.314 4.79525
330.343 4.32907
330.371 4.06368
330.399 3.89991
330.456 3.71607
330.512 3.62035
330.568 3.56412
330.681 3.50317
330.907 3.45251
331.133 3.42980
331.584 3.40517
332.036 3.38855
333.841 3.33676
337.453 3.24287
341.065 3.14782
344.676 3.04535
348.288 2.92698
350.094 2.85743
351.900 2.77746
353.706 2.68583
354.609 2.63930
355.512 2.60467
355.963 2.60262
356.414 2.62668
356.866 2.70846
357.317 2.92915
357.543 3.15466
357.769 3.53805
357.995 4.22439
358.220 5.55491
358.333 6.70749
358.446 8.48003
358.559 11.3633
358.672 16.4188
358.728 20.4753
358.785 26.3167
358.841 35.1163
358.897 49.1268
358.954 73.1529
358.982 91.9043
359.010 118.277
359.039 156.553
359.067 213.950
359.095 302.435
359.123 439.316
359.162 716.549
359.200 913.280
359.239 746.142
359.277 477.276
359.304 342.237
359.332 251.606
359.359 190.868
359.386 149.194
359.441 98.3087
359.495 70.0406
359.550 52.8578
359.605 41.6628
359.714 28.4500
359.823 21.2087
359.932 16.7967
360.041 13.8961
360.150 11.8800
360.369 9.30993
360.587 7.78038
360.805 6.78509
361.024 6.09564
361.460 5.21682
361.897 4.69538
362.334 4.39967
362.443 4.38461
362.552 4.46212
362.607 4.60595
362.661 4.98327
362.689 5.40993
362.716 6.26809
362.730 7.04906
362.743 8.28987
362.757 10.3688
362.770 13.9157
362.785 19.8114
362.800 23.7378
362.815 19.7981
362.830 13.8883
362.844 10.2104
362.858 8.09880
362.872 6.85638
362.886 6.08885
362.915 5.23442
362.943 4.80018
362.971 4.54841
363.000 4.38899
363.056 4.20087
363.170 4.02194
363.283 3.92793
