78-Pt_n-g
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
2.029240e-01 3.61714616e+00
2.037920e-01 3.60947527e+00
2.057250e-01 3.59240153e+00
2.069580e-01 3.58181082e+00
2.089300e-01 3.56489248e+00
2.113290e-01 3.54441652e+00
2.132910e-01 3.52854135e+00
2.225350e-01 3.45391167e+00
2.259560e-01 3.42892786e+00
2.288100e-01 3.40817272e+00
2.329850e-01 3.37791605e+00
2.449490e-01 3.29183605e+00
2.512860e-01 3.25235092e+00
2.570400e-01 3.21668324e+00
2.750000e-01 3.10600484e+00
2.846080e-01 3.05517143e+00
2.998180e-01 2.97482245e+00
3.147390e-01 2.90791479e+00
3.162280e-01 2.90128002e+00
3.173040e-01 2.89652728e+00
3.500000e-01 2.75244119e+00
3.540120e-01 2.73724066e+00
3.648040e-01 2.69637023e+00
3.669770e-01 2.68814602e+00
3.755950e-01 2.65877348e+00
3.890450e-01 2.61297535e+00
3.942130e-01 2.59556029e+00
3.971770e-01 2.58565393e+00
4.080780e-01 2.54928030e+00
4.403410e-01 2.45560214e+00
4.491800e-01 2.42999811e+00
4.786300e-01 2.35571571e+00
4.937560e-01 2.31790539e+00
5.000000e-01 2.30239148e+00
5.148050e-01 2.27061135e+00
5.296090e-01 2.23888060e+00
5.444220e-01 2.20719524e+00
5.477230e-01 2.20017244e+00
5.497970e-01 2.19577340e+00
5.592180e-01 2.17948892e+00
5.888440e-01 2.12850169e+00
6.184360e-01 2.07808098e+00
6.729510e-01 1.98585089e+00
6.812900e-01 1.97444892e+00
7.244370e-01 1.91567500e+00
7.500000e-01 1.88115458e+00
7.745970e-01 1.85263498e+00
8.206260e-01 1.79940599e+00
8.236920e-01 1.79588062e+00
8.309480e-01 1.78905414e+00
8.474290e-01 1.77360965e+00
8.872990e-01 1.73637470e+00
8.912510e-01 1.73270160e+00
1.000000e+00 1.63234564e+00
1.215180e+00 1.48721612e+00
1.234040e+00 1.47461337e+00
1.311130e+00 1.43615844e+00
1.348960e+00 1.41738197e+00
1.500000e+00 1.34360596e+00
1.510460e+00 1.33927257e+00
1.522020e+00 1.33460700e+00
1.552750e+00 1.32221982e+00
1.570060e+00 1.31552709e+00
1.595050e+00 1.30588116e+00
1.618100e+00 1.29749773e+00
1.630860e+00 1.29286798e+00
1.659590e+00 1.28247741e+00
1.679630e+00 1.27530481e+00
1.714180e+00 1.26429244e+00
1.848810e+00 1.22158181e+00
1.906350e+00 1.20570218e+00
2.000000e+00 1.17997328e+00
2.028560e+00 1.17345328e+00
2.041740e+00 1.17044616e+00
2.090400e+00 1.15938027e+00
2.152230e+00 1.14533004e+00
2.159280e+00 1.14372966e+00
2.193860e+00 1.13591394e+00
2.262940e+00 1.12037932e+00
2.275900e+00 1.11820591e+00
2.276810e+00 1.11805367e+00
2.387720e+00 1.09963776e+00
2.511890e+00 1.07917602e+00
2.523240e+00 1.07732127e+00
2.750000e+00 1.04036075e+00
2.769840e+00 1.03779215e+00
2.815470e+00 1.03204250e+00
2.861110e+00 1.02650552e+00
2.952380e+00 1.01605332e+00
2.990650e+00 1.01215369e+00
3.090300e+00 1.00209490e+00
3.134920e+00 9.97648429e-01
3.138560e+00 9.97368286e-01
3.500000e+00 9.69691000e-01
3.600000e+00 9.63978947e-01
3.745820e+00 9.57542273e-01
3.801900e+00 9.55110287e-01
3.874850e+00 9.52027296e-01
3.903920e+00 9.51324707e-01
4.149700e+00 9.45474227e-01
4.400000e+00 9.48467499e-01
4.677350e+00 9.51828155e-01
4.691670e+00 9.52013708e-01
4.855940e+00 9.54222500e-01
5.000000e+00 9.56191295e-01
5.079230e+00 9.59768207e-01
5.363670e+00 9.76266913e-01
5.520050e+00 9.88716056e-01
5.648110e+00 9.98927647e-01
5.754400e+00 1.01143033e+00
5.876370e+00 1.02586801e+00
6.040100e+00 1.04534304e+00
6.216990e+00 1.06641571e+00
7.079460e+00 1.27759155e+00
7.360230e+00 1.34646433e+00
7.500000e+00 1.38078973e+00
7.513040e+00 1.38591824e+00
7.551890e+00 1.40119766e+00
7.590750e+00 1.41648122e+00
7.609600e+00 1.42389502e+00
7.668470e+00 1.45097666e+00
7.812500e+00 1.51723595e+00
7.823910e+00 1.52248591e+00
7.908400e+00 1.56136359e+00
8.125000e+00 1.68749885e+00
8.134780e+00 1.69319521e+00
8.207200e+00 1.73537970e+00
8.709650e+00 2.16890172e+00
8.750000e+00 2.20373044e+00
8.756520e+00 2.20935943e+00
8.804800e+00 2.25104572e+00
9.402400e+00 3.18143572e+00
1.000000e+01 5.11085118e+00
1.035010e+01 7.39611166e+00
1.070030e+01 1.19273812e+01
1.087530e+01 1.60920769e+01
1.105040e+01 2.30461427e+01
1.113790e+01 2.84221521e+01
1.122550e+01 3.59875844e+01
1.131300e+01 4.71150989e+01
1.135680e+01 5.47576747e+01
1.140050e+01 6.44451176e+01
1.145530e+01 8.07286117e+01
1.151010e+01 1.04101744e+02
1.154660e+01 1.27519421e+02
1.156500e+01 1.39324501e+02
1.161980e+01 1.95849963e+02
1.162410e+01 2.02433722e+02
1.164720e+01 2.37802296e+02
1.167460e+01 2.94510915e+02
1.170200e+01 3.73594494e+02
1.172940e+01 4.87837420e+02
1.175680e+01 6.60095382e+02
1.178420e+01 9.32201499e+02
1.181160e+01 1.38247759e+03
1.183900e+01 2.13945670e+03
1.186950e+01 3.41617931e+03
1.190000e+01 4.26230084e+03
1.193050e+01 3.40661872e+03
1.196100e+01 2.12786231e+03
1.199220e+01 1.29566592e+03
1.202330e+01 8.35518441e+02
1.205440e+01 5.72813966e+02
1.208560e+01 4.13474427e+02
1.211670e+01 3.10960095e+02
1.214790e+01 2.41691322e+02
1.221020e+01 1.57335149e+02
1.227250e+01 1.10192312e+02
1.233470e+01 8.13272683e+01
1.245930e+01 4.94000716e+01
1.258390e+01 3.31204823e+01
1.270850e+01 2.37364493e+01
1.283310e+01 1.78490274e+01
1.295760e+01 1.39195835e+01
1.318260e+01 9.63372574e+00
1.320680e+01 9.17276487e+00
1.345590e+01 6.53246372e+00
1.370510e+01 4.92064306e+00
1.395420e+01 3.87015590e+00
1.440410e+01 2.73030729e+00
1.442250e+01 2.70457776e+00
1.445870e+01 2.65397059e+00
1.446220e+01 2.64907775e+00
1.456890e+01 2.49993329e+00
1.467910e+01 2.34590261e+00
1.485400e+01 2.10145476e+00
1.489940e+01 2.07335106e+00
1.500000e+01 2.01110162e+00
1.534020e+01 1.80067335e+00
1.575370e+01 1.54527520e+00
1.621810e+01 1.48204343e+00
1.622160e+01 1.48156737e+00
1.631530e+01 1.46900383e+00
1.655710e+01 1.51578199e+00
1.666240e+01 1.53618732e+00
1.687690e+01 1.57844046e+00
1.710310e+01 1.73507350e+00
1.743840e+01 1.96993566e+00
1.754390e+01 2.11638157e+00
1.771920e+01 2.36231050e+00
1.776420e+01 2.46542221e+00
1.798460e+01 2.97574580e+00
1.800000e+01 3.01229185e+00
1.811410e+01 3.43238116e+00
1.819330e+01 3.72403900e+00
1.819970e+01 3.75973650e+00
1.830720e+01 4.37018221e+00
1.838660e+01 4.83330379e+00
1.841480e+01 5.09477995e+00
1.852240e+01 6.12996901e+00
1.857610e+01 6.67738372e+00
1.857990e+01 6.71916050e+00
1.862990e+01 7.61726425e+00
1.868370e+01 8.67075913e+00
1.871060e+01 9.26031853e+00
1.873750e+01 9.92588964e+00
1.876430e+01 1.07185857e+01
1.877320e+01 1.10573697e+01
1.879120e+01 1.19258672e+01
1.881810e+01 1.36527557e+01
1.884500e+01 1.61625329e+01
1.886990e+01 1.94115757e+01
1.887250e+01 1.97839624e+01
1.890000e+01 2.27698047e+01
1.892750e+01 2.19290932e+01
1.895500e+01 2.01271987e+01
1.896650e+01 1.98410901e+01
1.898770e+01 1.97892027e+01
1.902030e+01 2.07352432e+01
1.905300e+01 2.21780075e+01
1.905710e+01 2.23883405e+01
1.906320e+01 2.27012830e+01
1.908560e+01 2.48332709e+01
1.911830e+01 2.80687706e+01
1.915090e+01 3.13623084e+01
1.915980e+01 3.22762385e+01
1.920810e+01 4.02001501e+01
1.921630e+01 4.21373606e+01
1.925650e+01 5.16784152e+01
1.928060e+01 5.94124754e+01
1.928160e+01 5.98104295e+01
1.930480e+01 6.90551476e+01
1.932890e+01 8.12621941e+01
1.934690e+01 9.29758856e+01
1.935310e+01 9.70128509e+01
1.937730e+01 1.17802648e+02
1.940140e+01 1.45928402e+02
1.942560e+01 1.85172675e+02
1.944980e+01 2.41945104e+02
1.947390e+01 3.27667663e+02
1.947750e+01 3.47845139e+02
1.949810e+01 4.63309596e+02
1.952220e+01 6.88161975e+02
1.952850e+01 7.86879890e+02
1.954640e+01 1.06736417e+03
1.957320e+01 1.70632439e+03
1.960000e+01 2.13116984e+03
1.960810e+01 2.00197534e+03
1.962680e+01 1.70371325e+03
1.965360e+01 1.06421691e+03
1.967530e+01 7.16140929e+02
1.969690e+01 4.98324303e+02
1.971860e+01 3.60910496e+02
1.973880e+01 2.76932022e+02
1.974020e+01 2.71111817e+02
1.978350e+01 1.67089816e+02
1.982680e+01 1.12426371e+02
1.987010e+01 8.05365216e+01
1.991340e+01 6.04280517e+01
1.995260e+01 5.00722049e+01
2.000000e+01 3.75500881e+01
2.011320e+01 2.30281766e+01
2.014210e+01 2.11255553e+01
2.022650e+01 1.55691117e+01
2.028420e+01 1.33643911e+01
2.029630e+01 1.29020495e+01
2.033970e+01 1.12443718e+01
2.039280e+01 9.96662959e+00
2.045300e+01 8.51868240e+00
2.056840e+01 6.93290124e+00
2.058920e+01 6.64707618e+00
2.059260e+01 6.60041379e+00
2.067940e+01 5.40988069e+00
2.078560e+01 4.64333413e+00
2.088380e+01 3.93708220e+00
2.090590e+01 3.77887447e+00
2.098190e+01 3.47930804e+00
2.108010e+01 3.09815036e+00
2.113680e+01 2.88499809e+00
2.117830e+01 2.72898830e+00
2.118520e+01 2.70428143e+00
2.119860e+01 2.65635784e+00
2.122740e+01 2.60277979e+00
2.127650e+01 2.52233783e+00
2.132560e+01 2.46112287e+00
2.137470e+01 2.43716851e+00
2.142380e+01 2.49576789e+00
2.144840e+01 2.59111410e+00
2.147290e+01 2.77727309e+00
2.149130e+01 3.04898598e+00
2.149750e+01 3.14737060e+00
2.150970e+01 3.46631105e+00
2.152200e+01 3.92881806e+00
2.152820e+01 4.23993355e+00
2.153430e+01 4.62521652e+00
2.154040e+01 5.10709986e+00
2.154660e+01 5.71476566e+00
2.155270e+01 6.49108773e+00
2.155880e+01 7.48615270e+00
2.156500e+01 8.76718219e+00
2.157110e+01 1.03948106e+01
2.157830e+01 1.27973746e+01
2.158560e+01 1.55408743e+01
2.160000e+01 1.89644105e+01
2.160720e+01 1.79382558e+01
2.161450e+01 1.54969152e+01
2.162890e+01 1.03132273e+01
2.164050e+01 7.50153565e+00
2.165210e+01 5.73175470e+00
2.166370e+01 4.60729268e+00
2.167530e+01 3.86665914e+00
2.169850e+01 2.99423560e+00
2.172170e+01 2.52163372e+00
2.174490e+01 2.23366821e+00
2.176810e+01 2.04154759e+00
2.177770e+01 1.99124003e+00
2.181450e+01 1.79845533e+00
2.186080e+01 1.64424906e+00
2.190720e+01 1.53031313e+00
2.195360e+01 1.43729893e+00
2.200000e+01 1.35618460e+00
2.207670e+01 1.23783008e+00
2.209120e+01 1.22444506e+00
2.218230e+01 1.15315057e+00
2.227350e+01 1.08820059e+00
2.227360e+01 1.08813326e+00
2.236460e+01 1.02686240e+00
2.237030e+01 1.02319952e+00
2.254690e+01 9.09891940e-01
2.266200e+01 8.38412945e-01
2.268810e+01 8.28920340e-01
2.272920e+01 8.13974941e-01
2.309380e+01 6.86022715e-01
2.324740e+01 6.33179243e-01
2.345830e+01 5.94498689e-01
2.365270e+01 5.59512963e-01
2.418750e+01 4.63546387e-01
2.441810e+01 4.22532736e-01
2.454710e+01 4.11086273e-01
2.491670e+01 3.78312480e-01
2.493520e+01 3.76684693e-01
2.558890e+01 3.19326983e-01
2.637500e+01 2.84241236e-01
2.750000e+01 2.34365801e-01
2.782550e+01 2.27071746e-01
2.783330e+01 2.26897104e-01
2.841710e+01 2.13879108e-01
2.867370e+01 2.08179902e-01
2.941040e+01 1.91833217e-01
2.952190e+01 1.90418646e-01
2.982230e+01 1.86614306e-01
3.019960e+01 1.81861858e-01
3.121820e+01 1.69081116e-01
3.122740e+01 1.68965934e-01
3.132070e+01 1.67808713e-01
3.170860e+01 1.65503360e-01
3.403770e+01 1.51776773e-01
3.461100e+01 1.48503147e-01
3.500000e+01 1.46287234e-01
3.559280e+01 1.45480833e-01
3.600640e+01 1.45059794e-01
3.701280e+01 1.44040185e-01
3.783970e+01 1.43207445e-01
3.833660e+01 1.42994322e-01
3.896310e+01 1.44636484e-01
3.902560e+01 1.44844839e-01
4.000000e+01 1.48102295e-01
4.008660e+01 1.48394855e-01
4.121000e+01 1.53802171e-01
4.233340e+01 1.62571262e-01
4.263030e+01 1.66310415e-01
4.289520e+01 1.70629732e-01
4.305120e+01 1.74205832e-01
4.345690e+01 1.83510693e-01
4.373770e+01 1.92350210e-01
4.387820e+01 1.97681668e-01
4.401860e+01 2.03808512e-01
4.408880e+01 2.07229494e-01
4.412390e+01 2.09041770e-01
4.415900e+01 2.10926856e-01
4.419410e+01 2.12890226e-01
4.422930e+01 2.14936701e-01
4.426440e+01 2.17070483e-01
4.429950e+01 2.19297096e-01
4.433460e+01 2.21623891e-01
4.436970e+01 2.24056812e-01
4.440480e+01 2.26602976e-01
4.443990e+01 2.29269420e-01
4.451010e+01 2.35001397e-01
4.458030e+01 2.41327975e-01
4.469700e+01 2.53426628e-01
4.481360e+01 2.67971041e-01
4.493020e+01 2.85713307e-01
4.504690e+01 3.07712873e-01
4.516350e+01 3.35516374e-01
4.528010e+01 3.71431428e-01
4.539680e+01 4.19053710e-01
4.551340e+01 4.84188968e-01
4.563010e+01 5.76782974e-01
4.570890e+01 6.70152720e-01
4.574670e+01 7.14942668e-01
4.586330e+01 9.34567802e-01
4.598000e+01 1.31518418e+00
4.603830e+01 1.62004667e+00
4.609660e+01 2.06310743e+00
4.615490e+01 2.74179583e+00
4.621320e+01 3.85577243e+00
4.627160e+01 5.86693956e+00
4.630070e+01 7.53473406e+00
4.632990e+01 1.00270107e+01
4.635900e+01 1.39562486e+01
4.638820e+01 2.05631911e+01
4.641740e+01 3.24791653e+01
4.644650e+01 5.48563988e+01
4.647330e+01 8.76670385e+01
4.650000e+01 1.09634537e+02
4.652680e+01 8.78206088e+01
4.655350e+01 5.49535556e+01
4.658040e+01 3.37646527e+01
4.660740e+01 2.19457983e+01
4.663430e+01 1.51565442e+01
4.666120e+01 1.10190296e+01
4.668810e+01 8.34733484e+00
4.671510e+01 6.53711384e+00
4.676890e+01 4.32600225e+00
4.682280e+01 3.08618945e+00
4.687660e+01 2.32542853e+00
4.692400e+01 1.95411003e+00
4.698430e+01 1.48204025e+00
4.709200e+01 1.05121758e+00
4.719970e+01 8.02633470e-01
4.730740e+01 6.46661213e-01
4.741510e+01 5.42648411e-01
4.763050e+01 4.17415861e-01
4.784590e+01 3.48359647e-01
4.806140e+01 3.06805701e-01
4.827680e+01 2.80292908e-01
4.870760e+01 2.50728652e-01
4.913840e+01 2.36842482e-01
