92-U_n-g
>  92-U-235:0.007204
>  92-U-238:0.992796
6.679610e+00 1.76999291e+04
6.685730e+00 1.10564372e+04
6.689550e+00 8.12170266e+03
6.693370e+00 6.07357429e+03
6.701010e+00 3.64673315e+03
6.708650e+00 2.38538441e+03
6.716300e+00 1.66748206e+03
6.723940e+00 1.22589459e+03
6.725400e+00 1.17066784e+03
6.731580e+00 9.36900866e+02
6.746860e+00 5.96107672e+02
6.762140e+00 4.11394855e+02
6.777420e+00 3.00550996e+02
6.787200e+00 2.54766784e+02
6.792710e+00 2.28973038e+02
6.807990e+00 1.80136548e+02
6.838550e+00 1.19727157e+02
6.849000e+00 1.07937769e+02
6.869120e+00 8.52441401e+01
6.899680e+00 6.37438161e+01
6.910800e+00 5.85444368e+01
6.930250e+00 4.94600523e+01
6.949850e+00 4.39509083e+01
6.969380e+00 3.84746075e+01
6.988900e+00 3.30183414e+01
6.991370e+00 3.23310834e+01
7.002530e+00 3.06233191e+01
7.016150e+00 2.85636093e+01
7.029780e+00 2.65429127e+01
7.043400e+00 2.45901621e+01
7.052500e+00 2.33642423e+01
7.066900e+00 2.22995471e+01
7.079400e+00 2.13251880e+01
7.088400e+00 2.04496447e+01
7.097400e+00 1.94256118e+01
7.113630e+00 1.74824286e+01
7.115400e+00 1.73289540e+01
7.129750e+00 1.61818323e+01
7.144100e+00 1.51262000e+01
7.158450e+00 1.41280824e+01
7.172800e+00 1.31637938e+01
7.174760e+00 1.30356987e+01
7.201500e+00 1.18085103e+01
7.230200e+00 1.05253360e+01
7.235890e+00 1.02739917e+01
7.258900e+00 9.53837988e+00
7.287600e+00 8.62875075e+00
7.297020e+00 8.33208428e+00
7.345000e+00 7.33891807e+00
7.402400e+00 6.15804906e+00
7.419280e+00 5.81178947e+00
7.459800e+00 5.30789737e+00
7.541530e+00 4.29540987e+00
7.574600e+00 4.06566080e+00
7.616850e+00 3.77366279e+00
7.659100e+00 3.48196455e+00
7.663790e+00 3.44944385e+00
7.675290e+00 3.51422065e+00
7.686790e+00 3.30341725e+00
7.701350e+00 3.16878281e+00
7.722930e+00 2.96892116e+00
7.743600e+00 2.85444746e+00
7.759080e+00 2.76914033e+00
7.831370e+00 2.43987779e+00
7.861580e+00 2.33643792e+00
7.975940e+00 1.94800598e+00
7.979550e+00 1.94049514e+00
8.097530e+00 1.69812560e+00
8.215500e+00 1.46089761e+00
8.265090e+00 1.36401112e+00
8.274490e+00 1.35422818e+00
8.333480e+00 1.29667982e+00
8.392460e+00 1.24536594e+00
8.451450e+00 1.20481605e+00
8.510440e+00 1.18461279e+00
8.554240e+00 1.20151750e+00
8.569430e+00 1.21433640e+00
8.598920e+00 1.27149876e+00
8.628410e+00 1.36892645e+00
8.657910e+00 1.53483311e+00
8.687400e+00 1.81741865e+00
8.720450e+00 2.34232895e+00
8.753500e+00 2.96015427e+00
8.760400e+00 3.04056247e+00
8.778630e+00 3.06496698e+00
8.796850e+00 2.82046785e+00
8.833300e+00 2.07434477e+00
8.843400e+00 1.91263703e+00
8.856450e+00 1.70804310e+00
8.879600e+00 1.45520912e+00
8.925900e+00 1.16093306e+00
8.969000e+00 1.01486317e+00
9.012100e+00 9.22331260e-01
9.055200e+00 8.58337372e-01
9.098300e+00 8.15553206e-01
9.155800e+00 7.95020361e-01
9.184550e+00 8.10632824e-01
9.213300e+00 8.60819151e-01
9.270800e+00 1.07192759e+00
9.285200e+00 1.06581739e+00
9.299600e+00 1.00843211e+00
9.328400e+00 8.50315638e-01
9.357860e+00 7.34366325e-01
9.387330e+00 6.64547694e-01
9.416790e+00 6.19573139e-01
9.421700e+00 6.14227410e-01
9.446250e+00 5.92080642e-01
9.505180e+00 5.57510935e-01
9.564100e+00 5.34996150e-01
9.630200e+00 5.17913689e-01
9.696300e+00 5.06400365e-01
9.710850e+00 5.02757641e-01
9.762450e+00 4.98382174e-01
9.828600e+00 4.85170136e-01
9.914300e+00 4.73625052e-01
1.000000e+01 4.72577051e-01
1.002950e+01 4.90065680e-01
1.005700e+01 5.11284988e-01
1.005900e+01 5.14642309e-01
1.008850e+01 5.75437306e-01
1.010330e+01 6.14275085e-01
1.011400e+01 6.49503647e-01
1.011800e+01 6.71619195e-01
1.014050e+01 8.21730024e-01
1.014240e+01 8.34663451e-01
1.016300e+01 1.08423813e+00
1.017090e+01 1.15603317e+00
1.017430e+01 1.22652439e+00
1.018520e+01 1.42302331e+00
1.018550e+01 1.43557096e+00
1.019940e+01 2.00026452e+00
1.020650e+01 2.59191979e+00
1.020800e+01 2.81213816e+00
1.021370e+01 3.65480656e+00
1.022080e+01 5.71381910e+00
1.022430e+01 7.45148484e+00
1.022790e+01 9.93635169e+00
1.023370e+01 1.55995718e+01
1.023940e+01 1.93271555e+01
1.024520e+01 1.55047695e+01
1.024790e+01 1.28227464e+01
1.025090e+01 9.84461000e+00
1.025500e+01 7.05335648e+00
1.025910e+01 5.20574525e+00
1.026730e+01 3.14989641e+00
1.026780e+01 3.08919107e+00
1.027560e+01 2.14496303e+00
1.028380e+01 1.59428053e+00
1.028780e+01 1.46080347e+00
1.030020e+01 1.05021740e+00
1.031660e+01 8.00709191e-01
1.032760e+01 7.27168815e-01
1.034950e+01 5.84268864e-01
1.036750e+01 5.34289131e-01
1.038230e+01 4.94498862e-01
1.044730e+01 4.19931252e-01
1.044800e+01 4.19159960e-01
1.051370e+01 3.87477238e-01
1.052700e+01 3.84920427e-01
1.071100e+01 3.54394718e-01
1.077660e+01 3.43922166e-01
1.089500e+01 3.38006627e-01
1.103940e+01 3.34119199e-01
1.108140e+01 3.39133322e-01
1.117080e+01 3.53117236e-01
1.117460e+01 3.56783017e-01
1.123650e+01 4.19735357e-01
1.125290e+01 4.73290153e-01
1.126780e+01 5.78850118e-01
1.126940e+01 5.90377553e-01
1.127760e+01 7.09900773e-01
