63-Eu_n-tot
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
6.825660e-01 4.66754606e+02
6.825690e-01 4.66745635e+02
6.825720e-01 4.66734261e+02
6.825770e-01 4.66715327e+02
6.825840e-01 4.66690567e+02
6.825940e-01 4.66655195e+02
6.826080e-01 4.66605281e+02
6.826280e-01 4.66533965e+02
6.826550e-01 4.66438069e+02
6.826960e-01 4.66292436e+02
6.827500e-01 4.66099406e+02
6.828310e-01 4.65809851e+02
6.829390e-01 4.65426147e+02
6.831020e-01 4.64847082e+02
6.833170e-01 4.64087647e+02
6.836440e-01 4.62932573e+02
6.840750e-01 4.61426865e+02
6.847280e-01 4.59145688e+02
6.855890e-01 4.56202235e+02
6.868950e-01 4.51737698e+02
6.886180e-01 4.46100409e+02
6.912300e-01 4.37555424e+02
6.946760e-01 4.27211441e+02
6.998990e-01 4.11537048e+02
7.067930e-01 3.94046668e+02
7.172380e-01 3.67561264e+02
7.310250e-01 3.42314060e+02
7.519150e-01 3.04111651e+02
7.794900e-01 2.77657580e+02
8.141680e-01 2.44541384e+02
8.764200e-01 2.38072755e+02
8.764210e-01 2.38073233e+02
8.764220e-01 2.38073711e+02
8.764240e-01 2.38074137e+02
8.764280e-01 2.38075572e+02
8.764350e-01 2.38078336e+02
8.764500e-01 2.38084395e+02
8.764810e-01 2.38095556e+02
8.765410e-01 2.38118409e+02
8.766620e-01 2.38164488e+02
8.769030e-01 2.38257655e+02
8.773860e-01 2.38446380e+02
8.783510e-01 2.38838224e+02
8.802820e-01 2.39675565e+02
8.841440e-01 2.41574675e+02
8.918680e-01 2.46334208e+02
9.073150e-01 2.60336998e+02
9.382100e-01 3.14324382e+02
9.691050e-01 4.33629815e+02
9.845530e-01 5.41508237e+02
1.000000e+00 7.05942070e+02
1.010900e+00 8.69549459e+02
1.021930e+00 1.08035957e+03
1.032950e+00 1.32040549e+03
1.055000e+00 1.61162394e+03
1.077050e+00 1.29221306e+03
1.099100e+00 8.27933109e+02
1.125400e+00 4.92168814e+02
1.125410e+00 4.92093779e+02
1.125420e+00 4.91992209e+02
1.125440e+00 4.91824448e+02
1.125480e+00 4.91488926e+02
1.125550e+00 4.90827418e+02
1.125560e+00 4.90738932e+02
1.125700e+00 4.89500199e+02
1.125710e+00 4.89415082e+02
1.126010e+00 4.86861423e+02
1.126030e+00 4.86687893e+02
1.126610e+00 4.81655621e+02
1.126650e+00 4.81319292e+02
1.127820e+00 4.71481739e+02
1.127900e+00 4.70837908e+02
1.130230e+00 4.52086571e+02
1.130400e+00 4.50843533e+02
1.135060e+00 4.16770776e+02
1.135390e+00 4.14759377e+02
1.144710e+00 3.57956959e+02
1.145380e+00 3.55060510e+02
1.164010e+00 2.74539767e+02
