56-Ba_n-tot
> 56-Ba-130:0.001060
> 56-Ba-132:0.001010
> 56-Ba-134:0.024170
> 56-Ba-135:0.065920
> 56-Ba-136:0.078540
> 56-Ba-137:0.112320
> 56-Ba-138:0.716980
1.044000e+02 1.52873836e+02
1.044010e+02 1.52026443e+02
1.044660e+02 9.56433304e+01
1.044890e+02 7.82618106e+01
1.045020e+02 7.14070757e+01
1.045130e+02 6.57968691e+01
1.045590e+02 4.99624439e+01
1.045850e+02 4.44418603e+01
1.045960e+02 4.22636964e+01
1.046060e+02 4.02862636e+01
1.046530e+02 3.38539167e+01
1.046690e+02 3.23412913e+01
1.047460e+02 2.57068501e+01
1.047520e+02 2.53596013e+01
1.048360e+02 2.09380093e+01
1.048390e+02 2.07918704e+01
1.049790e+02 1.65366631e+01
1.050020e+02 1.58426427e+01
1.050260e+02 1.51823387e+01
1.051690e+02 1.28030134e+01
1.052120e+02 1.21398633e+01
1.053360e+02 1.08644140e+01
1.053990e+02 1.02558258e+01
1.055020e+02 9.54173230e+00
1.055860e+02 8.99931394e+00
1.057460e+02 8.30486569e+00
1.058360e+02 7.92787163e+00
1.059590e+02 7.44913593e+00
1.061690e+02 6.93273644e+00
1.063320e+02 6.55444700e+00
1.065030e+02 6.27772453e+00
1.065120e+02 6.26380534e+00
1.067050e+02 5.98014963e+00
1.068360e+02 5.85367613e+00
1.071690e+02 5.54606792e+00
1.072780e+02 5.44911850e+00
1.074520e+02 5.30192141e+00
1.078360e+02 5.09721841e+00
1.080440e+02 4.99131951e+00
1.081980e+02 4.91836809e+00
1.085030e+02 4.81783570e+00
1.089440e+02 4.67784700e+00
1.090030e+02 4.66492776e+00
1.091700e+02 4.62836121e+00
1.095770e+02 4.54204798e+00
1.098370e+02 4.49336157e+00
1.104370e+02 4.38435065e+00
1.111100e+02 4.30202141e+00
1.111700e+02 4.29544687e+00
1.119300e+02 4.21512396e+00
1.125040e+02 4.16980743e+00
1.126420e+02 4.15918364e+00
1.134220e+02 4.10488346e+00
1.134400e+02 4.10396049e+00
1.135040e+02 4.10068496e+00
1.138370e+02 4.08364762e+00
1.141750e+02 4.06673201e+00
1.151710e+02 4.02296371e+00
1.164080e+02 3.96971973e+00
1.172400e+02 3.94327958e+00
1.178380e+02 3.92690223e+00
1.180050e+02 3.92243149e+00
1.193930e+02 3.88532196e+00
1.201600e+02 3.86886828e+00
1.202560e+02 3.86681744e+00
1.203050e+02 3.86577207e+00
1.205060e+02 3.86195088e+00
1.208180e+02 3.85609289e+00
1.213810e+02 3.84553138e+00
1.218390e+02 3.83694864e+00
1.219440e+02 3.83498964e+00
1.223790e+02 3.82688425e+00
1.225060e+02 3.82500077e+00
1.227880e+02 3.82084584e+00
1.230690e+02 3.81671027e+00
1.231730e+02 3.81518153e+00
1.233500e+02 3.81261476e+00
1.233700e+02 3.81232512e+00
1.235200e+02 3.81035850e+00
1.236320e+02 3.80891193e+00
1.238400e+02 3.80623016e+00
1.239130e+02 3.80532111e+00
1.241730e+02 3.80208979e+00
1.241940e+02 3.80184670e+00
1.243600e+02 3.79993215e+00
1.245060e+02 3.79831289e+00
1.246730e+02 3.79669610e+00
1.247570e+02 3.79604640e+00
1.248400e+02 3.79541017e+00
1.250000e+02 3.79478374e+00
1.250070e+02 3.79475813e+00
1.251730e+02 3.79549467e+00
1.252000e+02 3.79614680e+00
1.253200e+02 3.79918923e+00
1.253400e+02 3.79969807e+00
1.254230e+02 3.80477754e+00
1.255070e+02 3.81433769e+00
1.255900e+02 3.83387430e+00
1.256200e+02 3.84647918e+00
1.256320e+02 3.85154346e+00
1.256730e+02 3.87975532e+00
1.256940e+02 3.90049663e+00
1.257150e+02 3.92794434e+00
1.257360e+02 3.96546882e+00
1.257570e+02 4.01760497e+00
1.257780e+02 4.09286103e+00
1.257980e+02 4.20361691e+00
1.258190e+02 4.37111122e+00
1.258300e+02 4.50389210e+00
1.258400e+02 4.62463247e+00
1.258550e+02 4.87368558e+00
1.258700e+02 5.16322253e+00
1.258820e+02 5.31823752e+00
1.259000e+02 5.55076201e+00
1.259150e+02 5.46686322e+00
1.259300e+02 5.23138363e+00
1.259600e+02 4.70959316e+00
1.259920e+02 4.35281103e+00
1.260230e+02 4.15530004e+00
1.260400e+02 4.09525889e+00
1.260550e+02 4.04239549e+00
1.260860e+02 3.97384276e+00
1.261180e+02 3.92930513e+00
1.261490e+02 3.89905766e+00
1.262130e+02 3.86170702e+00
1.262500e+02 3.84920951e+00
1.262760e+02 3.84079043e+00
1.263390e+02 3.82843379e+00
1.263550e+02 3.82675430e+00
1.264360e+02 3.82008362e+00
1.264450e+02 3.81935293e+00
1.264600e+02 3.81813727e+00
1.264650e+02 3.81789642e+00
1.265130e+02 3.81829705e+00
1.265650e+02 3.82105715e+00
1.265910e+02 3.82436033e+00
1.266180e+02 3.82849333e+00
1.266700e+02 3.84476557e+00
1.267180e+02 3.87656040e+00
1.267230e+02 3.87993774e+00
1.267490e+02 3.91398292e+00
1.267750e+02 3.97146591e+00
1.268020e+02 4.07975158e+00
1.268150e+02 4.17254356e+00
1.268280e+02 4.31595928e+00
1.268410e+02 4.55498628e+00
1.268440e+02 4.65348952e+00
1.268540e+02 4.98191112e+00
1.268670e+02 5.83093529e+00
1.268740e+02 6.57740996e+00
1.268800e+02 7.65837898e+00
1.268900e+02 9.98434870e+00
1.269000e+02 1.15348611e+01
1.269100e+02 9.98426332e+00
1.269200e+02 7.65783756e+00
1.269290e+02 6.25829306e+00
1.269380e+02 5.44361003e+00
1.269460e+02 4.95354843e+00
1.269550e+02 4.64444019e+00
1.269700e+02 4.35502111e+00
1.269730e+02 4.29715649e+00
1.269910e+02 4.12169484e+00
1.270080e+02 4.02637681e+00
1.270090e+02 4.02077006e+00
1.270270e+02 3.95826082e+00
1.270620e+02 3.88754225e+00
1.270980e+02 3.85056693e+00
1.271340e+02 3.82870090e+00
1.271700e+02 3.81457933e+00
1.272050e+02 3.80487073e+00
1.272230e+02 3.80174339e+00
1.272770e+02 3.79260170e+00
1.273480e+02 3.78520769e+00
1.274190e+02 3.78016453e+00
1.274750e+02 3.77723276e+00
1.274910e+02 3.77644295e+00
1.275700e+02 3.77362041e+00
1.276330e+02 3.77138515e+00
1.277760e+02 3.76767559e+00
1.279800e+02 3.76355493e+00
1.280620e+02 3.76204314e+00
1.281330e+02 3.76095411e+00
1.283470e+02 3.75774373e+00
1.283500e+02 3.75770249e+00
1.284850e+02 3.75618241e+00
1.286330e+02 3.75463228e+00
1.286960e+02 3.75401984e+00
1.289900e+02 3.75129865e+00
1.292030e+02 3.75041068e+00
1.292580e+02 3.75020847e+00
1.298210e+02 3.74850266e+00
1.300000e+02 3.74812784e+00
1.303450e+02 3.74623062e+00
1.303840e+02 3.74602337e+00
1.309460e+02 3.74382476e+00
1.314870e+02 3.74286678e+00
1.315090e+02 3.74282978e+00
1.320720e+02 3.74384357e+00
1.325660e+02 3.74769811e+00
1.326340e+02 3.74828739e+00
1.331970e+02 3.75939151e+00
1.337590e+02 3.78336000e+00
1.340410e+02 3.80484624e+00
1.343200e+02 3.83798390e+00
1.343220e+02 3.83822393e+00
1.346030e+02 3.89296842e+00
