Bi-209(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
21005.6 0.00177760
21011.4 0.00233281
21017.2 0.00320626
21023.0 0.00468730
21028.9 0.00750569
21031.8 0.00996572
21034.7 0.0138436
21037.6 0.0204643
21040.5 0.0328733
21041.9 0.0434475
21043.4 0.0594244
21044.8 0.0843402
21046.3 0.123407
21048.1 0.197547
21050.0 0.246983
21051.9 0.197481
21053.7 0.123362
21055.8 0.0731575
21057.8 0.0463099
21059.8 0.0313713
21061.8 0.0224656
21063.8 0.0168076
21065.9 0.0130169
21069.9 0.00844887
21073.9 0.00590802
21078.0 0.00436296
21086.0 0.00265679
21094.1 0.00178851
21102.2 0.00128791
21110.2 0.000973413
21118.3 0.000763048
21134.5 0.000507769
21150.6 0.000364785
21166.7 0.000276621
21182.9 0.000218417
21215.2 0.000148679
21247.5 0.000110037
21312.0 7.07869E-05
21376.6 5.21615E-05
21441.2 4.18281E-05
21570.3 3.12714E-05
21828.6 2.33491E-05
22086.8 2.04357E-05
22603.4 1.88203E-05
22861.6 1.98978E-05
22990.8 2.44316E-05
23055.3 4.19557E-05
23087.6 0.000111294
23103.7 0.000386018
23111.8 0.00146595
23115.9 0.00565174
23117.9 0.0213554
23118.9 0.0765925
23119.1 0.126037
23119.4 0.243992
23119.5 0.382776
23119.6 0.645292
23119.8 1.36427
23119.8 2.11213
23119.9 3.59260
23119.9 5.65474
23120.0 7.15479
23120.1 5.65469
23120.1 3.59256
23120.2 2.47878
23120.2 1.68363
23120.3 0.885352
23120.4 0.534477
23120.5 0.368404
23120.7 0.198307
23120.9 0.123242
23121.3 0.0606603
23121.6 0.0359389
23123.2 0.00972983
23126.2 0.00253613
23132.3 0.000660860
23144.5 0.000181121
23168.9 5.98361E-05
23217.6 2.95066E-05
23315.1 2.22946E-05
23510.0 2.16425E-05
23705.0 2.34592E-05
23802.5 2.60012E-05
23851.2 3.21862E-05
23863.4 3.80561E-05
23875.6 5.44396E-05
23881.7 7.71460E-05
23887.8 0.000141588
23890.8 0.000231499
23893.9 0.000485478
23895.4 0.000840488
23896.9 0.00183518
23897.7 0.00320070
23898.4 0.00698502
23899.2 0.0257763
23899.6 0.0884543
23899.8 0.265154
23899.9 0.679286
23899.9 1.32703
23899.9 2.80082
23900.0 4.33990
23900.0 5.59659
23900.0 4.33989
23900.1 2.79579
23900.1 1.32703
23900.1 0.766027
23900.2 0.337728
23900.4 0.117947
23900.6 0.0569426
23900.7 0.0343197
23901.0 0.0160614
23901.4 0.00927776
23902.0 0.00424337
23902.7 0.00242839
23904.0 0.00110717
23905.3 0.000640215
23908.0 0.000300271
23910.6 0.000180914
23915.9 9.50721E-05
23921.1 6.50176E-05
23931.7 4.35856E-05
23942.2 3.61997E-05
23963.3 3.11877E-05
23984.3 2.97240E-05
24068.6 2.98859E-05
24237.1 3.50463E-05
24405.6 4.42397E-05
24574.1 6.10682E-05
24742.6 9.67368E-05
24826.8 0.000131909
24911.1 0.000195358
24953.2 0.000248281
24995.4 0.000328324
25037.5 0.000457793
25079.6 0.000687588
25100.7 0.000876115
25121.7 0.00115626
25142.8 0.00159861
25163.9 0.00235678
25184.9 0.00381942
25195.5 0.00511851
25206.0 0.00720268
25216.5 0.0108370
25227.0 0.0179439
25232.3 0.0242664
25237.6 0.0342120
25242.8 0.0506408
25248.1 0.0781284
25254.1 0.125420
25260.0 0.157061
25266.0 0.125311
25271.9 0.0780559
25278.8 0.0446994
25285.6 0.0276244
25292.5 0.0184203
25299.3 0.0130505
25306.2 0.00968984
25313.1 0.00746274
25326.8 0.00480456
25340.5 0.00334465
25354.2 0.00246120
25381.6 0.00149409
25409.1 0.00100497
25436.5 0.000724374
25464.0 0.000548693
25491.4 0.000431626
25546.3 0.000290308
25601.1 0.000211756
25656.0 0.000163873
25710.9 0.000132776
25820.6 9.68996E-05
