20-Ca_n-tot
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
2.432860e+02 3.00221066e+00
2.600000e+02 3.00059156e+00
2.637020e+02 3.00023446e+00
2.750000e+02 2.99914464e+00
2.934650e+02 2.99743751e+00
3.125000e+02 2.99567769e+00
3.178650e+02 2.99518353e+00
3.440340e+02 2.99277317e+00
3.500000e+02 2.99222365e+00
3.731570e+02 2.99017428e+00
4.044710e+02 2.98740301e+00
4.501230e+02 2.98336285e+00
4.875480e+02 2.98005077e+00
5.000000e+02 2.97894878e+00
5.276870e+02 2.97661013e+00
5.872450e+02 2.97157941e+00
6.203860e+02 2.96878007e+00
6.250000e+02 2.96839034e+00
6.535270e+02 2.96602458e+00
7.272890e+02 2.95990744e+00
7.500000e+02 2.95802401e+00
8.055400e+02 2.95369050e+00
8.093760e+02 2.95339119e+00
8.750000e+02 2.94827088e+00
8.778910e+02 2.94806216e+00
9.503640e+02 2.94282984e+00
9.906930e+02 2.93991822e+00
9.957340e+02 2.93955437e+00
9.961220e+02 2.93952673e+00
9.962190e+02 2.93951982e+00
9.965100e+02 2.93949977e+00
9.967040e+02 2.93948710e+00
9.968490e+02 2.93947826e+00
9.968980e+02 2.93947554e+00
9.969950e+02 2.93947016e+00
9.970920e+02 2.93946540e+00
9.971890e+02 2.93946127e+00
9.972860e+02 2.93945793e+00
9.973830e+02 2.93945554e+00
9.974550e+02 2.93945455e+00
9.975280e+02 2.93945423e+00
9.975760e+02 2.93945463e+00
9.976010e+02 2.93945476e+00
9.976730e+02 2.93945633e+00
9.977460e+02 2.93945892e+00
9.977700e+02 2.93946022e+00
9.978190e+02 2.93946273e+00
9.978920e+02 2.93946790e+00
9.979640e+02 2.93947466e+00
9.980370e+02 2.93948301e+00
9.981100e+02 2.93949319e+00
9.981580e+02 2.93950136e+00
9.981820e+02 2.93950543e+00
9.982550e+02 2.93951975e+00
9.983040e+02 2.93953083e+00
9.983280e+02 2.93953640e+00
9.984000e+02 2.93955559e+00
9.984490e+02 2.93957008e+00
9.984730e+02 2.93957735e+00
9.985460e+02 2.93960188e+00
9.985940e+02 2.93962024e+00
9.986190e+02 2.93962933e+00
9.986910e+02 2.93965987e+00
9.987400e+02 2.93968221e+00
9.987640e+02 2.93969347e+00
9.988370e+02 2.93973027e+00
9.988850e+02 2.93975699e+00
9.989090e+02 2.93977041e+00
9.989820e+02 2.93981374e+00
9.990310e+02 2.93984482e+00
9.990550e+02 2.93986035e+00
9.991280e+02 2.93991020e+00
9.991760e+02 2.93994598e+00
9.992240e+02 2.93998167e+00
9.993210e+02 2.94005843e+00
9.994180e+02 2.94014019e+00
9.995150e+02 2.94022645e+00
9.996120e+02 2.94031665e+00
9.997090e+02 2.94041143e+00
9.998060e+02 2.94050605e+00
1.000000e+03 2.94070224e+00
1.000220e+03 2.94092775e+00
1.075000e+03 2.93646103e+00
1.150000e+03 2.93335538e+00
1.187500e+03 2.93281918e+00
1.225000e+03 2.93355262e+00
1.262500e+03 2.93651795e+00
1.300000e+03 2.94375373e+00
1.326230e+03 2.95372861e+00
1.352450e+03 2.97170022e+00
1.378680e+03 3.00594143e+00
1.391790e+03 3.03476907e+00
