Zr-94(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
14089.4 0.00139813
14115.3 0.00202734
14128.2 0.00256124
14141.2 0.00338035
14154.1 0.00472942
14167.0 0.00718304
14173.5 0.00924646
14180.0 0.0123887
14186.4 0.0175161
14192.9 0.0267131
14196.1 0.0343687
14199.4 0.0458476
14202.6 0.0643245
14205.8 0.0966298
14207.5 0.122869
14209.1 0.161424
14210.7 0.221342
14212.3 0.320893
14213.9 0.506794
14214.7 0.665662
14215.5 0.906566
14216.3 1.30610
14217.2 2.01848
14218.0 3.41953
14218.4 4.60829
14218.8 6.33061
14219.4 10.1147
14220.0 12.6306
14220.6 10.1131
14221.2 6.32956
14221.8 4.04719
14222.4 2.72453
14222.9 1.91527
14223.5 1.41466
14224.6 0.849295
14225.8 0.564101
14226.9 0.399482
14228.0 0.297257
14230.3 0.182964
14232.5 0.123547
14234.8 0.0890914
14237.0 0.0671960
14239.3 0.0525453
14243.8 0.0346479
14248.3 0.0245782
14252.8 0.0183588
14257.3 0.0142508
14266.3 0.00933325
14275.4 0.00661433
14284.4 0.00495486
14293.4 0.00386816
14311.4 0.00257853
14329.5 0.00187160
14347.5 0.00144273
14365.6 0.00116320
14401.6 0.000833462
14437.7 0.000654451
14509.9 0.000479232
14582.0 0.000403804
14654.2 0.000370701
14798.5 0.000369421
14942.8 0.000445460
15015.0 0.000535164
15087.2 0.000704285
15159.3 0.00106870
15195.4 0.00143091
15231.5 0.00208778
15249.5 0.00263795
15267.6 0.00347311
15285.6 0.00483027
15303.6 0.00725568
15312.7 0.00925745
15321.7 0.0122521
15330.7 0.0170215
15339.7 0.0252979
15348.7 0.0415653
15353.3 0.0563203
15357.8 0.0805216
15362.3 0.124133
15364.5 0.160323
15366.8 0.214049
15369.0 0.298887
15371.3 0.440279
15373.5 0.693299
15375.8 1.16379
15377.9 1.86603
15380.0 2.33165
15382.1 1.86154
15384.2 1.16317
15386.1 0.745182
15388.1 0.499254
15390.0 0.351789
15391.9 0.259415
15395.7 0.155882
15399.5 0.103296
