80-Hg_n-tot
> 80-Hg-196:0.001500
> 80-Hg-198:0.099700
> 80-Hg-199:0.168700
> 80-Hg-200:0.231000
> 80-Hg-201:0.131800
> 80-Hg-202:0.298600
> 80-Hg-204:0.068700
4.335830e+01 2.43937968e+01
4.346540e+01 2.10955125e+01
4.357250e+01 1.92892306e+01
4.367960e+01 1.81988336e+01
4.378680e+01 1.74895854e+01
4.387660e+01 1.71362492e+01
4.400100e+01 1.66544606e+01
4.421530e+01 1.61958921e+01
4.442950e+01 1.59104535e+01
4.464380e+01 1.57165790e+01
4.485800e+01 1.55757777e+01
4.528650e+01 1.53814688e+01
4.571500e+01 1.52484734e+01
4.591780e+01 1.52002943e+01
4.614350e+01 1.51537495e+01
4.657200e+01 1.50830172e+01
4.742900e+01 1.49700479e+01
4.795890e+01 1.49124128e+01
4.828600e+01 1.48826723e+01
5.000000e+01 1.47524414e+01
5.258300e+01 1.46178517e+01
5.312500e+01 1.45919196e+01
5.496570e+01 1.45208626e+01
5.516600e+01 1.45131215e+01
5.625000e+01 1.44732633e+01
5.774900e+01 1.44288517e+01
5.993150e+01 1.43672410e+01
6.033200e+01 1.43557952e+01
6.082440e+01 1.43428612e+01
6.250000e+01 1.42988066e+01
6.252360e+01 1.42982979e+01
6.291500e+01 1.42898643e+01
6.420650e+01 1.42675847e+01
6.489720e+01 1.42609067e+01
6.549800e+01 1.42546407e+01
6.614380e+01 1.42557007e+01
6.623660e+01 1.42573480e+01
6.678950e+01 1.42671433e+01
6.743530e+01 1.42981660e+01
6.808100e+01 1.43700884e+01
6.872680e+01 1.45412803e+01
6.875000e+01 1.45536890e+01
6.904960e+01 1.47145860e+01
6.937250e+01 1.50193449e+01
6.969540e+01 1.56114410e+01
6.985680e+01 1.61328417e+01
6.986290e+01 1.61638413e+01
7.001830e+01 1.69534175e+01
7.017970e+01 1.83348116e+01
7.034110e+01 2.08705364e+01
7.042190e+01 2.29702591e+01
7.050260e+01 2.60483484e+01
7.058330e+01 3.06622899e+01
7.066400e+01 3.75746916e+01
7.078200e+01 5.23139121e+01
7.090000e+01 6.27037326e+01
7.101800e+01 5.36918023e+01
7.113600e+01 3.92954466e+01
7.124880e+01 3.01942651e+01
7.136150e+01 2.48950281e+01
7.147430e+01 2.17431800e+01
7.158700e+01 1.97684266e+01
7.164880e+01 1.90543049e+01
7.169980e+01 1.84649794e+01
7.181250e+01 1.75645370e+01
7.203800e+01 1.64388352e+01
7.226350e+01 1.57888391e+01
7.234580e+01 1.56392118e+01
7.248900e+01 1.53787132e+01
7.294000e+01 1.49060691e+01
7.339100e+01 1.46503018e+01
7.384200e+01 1.44931209e+01
7.429300e+01 1.43873552e+01
7.435490e+01 1.43768891e+01
7.474400e+01 1.43110895e+01
7.482860e+01 1.43013185e+01
7.500000e+01 1.42812603e+01
7.564600e+01 1.42067382e+01
7.654800e+01 1.41365830e+01
7.706090e+01 1.41065163e+01
7.731150e+01 1.40918218e+01
7.745000e+01 1.40833819e+01
7.835200e+01 1.40382086e+01
7.976700e+01 1.39798732e+01
7.979440e+01 1.39787446e+01
8.015600e+01 1.39629833e+01
8.103580e+01 1.39300920e+01
8.126180e+01 1.39212001e+01
8.196000e+01 1.38937320e+01
8.227720e+01 1.38825518e+01
8.247310e+01 1.38752760e+01
8.351870e+01 1.38365863e+01
8.382620e+01 1.38251335e+01
8.476010e+01 1.37905979e+01
8.517920e+01 1.37767825e+01
8.538080e+01 1.37702616e+01
8.556800e+01 1.37660226e+01
8.600150e+01 1.37572546e+01
8.653230e+01 1.37596316e+01
8.662220e+01 1.37601737e+01
8.724290e+01 1.38045341e+01
8.750000e+01 1.38523614e+01
8.755330e+01 1.38622466e+01
8.786370e+01 1.39705421e+01
8.788530e+01 1.39850562e+01
8.817400e+01 1.41796172e+01
8.822360e+01 1.42481106e+01
8.848440e+01 1.46085988e+01
8.856190e+01 1.48006470e+01
8.863960e+01 1.49932897e+01
8.873100e+01 1.53504773e+01
8.879470e+01 1.55994626e+01
8.881560e+01 1.57356751e+01
8.890010e+01 1.62864387e+01
8.894990e+01 1.66110606e+01
8.898470e+01 1.69562924e+01
8.902750e+01 1.73809166e+01
8.906630e+01 1.78664636e+01
8.906920e+01 1.79092986e+01
8.910510e+01 1.84395925e+01
8.912450e+01 1.87655595e+01
8.914390e+01 1.91219249e+01
8.915380e+01 1.93211919e+01
8.916330e+01 1.95124152e+01
8.917600e+01 1.97930675e+01
8.918270e+01 1.99411353e+01
8.920210e+01 2.04135076e+01
8.922150e+01 2.09351217e+01
8.923840e+01 2.14660776e+01
8.926030e+01 2.21541402e+01
8.929910e+01 2.36690430e+01
8.932290e+01 2.48400991e+01
8.933790e+01 2.55781734e+01
8.937670e+01 2.80258054e+01
8.940750e+01 3.05638494e+01
8.941550e+01 3.12230898e+01
8.945430e+01 3.54965675e+01
8.949210e+01 4.12217533e+01
8.949300e+01 4.13580683e+01
8.953180e+01 4.96573762e+01
8.957060e+01 6.18460808e+01
8.957660e+01 6.47397470e+01
