45-Rh_n-g
> 45-Rh-103:1.000000
9.544220e+01 2.74958000e+01
9.548910e+01 3.87222000e+01
9.553600e+01 5.78717000e+01
9.558280e+01 9.31325000e+01
9.560630e+01 1.21675000e+02
9.562970e+01 1.61218000e+02
9.565030e+01 2.06344000e+02
9.567090e+01 2.57885000e+02
9.571200e+01 3.22286000e+02
9.575320e+01 2.57772000e+02
9.579430e+01 1.61078000e+02
9.584060e+01 9.36141000e+01
9.588690e+01 5.84125000e+01
9.593310e+01 3.91856000e+01
9.597940e+01 2.78725000e+01
9.602570e+01 2.07488000e+01
9.607200e+01 1.60082000e+01
9.616450e+01 1.03251000e+01
9.625710e+01 7.19501000e+00
9.634960e+01 5.29685000e+00
9.653470e+01 3.21504000e+00
9.671980e+01 2.16210000e+00
9.690490e+01 1.55896000e+00
9.709010e+01 1.18332000e+00
9.727520e+01 9.35637000e-01
9.764540e+01 6.49528000e-01
9.801560e+01 5.31180000e-01
9.820070e+01 5.38158000e-01
9.838580e+01 6.47036000e-01
9.847840e+01 8.00106000e-01
9.857090e+01 1.13562000e+00
9.861720e+01 1.45677000e+00
9.866350e+01 1.99467000e+00
9.870970e+01 2.95116000e+00
9.875600e+01 4.70449000e+00
9.880050e+01 7.36638000e+00
9.884500e+01 9.13963000e+00
9.888950e+01 7.35713000e+00
9.893400e+01 4.68358000e+00
9.896730e+01 3.31045000e+00
9.900060e+01 2.41889000e+00
9.903390e+01 1.83761000e+00
9.906730e+01 1.44735000e+00
9.913390e+01 9.81231000e-01
9.920050e+01 7.27452000e-01
9.933380e+01 4.75178000e-01
9.946700e+01 3.56563000e-01
9.973350e+01 2.46862000e-01
1.000000e+02 1.95082000e-01
1.005560e+02 1.41667000e-01
1.011130e+02 1.14022000e-01
1.022250e+02 8.49055000e-02
1.044500e+02 6.25742000e-02
1.066750e+02 5.88991000e-02
1.077880e+02 6.51231000e-02
1.083440e+02 8.02994000e-02
1.084830e+02 9.20711000e-02
1.086220e+02 1.19350000e-01
1.086920e+02 1.50334000e-01
1.087610e+02 2.17226000e-01
1.087960e+02 2.84462000e-01
1.088310e+02 4.05788000e-01
1.088650e+02 6.51767000e-01
1.088830e+02 8.70077000e-01
1.089000e+02 1.19402000e+00
1.089250e+02 1.86710000e+00
1.089500e+02 2.31615000e+00
1.089750e+02 1.86861000e+00
1.090000e+02 1.19674000e+00
1.090290e+02 7.18833000e-01
1.090580e+02 4.74676000e-01
1.090870e+02 3.42762000e-01
1.091150e+02 2.66367000e-01
1.091730e+02 1.87535000e-01
1.092310e+02 1.51107000e-01
1.093460e+02 1.21653000e-01
1.094610e+02 1.13035000e-01
1.096920e+02 1.17156000e-01
1.099230e+02 1.39189000e-01
1.101530e+02 1.88973000e-01
1.102690e+02 2.35899000e-01
1.103840e+02 3.14849000e-01
1.104990e+02 4.62155000e-01
1.105570e+02 5.88640000e-01
1.106140e+02 7.83917000e-01
1.106720e+02 1.10755000e+00
1.107300e+02 1.69035000e+00
1.107870e+02 2.86122000e+00
1.108160e+02 3.88901000e+00
1.108450e+02 5.41296000e+00
1.108880e+02 8.65136000e+00
1.109300e+02 1.08239000e+01
1.109730e+02 8.65552000e+00
1.110150e+02 5.41881000e+00
1.110620e+02 3.20240000e+00
1.111090e+02 2.03612000e+00
1.111560e+02 1.39479000e+00
1.112030e+02 1.01631000e+00
1.112490e+02 7.76809000e-01
1.112960e+02 6.17278000e-01
1.113900e+02 4.26409000e-01
1.114840e+02 3.21934000e-01
1.115780e+02 2.59701000e-01
1.117650e+02 1.95250000e-01
1.119530e+02 1.70356000e-01
1.121400e+02 1.72549000e-01
1.122340e+02 1.88847000e-01
1.123280e+02 2.29261000e-01
1.123740e+02 2.69432000e-01
1.124210e+02 3.38221000e-01
1.124680e+02 4.63951000e-01
1.125150e+02 7.02581000e-01
1.125580e+02 1.05189000e+00
1.126000e+02 1.28680000e+00
1.126430e+02 1.05450000e+00
1.126850e+02 7.07552000e-01
1.127260e+02 4.94637000e-01
1.127660e+02 3.74066000e-01
1.128470e+02 2.62623000e-01
1.129280e+02 2.20703000e-01
1.130090e+02 2.05605000e-01
1.131710e+02 2.11761000e-01
1.133340e+02 2.53259000e-01
1.134960e+02 3.48881000e-01
1.135770e+02 4.37495000e-01
1.136580e+02 5.81749000e-01
1.137390e+02 8.36854000e-01
1.138200e+02 1.34212000e+00
1.138610e+02 1.79823000e+00
1.139010e+02 2.52482000e+00
1.139420e+02 3.74297000e+00
1.139820e+02 5.82749000e+00
