Rb-85(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1027.40 3.58425
1028.02 3.56370
1028.64 3.58829
1028.95 3.65297
1029.25 3.83824
1029.41 4.06102
1029.56 4.54061
1029.64 5.00751
1029.72 5.81482
1029.79 7.32703
1029.87 10.3122
1029.94 14.4965
1030.00 17.2307
1030.07 14.4247
1030.13 10.3035
1030.18 8.31654
1030.22 7.00450
1030.31 5.48875
1030.40 4.73133
1030.49 4.31064
1030.67 3.89080
1030.84 3.69808
1031.20 3.53463
1031.55 3.47458
1032.98 3.51417
1034.40 3.87035
1035.82 4.84490
1036.53 5.82621
1037.24 7.46157
1037.96 10.3102
1038.67 15.6126
1039.02 20.0268
1039.38 26.5284
1039.73 36.5734
1040.09 52.8596
1040.44 81.3579
1040.80 135.770
1040.98 182.597
1041.16 253.423
1041.33 363.562
1041.51 534.419
1041.76 892.281
1042.00 1163.98
1042.25 970.553
1042.49 632.253
1042.76 388.320
1043.03 255.904
1043.30 180.683
1043.57 135.221
1043.84 105.701
1044.11 85.6326
1044.65 60.7439
1045.19 46.3952
1045.73 37.3467
1046.82 26.8596
1047.90 21.1550
1048.98 17.6528
1050.06 15.3177
1051.14 13.6649
1053.30 11.5008
1055.46 10.1604
1057.63 9.25337
1059.79 8.59992
1064.11 7.72025
1068.44 7.15197
1072.76 6.75000
1077.09 6.44656
1085.73 6.00726
1094.38 5.68970
1111.68 5.21331
1128.98 4.80631
1146.28 4.37506
1154.92 4.12272
1163.57 3.82576
1172.22 3.46567
1176.55 3.26530
1178.71 3.18749
1179.25 3.19030
1179.79 3.24146
1180.06 3.32559
1180.19 3.40689
1180.33 3.54393
1180.46 3.79454
1180.60 4.31254
1180.67 4.80143
1180.73 5.59933
1180.80 7.02698
1180.87 9.58445
1180.94 13.5418
1181.00 16.1257
1181.07 13.4720
1181.13 9.57235
1181.17 7.79485
1181.21 6.58994
1181.30 5.14886
1181.38 4.40290
1181.46 3.98236
1181.63 3.54751
1181.79 3.34056
1182.12 3.15232
1182.45 3.06664
1183.11 2.98154
1183.77 2.93295
1186.41 2.83343
1189.06 2.86476
1191.70 3.20624
1193.02 3.64649
1194.34 4.46526
1195.66 6.01801
1196.98 9.11963
1197.64 11.8273
1198.30 15.9618
1198.96 22.5738
