Zn-70(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
24581.2 3.36098
25121.4 3.20891
26201.8 2.92529
27282.2 2.60683
28362.6 2.18634
28902.8 1.90469
29443.0 1.54415
29983.2 1.06731
30253.3 0.773270
30523.4 0.446236
30793.5 0.129883
30861.1 0.0686850
30894.8 0.0440666
30928.6 0.0247814
30962.3 0.0121204
30996.1 0.00767607
31029.9 0.0133917
31063.6 0.0316722
31097.4 0.0655118
31131.2 0.118606
31164.9 0.195614
31198.7 0.302395
31232.4 0.446422
31266.2 0.637079
31333.7 1.21061
31401.3 2.17112
31468.8 3.77587
31502.5 4.95492
31536.3 6.50646
31553.2 7.47633
31561.6 8.03103
31570.1 8.65475
31578.5 9.39643
31582.7 9.85303
31586.9 10.4305
31591.2 11.2769
31593.3 11.9262
31595.4 12.9116
31597.5 14.6362
31598.6 16.0983
31599.6 18.3563
31600.7 22.2448
31601.7 29.6486
31602.2 36.2266
31602.8 46.5624
31603.3 63.5599
31603.8 91.2569
31604.4 138.192
31605.0 168.561
31605.6 135.489
31606.2 88.3664
31606.6 67.1949
31607.0 52.6385
31607.7 35.7032
31608.5 27.0928
31609.2 22.3357
31610.0 19.4203
31610.7 17.5556
31612.3 15.4514
31613.8 14.3853
31615.3 13.8171
31618.3 13.3477
31621.3 13.2736
31624.4 13.3727
31630.4 13.8024
31636.5 14.3787
31642.5 15.0348
31654.6 16.5112
31666.7 18.1779
31678.8 20.0445
31690.9 22.1674
31697.0 23.3833
31703.0 24.8201
31707.4 26.2009
31709.6 27.1479
31711.8 28.4700
31714.0 30.6358
31715.1 32.3861
31716.2 35.0122
31717.3 39.3915
31718.4 47.4928
31718.9 54.3548
31719.5 64.6996
31720.0 80.8097
31720.6 105.483
31721.3 154.030
31722.0 187.126
31722.7 156.977
31723.4 109.751
31724.1 80.1688
31724.8 63.1444
31725.5 53.1420
31726.2 46.9640
31727.6 40.2499
31729.0 37.0046
31730.3 35.2839
31731.7 34.3307
31734.5 33.5365
31737.2 33.4389
31740.0 33.6628
31745.5 34.5573
31751.0 35.7421
31756.6 37.0783
31767.6 40.0208
31789.7 46.5998
31811.7 53.7578
31900.0 78.9168
31949.3 82.3640
31998.5 77.2359
32097.0 58.0178
32188.0 43.2692
32278.9 33.4027
32369.9 26.8765
32460.9 22.4168
32642.8 16.9078
32824.7 13.7371
33006.6 11.7166
33188.6 10.3309
33552.4 8.56783
33916.3 7.49912
34280.1 6.78249
34644.0 6.26696
35007.8 5.87627
35735.5 5.31650
36463.2 4.92467
36827.1 4.76582
37190.9 4.62356
37372.9 4.55724
37554.8 4.49349
37736.7 4.43324
37782.2 4.42069
37827.7 4.41524
37850.4 4.42326
37873.2 4.46416
37884.5 4.53085
37890.2 4.60042
37895.9 4.72896
37901.6 5.00232
37904.4 5.26757
37907.3 5.73286
37910.1 6.66050
37911.5 7.50452
37913.0 8.89272
37914.4 11.3974
37915.1 13.4690
37915.8 16.5528
37916.5 21.3838
37917.2 29.4244
37917.9 43.6979
37918.6 69.9399
37919.3 109.825
37920.0 136.865
37920.7 110.898
37921.4 71.2847
37922.1 43.6089
37922.9 29.0491
37923.6 21.0441
37924.4 16.3564
37925.2 13.3437
37925.9 11.3536
37927.4 8.93089
37928.9 7.58453
37930.4 6.76126
37933.5 5.84846
37936.5 5.37955
37939.5 5.10639
37945.5 4.81541
37951.6 4.67019
37957.6 4.58666
37969.7 4.49724
37981.8 4.45124
37993.9 4.42334
38018.0 4.39025
38066.4 4.35496
38114.7 4.33193
38211.4 4.29563
38308.0 4.26358
38501.4 4.20359
38694.7 4.14597
39081.3 4.03378
39468.0 3.92271
40241.3 3.69292
41014.6 3.43094
41788.0 3.09161
42174.6 2.86401
42561.3 2.56435
42947.9 2.13709
43141.3 1.84219
43334.6 1.46091
43527.9 0.957543
43624.6 0.652545
43721.3 0.326881
43769.6 0.174246
43793.8 0.108226
43817.9 0.0547701
43842.1 0.0204656
43866.3 0.0149630
43890.4 0.0523871
43902.5 0.0933853
43914.6 0.153697
43926.7 0.237718
43938.8 0.350655
43962.9 0.691642
43987.1 1.25272
44011.2 2.15361
44035.4 3.58864
44059.6 5.86973
44083.7 9.49740
44107.9 15.2071
44130.2 23.0716
44152.5 33.7195
44197.0 55.7458
44219.3 59.5175
44241.6 56.9600
44286.1 44.2771
44330.7 33.1508
44375.4 25.7591
44420.0 20.9257
44464.7 17.6476
44509.3 15.3266
44553.9 13.6179
44643.2 11.2998
44732.5 9.81796
44821.8 8.79668
45000.3 7.48710
45178.9 6.68398
45357.5 6.13908
45714.6 5.43832
46071.7 4.99508
46428.8 4.67770
47143.1 4.22061
47857.3 3.86077
48571.5 3.51386
49285.8 3.11186
49642.9 2.85943
50000.0 2.54202
50381.5 2.07814
50572.2 1.76623
50763.0 1.37172
50953.7 0.866091
51049.1 0.569637
51144.4 0.265150
51192.1 0.130076
51216.0 0.0749224
51239.8 0.0336769
51263.7 0.0127537
51287.5 0.0212530
51311.3 0.0721292
51335.2 0.184101
51359.0 0.384618
51382.9 0.713971
51406.7 1.23281
51430.5 2.03287
51454.4 3.25409
51478.2 5.10931
51502.1 7.91499
51525.9 12.1101
51551.4 18.7116
51577.0 27.7676
51628.0 47.0158
51653.5 50.6752
51679.1 48.8985
51730.1 38.5270
51787.1 28.2932
51844.0 21.7418
51901.0 17.5911
51957.9 14.8337
52014.9 12.9061
52071.8 11.4974
52185.7 9.59387
52299.6 8.37457
52413.5 7.52691
52641.3 6.41556
52869.1 5.70046
53096.9 5.17949
53552.5 4.39448
54008.1 3.69140
54235.9 3.29674
54463.7 2.82131
54691.5 2.19608
54805.4 1.79232
54919.3 1.30242
55147.1 0.134224
55175.6 0.0433044
55189.8 0.0204868
55204.1 0.0197860
55218.3 0.0485984
55232.5 0.116753
55246.8 0.237353
55261.0 0.427821
55275.2 0.712138
55289.5 1.12236
