53-I_n-tot
>  53-I-127:1.000000
5.373500e+01 1.10795000e+01
5.377000e+01 1.22990000e+01
5.380500e+01 1.10598000e+01
5.384000e+01 9.20456000e+00
5.388010e+01 7.88664000e+00
5.392020e+01 7.20071000e+00
5.396040e+01 6.82350000e+00
5.400050e+01 6.59770000e+00
5.408070e+01 6.35046000e+00
5.416090e+01 6.22009000e+00
5.448190e+01 5.99500000e+00
5.512380e+01 5.78439000e+00
5.640750e+01 5.49052000e+00
5.897500e+01 5.06513000e+00
6.154250e+01 4.75692000e+00
6.282630e+01 4.64554000e+00
6.346810e+01 4.62092000e+00
6.378910e+01 4.64285000e+00
6.394950e+01 4.70499000e+00
6.402980e+01 4.80790000e+00
6.406990e+01 4.92452000e+00
6.411000e+01 5.14761000e+00
6.418000e+01 5.67247000e+00
6.425000e+01 5.16931000e+00
6.430070e+01 4.92373000e+00
6.435130e+01 4.82347000e+00
6.445260e+01 4.76934000e+00
6.465530e+01 4.82024000e+00
6.485790e+01 4.97886000e+00
6.506060e+01 5.30422000e+00
6.526320e+01 6.02231000e+00
6.536450e+01 6.72816000e+00
6.546580e+01 7.96687000e+00
6.556720e+01 1.04033000e+01
6.561780e+01 1.25935000e+01
6.566850e+01 1.61304000e+01
6.571910e+01 2.23259000e+01
6.576980e+01 3.44540000e+01
6.579510e+01 4.52032000e+01
6.582050e+01 6.20623000e+01
6.584580e+01 8.96281000e+01
6.587110e+01 1.35300000e+02
6.588580e+01 1.72818000e+02
6.590060e+01 2.15962000e+02
6.593000e+01 2.71530000e+02
6.595950e+01 2.20358000e+02
6.598890e+01 1.40796000e+02
6.601330e+01 9.61541000e+01
6.603760e+01 6.83399000e+01
6.606200e+01 5.08439000e+01
6.608630e+01 3.94346000e+01
6.613500e+01 2.62138000e+01
6.618370e+01 1.92464000e+01
6.623240e+01 1.51595000e+01
6.628120e+01 1.25657000e+01
6.637860e+01 9.58361000e+00
6.647600e+01 7.99499000e+00
6.657340e+01 7.04539000e+00
6.676820e+01 6.00547000e+00
6.696310e+01 5.46989000e+00
6.715790e+01 5.15204000e+00
6.754750e+01 4.79765000e+00
6.793720e+01 4.60397000e+00
6.832680e+01 4.47861000e+00
6.910620e+01 4.31617000e+00
7.066480e+01 4.11831000e+00
7.222340e+01 3.98897000e+00
7.378200e+01 3.94878000e+00
7.456130e+01 4.02045000e+00
7.534070e+01 4.26909000e+00
7.573030e+01 4.54114000e+00
7.612000e+01 5.01869000e+00
7.650960e+01 5.89689000e+00
7.689930e+01 7.64726000e+00
7.709410e+01 9.19851000e+00
7.728890e+01 1.16348000e+01
7.748380e+01 1.57082000e+01
7.767860e+01 2.31409000e+01
7.777600e+01 2.93270000e+01
7.787340e+01 3.85832000e+01
7.797080e+01 5.32315000e+01
7.806830e+01 7.82088000e+01
7.811700e+01 9.77780000e+01
7.816570e+01 1.25522000e+02
7.821440e+01 1.66518000e+02
7.826310e+01 2.30304000e+02
7.831180e+01 3.36377000e+02
7.836050e+01 5.28241000e+02
7.838490e+01 6.85222000e+02
7.840920e+01 9.12830000e+02
7.843360e+01 1.24978000e+03
7.845790e+01 1.74777000e+03
7.849450e+01 2.82738000e+03
7.853100e+01 3.57475000e+03
7.856760e+01 2.89388000e+03
7.860410e+01 1.83114000e+03
7.863220e+01 1.26788000e+03
7.866030e+01 9.04589000e+02
7.868840e+01 6.69405000e+02
7.871650e+01 5.12468000e+02
7.877280e+01 3.26448000e+02
7.882900e+01 2.26218000e+02
7.888520e+01 1.66602000e+02
7.894140e+01 1.28400000e+02
7.905390e+01 8.40908000e+01
7.916630e+01 6.03130000e+01
7.927870e+01 4.60539000e+01
7.939120e+01 3.68042000e+01
7.950360e+01 3.04461000e+01
7.972850e+01 2.24695000e+01
7.995330e+01 1.78086000e+01
8.017820e+01 1.48268000e+01
8.040310e+01 1.27905000e+01
8.085280e+01 1.02396000e+01
8.130260e+01 8.73972000e+00
8.175230e+01 7.76829000e+00
8.220210e+01 7.09434000e+00
8.310150e+01 6.22829000e+00
8.400100e+01 5.70181000e+00
