60-Nd_n-tot
> 60-Nd-142:0.271520
> 60-Nd-143:0.121740
> 60-Nd-144:0.237980
> 60-Nd-145:0.082930
> 60-Nd-146:0.171890
> 60-Nd-148:0.057560
> 60-Nd-150:0.056380
5.697760e+00 9.68615065e+00
5.772100e+00 9.61455445e+00
5.920790e+00 9.48003864e+00
6.218170e+00 9.23364690e+00
6.812920e+00 8.78553571e+00
6.812930e+00 8.78552953e+00
6.812940e+00 8.78552335e+00
6.812960e+00 8.78551098e+00
6.813010e+00 8.78547179e+00
6.813090e+00 8.78541405e+00
6.813260e+00 8.78529240e+00
6.813590e+00 8.78505527e+00
6.814260e+00 8.78456654e+00
6.815610e+00 8.78359119e+00
6.818290e+00 8.78164455e+00
6.823660e+00 8.77775340e+00
6.834390e+00 8.76997727e+00
6.855860e+00 8.75444372e+00
6.898810e+00 8.72346165e+00
6.984690e+00 8.66183330e+00
7.156460e+00 8.53966509e+00
7.500000e+00 8.29881174e+00
8.254040e+00 7.95397644e+00
8.254050e+00 7.95397256e+00
8.254060e+00 7.95396868e+00
8.254070e+00 7.95396479e+00
8.254100e+00 7.95395315e+00
8.254150e+00 7.95392544e+00
8.254260e+00 7.95388273e+00
8.254470e+00 7.95378461e+00
8.254890e+00 7.95359667e+00
8.255750e+00 7.95320473e+00
8.257450e+00 7.95244519e+00
8.260860e+00 7.95090564e+00
8.267680e+00 7.94783484e+00
8.281320e+00 7.94169324e+00
8.308600e+00 7.92942662e+00
8.363160e+00 7.90490997e+00
8.472290e+00 7.85599718e+00
8.690530e+00 7.75863549e+00
9.127020e+00 7.56545071e+00
9.999990e+00 7.18396962e+00
1.000000e+01 7.18394456e+00
1.000010e+01 7.18391176e+00
1.000030e+01 7.18385833e+00
1.000050e+01 7.18375732e+00
1.000110e+01 7.18357657e+00
1.000210e+01 7.18322257e+00
1.000420e+01 7.18250447e+00
1.000830e+01 7.18109053e+00
1.001650e+01 7.17823390e+00
1.003310e+01 7.17255020e+00
1.006610e+01 7.16121023e+00
1.013220e+01 7.13871604e+00
1.026440e+01 7.09437835e+00
1.052880e+01 7.00825812e+00
1.105770e+01 6.84545079e+00
1.211530e+01 6.55244549e+00
1.211540e+01 6.55241864e+00
1.211550e+01 6.55239829e+00
1.211560e+01 6.55235027e+00
1.211590e+01 6.55227373e+00
1.211660e+01 6.55210196e+00
1.211780e+01 6.55178279e+00
1.212030e+01 6.55113876e+00
1.212530e+01 6.54983935e+00
1.213530e+01 6.54726406e+00
1.215540e+01 6.54208511e+00
1.219540e+01 6.53180442e+00
1.227550e+01 6.51137818e+00
1.243570e+01 6.47109946e+00
1.250000e+01 6.45538049e+00
1.275600e+01 6.39488213e+00
1.339670e+01 6.25183773e+00
1.467800e+01 5.99455454e+00
1.467810e+01 5.99454151e+00
1.467820e+01 5.99452197e+00
1.467830e+01 5.99448860e+00
1.467860e+01 5.99442917e+00
1.467930e+01 5.99431759e+00
1.468050e+01 5.99407984e+00
1.468310e+01 5.99360677e+00
1.468810e+01 5.99265819e+00
1.469810e+01 5.99078622e+00
1.471830e+01 5.98701548e+00
1.475850e+01 5.97951629e+00
1.483900e+01 5.96460427e+00
1.500000e+01 5.93514014e+00
1.534790e+01 5.87636323e+00
1.569570e+01 5.81965005e+00
1.639140e+01 5.71194082e+00
1.778280e+01 5.51672192e+00
1.778290e+01 5.51670640e+00
1.778300e+01 5.51669595e+00
1.778310e+01 5.51667859e+00
1.778340e+01 5.51664236e+00
1.778390e+01 5.51657262e+00
1.778500e+01 5.51643004e+00
1.778720e+01 5.51614284e+00
1.779150e+01 5.51557479e+00
1.780010e+01 5.51443952e+00
1.781750e+01 5.51216358e+00
1.785210e+01 5.50762729e+00
1.792140e+01 5.49859481e+00
1.806000e+01 5.48069622e+00
1.833710e+01 5.44555093e+00
1.889140e+01 5.37775174e+00
2.000000e+01 5.25141738e+00
2.154430e+01 5.10790013e+00
2.154440e+01 5.10788836e+00
2.154450e+01 5.10788128e+00
2.154460e+01 5.10787175e+00
2.154480e+01 5.10785430e+00
2.154490e+01 5.10784615e+00
2.154530e+01 5.10780901e+00
2.154540e+01 5.10779956e+00
2.154630e+01 5.10772109e+00
2.154650e+01 5.10770381e+00
2.154830e+01 5.10755217e+00
2.154880e+01 5.10750974e+00
2.155220e+01 5.10721306e+00
2.155320e+01 5.10712611e+00
2.156010e+01 5.10653092e+00
2.156210e+01 5.10635840e+00
2.157590e+01 5.10516802e+00
2.157990e+01 5.10482330e+00
2.160750e+01 5.10245038e+00
2.161550e+01 5.10176353e+00
2.167060e+01 5.09704511e+00
2.168670e+01 5.09567115e+00
2.179690e+01 5.08632803e+00
2.182910e+01 5.08361685e+00
2.204940e+01 5.06529944e+00
2.211400e+01 5.06000633e+00
2.255460e+01 5.02477643e+00
2.268360e+01 5.01479709e+00
2.356480e+01 4.94984459e+00
2.382300e+01 4.93241528e+00
2.558530e+01 4.82424836e+00
2.610160e+01 4.79585413e+00
2.610170e+01 4.79584749e+00
2.610180e+01 4.79584104e+00
2.610190e+01 4.79583724e+00
2.610200e+01 4.79583289e+00
2.610220e+01 4.79582176e+00
2.610230e+01 4.79581615e+00
2.610290e+01 4.79578668e+00
2.610300e+01 4.79578188e+00
2.610410e+01 4.79572810e+00
2.610440e+01 4.79571319e+00
2.610660e+01 4.79560238e+00
2.610710e+01 4.79557747e+00
2.611150e+01 4.79535733e+00
2.611250e+01 4.79530709e+00
2.612140e+01 4.79486607e+00
2.612350e+01 4.79476218e+00
2.614120e+01 4.79388160e+00
2.614530e+01 4.79367848e+00
2.618080e+01 4.79192524e+00
2.618900e+01 4.79152336e+00
2.626000e+01 4.78805651e+00
2.627640e+01 4.78726808e+00
2.641840e+01 4.78049285e+00
2.645120e+01 4.77897982e+00
2.673520e+01 4.76607892e+00
2.680080e+01 4.76332542e+00
2.736880e+01 4.74024854e+00
2.750000e+01 4.73601026e+00
2.863610e+01 4.71005338e+00
2.956140e+01 4.71273933e+00
3.117050e+01 4.72381371e+00
3.162280e+01 4.74121724e+00
3.162290e+01 4.74134389e+00
3.162300e+01 4.74135211e+00
3.162320e+01 4.74135905e+00
3.162360e+01 4.74137535e+00
3.162450e+01 4.74141265e+00
3.162610e+01 4.74149203e+00
3.162940e+01 4.74163889e+00
3.163590e+01 4.74194765e+00
3.163600e+01 4.74195240e+00
3.164890e+01 4.74256277e+00
3.164920e+01 4.74257705e+00
3.167510e+01 4.74381280e+00
3.167560e+01 4.74383739e+00
3.172730e+01 4.74638200e+00
3.172840e+01 4.74643865e+00
3.183190e+01 4.75177898e+00
3.183390e+01 4.75189291e+00
3.204090e+01 4.76373671e+00
3.204500e+01 4.76401861e+00
3.245900e+01 4.79268129e+00
3.246710e+01 4.79347149e+00
3.329510e+01 4.87500793e+00
3.331140e+01 4.87806362e+00
3.496740e+01 5.19131927e+00
3.500000e+01 5.20559863e+00
3.663960e+01 5.93590648e+00
3.747580e+01 6.66035120e+00
3.831190e+01 7.89846341e+00
3.831200e+01 7.89898451e+00
3.831220e+01 7.89927731e+00
3.831240e+01 7.89976853e+00
3.831290e+01 7.90073243e+00
3.831390e+01 7.90265072e+00
3.831590e+01 7.90652876e+00
3.831980e+01 7.91427144e+00
3.832770e+01 7.92983654e+00
3.834340e+01 7.96125285e+00
3.834360e+01 7.96165888e+00
3.837490e+01 8.02520223e+00
3.837520e+01 8.02583432e+00
3.843780e+01 8.15773381e+00
3.843850e+01 8.15931852e+00
3.856370e+01 8.44277190e+00
3.856520e+01 8.44671909e+00
3.881560e+01 9.10568287e+00
3.881840e+01 9.11591715e+00
3.931920e+01 1.09466011e+01
3.932490e+01 1.09804178e+01
3.982280e+01 1.39347534e+01
4.032650e+01 1.92220175e+01
4.033790e+01 1.94167275e+01
4.057830e+01 2.35231502e+01
4.083010e+01 2.98492881e+01
4.108190e+01 3.96725841e+01
4.133370e+01 5.60673363e+01
4.158560e+01 8.63133861e+01
4.171150e+01 1.11915281e+02
4.183740e+01 1.50921318e+02
4.196330e+01 2.14017691e+02
4.208920e+01 3.23952098e+02
4.221510e+01 5.32566571e+02
4.227810e+01 7.06168041e+02
4.234100e+01 9.52123451e+02
4.236390e+01 1.07816654e+03
4.244550e+01 1.52729864e+03
4.250000e+01 1.72859426e+03
4.255000e+01 1.91326924e+03
4.265450e+01 1.53455070e+03
4.275900e+01 9.63567255e+02
4.287330e+01 5.72041642e+02
4.298760e+01 3.63548345e+02
4.310180e+01 2.47843768e+02
4.321610e+01 1.78944880e+02
4.333040e+01 1.35177101e+02
4.344470e+01 1.05839970e+02
4.367320e+01 7.03744178e+01
4.390180e+01 5.06530411e+01
4.413030e+01 3.85948131e+01
4.458750e+01 2.52333789e+01
4.504460e+01 1.83797126e+01
4.550170e+01 1.43944292e+01
4.595880e+01 1.18679673e+01
4.641590e+01 1.01617081e+01
4.641600e+01 1.01609985e+01
4.641610e+01 1.01605820e+01
4.641640e+01 1.01598979e+01
4.641680e+01 1.01585320e+01
4.641770e+01 1.01558066e+01
4.641940e+01 1.01503921e+01
4.642290e+01 1.01395932e+01
4.642990e+01 1.01180618e+01
4.644390e+01 1.00753497e+01
4.647190e+01 9.99123693e+00
4.652790e+01 9.82814751e+00
4.663990e+01 9.52121299e+00
4.686390e+01 8.97529773e+00
4.731190e+01 8.09882095e+00
4.820800e+01 6.91296083e+00
4.910400e+01 6.17616232e+00
5.000000e+01 5.68161891e+00
5.131850e+01 5.28128523e+00
5.155850e+01 5.22572376e+00
5.197780e+01 5.18670932e+00
5.263710e+01 5.20270878e+00
5.296670e+01 5.26878956e+00
5.311710e+01 5.33298697e+00
5.329630e+01 5.42649343e+00
5.362600e+01 5.73537347e+00
5.395560e+01 6.32574974e+00
5.412040e+01 6.83024545e+00
5.428520e+01 7.60034133e+00
5.445000e+01 8.85054324e+00
5.461480e+01 1.10650233e+01
5.469730e+01 1.28709336e+01
5.477970e+01 1.55375474e+01
5.486210e+01 1.97069320e+01
5.494450e+01 2.67483822e+01
5.502690e+01 4.00186596e+01
5.506810e+01 5.15297896e+01
5.510930e+01 6.95335573e+01
5.515050e+01 9.98143171e+01
5.519170e+01 1.55776617e+02
5.521230e+01 2.02677745e+02
5.523290e+01 2.72409993e+02
5.525350e+01 3.78966157e+02
5.527410e+01 5.42158203e+02
5.530210e+01 8.64261313e+02
5.533000e+01 1.07819358e+03
5.535800e+01 8.62002583e+02
5.538590e+01 5.39435190e+02
5.541240e+01 3.41068357e+02
5.543890e+01 2.26797081e+02
5.546540e+01 1.59445618e+02
5.549190e+01 1.17631920e+02
5.551840e+01 9.02654729e+01
5.554490e+01 7.15381835e+01
5.559800e+01 4.84308931e+01
5.565100e+01 3.53458621e+01
5.570400e+01 2.72633712e+01
5.581000e+01 1.82423360e+01
5.591600e+01 1.35991322e+01
5.602210e+01 1.09023909e+01
5.612810e+01 9.19823416e+00
5.623410e+01 8.05204223e+00
5.623420e+01 8.05127159e+00
5.623430e+01 8.05025138e+00
5.623450e+01 8.04863705e+00
5.623480e+01 8.04543421e+00
5.623550e+01 8.03974145e+00
5.623560e+01 8.03892820e+00
5.623700e+01 8.02606963e+00
5.623980e+01 8.00141308e+00
5.623990e+01 8.00053279e+00
5.624550e+01 7.95182428e+00
5.624570e+01 7.95008439e+00
5.625680e+01 7.85700422e+00
5.625740e+01 7.85197331e+00
5.627950e+01 7.67521394e+00
5.628060e+01 7.66641636e+00
5.632480e+01 7.34949050e+00
5.632710e+01 7.33300163e+00
5.641550e+01 6.81459941e+00
5.642000e+01 6.78822003e+00
5.659690e+01 6.06590903e+00
5.660580e+01 6.02960472e+00
5.695960e+01 5.23673773e+00
5.697760e+01 5.19653173e+00
5.719120e+01 4.94948580e+00
5.734930e+01 4.76658790e+00
5.768520e+01 4.53311740e+00
5.772100e+01 4.50865635e+00
5.809270e+01 4.34016727e+00
5.846440e+01 4.21891453e+00
5.913620e+01 4.06682464e+00
5.920790e+01 4.05174966e+00
5.995130e+01 3.94503947e+00
6.069480e+01 3.86225142e+00
6.078680e+01 3.85407646e+00
6.203830e+01 3.74244544e+00
6.218170e+01 3.73208117e+00
6.250000e+01 3.71340612e+00
6.366850e+01 3.64715205e+00
6.438240e+01 3.61098724e+00
6.515540e+01 3.57135390e+00
6.784260e+01 3.44445589e+00
6.797800e+01 3.43897700e+00
6.812920e+01 3.43273843e+00
6.812930e+01 3.43273557e+00
6.812940e+01 3.43273178e+00
6.812950e+01 3.43272779e+00
6.812970e+01 3.43272054e+00
6.812980e+01 3.43271650e+00
6.813010e+01 3.43270444e+00
6.813040e+01 3.43269280e+00
6.813100e+01 3.43266933e+00
6.813160e+01 3.43264518e+00
6.813270e+01 3.43260078e+00
6.813390e+01 3.43255399e+00
6.813630e+01 3.43246067e+00
6.813860e+01 3.43236971e+00
6.814330e+01 3.43218352e+00
6.814790e+01 3.43200247e+00
6.815740e+01 3.43162902e+00
6.816660e+01 3.43126645e+00
6.818550e+01 3.43052165e+00
6.820390e+01 3.42979856e+00
6.824180e+01 3.42831131e+00
6.827870e+01 3.42686793e+00
6.835440e+01 3.42391270e+00
6.842810e+01 3.42105373e+00
6.857960e+01 3.41520099e+00
6.872700e+01 3.40957577e+00
6.875000e+01 3.40870473e+00
6.902990e+01 3.39824588e+00
6.932470e+01 3.38748711e+00
6.977580e+01 3.37125000e+00
6.993060e+01 3.36554688e+00
7.052020e+01 3.34469813e+00
7.157360e+01 3.30826047e+00
7.173200e+01 3.30265044e+00
7.244390e+01 3.27895277e+00
7.247250e+01 3.27800597e+00
7.291110e+01 3.26322666e+00
7.337140e+01 3.24820894e+00
7.427030e+01 3.21855448e+00
7.500000e+01 3.19507319e+00
7.516920e+01 3.18992470e+00
7.533480e+01 3.18539702e+00
7.561870e+01 3.17810246e+00
7.606810e+01 3.16922494e+00
7.651760e+01 3.16661674e+00
7.696700e+01 3.17988641e+00
7.719170e+01 3.20014971e+00
7.741650e+01 3.23969425e+00
7.764120e+01 3.31731969e+00
7.769300e+01 3.34745773e+00
7.775350e+01 3.38272400e+00
7.780970e+01 3.42609152e+00
7.786590e+01 3.47907803e+00
7.789400e+01 3.51000219e+00
7.792210e+01 3.54440443e+00
7.795020e+01 3.58279443e+00
7.797830e+01 3.62575121e+00
7.800640e+01 3.67396824e+00
7.803450e+01 3.72827996e+00
7.806250e+01 3.78966400e+00
7.809060e+01 3.85932235e+00
7.811870e+01 3.93871188e+00
7.814680e+01 4.02959730e+00
7.820300e+01 4.25519795e+00
7.825920e+01 4.56118520e+00
7.831540e+01 4.98820903e+00
7.837150e+01 5.60569243e+00
7.842770e+01 6.53912706e+00
7.848390e+01 8.03525664e+00
7.851200e+01 9.14129779e+00
7.854010e+01 1.06308357e+01
7.856820e+01 1.26975920e+01
7.859630e+01 1.56722355e+01
7.862440e+01 2.01541983e+01
7.865240e+01 2.73153410e+01
7.868050e+01 3.96742099e+01
7.869460e+01 4.94411027e+01
7.870860e+01 6.33261057e+01
7.872270e+01 8.38125842e+01
7.873670e+01 1.15179277e+02
7.875080e+01 1.64963059e+02
7.876480e+01 2.44500261e+02
7.878240e+01 3.93569706e+02
7.880000e+01 4.96486484e+02
7.881760e+01 4.02072134e+02
7.883520e+01 2.55144888e+02
7.885590e+01 1.48144760e+02
7.887650e+01 9.33293978e+01
7.889720e+01 6.37587426e+01
7.891790e+01 4.64694555e+01
7.893760e+01 3.61392501e+01
7.893860e+01 3.56148750e+01
7.895920e+01 2.83932704e+01
7.900060e+01 1.97156447e+01
7.904190e+01 1.49051818e+01
7.908320e+01 1.19632648e+01
7.916590e+01 8.69235987e+00
7.924860e+01 7.00088985e+00
7.933130e+01 6.00800185e+00
7.941390e+01 5.37205784e+00
7.949660e+01 4.93821701e+00
7.966200e+01 4.39658089e+00
7.982730e+01 4.08015689e+00
7.999270e+01 3.87671620e+00
8.015800e+01 3.73660373e+00
8.048870e+01 3.55809739e+00
8.073900e+01 3.47617281e+00
8.081940e+01 3.44994261e+00
8.115010e+01 3.37750077e+00
8.125000e+01 3.36166977e+00
8.148080e+01 3.32518556e+00
8.163970e+01 3.30789839e+00
8.214220e+01 3.25458561e+00
8.254040e+01 3.22612488e+00
8.254050e+01 3.22613284e+00
8.254060e+01 3.22612617e+00
8.254070e+01 3.22611938e+00
8.254080e+01 3.22611268e+00
8.254100e+01 3.22609885e+00
8.254120e+01 3.22608501e+00
8.254150e+01 3.22606486e+00
8.254200e+01 3.22603137e+00
8.254260e+01 3.22599034e+00
8.254350e+01 3.22592869e+00
8.254470e+01 3.22584702e+00
8.254660e+01 3.22571771e+00
8.254890e+01 3.22556099e+00
8.255270e+01 3.22530214e+00
8.255750e+01 3.22497603e+00
8.256500e+01 3.22446645e+00
8.257450e+01 3.22382257e+00
8.258960e+01 3.22279923e+00
8.260860e+01 3.22151844e+00
8.263870e+01 3.21948974e+00
8.267680e+01 3.21695351e+00
8.273700e+01 3.21294754e+00
8.280360e+01 3.20864823e+00
8.281320e+01 3.20819982e+00
8.293350e+01 3.20258600e+00
8.308600e+01 3.19637848e+00
8.332660e+01 3.18660638e+00
8.346500e+01 3.18303368e+00
8.363160e+01 3.18044785e+00
8.366590e+01 3.17992171e+00
8.371970e+01 3.17911403e+00
8.411280e+01 3.18650620e+00
8.412640e+01 3.18750263e+00
8.430930e+01 3.20247042e+00
8.437500e+01 3.21267504e+00
8.450590e+01 3.23303270e+00
8.470240e+01 3.29115580e+00
8.472290e+01 3.30332870e+00
8.489890e+01 3.40790424e+00
8.499720e+01 3.51081285e+00
8.509550e+01 3.67101116e+00
8.519380e+01 3.93552878e+00
8.529200e+01 4.40999697e+00
8.534120e+01 4.79873754e+00
8.539030e+01 5.37217400e+00
8.543940e+01 6.26373823e+00
8.544920e+01 6.55945669e+00
8.548860e+01 7.74860892e+00
8.551310e+01 8.88668568e+00
8.553770e+01 1.04682702e+01
8.556230e+01 1.27469477e+01
8.558680e+01 1.61760569e+01
8.561140e+01 2.16269148e+01
8.563600e+01 3.08709908e+01
8.564830e+01 3.79751237e+01
8.566050e+01 4.77043247e+01
8.567280e+01 6.11696862e+01
8.568510e+01 7.96729623e+01
8.570760e+01 1.26937995e+02
8.573000e+01 1.59539844e+02
8.575250e+01 1.29541981e+02
8.577490e+01 8.29293438e+01
8.579510e+01 5.50241798e+01
8.581530e+01 3.83578552e+01
8.583550e+01 2.82416738e+01
8.585570e+01 2.18169555e+01
