Zn-67(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1584.62 0.539604
1584.64 0.539136
1584.67 0.538175
1584.74 0.536260
1584.88 0.532488
1585.16 0.525037
1585.72 0.510627
1586.83 0.483546
1589.06 0.435530
1593.52 0.358899
1602.43 0.256444
1611.34 0.193013
1620.26 0.151085
1638.09 0.100945
1655.91 0.0733537
1673.74 0.0566659
1691.57 0.0459001
1727.22 0.0335971
1762.88 0.0275482
1798.53 0.0247615
1834.19 0.0243106
1852.02 0.0258245
1860.93 0.0309922
1863.16 0.0360333
1865.39 0.0498932
1866.50 0.0685519
1867.62 0.118960
1868.17 0.184721
1868.45 0.246962
1868.73 0.353298
1869.01 0.559239
1869.15 0.741750
1869.29 1.03455
1869.43 1.55008
1869.57 2.55395
1869.64 3.45484
1869.71 4.85550
1869.78 7.20141
1869.84 11.0781
1869.92 17.7110
1870.00 22.1334
1870.08 17.7116
1870.16 11.0789
1870.22 7.42178
1870.28 5.17714
1870.35 3.74198
1870.41 2.82083
1870.54 1.74555
1870.66 1.18148
1870.79 0.852733
1870.92 0.645545
1871.17 0.410556
1871.43 0.286858
1871.68 0.214491
1872.19 0.137187
1873.20 0.0775253
1874.21 0.0554162
1876.24 0.0390706
1878.27 0.0332609
1886.39 0.0279879
1902.62 0.0280264
1935.08 0.0325694
1967.54 0.0413563
2000.00 0.0582236
2017.35 0.0740654
2034.70 0.0997507
2034.70 0.0997545
2034.71 0.0997641
2034.71 0.0997718
2034.72 0.0997871
2034.73 0.0998178
2034.77 0.0998793
2034.83 0.100004
2034.96 0.100253
2035.22 0.100756
2035.74 0.101775
2036.77 0.103868
2038.85 0.108284
2042.99 0.118155
2051.27 0.143430
2059.56 0.182377
2063.70 0.224020
2064.74 0.249595
2065.78 0.308305
2066.29 0.379508
2066.55 0.445050
2066.81 0.555792
2067.07 0.766535
2067.20 0.952879
2067.33 1.24711
2067.46 1.75888
2067.59 2.73608
2067.65 3.59635
2067.72 4.90593
2067.78 7.04417
2067.85 10.4617
2067.92 16.5869
2068.00 20.6634
2068.08 16.5886
2068.15 10.4647
2068.21 7.57182
2068.26 5.64214
2068.36 3.39994
2068.46 2.27200
2068.57 1.64374
2068.67 1.26304
2068.77 1.01666
2068.98 0.729557
2069.18 0.576100
2069.39 0.485187
2069.80 0.388435
2070.63 0.316740
2071.45 0.294265
2074.75 0.295791
2081.34 0.373303
2087.93 0.505140
2094.52 0.729547
2097.81 0.904873
2101.11 1.15330
2104.40 1.52141
2107.70 2.09803
2111.00 3.07024
2114.29 4.87356
2115.94 6.39109
2117.59 8.65407
2119.23 12.1295
2120.88 17.4749
2123.09 27.9254
2125.30 34.8552
2127.51 27.8535
2129.72 17.4066
2131.49 11.7613
2133.26 8.21425
2135.03 5.96869
2136.80 4.49800
2140.34 2.78887
2143.88 1.88915
2147.42 1.36387
2150.96 1.03307
2158.04 0.658367
2165.11 0.464886
2172.19 0.354904
2186.35 0.251680
2200.51 0.233833
2207.59 0.256145
2214.67 0.314858
2221.74 0.452642
2225.28 0.588480
2228.82 0.824788
2232.36 1.28401
2234.13 1.69293
2235.90 2.34852
2237.67 3.49072
2238.56 4.40320
2239.44 5.71546
2240.33 7.68542
2241.21 10.7769
2242.10 15.8425
2242.98 24.2514
2243.99 38.7491
2245.00 48.3926
2246.01 38.7056
2247.02 24.2077
2247.70 17.4230
2248.37 12.8182
2249.72 7.53181
2251.07 4.87198
2252.42 3.38954
2253.77 2.48983
2255.12 1.90727
2257.82 1.22650
2260.52 0.860398
2263.22 0.641761
2268.62 0.404899
2274.02 0.286156
2279.43 0.218340
2290.23 0.148110
2301.03 0.115047
2311.83 0.0979389
2333.43 0.0859284
2355.04 0.0912787
2376.64 0.114318
2398.24 0.170999
2409.04 0.228932
2414.44 0.279962
2417.14 0.342813
2417.82 0.385954
2418.49 0.487632
2418.83 0.609421
2419.17 0.895345
2419.34 1.21446
2419.51 1.87247
2419.59 2.49752
2419.68 3.53454
2419.76 5.39443
2419.84 8.86318
2419.92 13.9895
2420.00 17.4076
2420.08 13.9917
2420.16 8.86743
2420.24 5.37109
2420.33 3.51079
2420.41 2.48005
2420.50 1.86765
2420.67 1.22053
2420.84 0.910287
2421.17 0.634861
2421.51 0.522592
2422.19 0.438221
2422.87 0.411984
2425.58 0.417792
2431.01 0.522119
2436.43 0.694267
2441.85 0.976776
2447.28 1.48050
2449.99 1.89208
2452.70 2.49799
2455.41 3.43393
2458.13 4.96300
2460.84 7.61008
2463.55 12.3229
2466.28 19.6934
2469.00 24.5803
2471.73 19.6384
2474.45 12.2697
2476.61 8.32282
2478.77 5.83056
2480.93 4.24595
2483.09 3.20450
2487.40 1.99019
2491.72 1.34827
2496.04 0.972353
2500.35 0.734868
2508.99 0.464398
2517.62 0.322989
2526.26 0.240618
2543.53 0.155431
2560.79 0.118509
2578.06 0.106869
2595.33 0.119556
2603.97 0.141351
2612.60 0.185191
2612.60 0.185206
2612.61 0.185241
2612.61 0.185270
2612.62 0.185334
2612.64 0.185456
2612.67 0.185699
2612.74 0.186188
2612.88 0.187183
2613.15 0.189207
2613.70 0.193398
2614.79 0.202415
2616.98 0.223396
2621.36 0.281408
2625.73 0.374433
2630.11 0.535584
2634.49 0.849083
2636.68 1.12935
2638.87 1.58111
2641.06 2.37470
2642.15 3.01385
2643.24 3.94194
2644.34 5.35099
2645.43 7.59420
2646.53 11.3453
2647.62 17.7390
2648.81 28.3562
2650.00 35.4184
2651.19 28.3245
2652.38 17.7075
2653.58 10.8505
2654.79 7.03729
2655.99 4.84939
2657.19 3.51656
2658.39 2.65662
2659.59 2.07390
2662.00 1.36231
2664.40 0.963263
2666.81 0.718214
2671.61 0.446163
2676.42 0.306932
2681.23 0.227178
2686.04 0.182709
2688.44 0.189024
2689.04 0.208986
2689.64 0.267467
2689.95 0.342738
2690.25 0.522091
2690.40 0.721596
2690.55 1.12126
2690.62 1.48707
2690.70 2.08125
2690.77 3.10143
2690.85 4.89931
2690.92 7.76667
2691.00 9.68301
2691.08 7.76596
