Sb-121(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
126.388 84.0603
126.418 105.721
126.448 136.742
126.477 183.174
126.507 256.538
126.537 380.260
126.566 604.305
126.581 783.551
126.596 1027.31
126.623 1642.13
126.650 2051.26
126.677 1641.67
126.704 1026.78
126.724 716.355
126.744 513.150
126.763 379.902
126.783 290.153
126.823 182.928
126.862 124.865
126.902 90.3217
126.942 68.2401
127.021 42.8085
127.100 29.2980
127.179 21.3120
127.258 16.1984
127.337 12.7393
127.496 8.49058
127.654 6.08575
127.812 4.59746
127.971 3.61594
128.287 2.45194
128.604 1.82968
128.920 1.47854
129.237 1.28780
129.870 1.24490
130.187 1.41520
130.504 1.82358
130.820 2.77469
130.979 3.72904
131.137 5.43706
131.295 8.91946
131.374 12.1937
131.453 17.7579
131.533 28.3686
131.572 37.6732
131.612 52.3457
131.651 77.4537
131.671 97.1345
131.691 124.974
131.711 165.773
131.731 227.882
131.750 325.693
131.770 479.897
131.795 769.908
131.820 964.149
131.833 906.862
131.845 769.737
131.870 479.691
131.888 334.941
131.906 240.604
131.925 178.286
131.943 136.474
131.979 86.2548
132.015 59.0597
132.051 42.8002
132.088 32.3959
132.160 20.4007
132.233 14.0187
132.305 10.2420
132.450 6.17971
132.596 4.15938
132.741 3.01036
132.886 2.29456
133.031 1.81850
133.321 1.24267
133.611 0.920290
134.191 0.589311
134.772 0.431182
135.352 0.344368
136.513 0.262628
137.673 0.238770
138.834 0.252013
139.994 0.311631
140.575 0.376603
140.865 0.439974
141.010 0.524987
141.083 0.664311
141.119 0.850478
141.155 1.29871
141.200 2.13268
141.245 1.31956
141.267 1.00669
141.290 0.833490
141.334 0.677465
141.424 0.598393
141.603 0.610964
141.960 0.753592
142.318 1.00559
142.675 1.46023
142.854 1.83744
143.033 2.40485
143.211 3.31824
143.390 4.92924
143.479 6.24443
143.569 8.19156
143.658 11.2506
143.748 16.4506
143.837 26.3820
143.882 35.1125
143.926 48.9642
143.971 72.7315
143.993 91.4988
144.016 118.047
144.038 157.362
144.060 217.400
144.083 312.790
144.105 465.724
144.133 746.567
144.160 934.404
144.188 746.397
144.215 465.529
144.236 318.606
144.257 225.136
144.279 164.769
144.300 124.928
144.342 77.9444
144.384 52.8903
144.427 38.1332
144.469 28.7654
144.553 18.0399
144.638 12.3891
144.723 9.06122
144.892 5.51357
145.061 3.76875
145.230 2.79256
145.568 1.81573
145.907 1.39101
146.245 1.20693
146.922 1.21679
147.260 1.38209
147.598 1.69460
147.937 2.25301
148.275 3.29885
148.444 4.18047
148.613 5.51437
148.782 7.66595
148.951 11.4516
149.121 19.0532
149.205 26.1006
149.290 37.9179
149.332 47.0890
149.374 60.0050
149.417 78.9748
149.459 108.346
149.501 156.995
149.522 194.095
149.544 244.876
149.565 317.011
149.586 421.358
149.607 576.180
149.628 805.527
149.659 1288.62
149.690 1610.53
149.721 1288.27
149.752 805.125
149.781 513.572
149.809 343.334
149.838 241.248
149.866 177.434
149.923 106.264
149.980 70.2981
150.037 49.7661
150.094 37.0462
150.209 22.7724
150.323 15.3969
150.437 11.1041
150.551 8.38995
150.665 6.56621
150.893 4.34442
151.121 3.09406
151.350 2.32134
151.578 1.81053
152.034 1.19810
152.491 0.858915
152.947 0.651650
153.403 0.516044
154.316 0.356745
155.229 0.274856
156.142 0.247318
156.370 0.259261
156.598 0.305242
156.712 0.369047
156.827 0.529992
156.884 0.717651
156.941 1.12117
156.969 1.52056
156.998 2.22226
157.026 3.57729
157.041 4.72937
157.055 6.37271
157.077 10.0867
157.100 12.5483
157.123 10.0701
157.145 6.37340
157.171 3.78475
157.196 2.43431
