Ti-49(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
42499.4 0.0347375
42502.7 0.0707439
42504.3 0.115644
42505.9 0.221833
42506.8 0.340532
42507.6 0.583557
42508.0 0.810420
42508.4 1.18686
42508.8 1.85252
42509.2 3.03760
42509.6 4.87855
42510.0 6.07274
42510.4 4.87843
42510.8 3.03753
42511.2 1.85250
42511.6 1.18686
42512.0 0.810430
42512.4 0.587945
42513.2 0.342532
42514.0 0.223954
42515.7 0.116446
42517.3 0.0713148
42520.6 0.0349908
42523.8 0.0210393
42536.9 0.00657675
42562.9 0.00269771
42615.1 0.00172672
42667.2 0.00182961
42693.3 0.00301057
42706.4 0.00766150
42712.9 0.0243958
42716.1 0.0782660
42717.8 0.220211
42718.6 0.488413
42719.4 1.55226
42720.0 3.10072
42720.6 1.54976
42721.3 0.550948
42722.0 0.261462
42723.5 0.0969841
42726.3 0.0307085
42732.0 0.00948610
42743.4 0.00344845
42766.2 0.00182084
42811.7 0.00137147
42902.7 0.00121438
43084.9 0.00112473
43267.0 0.00117099
43358.0 0.00161518
43403.6 0.00346044
43426.3 0.0105534
43432.0 0.0175695
43437.7 0.0364120
43440.6 0.0608291
43443.4 0.122285
43444.8 0.196403
43446.3 0.362703
43447.0 0.535953
43447.7 0.862133
43448.0 1.14543
43448.4 1.56235
43448.7 2.23341
43449.1 3.26636
43449.6 5.24322
43450.0 6.53007
43450.5 5.24307
43450.9 3.26626
43451.5 1.84070
43452.0 1.11718
43452.6 0.735965
43453.1 0.520162
43454.2 0.295302
43455.3 0.189282
43457.5 0.0965684
43459.6 0.0585154
43464.0 0.0283125
43468.4 0.0168855
43485.8 0.00513584
43520.7 0.00200658
43590.6 0.00118465
43730.2 0.000954848
43869.9 0.000953180
43939.7 0.00121569
43974.7 0.00233863
43992.1 0.00674114
44000.8 0.0233804
44005.2 0.0825041
44007.4 0.269735
44008.5 0.749713
44009.0 1.64563
44009.3 2.72137
44009.6 4.90309
44009.8 7.84458
44010.0 9.80557
44010.2 7.84450
44010.4 4.90304
44010.7 2.89430
44010.9 1.82593
44011.4 0.893754
44012.3 0.335627
44014.2 0.105759
44018.0 0.0302316
44025.6 0.00861005
44040.7 0.00281010
44071.0 0.00130270
44131.6 0.000905856
44252.8 0.000781338
44495.2 0.000708095
44980.0 0.000623861
45464.8 0.000567573
45707.1 0.000568116
45828.3 0.000662375
45888.9 0.00107778
45919.2 0.00272948
45934.4 0.00911057
45942.0 0.0328088
45945.7 0.114831
45947.6 0.360047
45948.6 0.937574
45949.1 1.86325
45949.3 2.88095
45949.5 4.67036
45949.8 7.43005
45950.0 9.33095
45950.2 7.42997
45950.5 4.67031
45950.7 2.88093
45950.9 1.89501
45951.4 0.961776
45952.3 0.375096
45954.2 0.120330
45957.8 0.0345595
45965.2 0.00959184
45979.9 0.00285313
46009.4 0.00110032
46068.3 0.000649387
46186.0 0.000527104
46421.6 0.000481044
46892.7 0.000444538
47835.0 0.000406723
48777.2 0.000407636
49248.3 0.000439486
49483.9 0.000495938
49601.7 0.000639750
49660.6 0.00114845
49690.0 0.00310390
49704.7 0.0105761
49712.1 0.0379933
49715.8 0.130409
49717.6 0.395363
49718.5 0.971360
49719.0 1.82282
49719.2 2.66280
49719.5 4.04881
49719.7 6.47443
49720.0 8.10008
49720.3 6.47435
49720.5 4.04876
49720.8 2.48500
49721.1 1.61466
49721.6 0.798328
49722.7 0.306322
49724.9 0.0972637
49729.3 0.0277712
49738.0 0.00775251
49755.5 0.00237418
49790.4 0.000989510
49860.3 0.000657671
50000.0 0.000643768
50099.6 0.000787123
50149.4 0.00120241
50174.3 0.00266932
50186.8 0.00803512
50193.0 0.0265673
50196.1 0.0821537
50197.7 0.213228
50198.5 0.427617
50199.2 1.07272
50200.0 2.14596
50200.8 1.07273
50201.8 0.340803
50202.8 0.153535
50204.8 0.0547209
50208.8 0.0170402
50216.9 0.00526254
50233.0 0.00199833
50265.3 0.00121083
50329.8 0.00134533
50394.4 0.00305568
50426.6 0.00963318
50442.8 0.0338393
50446.8 0.0569838
50450.8 0.116280
50452.8 0.188881
50454.9 0.356514
50455.9 0.538114
50456.9 0.895590
50457.9 1.72300
50458.4 2.55639
50458.9 3.98138
50459.4 6.35745
50460.0 7.96490
50460.6 6.35729
50461.1 3.98128
50461.5 2.73523
50462.0 1.92932
50462.8 1.07516
50463.7 0.668901
50464.5 0.454656
50466.2 0.246626
50467.9 0.154451
50471.4 0.0766208
50474.8 0.0458374
50488.4 0.0130321
50515.8 0.00403319
50570.4 0.00172873
50625.0 0.00135751
50679.7 0.00129400
50788.9 0.00144460
50898.2 0.00183410
51007.5 0.00257477
51116.8 0.00407900
51171.4 0.00544999
51226.0 0.00766077
51280.7 0.0114174
51335.3 0.0179441
51392.7 0.0284899
51450.0 0.0354808
51507.4 0.0284101
51564.7 0.0178691
51615.3 0.0117316
51665.9 0.00805749
51716.5 0.00582486
51767.0 0.00441159
51868.2 0.00287989
51918.8 0.00268587
51944.1 0.00357495
51956.7 0.00755795
51963.1 0.0220164
51966.2 0.0682072
51967.8 0.188032
51968.6 0.411973
51969.4 1.27687
51970.0 2.54972
51970.6 1.27481
51971.7 0.289868
51972.9 0.116189
51975.1 0.0388885
51979.6 0.0124728
51988.5 0.00468593
52006.5 0.00249877
52042.3 0.00179337
52114.0 0.00140600
52257.3 0.00105535
52544.0 0.000750401
52830.8 0.000628945
53117.5 0.000580315
53690.9 0.000587292
54264.3 0.000697082
54837.7 0.000961947
55124.5 0.00121182
55411.2 0.00162550
55697.9 0.00237385
55841.2 0.00299433
55912.9 0.00340872
55984.6 0.00392104
56056.3 0.00456354
56127.9 0.00538167
56199.6 0.00644107
56271.3 0.00783737
56343.0 0.00971172
56414.7 0.0122683
56486.3 0.0157881
56558.0 0.0205939
56623.5 0.0262546
56689.0 0.0327027
56820.0 0.0406677
56885.5 0.0382426
56951.0 0.0325295
57082.0 0.0204488
57164.3 0.0150904
57246.6 0.0113626
57411.3 0.00696764
57575.9 0.00470596
57740.6 0.00344057
57905.2 0.00268814
58069.8 0.00223484
58234.5 0.00204135
58316.8 0.00233990
58358.0 0.00384980
58378.5 0.00972533
58388.8 0.0310405
58391.4 0.0510695
58394.0 0.101106
58395.3 0.160635
58396.6 0.291876
58397.2 0.428705
58397.8 0.677859
58398.5 1.19409
58398.8 1.66278
58399.1 2.37665
58399.6 3.80169
58400.0 4.75170
58400.4 3.80160
58400.9 2.37659
58401.2 1.66275
58401.5 1.20590
58402.1 0.694245
58402.8 0.442922
58403.4 0.304930
58404.6 0.168026
58405.9 0.106484
58408.4 0.0539085
58410.8 0.0328291
58420.8 0.0102199
58440.7 0.00393405
58480.5 0.00226377
58560.1 0.00183364
58639.7 0.00186986
58679.5 0.00234650
58699.4 0.00422966
58709.4 0.0111923
58714.4 0.0349942
58716.8 0.104938
58718.1 0.261744
58719.3 1.17095
58720.0 2.33903
58720.7 1.17096
58721.8 0.301798
58722.9 0.125701
58725.1 0.0429126
58729.5 0.0136540
58738.3 0.00491508
58755.9 0.00252906
58791.1 0.00191563
58861.5 0.00179580
59002.3 0.00190894
59283.8 0.00265352
59424.6 0.00346923
59565.4 0.00494826
59706.2 0.00784570
59776.6 0.0103125
59847.0 0.0138630
59958.5 0.0218097
60070.0 0.0270738
60181.5 0.0218708
60237.3 0.0179392
60293.0 0.0162578
60316.1 0.0222744
60327.6 0.0484611
60333.4 0.138215
60336.3 0.393699
60337.7 0.941330
60338.4 1.73661
60339.1 3.76137
60339.6 6.03523
60340.0 7.50930
60340.4 6.03511
60340.9 3.76124
60341.5 1.82281
60342.2 1.01567
60343.6 0.432913
60346.3 0.152746
60351.7 0.0521023
60362.5 0.0214059
60384.1 0.0122484
60405.7 0.00987760
60427.3 0.00862361
60513.6 0.00598301
60600.0 0.00452021
60686.4 0.00356686
60859.2 0.00244002
61032.0 0.00183537
61377.5 0.00127559
61723.0 0.00110080
62068.6 0.00117313
62241.4 0.00133318
62414.1 0.00164991
62586.9 0.00229121
62673.3 0.00286263
62759.7 0.00376757
62846.1 0.00530454
62932.4 0.00817281
62975.6 0.0105962
63018.8 0.0142233
63062.0 0.0198114
63105.2 0.0284473
63162.6 0.0452015
63220.0 0.0563315
63277.4 0.0451897
63334.8 0.0286783
63382.0 0.0205379
63393.8 0.0199448
63405.5 0.0215141
63417.3 0.0355178
63423.2 0.0865696
63424.7 0.131517
63426.2 0.233991
63426.9 0.343583
63427.7 0.551274
63428.4 1.01935
63428.8 1.47814
63429.1 2.19993
63429.6 3.51191
63430.0 4.38654
63430.4 3.51176
63430.9 2.19972
63431.4 1.31718
63431.8 0.849149
63432.7 0.424617
63433.7 0.253148
63434.6 0.169189
63436.4 0.0935681
63438.3 0.0617074
63445.6 0.0257487
63460.3 0.0144642
63475.1 0.0114869
63489.8 0.00992297
63548.7 0.00673088
63607.6 0.00503358
63666.5 0.00394847
63784.2 0.00267680
63902.0 0.00199000
64137.6 0.00131978
64373.2 0.00102740
64844.3 0.000830647
65315.4 0.000858566
65786.6 0.00106852
66257.7 0.00160768
66493.3 0.00215081
66728.9 0.00309809
66846.7 0.00384162
66964.4 0.00487873
67082.2 0.00634307
67200.0 0.00839530
67400.0 0.0132551
67600.0 0.0164441
67800.0 0.0131730
68000.0 0.00852399
68049.6 0.00827523
68074.4 0.0105151
68086.8 0.0202054
68093.0 0.0542016
68096.1 0.156020
