32-Ge_n-g
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
3.194460e+02 2.69200109e+00
3.196320e+02 3.72131468e+00
3.198190e+02 5.49372926e+00
3.200050e+02 8.89526360e+00
3.200980e+02 1.18599473e+01
3.201910e+02 1.64419784e+01
3.202840e+02 2.38017646e+01
3.203770e+02 3.57342833e+01
3.204890e+02 5.71114942e+01
3.206000e+02 7.13594026e+01
3.207120e+02 5.70785535e+01
3.208230e+02 3.57053694e+01
3.209110e+02 2.42898506e+01
3.209990e+02 1.70701044e+01
3.210870e+02 1.24738106e+01
3.211750e+02 9.44913936e+00
3.213510e+02 5.92136009e+00
3.215270e+02 4.05639757e+00
3.217030e+02 2.96540431e+00
3.218790e+02 2.27723279e+00
3.222310e+02 1.49705075e+00
3.225830e+02 1.09368147e+00
3.229350e+02 8.62958933e-01
3.236390e+02 6.34806686e-01
3.243430e+02 5.47382040e-01
3.250470e+02 5.27620319e-01
3.264550e+02 6.15539427e-01
3.271590e+02 7.24440881e-01
3.278630e+02 8.96755935e-01
3.285670e+02 1.17025111e+00
3.292710e+02 1.62393379e+00
3.299750e+02 2.43808447e+00
3.303270e+02 3.10464919e+00
3.306790e+02 4.08594140e+00
3.310310e+02 5.60019336e+00
3.313830e+02 8.06902833e+00
3.317350e+02 1.23285783e+01
3.320870e+02 1.98773058e+01
3.324440e+02 3.17486732e+01
3.328000e+02 3.96194906e+01
3.331570e+02 3.16652730e+01
3.335130e+02 1.97932754e+01
3.337790e+02 1.37345541e+01
3.340440e+02 9.80018526e+00
3.343100e+02 7.23659771e+00
3.345750e+02 5.51842667e+00
3.351060e+02 3.47565857e+00
3.356370e+02 2.37508122e+00
3.361680e+02 1.72222138e+00
3.366990e+02 1.30585278e+00
3.377610e+02 8.26833338e-01
3.388240e+02 5.73343531e-01
3.398860e+02 4.23699088e-01
3.420100e+02 2.64124103e-01
3.441340e+02 1.86448018e-01
3.462580e+02 1.44331258e-01
3.500000e+02 1.12889070e-01
3.505070e+02 1.08632055e-01
3.547550e+02 1.10665369e-01
3.568790e+02 1.27814813e-01
3.590030e+02 1.65717208e-01
3.611280e+02 2.50637294e-01
3.621900e+02 3.33851878e-01
3.632520e+02 4.79544638e-01
3.643140e+02 7.67086423e-01
3.648450e+02 1.02812838e+00
3.653760e+02 1.45597823e+00
3.659070e+02 2.22599834e+00
3.661730e+02 2.86203864e+00
3.664380e+02 3.80869894e+00
3.667040e+02 5.29287599e+00
3.669690e+02 7.76846405e+00
3.672350e+02 1.21814668e+01
3.675000e+02 2.03424472e+01
3.677500e+02 3.25170751e+01
3.680000e+02 4.06080730e+01
3.682500e+02 3.24663859e+01
3.685000e+02 2.02919864e+01
3.686590e+02 1.48339701e+01
3.688180e+02 1.10520462e+01
3.691350e+02 6.60419462e+00
3.694530e+02 4.31136999e+00
3.697710e+02 3.01364535e+00
3.700880e+02 2.21791923e+00
3.704060e+02 1.69845735e+00
3.710410e+02 1.08732584e+00
3.716770e+02 7.56659079e-01
3.723120e+02 5.58408048e-01
3.735830e+02 3.43045952e-01
3.748530e+02 2.34878765e-01
3.760500e+02 1.76610722e-01
3.761240e+02 1.73008613e-01
3.786650e+02 1.08589031e-01
3.812070e+02 7.75779863e-02
3.837480e+02 6.05346966e-02
3.875000e+02 4.88077376e-02
3.888310e+02 4.46495064e-02
3.939130e+02 4.13600772e-02
3.964550e+02 4.42108995e-02
3.989960e+02 5.24053525e-02
4.015370e+02 7.27098779e-02
4.028080e+02 9.36705591e-02
4.040780e+02 1.31973963e-01
4.047140e+02 1.63999572e-01
4.053490e+02 2.12321887e-01
4.059840e+02 2.90035302e-01
4.066200e+02 4.26569661e-01
4.072550e+02 6.99955850e-01
4.075730e+02 9.52806330e-01
4.078900e+02 1.37618704e+00
4.082080e+02 2.16408899e+00
4.083670e+02 2.83793510e+00
4.085260e+02 3.87698445e+00
4.086850e+02 5.58957855e+00
4.088430e+02 8.65579541e+00
4.089230e+02 1.11445525e+01
4.090020e+02 1.47335770e+01
4.090820e+02 2.00133416e+01
4.091610e+02 2.77607836e+01
4.092810e+02 4.44110379e+01
4.094000e+02 5.55040773e+01
4.095200e+02 4.43860041e+01
4.096390e+02 2.77350509e+01
4.097180e+02 2.00313180e+01
4.097970e+02 1.47690675e+01
4.099550e+02 8.69678663e+00
4.101120e+02 5.62189574e+00
4.102700e+02 3.90304560e+00
4.104280e+02 2.85737596e+00
4.105860e+02 2.17911057e+00
4.109010e+02 1.38547004e+00
4.112160e+02 9.58350261e-01
4.115320e+02 7.03282026e-01
4.121630e+02 4.27207964e-01
4.127940e+02 2.89111026e-01
4.134250e+02 2.10377538e-01
4.140560e+02 1.61283925e-01
4.146860e+02 1.28621093e-01
4.159480e+02 8.92075427e-02
4.172100e+02 6.72227347e-02
4.197340e+02 4.48030786e-02
4.222570e+02 3.41700157e-02
4.247810e+02 2.83261371e-02
4.250000e+02 2.80777047e-02
4.298280e+02 2.26121688e-02
4.399230e+02 1.96473258e-02
4.437500e+02 2.03603218e-02
4.500180e+02 2.15499919e-02
4.601120e+02 2.89458986e-02
4.625000e+02 3.27090935e-02
4.651600e+02 3.69213386e-02
4.702070e+02 5.15105002e-02
4.727310e+02 6.36275612e-02
4.752540e+02 8.17793843e-02
4.777780e+02 1.10682713e-01
4.803010e+02 1.60752833e-01
4.812500e+02 1.90863488e-01
4.815630e+02 2.00798454e-01
4.828250e+02 2.58888430e-01
4.840870e+02 3.47607956e-01
4.853490e+02 4.92644406e-01
4.866110e+02 7.52821832e-01
4.872420e+02 9.67162345e-01
4.878720e+02 1.28539779e+00
4.885030e+02 1.78274350e+00
4.891340e+02 2.60869696e+00
4.897650e+02 4.07208018e+00
4.903960e+02 6.75682464e+00
4.906250e+02 8.29452926e+00
4.909980e+02 1.07991811e+01
4.916000e+02 1.34783009e+01
4.922020e+02 1.07665982e+01
4.928040e+02 6.72527457e+00
4.932540e+02 4.65962951e+00
4.937040e+02 3.32036870e+00
4.941530e+02 2.44885135e+00
4.946030e+02 1.86558755e+00
4.955030e+02 1.17307318e+00
4.964020e+02 8.00447769e-01
4.973020e+02 5.79720850e-01
4.982010e+02 4.39094019e-01
5.000000e+02 2.77610443e-01
5.022360e+02 1.77983632e-01
5.044710e+02 1.25467454e-01
5.063460e+02 9.98917233e-02
5.067070e+02 9.49812210e-02
5.089420e+02 7.66425966e-02
5.111780e+02 6.66204475e-02
5.126920e+02 6.66547077e-02
5.134130e+02 6.67219911e-02
5.145310e+02 7.60064712e-02
5.150900e+02 8.70521487e-02
5.156490e+02 1.08218086e-01
5.162070e+02 1.53709548e-01
5.164870e+02 1.98018280e-01
5.167660e+02 2.75870385e-01
5.170460e+02 4.31080842e-01
5.171850e+02 5.73576645e-01
5.173250e+02 8.10210323e-01
5.174650e+02 1.24439770e+00
5.175350e+02 1.61074477e+00
5.176050e+02 2.16640108e+00
5.176740e+02 3.06360747e+00
5.177440e+02 4.61884328e+00
5.177790e+02 5.84633319e+00
5.178140e+02 7.56205760e+00
5.178490e+02 9.99985725e+00
5.178840e+02 1.34436534e+01
5.179130e+02 1.72068260e+01
5.179420e+02 2.14917286e+01
5.180000e+02 2.68428813e+01
5.180290e+02 2.52577789e+01
5.180580e+02 2.14736915e+01
5.181160e+02 1.34396642e+01
5.181550e+02 9.67100108e+00
5.181940e+02 7.11633669e+00
5.182720e+02 4.18075892e+00
5.183490e+02 2.70482371e+00
5.184270e+02 1.88266318e+00
5.185050e+02 1.38419690e+00
5.185820e+02 1.06126795e+00
5.187380e+02 6.84267193e-01
5.188930e+02 4.81554461e-01
5.190380e+02 3.68392244e-01
5.190480e+02 3.60589439e-01
5.193590e+02 2.29621598e-01
5.196700e+02 1.63987031e-01
5.199810e+02 1.26455515e-01
5.206020e+02 8.72165332e-02
5.212230e+02 6.80326911e-02
5.218450e+02 5.71309011e-02
5.230880e+02 4.56367440e-02
5.253840e+02 3.71928218e-02
5.255730e+02 3.65405189e-02
5.280590e+02 3.35365898e-02
5.285570e+02 3.34497064e-02
5.317300e+02 3.38314679e-02
5.330310e+02 3.47014304e-02
5.349030e+02 3.73212337e-02
5.380020e+02 4.52159905e-02
5.380760e+02 4.54703254e-02
5.396630e+02 5.36827288e-02
5.412490e+02 6.54665060e-02
5.428360e+02 8.38505072e-02
5.429740e+02 8.66397104e-02
5.444220e+02 1.17883058e-01
5.452150e+02 1.45234009e-01
5.454590e+02 1.57659307e-01
5.460090e+02 1.86835752e-01
5.462070e+02 2.00473964e-01
5.464050e+02 2.15786494e-01
5.466040e+02 2.33093881e-01
5.468020e+02 2.52769223e-01
5.470000e+02 2.75296162e-01
5.471980e+02 3.01280730e-01
5.473970e+02 3.31504174e-01
5.475950e+02 3.66964949e-01
5.477930e+02 4.09013230e-01
5.479450e+02 4.47487497e-01
5.479920e+02 4.59532454e-01
5.481900e+02 5.21268475e-01
5.483880e+02 5.97090875e-01
5.485870e+02 6.91753411e-01
5.487850e+02 8.12159360e-01
5.489830e+02 9.68710015e-01
5.491820e+02 1.17760572e+00
5.491880e+02 1.18632400e+00
5.493800e+02 1.46608231e+00
5.495780e+02 1.87813165e+00
5.497770e+02 2.49581829e+00
5.499750e+02 3.48054468e+00
5.501730e+02 5.18368955e+00
5.502720e+02 6.53712063e+00
5.503710e+02 8.47408169e+00
5.504310e+02 1.02075787e+01
5.504710e+02 1.13635373e+01
5.505700e+02 1.58551481e+01
5.506690e+02 2.31392986e+01
5.507680e+02 3.50705706e+01
5.508840e+02 5.59909946e+01
5.510000e+02 6.98957478e+01
5.511170e+02 5.58733441e+01
5.512330e+02 3.49033520e+01
5.513430e+02 2.20895560e+01
5.514520e+02 1.46763056e+01
5.515620e+02 1.02914562e+01
5.516710e+02 7.56326600e+00
5.516740e+02 7.52195262e+00
5.518900e+02 4.55062176e+00
5.521100e+02 3.03928413e+00
5.523290e+02 2.18455293e+00
5.525480e+02 1.65871004e+00
5.529170e+02 1.16895230e+00
5.529860e+02 1.07889509e+00
5.534240e+02 7.96089190e-01
5.535380e+02 7.56114002e-01
5.538630e+02 6.51083028e-01
5.541600e+02 5.99424151e-01
5.543010e+02 5.81852827e-01
5.547390e+02 5.64358880e-01
5.547810e+02 5.65527370e-01
5.554020e+02 6.42801727e-01
5.556160e+02 6.98546908e-01
5.557130e+02 7.28269555e-01
5.560240e+02 8.74294275e-01
5.563350e+02 1.10612622e+00
5.564920e+02 1.30293912e+00
5.566450e+02 1.49820353e+00
5.568010e+02 1.79844681e+00
5.569560e+02 2.21098520e+00
5.571110e+02 2.79717784e+00
5.572670e+02 3.66231862e+00
5.573690e+02 4.54460719e+00
5.574220e+02 5.00370536e+00
5.575770e+02 7.19911446e+00
5.577330e+02 1.10076000e+01
5.578880e+02 1.77942719e+01
5.580440e+02 2.84270897e+01
5.582000e+02 3.55136625e+01
5.582450e+02 3.34624682e+01
5.583560e+02 2.84039286e+01
5.585120e+02 1.77650473e+01
5.586190e+02 1.26925317e+01
5.587260e+02 9.28200356e+00
5.588330e+02 6.98878520e+00
5.589390e+02 5.41237869e+00
5.591530e+02 3.48685022e+00
5.593670e+02 2.42134700e+00
5.595800e+02 1.77707838e+00
5.597940e+02 1.36028891e+00
5.599980e+02 1.12732385e+00
5.602210e+02 8.74094410e-01
5.606480e+02 6.12904806e-01
5.610760e+02 4.56023052e-01
5.617510e+02 3.19796347e-01
5.619300e+02 2.84224701e-01
5.627850e+02 1.97487808e-01
5.635040e+02 1.54422055e-01
5.636390e+02 1.46561481e-01
5.644940e+02 1.14560262e-01
5.652570e+02 9.47435225e-02
5.653480e+02 9.24971715e-02
5.670580e+02 6.57868132e-02
5.687630e+02 4.94965862e-02
5.687670e+02 4.94617575e-02
5.704760e+02 3.96185454e-02
5.721850e+02 3.25138733e-02
5.722690e+02 3.22690981e-02
5.756030e+02 2.38991196e-02
5.757750e+02 2.36093353e-02
5.790210e+02 1.88425631e-02
5.792810e+02 1.85923625e-02
5.858570e+02 1.33528403e-02
5.862930e+02 1.31263501e-02
5.926940e+02 1.04945130e-02
5.933050e+02 1.03130808e-02
5.995300e+02 8.78380245e-03
6.003170e+02 8.64807321e-03
6.073290e+02 7.63062903e-03
6.132030e+02 6.90080663e-03
6.188500e+02 6.44831743e-03
6.213530e+02 6.24960351e-03
6.250000e+02 6.00961576e-03
6.268750e+02 5.89064483e-03
6.353770e+02 5.56948982e-03
6.405480e+02 5.40726890e-03
6.473840e+02 5.37673886e-03
6.494010e+02 5.48290151e-03
6.542210e+02 5.75300531e-03
6.576390e+02 6.45137472e-03
6.593480e+02 7.19050067e-03
6.610570e+02 8.57257437e-03
6.627660e+02 1.15625406e-02
6.634250e+02 1.38614906e-02
6.636210e+02 1.45457517e-02
6.644750e+02 1.99646353e-02
6.649020e+02 2.45041621e-02
6.653300e+02 3.13917797e-02
6.657570e+02 4.25723590e-02
6.661840e+02 6.25076483e-02
6.663980e+02 7.89327846e-02
6.666120e+02 1.03439156e-01
6.668250e+02 1.42349449e-01
6.670390e+02 2.09565838e-01
6.672520e+02 3.40842956e-01
6.673590e+02 4.58992800e-01
6.674660e+02 6.51241169e-01
6.675730e+02 9.93572939e-01
6.676260e+02 1.27344846e+00
6.676800e+02 1.68579473e+00
6.677330e+02 2.32342576e+00
6.677860e+02 3.36676153e+00
6.678400e+02 5.17684355e+00
6.678670e+02 6.56424844e+00
6.678930e+02 8.40874058e+00
6.679200e+02 1.07611755e+01
6.679470e+02 1.34493403e+01
6.680000e+02 1.68086551e+01
6.680530e+02 1.34480999e+01
6.681070e+02 8.40718967e+00
6.681420e+02 6.09826302e+00
6.681760e+02 4.51241137e+00
6.682460e+02 2.67151482e+00
6.683150e+02 1.73314453e+00
6.683850e+02 1.20576448e+00
6.684540e+02 8.84115938e-01
6.685240e+02 6.74861764e-01
6.686630e+02 4.29506248e-01
6.688020e+02 2.97158131e-01
6.689410e+02 2.18059489e-01
6.692190e+02 1.32358030e-01
6.694970e+02 8.94396714e-02
6.697750e+02 6.49669326e-02
6.700530e+02 4.97025114e-02
6.703310e+02 3.95542526e-02
6.708870e+02 2.73179677e-02
6.714430e+02 2.05042802e-02
6.720000e+02 1.63242709e-02
6.725560e+02 1.35762335e-02
6.736680e+02 1.02984332e-02
6.747800e+02 8.48972303e-03
6.770040e+02 6.65800336e-03
6.782750e+02 6.16061012e-03
6.792290e+02 5.79031033e-03
6.814530e+02 5.30985772e-03
6.859020e+02 4.81322293e-03
6.914730e+02 4.57165758e-03
6.947990e+02 4.43301603e-03
7.036960e+02 4.30885770e-03
7.079870e+02 4.30786599e-03
7.125940e+02 4.35761593e-03
7.154150e+02 4.44903030e-03
7.195210e+02 4.69202403e-03
7.214910e+02 4.81057054e-03
7.228430e+02 4.95705295e-03
7.259400e+02 5.52067228e-03
7.265570e+02 5.67673140e-03
7.281640e+02 6.42114895e-03
7.302710e+02 7.63933233e-03
7.303880e+02 7.77412632e-03
7.321280e+02 1.02739915e-02
7.326130e+02 1.14011819e-02
7.330570e+02 1.26664774e-02
7.337250e+02 1.55466044e-02
7.339850e+02 1.68912823e-02
7.348370e+02 2.43739672e-02
7.349140e+02 2.51500461e-02
7.353780e+02 3.29010751e-02
7.353930e+02 3.33115863e-02
7.358420e+02 4.63490216e-02
7.359490e+02 5.11298596e-02
7.360750e+02 5.71457530e-02
7.363070e+02 7.28844577e-02
7.365050e+02 9.33963144e-02
7.365390e+02 9.71324566e-02
7.367710e+02 1.39094760e-01
7.370030e+02 2.18908418e-01
7.370610e+02 2.54679483e-01
7.371190e+02 2.90992544e-01
7.372350e+02 4.09117863e-01
7.373390e+02 6.00276017e-01
7.373510e+02 6.22474291e-01
7.374090e+02 8.00621262e-01
7.374670e+02 1.06829641e+00
7.375250e+02 1.49546429e+00
7.375830e+02 2.22455472e+00
7.376170e+02 3.01503200e+00
7.376410e+02 3.57352095e+00
7.376990e+02 6.19752765e+00
7.377500e+02 9.88919140e+00
7.378000e+02 1.23509289e+01
7.378500e+02 9.89549305e+00
7.378960e+02 6.57109709e+00
7.379010e+02 6.20996199e+00
7.379330e+02 4.55673843e+00
7.379650e+02 3.41158692e+00
7.380290e+02 2.06834184e+00
7.380930e+02 1.37922752e+00
7.381570e+02 9.91936926e-01
7.381740e+02 9.29542562e-01
7.382210e+02 7.61629315e-01
7.382850e+02 6.16742418e-01
7.384130e+02 4.56645169e-01
7.384520e+02 4.33781631e-01
7.385410e+02 3.96203752e-01
7.385910e+02 3.90769215e-01
7.386690e+02 4.00878625e-01
7.387300e+02 4.21875958e-01
7.388690e+02 5.39366939e-01
7.389250e+02 6.29847388e-01
7.389380e+02 6.52500815e-01
7.390080e+02 8.39865739e-01
7.390770e+02 1.14821659e+00
7.391470e+02 1.69156846e+00
7.391810e+02 2.20387129e+00
7.392160e+02 2.73315064e+00
7.392510e+02 3.60558561e+00
7.392860e+02 4.84024008e+00
7.393430e+02 7.70345710e+00
7.394000e+02 9.61092862e+00
7.394360e+02 8.40116679e+00
7.394570e+02 7.69621401e+00
7.395140e+02 4.82686250e+00
7.395820e+02 2.74582685e+00
7.396500e+02 1.69541720e+00
7.397180e+02 1.13473005e+00
7.397860e+02 8.09616555e-01
7.398540e+02 6.06016083e-01
7.399220e+02 4.70805485e-01
7.399480e+02 4.39466616e-01
7.400570e+02 3.10225283e-01
7.401930e+02 2.21557585e-01
7.403290e+02 1.67103038e-01
7.404600e+02 1.37267322e-01
7.406000e+02 1.06515614e-01
7.408720e+02 7.51070722e-02
7.409720e+02 6.80365232e-02
7.411430e+02 5.68017419e-02
7.414150e+02 4.51366336e-02
7.416860e+02 3.69053798e-02
7.419960e+02 3.05999785e-02
7.422290e+02 2.64968699e-02
7.427720e+02 2.05981145e-02
7.430200e+02 1.89441868e-02
7.438580e+02 1.42772304e-02
7.440440e+02 1.36718269e-02
7.449440e+02 1.13440074e-02
