Se-78(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
4906.58 0.00166960
5000.00 0.00176735
5168.00 0.00219153
5335.99 0.00308043
5419.99 0.00392832
5503.99 0.00560281
5545.99 0.00740124
5566.99 0.00899892
5587.99 0.0117214
5608.99 0.0172275
5619.49 0.0225486
5629.99 0.0320790
5635.24 0.0400194
5640.49 0.0520519
5645.74 0.0716072
5650.99 0.106641
5653.61 0.135663
5656.24 0.179262
5658.86 0.249135
5660.17 0.301079
5661.49 0.371532
5662.80 0.470597
5663.46 0.535851
5664.11 0.615825
5664.77 0.715449
5665.42 0.841270
5666.08 1.00353
5666.74 1.21763
5667.39 1.50851
5668.05 1.91571
5668.71 2.51015
5669.36 3.42299
5670.02 4.91758
5670.67 7.57149
5671.00 9.70689
5671.33 12.7614
5671.66 17.2106
5671.99 23.6678
5672.49 37.8771
5673.00 47.3210
5673.51 37.8391
5674.02 23.6598
5674.47 15.2645
5674.93 10.2885
5675.38 7.27549
5675.84 5.37409
5676.75 3.23836
5677.66 2.15051
5678.57 1.52711
5679.48 1.13946
5681.30 0.703412
5683.12 0.477532
5684.94 0.345872
5686.76 0.262564
5688.58 0.206568
5692.23 0.138363
5695.87 0.100024
5699.51 0.0763839
5703.15 0.0608071
5710.44 0.0422539
5717.72 0.0321096
5732.29 0.0221322
5746.86 0.0177655
5761.43 0.0156806
5790.56 0.0144115
5848.84 0.0165498
5877.97 0.0191264
5907.11 0.0228687
5921.68 0.0253083
5928.96 0.0267054
5936.25 0.0282388
5943.53 0.0299248
5950.81 0.0317825
5958.10 0.0338343
5965.38 0.0361065
5972.67 0.0386307
5979.95 0.0414430
5987.23 0.0445878
5994.52 0.0481180
6009.09 0.0566035
6023.65 0.0675975
6038.22 0.0821663
6052.79 0.101991
6067.36 0.129838
6081.93 0.170469
6096.50 0.232487
6111.06 0.332147
6125.63 0.500779
6132.92 0.627168
6140.20 0.792368
6155.60 1.26489
6171.00 1.57559
6186.40 1.25672
6201.80 0.784498
6212.01 0.565673
6222.22 0.416501
6242.63 0.244641
6263.05 0.157880
6283.47 0.109437
6303.89 0.0800321
6324.30 0.0609755
6365.14 0.0387347
6405.97 0.0268243
6446.80 0.0197633
6528.47 0.0123073
6610.14 0.00900602
6691.81 0.00835184
6732.64 0.00971189
6753.06 0.0114943
6773.47 0.0150272
6793.89 0.0228610
6804.10 0.0307115
6814.31 0.0449268
6819.41 0.0567746
6824.52 0.0746348
6829.62 0.103358
6834.72 0.153868
6839.83 0.255198
