Hg-198(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.91943E+06 6.04950
1.91943E+06 6.04950
1.92054E+06 6.05073
1.92074E+06 6.05095
1.92212E+06 6.05248
2.00000E+06 6.13240
2.25000E+06 6.43404
2.50000E+06 6.71641
2.75000E+06 6.91609
3.00000E+06 7.10355
3.50000E+06 7.21457
3.75000E+06 7.26481
4.00000E+06 7.31213
4.45173E+06 7.16414
4.50000E+06 7.14948
4.90347E+06 7.03304
4.98116E+06 7.01195
5.00000E+06 7.00689
5.50000E+06 6.69694
5.75000E+06 6.55710
6.00000E+06 6.42596
6.56970E+06 6.06514
7.00000E+06 5.82490
7.13941E+06 5.75218
7.21711E+06 5.71243
7.56970E+06 5.54166
8.00000E+06 5.34987
8.34298E+06 5.27787
8.34298E+06 5.27787
8.47767E+06 5.24037
8.75724E+06 5.17086
9.17149E+06 5.08691
9.58575E+06 5.02340
1.00000E+07 4.97811
1.02500E+07 4.97235
1.05000E+07 4.96899
1.07500E+07 4.96792
1.10000E+07 4.96902
1.12500E+07 4.97220
1.15000E+07 4.97737
1.17500E+07 4.98444
1.20000E+07 4.99333
1.22500E+07 5.02141
1.25000E+07 5.04974
1.30000E+07 5.10704
1.35000E+07 5.16518
1.40000E+07 5.22405
1.43398E+07 5.27415
1.46797E+07 5.32414
1.50195E+07 5.37400
1.53593E+07 5.42375
1.57874E+07 5.48426
1.60000E+07 5.51424
1.70000E+07 5.59679
1.80000E+07 5.67779
1.90000E+07 5.68589
2.00000E+07 5.69418
2.00000E+07 5.65930
2.10000E+07 5.63636
2.18159E+07 5.60163
2.20000E+07 5.59180
2.20287E+07 5.59021
2.30000E+07 5.52909
2.32132E+07 5.51384
2.40000E+07 5.45200
2.42460E+07 5.43124
2.50000E+07 5.36572
2.52393E+07 5.34401
2.60000E+07 5.27080
2.61673E+07 5.25392
2.70000E+07 5.16983
2.80000E+07 5.06730
2.85029E+07 5.01504
2.85635E+07 5.00877
2.90000E+07 4.96396
3.00000E+07 4.86570
3.09297E+07 4.78126
3.10000E+07 4.77511
3.11675E+07 4.76058
3.20000E+07 4.69083
