Nd-146(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1484.27 0.329669
1484.91 0.432146
1486.19 0.737410
1487.47 1.22160
1488.76 1.96205
1490.04 3.07628
1491.32 4.74805
1492.61 7.27487
1493.89 11.1585
1495.17 17.2886
1496.46 27.3435
1497.74 44.7450
1499.02 77.1987
1499.66 104.317
1500.30 144.425
1500.95 206.249
1501.59 305.375
1502.23 471.444
1502.87 753.168
1503.64 1289.76
1504.40 1720.41
1505.17 1463.29
1505.93 970.310
1506.54 687.496
1507.15 502.718
1507.76 381.846
1508.37 300.299
1509.59 201.964
1510.81 147.568
1512.03 114.320
1513.25 92.4261
1515.69 66.0591
1518.13 51.1543
1520.57 41.7736
1523.01 35.4010
1525.45 30.8283
1530.33 24.7490
1535.21 20.9188
1540.08 18.2934
1544.96 16.3818
1554.72 13.7758
1564.48 12.0664
1584.00 9.91037
1603.51 8.54993
1623.03 7.56605
1662.06 6.12335
1701.09 4.96057
1720.61 4.39026
1740.13 3.77412
1759.64 3.04140
1769.40 2.58974
1779.16 2.03929
1784.04 1.71136
1788.92 1.33861
1793.80 0.918563
1798.67 0.474772
1801.11 0.277931
1802.33 0.202579
1803.55 0.156580
1804.77 0.157942
1805.38 0.184901
1805.99 0.235889
1806.60 0.317605
1807.21 0.438813
1807.82 0.611095
1808.43 0.849476
1809.04 1.17567
1809.65 1.61815
1810.26 2.21712
1810.87 3.02986
1811.48 4.13961
1812.09 5.67050
1812.70 7.81297
1813.31 10.8632
1813.92 15.3295
1814.53 22.0722
1815.14 32.6803
1815.75 50.2951
1816.36 81.7173
1816.67 107.029
1816.97 143.432
1817.28 197.541
1817.58 280.835
1817.89 413.100
1818.19 623.856
1818.60 1057.10
1819.00 1396.04
1819.41 1174.75
1819.81 770.770
1820.16 525.657
1820.51 372.850
1820.87 276.722
1821.22 213.784
1821.92 140.167
1822.63 100.640
1823.33 76.9576
1824.03 61.5859
1825.44 43.3479
1826.85 33.1882
1828.26 26.8611
1829.67 22.6011
1831.07 19.5660
1833.89 15.5613
1836.70 13.0617
1839.52 11.3599
1842.33 10.1283
1847.97 8.45904
1853.60 7.36982
1864.86 5.99645
1876.12 5.12018
1887.38 4.47126
1909.91 3.47096
1932.43 2.60695
1954.95 1.72447
1966.22 1.24626
1977.48 0.742582
1988.74 0.264097
1991.56 0.169262
1994.37 0.0983130
1995.78 0.0758504
1997.19 0.0650959
1998.59 0.0690428
2000.00 0.0915008
2000.94 0.119145
2001.88 0.158905
2002.82 0.212979
2003.75 0.283770
2005.63 0.488470
2007.51 0.805517
2009.39 1.28321
2011.26 1.99513
2013.14 3.05686
2015.02 4.65548
2016.89 7.11221
2018.77 10.9991
2020.65 17.4119
2022.52 28.6306
2024.40 49.9463
2025.34 68.1151
2026.28 95.5540
2027.22 139.014
2028.15 211.426
2029.09 338.922
2030.03 569.719
2031.02 965.197
2032.00 1274.57
2032.99 1074.14
2033.97 706.116
2035.02 445.311
2036.06 298.664
2037.10 213.521
2038.15 160.972
2039.19 126.470
2040.24 102.689
2042.33 72.8317
2044.42 55.4145
2046.50 44.2874
2050.68 31.2388
2054.86 24.0251
2059.04 19.5351
2063.21 16.5014
2067.39 14.3274
2075.75 11.4300
2084.10 9.58824
2100.81 7.35935
2117.52 6.02494
2134.23 5.10386
2167.65 3.83883
2234.49 2.19034
2301.34 0.960731
2334.76 0.460697
2351.47 0.257483
2368.18 0.104175
2376.53 0.0535141
2380.71 0.0364332
2384.89 0.0256950
2389.07 0.0220276
2393.24 0.0262621
2397.42 0.0393403
2401.60 0.0623223
2405.78 0.0964316
2409.95 0.143033
2418.31 0.280283
2426.66 0.489645
2435.02 0.791719
2443.37 1.21413
2451.73 1.79415
2460.08 2.58323
2468.44 3.65321
2476.79 5.10651
2485.15 7.09212
2493.50 9.83227
2501.86 13.6678
2510.22 19.1397
2518.57 27.1355
2526.93 39.1847
2535.28 58.0555
2543.64 89.0599
2551.99 143.031
2560.35 243.036
2568.70 435.222
2576.85 752.710
2585.00 1011.80
2593.15 869.227
2601.30 582.908
2607.13 430.434
2612.97 325.373
2618.80 253.420
2624.64 203.084
2636.30 140.045
2647.97 103.840
2659.64 81.1348
2671.31 65.8927
2694.64 47.1394
2717.98 36.2710
2741.32 29.2552
2764.65 24.3514
2776.32 22.4043
2782.15 21.5259
2785.07 21.1121
2786.53 20.9296
2787.26 20.9169
2787.44 20.9822
2787.62 21.2081
2787.71 21.5340
2787.80 22.4333
2787.85 23.6288
2787.87 24.7639
2787.90 26.6057
2787.92 30.2708
2787.93 33.6952
2787.94 38.7103
2787.95 48.2384
2787.96 65.0962
2787.97 81.1430
2787.98 101.396
2787.98 139.657
2787.99 189.744
2787.99 291.209
2788.00 358.882
2788.01 291.279
2788.01 189.830
2788.02 139.738
2788.02 112.159
2788.03 75.0555
2788.04 56.0315
2788.05 45.2985
2788.06 38.7348
2788.07 34.4563
2788.09 29.4293
2788.10 26.7130
2788.12 25.0851
2788.16 23.3505
2788.23 21.9295
2788.30 21.3941
2788.44 20.9757
2788.59 20.8117
2788.87 20.6661
2789.16 20.5891
2790.30 20.3976
2792.58 20.0851
2797.14 19.4965
2806.26 18.3945
2824.51 16.4197
2861.00 13.0340
2897.49 9.78242
2915.74 7.87214
2924.86 6.72735
2929.42 6.08172
2931.71 5.74535
2932.85 5.61201
2933.13 5.61479
2933.42 5.70537
2933.56 5.87007
2933.70 6.35975
2933.77 7.04213
2933.84 8.84301
2933.88 11.1699
2933.90 13.3263
2933.91 16.6824
2933.93 23.1609
2933.94 28.6619
2933.95 37.0750
2933.96 50.7606
2933.97 74.7949
2933.98 120.853
2933.99 204.225
2933.99 328.939
2934.00 401.883
2934.01 329.046
2934.01 203.017
2934.02 154.532
2934.02 114.128
2934.03 86.9076
2934.03 68.2121
2934.04 45.4541
2934.05 32.9181
2934.06 25.3805
2934.07 20.5277
2934.09 15.0971
2934.11 12.0034
2934.13 10.2450
2934.17 8.27345
2934.25 6.70364
2934.33 6.11347
2934.49 5.65144
2934.64 5.46694
2934.96 5.29828
2935.27 5.20368
2936.53 4.94636
2939.04 4.48209
2944.06 3.48239
2949.08 2.36196
2954.10 1.17544
2956.61 0.636756
2957.87 0.419025
2959.12 0.266547
2959.75 0.226034
2960.38 0.217779
2961.01 0.250110
2961.64 0.333378
2962.26 0.481234
2962.89 0.710770
2963.52 1.04419
2964.15 1.50960
2964.77 2.14655
2965.40 3.00522
2966.66 5.68378
2967.91 10.4702
2969.17 19.2074
2969.80 26.1754
2970.42 35.9616
2971.05 49.9827
2971.68 70.5110
2972.31 101.482
2972.94 149.490
2973.56 225.726
2974.19 347.053
2975.10 627.015
2976.00 878.726
2976.91 783.946
2977.81 543.490
2978.50 403.926
2979.18 308.133
2979.86 242.718
2980.55 197.145
2981.92 140.040
2983.29 107.136
2984.65 86.3473
2986.02 72.2985
2988.76 54.8292
2991.50 44.5881
2994.23 37.9445
2999.71 29.9103
3005.18 25.2497
3010.66 22.2027
3021.61 18.4205
