U-235(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
27.7030 29.4807
27.7255 41.0375
27.7480 55.9904
27.7705 68.9944
27.7930 69.9577
27.8380 43.2449
27.8708 27.2931
27.9036 18.1839
27.9363 13.0941
27.9691 10.3112
28.0186 8.94746
28.0433 8.20978
28.0680 7.04238
28.0830 6.46694
28.1338 5.46330
28.1846 5.42306
28.2354 6.28233
28.2862 8.61143
28.3470 14.3416
28.3705 16.2575
28.3916 16.4296
28.4127 14.9551
28.4548 10.3892
28.4742 8.68848
28.4936 7.39690
28.5324 5.79070
28.5712 5.03819
28.6100 4.75139
28.6110 4.74741
28.6134 4.73814
28.6159 4.72941
28.6208 4.71331
28.6305 4.68442
28.6500 4.62419
28.6890 4.39120
28.7670 3.36386
28.8270 2.58129
28.9230 1.86825
29.0000 1.62413
29.0865 1.49711
29.1730 1.46211
29.2833 1.59334
29.3936 2.13526
29.4487 2.83343
29.4763 3.45186
29.5038 4.43259
29.5314 6.10983
29.5590 9.29299
29.5728 12.0421
29.5865 16.2619
29.6003 23.0264
29.6141 34.1556
29.6307 55.7752
29.6473 75.7080
29.6556 74.6060
29.6639 65.3319
29.6805 41.4171
29.6938 27.8907
29.7071 19.4649
29.7204 14.2195
29.7337 10.8388
29.7470 8.57004
29.7602 6.98922
29.7868 5.00814
29.8134 3.87455
29.8400 3.17473
29.8931 2.41049
29.9994 1.87701
30.1058 1.83134
30.2121 2.07242
30.3184 2.72872
30.3715 3.39104
30.4247 4.58427
30.4779 7.07487
30.5044 9.43831
30.5310 13.2696
30.5613 19.9070
30.5915 25.1326
30.6218 22.2210
30.6520 17.0162
30.6743 14.9425
30.6966 14.4910
30.7189 15.5458
30.7412 18.3308
30.7635 23.6764
30.7858 33.6411
30.8081 53.2648
30.8193 70.1106
30.8304 94.9357
30.8482 157.067
30.8660 219.930
30.8749 220.055
30.8838 194.165
30.9016 122.376
30.9188 75.0786
30.9360 48.6756
30.9532 33.6667
30.9703 24.6184
30.9875 18.8340
31.0047 14.9454
31.0219 12.2203
31.0391 10.2441
31.0734 7.64417
31.1078 6.07616
31.1421 5.07249
31.1765 4.40519
31.2452 3.64688
31.3140 3.32676
31.3827 3.27818
31.4514 3.45707
31.5500 4.14559
31.6486 5.31272
31.7294 7.28474
31.7698 8.96306
31.8102 11.4756
31.8505 15.4364
31.8909 22.1354
31.9313 34.5858
31.9515 45.0434
31.9717 60.5642
32.0046 104.560
32.0211 138.882
32.0375 180.623
32.0582 238.321
32.0934 325.448
32.1032 301.118
32.1285 173.800
32.1414 126.600
32.1543 94.6861
32.1802 57.8967
32.2060 38.9807
32.2318 28.1281
32.2577 21.3585
32.2835 16.8632
32.3351 11.4699
32.3868 8.49879
32.4384 6.70965
32.5418 4.81256
32.6451 3.97404
32.7484 3.66332
32.8517 3.71314
32.9550 4.12356
33.0393 4.83340
33.1235 6.13865
33.2078 8.69067
33.2499 10.9479
33.2920 14.5468
33.3396 21.9410
33.3634 28.3232
33.3872 38.2800
33.4110 54.9979
33.4348 85.9580
33.4467 112.053
33.4586 151.222
33.4705 212.188
33.4824 308.981
33.4901 398.529
33.4979 508.177
33.5133 691.817
33.5210 681.777
33.5288 596.580
33.5442 376.558
33.5586 237.042
33.5729 156.835
33.5873 110.311
33.6016 82.1237
33.6280 54.3890
33.6500 42.4294
33.6985 24.9626
33.7375 17.6380
33.7765 13.8108
33.8546 10.4776
33.9326 9.76238
34.0107 10.7551
34.0887 14.0254
34.1277 17.2861
34.1667 22.8012
34.2058 33.0132
34.2253 41.6833
34.2448 54.9629
34.2643 76.6640
34.2838 115.165
34.2936 146.159
34.3033 190.433
34.3131 254.812
34.3228 347.770
34.3304 442.594
34.3380 548.483
34.3531 666.998
34.3607 619.276
34.3683 522.246
34.3835 327.576
34.3870 293.065
34.3961 221.693
34.4053 171.707
34.4235 111.149
34.4418 78.8206
34.4600 60.2048
34.4965 41.4946
34.5330 33.2013
34.6065 26.6229
34.6800 27.0356
34.7289 31.8534
34.7778 42.4113
34.8251 60.7564
34.8724 81.7878
34.8961 85.7093
34.9197 83.2371
34.9670 74.8070
34.9870 75.2347
35.0176 83.5644
35.0482 104.034
35.0788 142.696
35.0941 171.900
35.1094 209.342
35.1110 213.743
35.1148 224.508
35.1186 235.711
35.1262 259.083
35.1413 305.839
35.1716 345.134
35.2027 268.493
35.2338 175.567
35.2360 170.220
35.2419 156.721
35.2478 144.488
35.2597 123.397
35.2833 92.0380
35.3306 55.9713
35.3779 37.4916
35.4252 27.0846
35.4547 22.8402
35.4842 19.1736
