Pt-196(n,g) JEFF-3.2
Energy(eV) XS(b)
2673.76 8.65899
2674.86 12.6500
2675.41 15.6485
2675.95 19.6831
2676.50 25.1535
2677.05 32.5126
2678.11 52.0535
2679.16 65.4694
2680.22 52.7642
2681.27 33.0591
2682.52 18.7240
2683.76 11.4720
2685.01 7.60168
2686.25 5.36052
2687.50 3.96566
2688.74 3.04513
2691.23 1.95061
2693.72 1.35267
2696.21 0.991912
2701.19 0.598052
2706.17 0.399482
2711.15 0.285768
2716.13 0.214680
2721.11 0.167319
2731.07 0.110148
2741.03 0.0783025
2750.99 0.0587852
2760.95 0.0459820
2780.87 0.0308063
2800.79 0.0225621
2820.72 0.0176653
2840.64 0.0146046
2880.48 0.0114788
2920.32 0.0107999
2960.16 0.0125867
2980.08 0.0151676
3000.00 0.0203385
3019.48 0.0315779
3029.22 0.0428631
3038.95 0.0634438
3043.82 0.0807576
3048.69 0.107129
3053.56 0.150182
3058.43 0.227636
3060.87 0.292010
3063.30 0.388919
3065.74 0.544765
3068.17 0.818776
3069.39 1.04154
3070.60 1.36938
3071.21 1.59491
3071.82 1.88052
3072.43 2.25080
3072.73 2.47779
3073.04 2.74076
3073.34 3.04873
3073.65 3.40999
3073.95 3.84039
3074.26 4.35493
3074.56 4.98109
3074.87 5.74759
3075.17 6.70206
3075.47 7.90967
3075.78 9.47137
3076.08 11.5197
3076.39 14.2784
3076.69 18.0937
3077.00 23.5483
3077.30 31.5306
3077.60 43.5324
3077.91 61.5947
3078.34 98.7441
3078.77 124.102
3078.98 117.156
3079.20 99.8123
3079.63 62.4945
3079.93 44.4310
3080.22 32.3498
3080.52 24.2509
3080.82 18.6996
3081.41 11.9457
3082.01 8.22292
3082.60 5.97901
3083.20 4.53574
3084.38 2.85867
3085.57 1.96176
3086.76 1.42884
3087.95 1.08681
3089.14 0.854459
3091.51 0.568210
3093.89 0.405524
3096.27 0.304285
3098.64 0.237108
3103.40 0.156273
3108.15 0.111402
3112.90 0.0839562
3117.66 0.0659722
3127.16 0.0446602
3136.67 0.0330556
3155.68 0.0216823
3174.69 0.0167699
3193.71 0.0145666
3231.73 0.0141399
3269.76 0.0179038
3288.77 0.0221696
3307.78 0.0295609
3326.80 0.0433054
3336.30 0.0549230
3345.81 0.0726203
3355.32 0.101450
3364.82 0.153048
3369.58 0.195673
3374.33 0.259487
3379.08 0.361217
3383.84 0.537982
3385.02 0.602359
3386.20 0.679053
3387.38 0.771401
3388.57 0.883943
3389.16 0.949725
3389.75 1.02298
3390.34 1.10516
3390.93 1.19745
3391.53 1.30192
3392.12 1.42037
3393.30 1.71094
3394.48 2.09984
3395.66 2.63547
3396.85 3.39978
3398.03 4.53719
3399.21 6.32400
3400.40 9.31063
3400.99 11.5792
3401.58 14.6528
3402.17 18.8604
3402.76 24.5776
3403.87 39.3858
3404.97 49.4713
3406.08 39.7378
3407.18 24.8462
3408.25 15.5341
3409.31 10.2167
3410.37 7.10112
3411.44 5.17805
3412.50 3.92352
3413.57 3.06794
3415.70 2.01487
3417.83 1.42021
3419.95 1.05343
3424.21 0.644703
3428.47 0.434700
3432.73 0.312935
3436.99 0.236166
3441.24 0.184712
3449.76 0.122185
3458.28 0.0871248
3466.79 0.0655384
3475.31 0.0513305
3492.34 0.0344299
3509.37 0.0252249
3526.40 0.0197680
3543.43 0.0164027
3577.50 0.0133372
3594.53 0.0132900
3611.56 0.0146153
3628.59 0.0187766
3637.11 0.0233421
3645.62 0.0319383
3649.88 0.0392842
3654.14 0.0505826
3658.40 0.0692109
3662.65 0.103115
3664.78 0.131601
3666.91 0.174952
3669.04 0.245625
3671.17 0.372488
3672.23 0.477714
3673.30 0.635664
3674.36 0.888974
3675.43 1.33194
3676.49 2.21556
3677.02 3.02840
3677.56 4.38325
3677.82 5.42621
3678.09 6.88511
3678.22 7.84195
3678.35 9.00893
3678.49 10.4508
3678.62 12.2583
3678.75 14.5615
3678.89 17.5508
3679.02 21.5111
3679.15 26.8775
3679.28 34.3263
3679.42 44.9088
3679.55 60.1987
3679.68 82.1996
3679.89 131.682
3680.10 164.787
3680.21 155.176
3680.32 132.021
3680.53 82.6568
3680.69 56.1507
3680.86 39.4418
3681.02 28.7167
3681.19 21.6910
3681.52 13.4522
3681.85 9.09646
3682.18 6.53192
3682.51 4.90888
3683.17 3.05764
3683.83 2.08259
3684.49 1.50958
3685.16 1.14394
3685.82 0.897265
3687.14 0.594858
3688.46 0.423826
3689.79 0.317822
3691.11 0.247678
3693.75 0.163442
3696.40 0.116778
3699.05 0.0882740
3701.69 0.0696146
3706.98 0.0474956
3712.27 0.0354367
3722.86 0.0235618
3733.44 0.0183583
3744.02 0.0159481
3765.19 0.0152516
3786.35 0.0191630
3796.94 0.0241078
3807.52 0.0336264
3812.81 0.0418038
3818.10 0.0543882
3823.39 0.0751245
3828.68 0.112783
3831.33 0.144340
3833.98 0.192231
3836.62 0.270001
3839.27 0.408733
3840.59 0.523097
3841.91 0.693936
3843.24 0.965489
3844.56 1.43490
3845.88 2.35389
3846.21 2.72246
3846.54 3.18426
3846.87 3.77319
3847.20 4.53724
