Cs-133(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
199.712 1.98736
200.000 3.00399
200.142 3.83712
200.285 5.08464
200.427 7.07804
200.569 10.5485
200.712 17.4200
200.783 23.7001
200.854 34.0675
200.925 53.0039
200.961 68.8793
200.996 92.7774
201.032 131.096
201.068 196.874
201.103 319.110
201.121 418.890
201.139 557.170
201.169 891.627
201.200 1113.43
201.231 890.290
201.261 556.970
201.286 375.945
201.310 262.604
201.335 190.754
201.359 143.621
201.409 88.7261
201.458 59.8399
201.507 42.9128
201.556 32.2429
201.654 20.0675
201.752 13.6788
201.850 9.92403
201.948 7.53457
202.046 5.92312
202.242 3.94968
202.438 2.83637
202.635 2.14777
202.831 1.69367
203.223 1.15296
203.615 0.859390
204.400 0.583727
205.184 0.502584
205.577 0.518098
205.969 0.590875
206.361 0.785148
206.558 0.987194
206.754 1.35292
206.950 2.10373
207.048 2.81098
207.146 4.01436
207.244 6.30978
207.293 8.32539
207.342 11.5073
207.391 16.9532
207.440 27.2366
207.465 36.0575
207.489 49.4713
207.514 70.5623
207.538 103.943
207.554 133.055
207.569 166.089
207.600 207.478
207.631 166.062
207.662 103.908
207.699 58.7233
207.735 35.9840
207.772 23.8887
207.809 16.9121
207.846 12.5601
207.882 9.69658
207.956 6.28642
208.029 4.42304
208.103 3.29833
208.250 2.06934
208.397 1.44882
208.544 1.09270
208.838 0.720622
209.132 0.540313
209.426 0.439649
210.014 0.338056
211.190 0.270085
212.366 0.258682
214.718 0.308359
215.894 0.392644
216.188 0.439430
216.482 0.533934
216.629 0.639981
216.776 0.897062
216.850 1.21040
216.887 1.49523
216.923 1.96479
216.960 2.82778
216.978 3.55689
216.997 4.66064
217.015 6.45712
217.034 9.60095
217.052 15.6159
217.061 20.6637
217.070 27.7700
217.085 44.1433
217.100 55.0583
217.115 44.1506
217.130 27.7825
217.144 17.8730
217.157 12.1149
217.171 8.65186
217.185 6.49728
217.212 4.09185
217.240 2.88074
217.267 2.18992
217.295 1.76332
217.350 1.29046
217.460 0.916412
217.569 0.785833
217.789 0.721460
218.009 0.743622
218.448 0.900393
218.888 1.22264
219.327 1.90698
219.547 2.57336
219.766 3.75752
219.876 4.73109
219.986 6.18119
220.096 8.48356
220.206 12.4545
220.316 20.2092
220.371 27.1835
220.425 38.5289
220.480 58.7762
220.508 75.3440
220.535 99.6647
220.563 137.418
220.590 198.973
220.618 306.197
220.645 497.013
220.673 795.819
220.700 994.121
220.728 794.535
220.755 496.872
220.781 313.919
220.807 208.441
220.832 145.971
220.858 107.032
220.910 63.9029
220.962 42.2563
221.013 29.9486
221.065 22.3476
221.168 13.8479
221.271 9.46435
221.375 6.92003
221.581 4.24185
221.788 2.93895
221.994 2.21329
222.407 1.48461
222.820 1.15577
223.233 0.991650
224.060 0.873702
225.712 0.971880
227.364 1.36109
228.190 1.71484
229.016 2.26066
229.842 3.15158
230.256 3.82170
230.669 4.73947
231.082 6.04338
231.495 7.98297
231.908 11.0479
232.321 16.3053
232.527 20.4731
232.734 26.4635
232.940 35.5079
233.147 50.0561
233.354 75.5445
233.457 96.0360
233.560 125.700
233.663 170.613
233.767 241.841
233.870 360.500
233.973 561.362
234.087 897.544
234.200 1121.07
234.314 896.587
234.427 560.427
234.546 337.345
234.665 215.810
234.784 147.241
234.903 105.999
235.022 79.5979
235.141 61.8294
235.379 40.3003
235.617 28.3286
235.855 21.0474
236.331 13.1290
236.807 9.40636
237.282 8.14177
237.520 8.77795
237.639 9.81157
237.758 11.8701
237.877 16.1757
237.937 20.1318
237.996 26.5811
238.056 37.9673
238.115 60.4761
238.145 80.6796
238.175 112.626
238.205 165.663
238.219 204.902
238.234 255.230
238.251 325.868
238.267 406.077
238.300 506.563
238.317 476.770
238.333 405.905
238.366 254.935
238.394 168.069
238.423 115.636
238.451 83.4115
238.480 62.7598
238.536 39.2467
238.593 27.1124
238.650 20.0761
238.707 15.6581
238.821 10.6095
238.934 7.92744
239.048 6.31580
239.275 4.51821
239.503 3.55370
239.730 2.95121
240.185 2.22715
241.094 1.49938
242.004 1.11463
243.823 0.705152
245.642 0.493176
247.461 0.367142
249.280 0.285766
252.918 0.190547
256.556 0.139566
260.194 0.109996
263.832 0.0929323
265.651 0.0897323
266.561 0.0973227
266.788 0.106610
267.016 0.132698
267.129 0.167305
267.186 0.200279
267.243 0.257089
267.300 0.367883
267.328 0.467120
267.357 0.627875
267.385 0.912186
267.414 1.48073
267.428 1.99813
267.442 2.83395
267.456 4.25857
267.470 6.74623
267.485 10.7539
267.500 13.4297
267.515 10.7544
267.530 6.74687
267.543 4.35213
267.557 2.95061
267.570 2.10223
267.583 1.57190
267.610 0.976648
267.637 0.674308
267.664 0.501660
267.691 0.394348
267.745 0.274019
267.799 0.211583
267.852 0.175192
267.960 0.136669
268.175 0.107023
268.390 0.0959624
269.250 0.0849083
270.110 0.0869338
270.540 0.104143
270.648 0.121106
270.756 0.164876
270.809 0.218513
270.863 0.343070
270.890 0.477930
270.917 0.743790
270.930 0.983115
270.944 1.36061
270.957 1.98840
270.971 3.05110
270.985 4.83674
271.000 6.01491
271.015 4.82412
271.030 3.05138
271.040 2.20851
271.049 1.64290
271.069 0.992116
271.089 0.666030
271.109 0.485488
271.149 0.304669
271.188 0.221708
271.268 0.150593
271.347 0.121867
271.506 0.0993437
271.665 0.0908920
272.300 0.0828317
272.935 0.0846629
273.253 0.0964173
273.412 0.134876
273.451 0.166879
273.491 0.236684
273.531 0.432491
273.551 0.684312
273.571 1.22590
273.585 1.91561
273.600 2.37116
273.615 1.91075
273.630 1.22605
273.652 0.646408
273.674 0.398138
273.717 0.216240
273.761 0.154297
273.805 0.126536
273.981 0.0938948
274.332 0.0842497
275.035 0.0824659
276.440 0.0848939
279.250 0.0968145
282.060 0.122219
283.465 0.148488
284.168 0.185431
284.344 0.212468
284.519 0.278628
284.607 0.360691
284.651 0.436340
284.695 0.563531
284.739 0.802666
284.761 1.01058
284.783 1.33451
284.805 1.88240
284.827 2.89242
284.838 3.74424
284.849 5.01424
284.860 6.96104
284.870 9.91852
284.885 15.7550
284.900 19.6408
284.915 15.7565
284.930 9.92109
284.943 6.42471
284.957 4.37528
284.970 3.13368
284.983 2.35724
285.010 1.48567
285.037 1.04322
285.064 0.790863
285.091 0.634303
285.145 0.459472
285.199 0.369575
285.252 0.317981
285.360 0.264936
285.575 0.228806
285.790 0.220504
286.650 0.243936
287.510 0.320845
287.725 0.369729
287.940 0.481076
288.048 0.615548
288.102 0.739536
288.155 0.949210
288.209 1.35146
288.236 1.70830
288.263 2.27854
288.290 3.27824
288.317 5.24330
288.330 7.00799
288.344 9.78552
288.357 14.3924
288.370 22.1675
288.385 35.3130
288.400 43.9976
288.415 35.2232
288.430 22.1747
288.443 14.3577
288.457 9.77080
288.470 7.00534
288.483 5.25891
288.510 3.30313
288.537 2.30827
288.564 1.74028
288.591 1.38781
288.644 0.993997
288.698 0.792585
288.751 0.677464
288.859 0.560998
289.073 0.487062
289.287 0.477225
290.145 0.580248
291.003 0.802235
291.860 1.21479
292.289 1.56147
292.718 2.08748
293.147 2.94103
293.576 4.46225
293.790 5.71481
294.005 7.58251
294.219 10.5456
294.326 12.7258
294.433 15.6586
294.541 19.7326
294.648 25.6215
294.755 34.5748
294.862 49.1155
294.969 74.9349
295.023 95.9844
295.077 126.910
295.130 174.556
295.184 252.120
295.237 385.745
295.291 622.244
295.346 996.076
295.400 1245.40
295.455 995.760
295.509 621.911
295.573 352.105
295.638 215.937
295.702 143.221
295.766 101.074
295.831 74.8193
295.895 57.4798
296.024 36.8448
296.152 25.5608
296.281 18.7479
296.538 11.3038
296.795 7.54796
297.052 5.39505
297.310 4.04831
297.567 3.15055
298.081 2.06575
298.596 1.46067
299.110 1.08911
299.624 0.844747
300.653 0.553478
301.682 0.393148
302.711 0.295568
303.740 0.231807
305.798 0.156310
307.855 0.115127
309.913 0.0909463
310.942 0.0853108
311.456 0.0938574
311.585 0.104941
311.713 0.135394
311.778 0.174092
311.842 0.267587
311.874 0.373041
311.906 0.590806
311.922 0.797256
311.938 1.14482
311.955 1.77238
311.971 2.94215
311.985 4.66623
312.000 5.80396
312.015 4.65384
312.030 2.94204
312.041 2.01854
312.053 1.43499
312.076 0.821458
312.100 0.536849
312.123 0.386015
312.170 0.241203
312.216 0.177118
312.309 0.123203
312.403 0.101549
312.589 0.0841471
312.776 0.0770199
313.522 0.0669842
315.015 0.0589268
318.000 0.0495216
320.985 0.0442393
322.478 0.0437664
323.224 0.0477403
323.597 0.0637975
323.691 0.0790277
323.784 0.117584
323.831 0.163860
323.877 0.268293
323.901 0.377388
323.924 0.583454
323.947 1.02813
323.959 1.45133
323.971 2.11407
323.985 3.36028
324.000 4.18293
324.015 3.35146
324.030 2.11427
324.045 1.29199
324.060 0.842673
324.091 0.435431
324.122 0.271257
324.153 0.191015
324.214 0.118927
324.276 0.0887284
324.399 0.0644313
324.522 0.0551798
325.015 0.0461924
326.000 0.0480635
326.493 0.0544612
326.985 0.0733096
327.231 0.0990854
327.355 0.124321
327.478 0.169294
327.601 0.261769
327.663 0.349843
327.724 0.502002
327.786 0.800387
327.816 1.07005
327.847 1.50880
327.878 2.29658
327.893 2.94447
327.909 3.90456
327.924 5.40084
327.940 7.87558
327.955 12.2331
327.970 20.0898
327.985 32.0936
328.000 40.0854
328.015 32.0950
328.030 20.0918
328.047 11.6872
328.063 7.32270
328.080 4.93244
328.097 3.52301
328.114 2.63020
328.130 2.03961
328.164 1.33047
328.197 0.938460
328.231 0.701314
328.297 0.440608
328.364 0.308665
328.431 0.233004
328.565 0.154452
328.699 0.117176
328.833 0.0973004
329.100 0.0807375
329.368 0.0818571
329.635 0.107841
329.769 0.148002
329.836 0.187502
329.903 0.256944
329.970 0.394853
330.003 0.521086
330.037 0.728815
330.070 1.10758
330.087 1.42286
330.104 1.89665
330.120 2.64928
330.137 3.92819
330.154 6.26983
330.170 10.7583
330.185 17.2171
330.200 21.4872
330.215 17.1714
330.230 10.7588
330.244 6.77066
330.258 4.49339
330.272 3.15029
330.286 2.31558
330.314 1.39476
330.343 0.932501
330.371 0.669716
330.399 0.507850
330.456 0.326838
330.512 0.233324
330.568 0.179015
330.681 0.121500
330.907 0.0771413
331.133 0.0604708
331.584 0.0477029
332.036 0.0428254
333.841 0.0375889
337.453 0.0373071
341.065 0.0405442
344.676 0.0478902
348.288 0.0642112
350.094 0.0803928
351.900 0.109634
353.706 0.171426
354.609 0.232478
355.512 0.343122
355.963 0.435936
356.414 0.577137
356.866 0.807597
357.317 1.22218
357.543 1.56703
357.769 2.08658
357.995 2.92271
358.220 4.39603
358.333 5.59557
358.446 7.36578
358.559 10.1334
358.672 14.8044
358.728 18.4548
358.785 23.6168
358.841 31.2547
358.897 43.2007
358.954 63.3234
358.982 78.8280
359.010 100.436
359.039 131.504
359.067 177.636
359.095 248.007
359.123 355.553
359.162 568.977
359.200 710.668
359.239 568.304
359.277 355.460
359.304 250.707
359.332 181.210
359.359 135.091
359.386 103.729
359.441 65.8832
359.495 45.1864
359.550 32.7922
359.605 24.8328
359.714 15.6223
359.823 10.7102
359.932 7.79508
360.041 5.92717
360.150 4.66083
360.369 3.10171
360.587 2.21696
360.805 1.66725
361.024 1.30335
361.460 0.868694
361.897 0.636882
362.334 0.546032
362.443 0.573177
362.552 0.689729
362.607 0.851738
362.661 1.24574
362.689 1.67960
362.716 2.54313
362.730 3.32538
362.743 4.56560
362.757 6.64056
362.770 10.1778
362.785 16.0549
362.800 19.9702
362.815 16.0502
362.830 10.1681
362.844 6.50881
362.858 4.40974
362.872 3.17638
362.886 2.41596
