Cr-50(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
33549.2 1.08227
33556.9 0.851739
33572.4 0.569075
33587.9 0.409207
33603.4 0.310370
33618.9 0.245323
33649.9 0.168666
33680.9 0.128362
33711.9 0.106181
33742.9 0.0943095
33805.0 0.0880982
33867.0 0.0957754
33991.0 0.136915
34115.0 0.205558
34239.0 0.301361
34487.0 0.587550
34735.0 1.03686
34983.0 1.71530
35231.0 2.72467
35355.1 3.40666
35386.1 3.60544
35417.1 3.82715
35432.6 3.95785
35448.1 4.13173
35455.8 4.27027
35463.6 4.53985
35467.4 4.83745
35469.4 5.10200
35471.3 5.53885
35473.2 6.36797
35474.2 7.10079
35475.2 8.28049
35476.2 10.3632
35476.6 12.0795
35477.1 14.5517
35477.6 18.4558
35478.1 24.7232
35478.6 35.5848
35479.1 55.2195
35479.5 85.3925
35480.0 105.145
35480.5 84.9291
35480.9 54.1277
35481.3 39.5879
35481.6 29.9433
35481.9 23.2955
35482.2 18.8948
35482.9 13.4714
35483.5 10.5067
35484.2 8.73747
35484.8 7.60743
35486.1 6.31231
35487.4 5.63505
35488.7 5.24230
35491.3 4.83826
35496.5 4.55920
35501.7 4.48776
35512.1 4.49445
35522.5 4.55644
35543.3 4.72526
35564.0 4.92836
35584.8 5.18709
35595.2 5.36376
35605.6 5.61538
35616.0 6.04851
35621.2 6.42590
35626.4 7.04941
35631.6 8.23318
35634.2 9.28264
35636.8 10.9643
35639.4 13.9288
35642.0 19.7700
35643.3 25.0405
35644.6 33.4466
35645.9 47.5093
35647.1 71.2294
35648.6 111.429
35650.0 138.525
35651.4 112.457
35652.9 72.9092
35654.4 45.6143
35656.0 31.1312
35657.6 23.0205
35659.1 18.2137
35660.7 15.1369
35662.3 13.0873
35665.4 10.6030
35668.5 9.22846
35671.6 8.39604
35677.9 7.49559
35684.2 7.06029
35690.4 6.83168
35702.9 6.64686
35715.5 6.62031
35728.0 6.66251
35753.0 6.83929
35803.1 7.34201
35853.2 7.93811
36053.4 10.9665
36454.0 20.8321
36710.5 30.8421
36967.0 43.9556
37480.0 68.8597
37736.5 71.7150
37993.0 67.2197
38506.0 50.6036
39046.5 36.3237
39587.0 27.2342
40127.5 21.4515
40397.8 19.3433
40465.4 18.8786
40532.9 18.4414
40566.7 18.2396
40583.6 18.1482
40600.5 18.0710
40617.4 18.0283
40625.8 18.0384
40634.3 18.0996
40642.7 18.2852
40646.9 18.4887
40651.2 18.8646
40655.4 19.6385
40657.5 20.3550
40659.6 21.5447
40661.7 23.7104
40662.8 25.5244
40663.8 28.2147
40664.9 32.5018
40665.9 39.6374
40667.0 52.6009
40668.0 76.5958
40669.0 112.262
40670.0 136.277
40671.0 112.625
40672.0 77.2691
40672.7 58.7595
40673.5 46.9595
40674.2 39.2809
40674.9 34.1362
40676.4 27.9860
40677.9 24.6910
40679.4 22.7174
40680.9 21.4616
40683.8 20.0023
40686.8 19.2141
40689.8 18.7386
40695.7 18.2096
40701.7 17.9265
40707.6 17.7498
40719.5 17.5319
40731.3 17.3910
40743.2 17.2822
40766.9 17.1062
40814.4 16.8138
40861.9 16.5498
41051.8 15.6022
41431.6 14.0167
42191.3 11.6682
42950.9 10.0167
43710.5 8.79257
45229.8 7.08749
45989.5 6.46051
46369.3 6.18384
46559.2 6.05303
46654.2 5.99085
46701.6 5.96954
46725.4 6.00142
46731.3 6.04786
46737.3 6.18407
46740.2 6.36856
46743.2 6.84696
46744.7 7.43677
46746.2 8.78970
46746.9 10.2293
46747.6 13.0027
46748.0 15.4247
46748.4 19.1717
46748.7 25.1938
46749.1 34.9753
46749.6 52.8239
46750.0 64.5476
46750.5 52.8257
46750.9 35.5000
46751.3 25.0758
46751.7 18.8694
46752.1 15.1124
46752.5 12.7797
46753.3 10.0769
46754.1 8.70856
46755.7 7.41804
46757.2 6.85838
46760.4 6.38936
46763.6 6.20291
46769.9 6.05426
46776.3 5.99519
46801.7 5.92036
46852.4 5.87029
46954.0 5.80025
47157.0 5.67250
47563.2 5.43165
48375.5 4.98747
49187.7 4.57528
49593.9 4.37492
49796.9 4.27494
49898.5 4.22512
50000.0 4.18045
50039.5 4.18980
50049.4 4.21725
50059.3 4.30597
50064.2 4.43261
50069.1 4.78018
50071.6 5.23001
50072.9 5.65011
50074.1 6.34897
50075.3 7.65830
50075.9 8.77678
50076.6 10.4615
50077.2 13.2520
50077.8 18.0811
50078.4 27.5407
50078.7 35.5582
50079.0 46.6382
50079.5 72.7330
50080.0 89.9544
50080.5 72.8526
50081.0 47.4541
50081.4 34.2429
50081.7 25.6494
50082.1 20.0451
50082.5 16.3696
50083.2 11.8525
50083.9 9.44058
50084.7 7.98344
50085.4 7.06294
50086.9 5.98921
50088.3 5.41634
50089.8 5.07504
50092.8 4.70511
50098.6 4.41085
50104.5 4.29641
50116.3 4.20459
50128.0 4.16615
50151.5 4.12926
50175.0 4.10785
50269.0 4.05021
50457.0 3.95234
50833.0 3.75830
51585.1 3.34136
52337.1 2.84429
52713.1 2.54113
52807.2 2.45696
52901.2 2.36882
52995.2 2.27774
53042.2 2.24042
53065.7 2.26765
53071.5 2.31677
53077.4 2.46535
53080.4 2.66924
53083.3 3.20568
53084.8 3.86850
53086.2 5.41627
53087.0 7.10319
53087.7 10.3665
53088.1 13.3082
53088.4 17.8031
53088.8 25.3878
53089.2 37.8919
53089.6 59.4519
53090.0 74.3162
53090.4 60.0497
53090.8 38.6047
53091.3 23.7945
53091.8 15.8205
53092.2 11.4123
53092.7 8.79504
53093.6 6.02562
53094.5 4.68507
53096.4 3.48511
53098.2 2.98023
53101.9 2.56884
53105.6 2.40618
53112.9 2.27520
53120.3 2.22061
53149.7 2.13877
53208.5 2.05779
53326.2 1.91382
53561.6 1.60051
53797.0 1.23499
54032.4 0.809452
54267.8 0.344934
54385.5 0.136242
54444.4 0.0579281
54473.8 0.0305881
54503.2 0.0142408
54532.6 0.0120127
54562.1 0.0278777
54591.5 0.0669209
54620.9 0.135622
54650.3 0.242419
54679.8 0.398108
54709.2 0.616958
54738.6 0.917345
54768.0 1.32383
54797.5 1.86823
54856.3 3.55417
54915.2 6.49631
54974.0 11.5284
55023.0 18.0693
55072.0 27.0406
55170.0 45.6718
55219.0 48.9691
55268.0 47.1381
55366.0 37.3324
55426.1 31.5891
55486.3 26.9786
55606.6 20.6138
55726.8 16.6901
55847.1 14.1253
55967.4 12.3492
56087.6 11.0584
56328.2 9.32161
56568.7 8.21245
56809.3 7.44316
57290.3 6.44072
57771.4 5.80787
58252.5 5.36436
58493.0 5.18733
58613.3 5.10762
58733.6 5.03373
58853.9 4.96715
58914.0 4.93841
58974.1 4.91593
59034.3 4.90822
59064.3 4.91786
59094.4 4.94960
59109.4 4.98212
59124.5 5.03596
59139.5 5.12878
59154.5 5.30038
59162.1 5.44374
59169.6 5.65825
59177.1 5.99731
59184.6 6.57380
59192.1 7.66674
59195.9 8.61557
59199.6 10.0926
59203.4 12.5698
59207.2 17.1052
59209.0 20.8640
59210.9 26.3886
59212.8 34.7050
59214.7 47.1450
59217.3 72.8696
59220.0 90.3793
59222.7 73.5936
59225.4 48.0001
59227.3 34.8532
59229.3 26.2864
59231.3 20.6910
59233.3 16.9483
59237.3 12.4604
59241.3 10.0374
59245.2 8.59040
59249.2 7.66568
59257.2 6.59324
59265.1 6.01967
59273.1 5.67671
59281.0 5.45470
59288.9 5.30230
59304.8 5.11029
59320.7 4.99686
59336.6 4.92272
59352.5 4.87053
59384.3 4.80097
59416.1 4.75518
59479.7 4.69370
59543.3 4.64936
59606.9 4.61247
59734.0 4.54905
59861.2 4.49262
59988.4 4.44019
60242.7 4.34320
60751.4 4.17009
61260.1 4.01554
62277.4 3.73574
62786.1 3.59924
62913.3 3.56579
63040.4 3.53673
63104.0 3.52929
63167.6 3.54292
63199.4 3.57817
63215.3 3.61725
63231.2 3.69034
63247.1 3.84381
63255.0 3.98980
63263.0 4.23896
63270.9 4.71424
63274.9 5.13049
63278.9 5.78439
63282.9 6.89579
63286.8 8.96757
63288.8 10.7264
63290.8 13.3526
63292.8 17.4338
63294.8 23.7399
63297.4 36.0015
63300.0 44.3305
63302.6 36.3299
63305.2 24.0319
63308.3 15.2820
63311.3 10.7849
63314.3 8.34216
63317.3 6.91789
63320.3 6.02156
63323.3 5.42843
63329.3 4.71766
63335.3 4.32522
63341.3 4.08689
63353.3 3.82316
63365.3 3.68735
63377.3 3.60738
63401.3 3.51951
63425.4 3.47229
63449.4 3.44191
63497.4 3.40186
63593.5 3.34783
63689.6 3.30122
63881.8 3.20245
64074.0 3.07809
64266.1 2.89915
64362.2 2.76994
64458.3 2.59061
64554.4 2.31896
64602.5 2.12075
64650.5 1.85018
64698.5 1.46054
64722.6 1.19709
64746.6 0.871118
64794.6 0.115214
64800.6 0.0752572
64806.6 0.0950364
64812.6 0.220659
64818.6 0.533509
64821.7 0.803884
64824.7 1.18455
64827.7 1.71569
64830.7 2.45151
64833.7 3.47025
64836.7 4.86597
64839.7 6.77358
64842.7 9.35598
64847.0 14.6354
64851.3 21.9349
64860.0 37.7484
64864.3 40.9631
64868.7 39.7854
64877.3 31.7498
64885.1 25.0196
64892.8 20.2149
64900.5 16.8859
64908.2 14.5313
64923.6 11.5187
64939.0 9.72312
64954.4 8.55064
64969.8 7.73310
65000.6 6.67566
65031.4 6.02572
65062.2 5.58783
65123.8 5.03673
65185.4 4.70516
65247.0 4.48507
65370.2 4.21888
65493.4 4.09106
65555.0 4.07663
