La-139(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
876.702 3.64898
876.934 3.39550
877.166 3.22752
877.399 3.10888
877.863 2.95353
878.328 2.85705
878.793 2.79159
879.257 2.74436
880.187 2.68082
881.116 2.63998
882.045 2.61142
882.974 2.59023
884.833 2.56059
886.692 2.54051
890.409 2.51417
894.126 2.49684
897.843 2.48448
899.701 2.48024
901.560 2.47935
902.489 2.48303
903.419 2.49820
903.883 2.52140
904.348 2.58864
904.580 2.68152
904.696 2.77322
904.812 2.93793
904.929 3.28026
904.987 3.60982
905.045 4.18567
905.103 5.33512
905.132 6.39605
905.161 8.15919
905.190 11.4293
905.205 14.1985
905.219 18.4351
905.234 25.3350
905.248 37.4917
905.263 60.9830
905.270 81.0540
905.277 109.510
905.289 173.745
905.300 216.570
905.312 173.742
905.323 109.507
905.330 81.3817
905.337 61.8973
905.351 38.5250
905.365 26.2175
905.379 19.1497
905.393 14.7499
905.407 11.8817
905.435 8.48197
905.463 6.62485
905.491 5.51113
905.547 4.29496
905.604 3.68289
905.660 3.33254
905.772 2.96764
905.884 2.79136
905.996 2.69295
906.221 2.59259
906.669 2.51831
907.118 2.49110
908.016 2.47006
908.913 2.46126
910.708 2.45231
912.503 2.44656
919.683 2.42921
926.863 2.41324
934.043 2.39653
941.223 2.37745
944.813 2.36604
948.403 2.35219
951.993 2.33367
953.788 2.32109
955.583 2.30437
957.378 2.28014
958.276 2.26305
959.173 2.24043
960.071 2.20959
960.519 2.19052
960.968 2.17069
961.417 2.15986
961.641 2.17035
961.866 2.21646
961.978 2.27081
962.090 2.36978
962.202 2.55660
962.314 2.93476
962.370 3.27092
962.427 3.79677
962.483 4.66611
962.539 6.21668
962.595 9.30100
962.623 12.0867
962.651 16.5532
962.679 24.3202
962.693 30.4348
962.707 39.1076
962.721 51.8213
962.735 71.1204
962.749 101.317
962.763 148.824
962.782 242.947
962.800 310.962
962.819 255.766
962.837 164.860
962.855 105.605
962.873 71.5999
962.892 51.3989
962.910 38.8674
962.928 30.5702
962.946 24.8782
962.982 17.7455
963.019 13.6296
963.055 11.0355
963.127 8.05684
963.200 6.46123
963.273 5.49815
