20-Ca_n-g
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
9.996120e+02 2.08536298e-03
9.997090e+02 2.08524843e-03
9.998060e+02 2.08508099e-03
1.000000e+03 2.08476790e-03
1.000220e+03 2.08462926e-03
1.075000e+03 2.03750711e-03
1.150000e+03 2.00247157e-03
1.187500e+03 1.99367582e-03
1.225000e+03 1.99551329e-03
1.262500e+03 2.01572223e-03
1.300000e+03 2.07050363e-03
1.326230e+03 2.14805594e-03
1.352450e+03 2.28868104e-03
1.378680e+03 2.55616725e-03
1.391790e+03 2.78035358e-03
1.404900e+03 3.11156875e-03
1.423680e+03 3.91471444e-03
1.442450e+03 5.45225966e-03
1.461230e+03 8.06375710e-03
1.470610e+03 9.33609564e-03
1.480000e+03 9.78827172e-03
1.500000e+03 7.36141996e-03
1.500110e+03 7.34810754e-03
1.517550e+03 5.23748385e-03
1.536330e+03 3.78386155e-03
1.555100e+03 3.00464338e-03
1.569000e+03 2.65530696e-03
1.582910e+03 2.41518549e-03
1.610710e+03 2.11650699e-03
1.638520e+03 1.94353321e-03
1.666330e+03 1.83242672e-03
1.721940e+03 1.69736389e-03
1.777550e+03 1.61500307e-03
1.833160e+03 1.55581053e-03
1.888780e+03 1.50836802e-03
2.000000e+03 1.43068948e-03
2.166180e+03 1.35755907e-03
2.332350e+03 1.29294893e-03
2.440410e+03 1.25391517e-03
2.660620e+03 1.18953765e-03
2.664710e+03 1.18872902e-03
2.750000e+03 1.17320090e-03
2.770720e+03 1.16957135e-03
2.825770e+03 1.19167507e-03
2.853300e+03 1.32634101e-03
2.867060e+03 1.88006078e-03
2.873940e+03 4.04186242e-03
2.877380e+03 1.21972080e-02
2.879100e+03 4.11401657e-02
2.879530e+03 6.76748442e-02
2.879960e+03 1.32517510e-01
2.880180e+03 2.06932234e-01
2.880390e+03 3.65520343e-01
2.880610e+03 7.90464437e-01
2.880720e+03 1.30798346e+00
2.880820e+03 2.34463841e+00
2.880910e+03 3.75208743e+00
2.881000e+03 4.69097163e+00
2.881090e+03 3.75220375e+00
2.881180e+03 2.34477411e+00
2.881250e+03 1.57930067e+00
2.881320e+03 1.09994675e+00
2.881460e+03 6.01729841e-01
2.881600e+03 3.72341782e-01
2.881740e+03 2.51337146e-01
2.882020e+03 1.35572926e-01
2.882310e+03 8.47091559e-02
2.882870e+03 4.22328620e-02
2.883440e+03 2.54876465e-02
2.885690e+03 7.71270251e-03
2.890210e+03 2.84201746e-03
2.899250e+03 1.56522330e-03
2.917320e+03 1.23529451e-03
