77-Ir_n-g
> 77-Ir-191:0.373000
> 77-Ir-193:0.627000
2.432110e+01 1.22495026e+02
2.432480e+01 1.26119962e+02
2.435300e+01 1.57304076e+02
2.435600e+01 1.60859317e+02
2.439080e+01 2.37464940e+02
2.440820e+01 3.01222070e+02
2.440940e+01 3.07649491e+02
2.442570e+01 3.95687352e+02
2.444310e+01 5.37521875e+02
2.446050e+01 7.50329663e+02
2.446580e+01 8.43418803e+02
2.448530e+01 1.18647776e+03
2.451000e+01 1.47715606e+03
2.453480e+01 1.18818070e+03
2.455950e+01 7.54655188e+02
2.457850e+01 5.47245730e+02
2.458650e+01 4.60163574e+02
2.461340e+01 3.05384781e+02
2.464040e+01 2.21456653e+02
2.466730e+01 1.73590766e+02
2.469130e+01 1.53858122e+02
2.472120e+01 1.30900962e+02
2.477510e+01 1.23300037e+02
2.480410e+01 1.31448758e+02
2.482900e+01 1.40619268e+02
2.486050e+01 1.70782320e+02
2.488290e+01 1.95034549e+02
2.490990e+01 2.47881014e+02
2.491690e+01 2.70219166e+02
2.493680e+01 3.38945611e+02
2.495030e+01 4.06710598e+02
2.496380e+01 4.96789261e+02
2.497320e+01 5.82126758e+02
2.497720e+01 6.20007043e+02
2.499070e+01 7.89105814e+02
2.500140e+01 9.60118953e+02
2.500300e+01 9.86487887e+02
2.501540e+01 1.21561694e+03
2.502960e+01 1.38826930e+03
2.504000e+01 1.52397480e+03
2.505230e+01 1.47421133e+03
2.505780e+01 1.40401993e+03
2.506470e+01 1.32777017e+03
2.508600e+01 1.06982129e+03
2.508930e+01 1.04160253e+03
2.511420e+01 9.86235806e+02
2.511870e+01 9.98448648e+02
2.512830e+01 1.07151799e+03
2.514240e+01 1.25037998e+03
2.514810e+01 1.36297616e+03
2.516620e+01 1.76244686e+03
2.517750e+01 1.91838273e+03
2.519000e+01 2.10482795e+03
2.520700e+01 1.79824604e+03
2.521380e+01 1.67949671e+03
2.523640e+01 1.09940966e+03
2.523760e+01 1.06899742e+03
2.526300e+01 6.58453466e+02
2.526580e+01 6.33140986e+02
2.528830e+01 4.35505200e+02
2.531370e+01 3.06916475e+02
2.532460e+01 2.72143311e+02
2.533900e+01 2.28702727e+02
2.536440e+01 1.78259425e+02
2.538340e+01 1.51618333e+02
2.538970e+01 1.43333080e+02
2.544040e+01 1.00924520e+02
2.544230e+01 9.99504999e+01
2.549110e+01 7.83200779e+01
2.554180e+01 6.38534106e+01
2.555990e+01 6.06944905e+01
2.564320e+01 5.18931297e+01
2.567760e+01 5.05604977e+01
2.573640e+01 5.24008090e+01
2.574460e+01 5.33786548e+01
2.579520e+01 6.09012337e+01
2.584600e+01 7.74430643e+01
2.585400e+01 8.01674016e+01
2.588340e+01 9.78920999e+01
2.591290e+01 1.25371065e+02
2.594230e+01 1.70259911e+02
2.594740e+01 1.81858758e+02
2.595700e+01 2.03772309e+02
2.597170e+01 2.48834138e+02
2.598640e+01 3.10694550e+02
2.600110e+01 3.97161578e+02
2.601580e+01 5.19750702e+02
2.603050e+01 6.92171906e+02
2.604290e+01 8.82093461e+02
2.604880e+01 9.85242830e+02
2.605530e+01 1.09892580e+03
2.608000e+01 1.36944410e+03
2.609240e+01 1.28898655e+03
2.610480e+01 1.09694808e+03
2.612950e+01 6.88983413e+02
2.614450e+01 5.12664372e+02
2.615960e+01 3.88347116e+02
2.618960e+01 2.38931021e+02
2.621970e+01 1.59995654e+02
2.624980e+01 1.14504468e+02
2.625150e+01 1.12899713e+02
2.627980e+01 8.63238404e+01
2.630990e+01 6.77247218e+01
2.637000e+01 4.54937037e+01
2.643020e+01 3.31828520e+01
2.645430e+01 3.01421897e+01
2.649030e+01 2.57506998e+01
2.661050e+01 1.76212175e+01
2.665710e+01 1.59860968e+01
2.670780e+01 1.45406455e+01
2.673080e+01 1.41069991e+01
2.675850e+01 1.39791755e+01
2.678390e+01 1.42979855e+01
2.680920e+01 1.52909662e+01
2.683460e+01 1.77300201e+01
2.685110e+01 2.14081358e+01
2.685990e+01 2.34515688e+01
2.688000e+01 3.13827608e+01
2.690000e+01 3.65866278e+01
2.692010e+01 3.08792613e+01
2.694010e+01 2.24567296e+01
2.696250e+01 1.65124138e+01
2.698490e+01 1.32722361e+01
2.700730e+01 1.13782155e+01
2.702970e+01 1.01541401e+01
2.707440e+01 8.62395612e+00
2.709160e+01 8.23978241e+00
2.711920e+01 7.77139042e+00
2.729830e+01 6.11309636e+00
2.733210e+01 5.91769693e+00
2.757260e+01 5.08174199e+00
2.765660e+01 4.91593492e+00
2.801480e+01 4.70475943e+00
2.805360e+01 4.74503163e+00
2.837310e+01 5.35616409e+00
2.853470e+01 6.23479155e+00
2.873130e+01 7.37877489e+00
2.891040e+01 9.52668709e+00
2.901570e+01 1.18111899e+01
2.908950e+01 1.34310256e+01
2.926870e+01 2.14568199e+01
2.935820e+01 2.90097195e+01
2.944780e+01 4.18922396e+01
2.949260e+01 5.20349465e+01
2.953730e+01 6.65290987e+01
2.958210e+01 8.82314486e+01
2.962690e+01 1.22737023e+02
2.967170e+01 1.82127293e+02
2.969410e+01 2.29047568e+02
2.971650e+01 2.95920359e+02
2.973880e+01 3.94886844e+02
2.976120e+01 5.47493684e+02
2.978360e+01 7.91832415e+02
2.980600e+01 1.18672514e+03
2.983300e+01 1.89678295e+03
2.986000e+01 2.36903835e+03
2.988700e+01 1.89438103e+03
2.991400e+01 1.18406976e+03
2.993950e+01 7.47884068e+02
2.996500e+01 4.95844743e+02
2.997770e+01 4.21687273e+02
2.999050e+01 3.46947834e+02
3.001600e+01 2.54353851e+02
3.006700e+01 1.52120711e+02
3.011810e+01 1.00805416e+02
3.016910e+01 7.17392103e+01
3.022010e+01 5.37984754e+01
3.032210e+01 3.38428376e+01
3.042410e+01 2.36901247e+01
3.052620e+01 1.79473414e+01
3.062820e+01 1.45170209e+01
3.073020e+01 1.24772445e+01
3.093430e+01 1.12058101e+01
3.093980e+01 1.12476794e+01
3.103630e+01 1.19891815e+01
3.113830e+01 1.43115703e+01
3.124030e+01 1.98134857e+01
3.129130e+01 2.51358495e+01
3.134240e+01 3.41300950e+01
3.139340e+01 5.07628258e+01
3.141890e+01 6.47938310e+01
3.144440e+01 8.60487272e+01
3.146990e+01 1.20167274e+02
3.148260e+01 1.45303119e+02
3.149540e+01 1.78889648e+02
3.150820e+01 2.24743400e+02
3.152090e+01 2.88454532e+02
3.153370e+01 3.78145109e+02
3.154640e+01 5.03573194e+02
3.156820e+01 8.03072471e+02
3.159000e+01 1.00229070e+03
3.160090e+01 9.43378542e+02
3.161180e+01 8.02320596e+02
3.163360e+01 5.02584183e+02
3.165240e+01 3.30995798e+02
3.167110e+01 2.26807026e+02
3.168990e+01 1.62716122e+02
3.170860e+01 1.21625521e+02
3.174620e+01 7.49028101e+01
3.178370e+01 5.07674918e+01
3.182120e+01 3.68184305e+01
3.185870e+01 2.80718986e+01
3.190180e+01 2.23676855e+01
3.193370e+01 1.81476921e+01
3.200880e+01 1.29424771e+01
3.208380e+01 9.86753852e+00
3.223390e+01 6.54492792e+00
3.238390e+01 4.86161393e+00
3.253400e+01 3.87960071e+00
3.283410e+01 2.82004969e+00
3.313420e+01 2.28304557e+00
3.343440e+01 1.97647820e+00
3.382600e+01 1.79204059e+00
3.403460e+01 1.70903748e+00
3.463490e+01 1.74632871e+00
3.493500e+01 1.88772070e+00
3.523510e+01 2.18774213e+00
3.553520e+01 2.85124833e+00
3.568530e+01 3.50430970e+00
3.575010e+01 4.00497590e+00
3.583540e+01 4.67140731e+00
3.598540e+01 7.04135736e+00
3.606050e+01 9.26373703e+00
3.613550e+01 1.30518418e+01
3.621050e+01 2.03034380e+01
3.624800e+01 2.67037966e+01
3.628550e+01 3.69000270e+01
