14-Si_n-g
>  14-Si-28:0.922230
>  14-Si-29:0.046850
>  14-Si-30:0.030920
8.680510e+04 3.99272179e-01
8.681150e+04 1.26679436e-01
8.682440e+04 3.59667716e-02
8.685020e+04 9.70267531e-03
8.690180e+04 2.63428893e-03
8.700490e+04 8.01211618e-04
8.721120e+04 3.34484980e-04
8.762370e+04 2.16911986e-04
8.844880e+04 1.87924979e-04
9.009900e+04 1.82040362e-04
9.339930e+04 1.84235534e-04
1.000000e+05 1.95504791e-04
1.160430e+05 2.48360480e-04
1.196230e+05 2.73657640e-04
1.294340e+05 3.43338711e-04
1.295400e+05 3.44097234e-04
1.320850e+05 3.62391432e-04
1.360960e+05 4.09209164e-04
1.369250e+05 4.21321628e-04
1.392450e+05 4.55379905e-04
1.401060e+05 4.68122282e-04
1.421120e+05 5.03366369e-04
1.431140e+05 5.22632869e-04
1.441170e+05 5.43105986e-04
1.443100e+05 5.47296227e-04
1.451200e+05 5.65029370e-04
1.461220e+05 5.88386318e-04
1.471250e+05 6.13257166e-04
1.480030e+05 6.36450913e-04
1.481280e+05 6.39786912e-04
1.490560e+05 6.66204450e-04
1.491300e+05 6.68325389e-04
1.498490e+05 6.90266326e-04
1.501330e+05 6.99054682e-04
1.516950e+05 7.52283404e-04
1.521380e+05 7.67826933e-04
1.535410e+05 8.23606983e-04
1.539620e+05 8.41076231e-04
1.541440e+05 8.48677890e-04
1.544640e+05 8.63769746e-04
1.553880e+05 9.09738303e-04
1.561490e+05 9.51908199e-04
1.563110e+05 9.61871430e-04
1.567720e+05 9.94340315e-04
1.572340e+05 1.03237025e-03
1.576950e+05 1.08085504e-03
1.581540e+05 1.15117786e-03
1.581570e+05 1.15165776e-03
1.583880e+05 1.20524856e-03
1.586190e+05 1.27926923e-03
1.588490e+05 1.38687614e-03
1.588680e+05 1.40010940e-03
1.590800e+05 1.54788150e-03
1.593800e+05 1.85157813e-03
1.596800e+05 2.07794415e-03
1.599800e+05 1.91908135e-03
1.601590e+05 1.75420737e-03
1.602800e+05 1.64407912e-03
1.604680e+05 1.52396449e-03
1.606570e+05 1.44396360e-03
1.610330e+05 1.35971018e-03
1.614100e+05 1.32851140e-03
1.617870e+05 1.32190512e-03
1.621630e+05 1.32766319e-03
1.625400e+05 1.34033349e-03
1.632930e+05 1.37620978e-03
1.637730e+05 1.40351829e-03
1.640470e+05 1.41945769e-03
1.641700e+05 1.42714746e-03
1.648000e+05 1.47500695e-03
1.663070e+05 1.59398957e-03
1.678140e+05 1.71563434e-03
1.685330e+05 1.77422151e-03
1.686790e+05 1.78627985e-03
1.693200e+05 1.84024389e-03
1.699050e+05 1.88978413e-03
1.705180e+05 1.94216150e-03
1.711320e+05 1.99499540e-03
1.717450e+05 2.04818627e-03
1.720510e+05 2.07492726e-03
1.723340e+05 2.09977884e-03
1.723580e+05 2.10189357e-03
1.726650e+05 2.12909323e-03
1.728950e+05 2.14959750e-03
1.729710e+05 2.15414840e-03
1.732780e+05 2.17269744e-03
1.735840e+05 2.19138382e-03
1.741980e+05 2.22948926e-03
1.748110e+05 2.26850412e-03
1.753470e+05 2.30360291e-03
1.754240e+05 2.30866046e-03
1.760370e+05 2.35023670e-03
1.766500e+05 2.39333264e-03
1.772580e+05 2.43777425e-03
1.772640e+05 2.43785231e-03
1.783600e+05 2.45743657e-03
1.784900e+05 2.45979616e-03
1.797400e+05 2.49065094e-03
1.798670e+05 2.49418805e-03
1.809900e+05 2.52623887e-03
1.813740e+05 2.53030408e-03
1.816200e+05 2.53335629e-03
1.821270e+05 2.51079729e-03
1.828800e+05 2.48106907e-03
1.832570e+05 2.47113984e-03
1.834450e+05 2.46987904e-03
1.834900e+05 2.47094343e-03
1.836340e+05 2.46903772e-03
1.838220e+05 2.48010758e-03
1.839160e+05 2.49711607e-03
1.840100e+05 2.53097979e-03
1.841050e+05 2.60101375e-03
1.841520e+05 2.66403594e-03
1.841990e+05 2.76344559e-03
1.842460e+05 2.93082334e-03
1.842930e+05 3.23597007e-03
1.843170e+05 3.48731035e-03
1.843400e+05 3.85172294e-03
1.843640e+05 4.39294291e-03
1.843870e+05 5.19585275e-03
1.844220e+05 6.92053839e-03
1.844570e+05 8.05992229e-03
1.844920e+05 6.89980981e-03
1.845260e+05 5.19343084e-03
1.845630e+05 4.04547627e-03
1.846000e+05 3.42541813e-03
1.846370e+05 3.07690260e-03
1.846740e+05 2.86740507e-03
1.847100e+05 2.73240917e-03
1.847400e+05 2.65803636e-03
1.847470e+05 2.64057536e-03
1.848210e+05 2.52610432e-03
1.848950e+05 2.45912045e-03
1.849690e+05 2.41541446e-03
1.851160e+05 2.36065618e-03
1.852630e+05 2.32556744e-03
1.854110e+05 2.29903836e-03
1.857060e+05 2.25730926e-03
1.859830e+05 2.22409425e-03
1.859900e+05 2.22309410e-03
1.860010e+05 2.22153697e-03
1.862960e+05 2.18242398e-03
1.868860e+05 2.10749071e-03
1.874750e+05 2.03448540e-03
1.880650e+05 1.96209119e-03
1.884900e+05 1.91026522e-03
1.892450e+05 1.82843012e-03
1.903450e+05 1.70974391e-03
1.914080e+05 1.61038299e-03
1.916040e+05 1.59394133e-03
1.939640e+05 1.39640754e-03
1.943250e+05 1.36622142e-03
1.972430e+05 1.13550368e-03
1.990700e+05 9.95078630e-04
2.001610e+05 9.41497690e-04
2.030780e+05 8.01606448e-04
2.034020e+05 7.86279712e-04
2.052970e+05 6.96693720e-04
2.059960e+05 6.75050670e-04
2.115230e+05 5.06771347e-04
2.118310e+05 5.00533728e-04
2.176660e+05 3.84385627e-04
2.177500e+05 3.82728053e-04
2.222770e+05 3.21850666e-04
2.235020e+05 3.05389312e-04
2.239760e+05 2.99085172e-04
2.293370e+05 2.55930530e-04
2.307960e+05 2.44516408e-04
2.322540e+05 2.33795946e-04
2.329840e+05 2.29341701e-04
2.333480e+05 2.27822091e-04
2.337130e+05 2.27433131e-04
2.340780e+05 2.29832785e-04
2.342600e+05 2.33553411e-04
2.344430e+05 2.41247010e-04
2.346250e+05 2.58357851e-04
2.347160e+05 2.75030839e-04
2.348070e+05 3.03834361e-04
2.348980e+05 3.59320606e-04
2.349440e+05 4.08172550e-04
2.349900e+05 4.85549430e-04
2.350350e+05 6.17698215e-04
2.350810e+05 8.67289910e-04
2.351040e+05 1.08094365e-03
2.351260e+05 1.40507014e-03
2.351490e+05 1.91298024e-03
2.351720e+05 2.70912659e-03
2.352010e+05 4.21217704e-03
2.352300e+05 5.20828172e-03
2.352590e+05 4.20454265e-03
2.352880e+05 2.70756773e-03
2.353210e+05 1.65336325e-03
2.353540e+05 1.10759179e-03
2.353870e+05 8.10160494e-04
2.354200e+05 6.35299171e-04
2.354530e+05 5.24967887e-04
2.354860e+05 4.51770287e-04
2.355520e+05 3.63828109e-04
2.356170e+05 3.15116518e-04
2.356830e+05 2.85408140e-04
2.358150e+05 2.52318839e-04
2.359470e+05 2.35016979e-04
2.360780e+05 2.24629266e-04
2.363420e+05 2.12752212e-04
2.364290e+05 2.10488476e-04
2.366050e+05 2.06543930e-04
2.368680e+05 2.02736221e-04
2.373950e+05 1.97706816e-04
2.379220e+05 1.94097475e-04
2.384480e+05 1.91067214e-04
2.395020e+05 1.85701257e-04
2.416080e+05 1.75897037e-04
2.437150e+05 1.66437023e-04
2.488820e+05 1.43649432e-04
2.521420e+05 1.34966625e-04
2.600280e+05 1.14266903e-04
2.613350e+05 1.10851475e-04
2.689960e+05 9.80035877e-05
2.737880e+05 9.00485266e-05
2.858490e+05 7.68046215e-05
2.862420e+05 7.63811392e-05
2.924680e+05 7.25092997e-05
2.942760e+05 7.41851692e-05
2.955810e+05 7.54662135e-05
2.963830e+05 8.52570579e-05
2.971380e+05 9.45697256e-05
2.977790e+05 1.58706809e-04
2.979160e+05 1.72418881e-04
2.983050e+05 4.78958575e-04
2.984900e+05 1.60506391e-03
2.985000e+05 1.66593784e-03
2.985970e+05 6.11538364e-03
2.986220e+05 1.04244806e-02
2.986460e+05 2.17039204e-02
2.986580e+05 3.58982458e-02
2.986700e+05 6.97715761e-02
2.986760e+05 1.08239176e-01
2.986820e+05 1.88526679e-01
2.986860e+05 2.66696740e-01
2.986890e+05 3.95151392e-01
2.986920e+05 6.27798667e-01
2.986950e+05 1.07991732e+00
2.986970e+05 1.73254260e+00
2.987000e+05 2.15980254e+00
2.987030e+05 1.73407350e+00
2.987050e+05 1.08114389e+00
2.987080e+05 6.83843515e-01
2.987110e+05 4.57732088e-01
2.987160e+05 2.34553353e-01
2.987210e+05 1.39789612e-01
2.987260e+05 9.21297830e-02
2.987360e+05 4.83529139e-02
2.987460e+05 2.97732129e-02
2.987660e+05 1.44908587e-02
2.987870e+05 8.55231802e-03
2.988680e+05 2.33626625e-03
2.990310e+05 6.56321109e-04
2.993560e+05 2.20494200e-04
2.995430e+05 1.89979704e-04
3.000060e+05 1.14663085e-04
3.000700e+05 1.15535965e-04
3.005960e+05 1.23139588e-04
3.006570e+05 1.24139824e-04
3.009820e+05 2.37369228e-04
3.011230e+05 6.34580537e-04
3.011440e+05 6.93811596e-04
3.012260e+05 2.45339726e-03
3.012660e+05 8.98351867e-03
3.012870e+05 3.12963343e-02
3.012970e+05 9.75678547e-02
3.013020e+05 2.48495442e-01
3.013070e+05 1.08379608e+00
