Au-197(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
202.526 9.57724
205.051 9.35553
210.102 8.99980
215.153 8.68331
220.204 8.35815
225.255 7.98165
227.781 7.75387
230.306 7.47997
232.832 7.13336
234.094 6.92220
235.357 6.68670
235.988 6.56849
236.620 6.46802
237.251 6.42753
237.883 6.56767
238.198 6.80554
238.514 7.29085
238.830 8.27513
239.145 10.3704
239.303 12.2876
239.461 15.3403
239.619 20.4835
239.777 29.8316
239.856 37.5369
239.935 48.8808
240.014 66.4020
240.092 95.1592
240.171 146.340
240.211 187.882
240.250 248.107
240.290 339.425
240.329 483.387
240.369 721.276
240.408 1118.13
240.454 1832.22
240.500 2348.52
240.546 1930.17
240.592 1240.75
240.634 812.960
240.677 558.158
240.719 403.141
240.761 304.759
240.846 193.097
240.931 135.198
241.016 101.447
241.100 80.0346
241.270 55.3145
241.439 41.9953
241.608 33.9362
241.778 28.6407
241.947 24.9519
242.286 20.2240
242.624 17.3777
242.963 15.5012
243.302 14.1812
243.979 12.4575
244.657 11.3841
245.334 10.6477
246.012 10.1059
247.366 9.34380
248.721 8.80790
251.431 8.01752
254.141 7.34299
255.496 7.00429
256.851 6.66662
257.528 6.51461
258.205 6.40481
258.883 6.40548
259.560 6.70375
259.899 7.11524
260.238 7.90064
260.577 9.42125
260.915 12.5355
261.085 15.3109
261.254 19.6413
261.423 26.7673
261.593 39.3451
261.677 49.4318
261.762 63.9470
261.847 85.6953
261.931 119.924
262.016 177.522
262.101 282.659
262.143 369.153
262.185 494.553
262.228 680.317
262.270 955.117
262.335 1573.60
262.400 2027.57
262.465 1673.68
262.530 1080.37
262.574 792.058
262.618 593.984
262.662 458.127
262.705 363.108
262.793 244.603
262.881 177.274
262.968 135.663
263.056 108.196
263.231 75.2771
263.406 56.9516
263.581 45.6305
263.932 32.8020
264.282 25.9633
264.633 21.8183
264.983 19.0774
265.333 17.1471
266.034 14.6275
266.735 13.0620
268.137 11.2091
269.538 10.1172
270.940 9.36502
271.641 9.07130
272.341 8.86473
272.692 8.86565
272.867 8.94906
273.042 9.17210
273.217 9.74249
273.305 10.3395
273.393 11.4185
273.480 13.5789
273.524 15.5301
273.568 18.6722
273.612 24.1196
273.655 34.5426
273.677 43.5289
273.699 57.2116
273.721 78.7096
273.743 112.700
273.772 179.314
273.800 226.784
273.829 186.873
273.857 122.441
273.876 91.8518
273.895 70.8221
273.933 46.1245
273.970 33.4048
274.008 26.1723
274.046 21.7049
274.083 18.7594
274.159 15.2359
274.234 13.2786
274.310 12.0701
274.460 10.6966
274.611 9.95566
274.762 9.49658
275.064 8.95360
275.365 8.63160
275.667 8.40683
276.270 8.08744
277.476 7.64099
278.682 7.27995
281.095 6.63268
283.508 6.04104
284.714 5.79940
285.920 5.66626
287.127 5.80099
288.333 6.63650
288.936 7.66292
289.539 9.54922
290.142 13.1158
290.745 20.2987
291.047 26.6386
291.349 36.4762
291.650 52.5548
291.952 80.7437
292.103 103.212
292.253 135.384
292.404 183.292
292.555 258.217
292.706 382.870
292.857 607.036
292.932 788.549
293.007 1048.87
293.083 1428.57
293.158 1979.93
293.279 3267.58
293.400 4212.97
293.521 3476.86
293.642 2242.30
293.781 1336.70
293.920 858.594
294.059 594.178
294.198 436.673
294.337 336.077
294.476 268.225
294.754 185.163
295.031 138.031
295.309 108.598
295.865 74.9841
296.421 56.9834
296.977 46.0789
297.532 38.8899
298.088 33.8517
299.199 27.3378
300.311 23.3605
301.422 20.7013
302.534 18.8047
304.757 16.2794
306.980 14.6620
309.202 13.5181
311.425 12.6450
315.871 11.3162
318.094 10.7437
320.317 10.1701
322.540 9.53727
323.651 9.17252
324.763 8.75769
325.874 8.29218
326.430 8.06508
326.986 7.91221
327.542 8.06593
327.819 8.49969
328.097 9.59433
328.375 12.4301
328.514 15.4644
328.653 21.0567
328.722 25.6835
328.792 32.5023
328.861 42.9987
328.896 50.4306
328.931 60.0560
328.966 72.8069
329.000 89.9791
329.035 113.767
329.070 147.707
329.105 197.949
329.139 274.556
329.174 395.338
329.209 587.053
329.254 970.397
329.300 1256.75
329.346 1044.28
329.391 679.584
329.433 455.357
329.474 319.335
329.515 235.517
329.556 181.586
329.638 119.846
329.720 87.6968
329.802 69.1535
329.884 57.8484
330.048 46.8924
330.212 46.3315
330.294 50.5073
330.376 59.7307
330.458 78.4375
330.540 117.973
330.581 154.246
330.622 212.184
330.663 308.382
330.704 470.213
330.752 765.686
330.800 984.845
330.848 818.302
330.896 535.283
330.944 348.344
330.991 240.411
331.039 176.411
331.086 136.290
331.181 91.2645
331.276 67.9629
331.371 54.2824
331.466 45.4951
331.656 35.1069
331.846 29.2937
332.036 25.6252
332.416 21.2885
332.796 18.8164
333.176 17.2168
333.936 15.2556
334.697 14.0836
335.457 13.2923
336.977 12.2649
338.497 11.5985
340.017 11.1070
343.057 10.3682
346.097 9.75239
347.617 9.44469
349.137 9.11352
350.657 8.73628
351.417 8.52477
352.177 8.30647
352.558 8.20757
352.938 8.13793
353.318 8.14581
353.698 8.36205
353.888 8.65272
354.078 9.20217
354.268 10.2570
354.458 12.3976
354.648 17.2232
354.743 22.0035
354.838 30.3407
354.933 46.3365
354.980 60.2068
355.028 81.6465
355.075 116.729
355.123 178.299
355.146 227.096
355.170 295.281
355.194 392.615
355.218 529.702
355.259 873.428
355.300 1127.60
355.341 934.448
355.383 607.072
355.412 438.122
355.442 325.027
355.472 248.941
355.502 196.861
355.561 132.984
355.620 97.3705
355.680 75.5496
355.739 61.2429
355.858 44.1974
355.977 34.7295
356.096 28.8868
356.215 24.9911
356.334 22.2481
356.572 18.6899
356.810 16.5181
357.048 15.0706
357.286 14.0424
357.762 12.6819
358.237 11.8184
359.189 10.7597
360.141 10.0984
361.092 9.60892
362.995 8.82818
364.899 8.08623
365.850 7.67995
366.802 7.23831
367.278 7.01322
367.753 6.80860
368.229 6.68202
368.705 6.80106
368.943 7.09225
369.181 7.72665
369.419 9.05206
369.657 11.9050
369.776 14.5146
369.894 18.6468
370.013 25.5369
370.132 37.8315
370.192 47.7626
370.251 62.1177
370.311 83.7138
370.370 117.805
370.430 175.371
370.489 280.697
370.519 367.498
370.549 493.268
370.578 679.570
370.608 955.164
370.654 1582.64
370.700 2048.80
370.746 1699.07
370.792 1102.53
370.825 794.212
370.858 587.607
370.891 448.922
370.924 353.573
370.991 236.580
371.057 171.293
371.123 131.269
371.189 105.040
371.322 73.7193
371.454 56.2954
371.587 45.5268
371.852 33.2698
372.117 26.6836
372.382 22.6579
372.646 19.9710
372.911 18.0618
373.441 15.5574
373.706 14.7253
373.971 14.1301
374.236 13.8729
374.368 13.9951
374.501 14.4939
374.633 15.8650
374.700 17.2848
374.766 19.7645
374.832 24.4373
374.898 34.2687
374.931 43.5091
374.964 58.7622
374.998 85.3214
375.031 132.783
375.065 212.445
375.100 271.715
375.135 227.114
375.169 151.045
375.194 112.538
375.218 86.5174
375.243 68.8957
375.267 56.6904
375.316 41.5831
375.365 33.0777
375.414 27.8179
375.463 24.3451
375.560 20.1453
375.658 17.7584
375.755 16.2448
375.951 14.4400
376.146 13.3879
376.341 12.6799
376.732 11.7360
377.513 10.5578
378.295 9.68821
379.076 8.94462
379.467 8.66116
379.857 8.58567
380.053 8.74485
380.248 9.19944
380.443 10.2555
380.639 12.6536
380.834 18.4937
380.932 24.5308
381.029 35.3438
381.078 44.0942
381.127 56.6993
381.176 75.5942
381.225 105.298
381.273 155.013
381.322 244.364
381.347 316.616
381.371 419.993
381.395 570.274
381.420 788.077
381.460 1311.64
381.500 1708.38
381.540 1425.90
381.580 930.912
381.616 625.943
381.652 439.864
381.688 324.297
381.724 249.784
381.795 163.656
381.867 118.084
381.939 91.0829
382.010 73.7142
382.154 53.3101
382.297 42.0905
382.441 35.1715
382.584 30.5517
382.727 27.2840
383.014 23.0107
383.301 20.3721
383.588 18.5923
383.874 17.3152
384.448 15.6044
385.021 14.5073
386.168 13.1632
387.316 12.3485
388.463 11.7831
390.757 11.0064
393.051 10.4442
395.345 9.95251
396.492 9.70076
397.065 9.56809
397.639 9.43151
398.212 9.30270
398.499 9.25684
398.786 9.25399
399.073 9.37844
399.216 9.56811
399.359 9.97213
399.503 10.8997
399.574 11.8195
399.646 13.4164
399.718 16.4512
399.754 19.0591
399.790 23.0344
399.825 29.4573
399.861 40.4480
399.897 60.6338
399.915 76.8684
399.933 99.2792
399.950 126.918
399.966 159.410
400.000 204.797
400.034 172.166
400.067 115.278
400.103 75.2049
400.139 53.0539
400.175 40.3722
400.211 32.6405
400.283 24.2601
400.355 20.1705
400.426 17.9912
400.498 16.8457
400.642 16.4479
400.786 18.4647
400.857 20.9495
400.929 25.3682
401.001 33.5890
401.073 50.3757
401.109 65.6144
401.145 89.8858
401.180 130.177
401.216 198.069
401.258 321.493
401.300 412.872
401.342 343.668
401.384 226.086
401.421 154.117
401.458 110.325
401.496 83.2478
401.533 65.7639
401.608 45.6225
401.682 34.9844
401.757 28.6816
401.832 24.6351
401.981 19.8773
402.130 17.2515
402.279 15.6253
402.578 13.7523
402.876 12.7207
403.175 12.0709
403.772 11.2947
404.369 10.8390
404.966 10.5313
406.160 10.1240
407.354 9.84803
408.547 9.63469
410.935 9.29753
415.711 8.75429
420.487 8.23394
425.263 7.64199
427.651 7.28878
430.039 6.87838
431.233 6.65024
432.426 6.41379
433.620 6.19370
434.814 6.07287
435.411 6.12376
436.008 6.35367
436.605 6.96203
437.202 8.44076
437.799 12.2170
438.098 16.2384
438.396 23.6199
438.545 29.7031
438.695 38.6253
438.844 52.2886
438.993 74.3291
439.142 112.488
439.292 184.734
439.366 246.137
439.441 338.134
439.515 479.556
439.590 697.578
439.695 1157.81
439.800 1503.38
439.905 1251.50
440.010 814.878
440.091 575.537
440.173 419.084
440.254 316.670
440.335 247.630
440.498 164.665
440.660 119.117
440.823 91.5322
440.986 73.5436
441.311 52.1727
441.636 40.3236
441.961 32.9904
442.286 28.0868
442.612 24.6145
443.262 20.0692
443.912 17.2487
444.563 15.3264
445.213 13.9205
446.514 11.9481
447.164 11.2084
447.814 10.5967
448.465 10.2024
448.790 10.2154
449.115 10.6183
449.278 11.1384
449.440 12.0915
449.603 13.8654
449.766 17.3513
449.928 24.9303
450.009 32.2160
450.091 44.5794
450.172 67.4502
450.213 86.6366
450.253 115.266
450.294 160.241
450.335 234.440
450.375 364.061
450.416 596.841
450.458 983.925
450.500 1271.49
450.542 1054.74
450.584 685.355
450.610 520.857
450.635 402.756
450.686 257.946
450.737 179.641
450.788 133.603
450.839 104.477
450.890 84.9249
450.992 61.1132
451.094 47.6212
451.196 39.1913
451.400 29.5317
451.604 24.3141
451.808 21.1200
452.012 18.9864
452.216 17.4705
452.624 15.4650
453.032 14.1962
453.847 12.6595
454.663 11.7329
455.479 11.0877
457.110 10.1937
458.742 9.54805
460.374 9.01476
463.637 8.06943
466.900 7.10791
468.531 6.58510
470.163 6.05572
470.979 5.82691
471.794 5.68907
472.610 5.78604
473.426 6.50416
473.834 7.40191
474.242 9.05607
474.650 12.1732
475.058 18.3924
475.262 23.8193
475.465 32.1323
475.669 45.4910
475.873 68.3230
476.077 110.899
476.179 146.752
476.281 200.516
476.383 285.134
476.485 425.409
476.587 671.692
476.689 1115.34
476.795 1854.84
476.900 2411.69
477.006 2007.75
477.112 1305.54
477.206 878.618
477.299 616.433
477.393 453.537
477.487 348.050
477.674 225.911
477.861 161.200
478.049 122.806
478.236 98.1150
478.611 69.1077
478.985 53.1604
479.360 43.3349
479.735 36.7762
480.109 32.1371
480.859 26.0719
481.608 22.3161
482.357 19.7678
483.107 17.9172
484.605 15.3588
485.355 14.4070
486.104 13.5902
486.853 12.9106
487.228 12.6684
487.602 12.5981
487.977 13.0089
488.164 13.6909
488.352 15.1736
488.539 18.5976
488.633 21.9812
488.726 27.7967
488.820 38.6747
488.914 61.5247
488.961 83.0578
489.007 118.548
489.054 180.327
489.101 290.682
489.151 478.412
489.200 620.947
489.250 520.101
489.299 342.761
489.330 261.368
489.361 203.422
489.422 132.716
489.484 94.7136
489.545 72.4553
489.606 58.3485
489.668 48.8801
489.791 37.2846
489.914 30.6687
490.037 26.4992
490.282 21.6392
490.528 18.9366
490.774 17.2206
491.266 15.1304
491.758 13.8757
492.003 13.4562
492.249 13.2409
492.495 13.5136
492.618 14.1203
492.741 15.5169
492.864 18.8333
492.925 22.1507
492.987 27.8756
493.048 38.6057
493.110 61.0575
493.140 82.1031
493.171 116.461
493.187 141.964
