Pd-105(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
86.8152 643.149
86.8410 464.627
86.8668 347.482
86.8926 268.470
86.9442 173.761
86.9958 122.181
87.0474 91.2715
87.0990 71.3643
87.2022 48.1489
87.3055 35.6253
87.4087 28.0854
87.5119 23.1797
87.6151 19.7988
87.8215 15.5436
88.0279 13.0469
88.2343 11.4434
88.4407 10.3444
88.8536 8.96047
89.2664 8.14066
89.6792 7.60577
90.0921 7.23191
90.9177 6.74609
91.7434 6.44424
93.3947 6.08548
95.0460 5.87392
96.6974 5.73002
98.3487 5.62495
99.1743 5.58561
100.000 5.56686
100.254 5.57571
100.508 5.61339
100.634 5.66460
100.761 5.78560
100.825 5.91520
100.888 6.16485
100.920 6.38317
100.952 6.72164
100.983 7.26751
101.015 8.15819
101.053 9.73559
101.090 10.7890
101.128 9.74462
101.165 8.17559
101.194 7.34280
101.224 6.81684
101.253 6.48439
101.283 6.26979
101.341 6.03228
101.400 5.93331
101.459 5.92052
101.518 5.99909
101.576 6.24521
101.606 6.49700
101.635 6.90145
101.673 7.67283
101.710 8.18577
101.748 7.65707
101.785 6.86848
101.819 6.40308
101.852 6.12556
101.919 5.84910
101.986 5.72783
102.052 5.66666
102.186 5.61440
102.320 5.60131
102.587 5.63090
102.855 5.73502
103.122 5.99231
103.256 6.25461
103.389 6.72339
103.523 7.66017
103.590 8.51225
103.657 9.89770
103.724 12.3520
103.790 17.2088
103.824 21.5614
103.857 28.4607
103.891 39.8982
103.924 59.1929
103.962 93.0440
104.000 116.816
104.038 95.6150
104.076 62.3935
104.101 46.8226
104.126 36.1844
104.177 23.8201
104.227 17.4938
104.277 13.9296
104.327 11.7377
104.378 10.3043
104.478 8.60370
104.578 7.66960
104.679 7.10093
104.880 6.46724
105.081 6.13628
105.282 5.93895
105.683 5.71948
106.085 5.60154
106.487 5.52738
107.291 5.43619
108.898 5.33539
110.506 5.26956
113.720 5.17089
115.328 5.14031
115.730 5.14418
116.131 5.17328
116.332 5.21916
116.433 5.26405
116.533 5.34112
116.634 5.48724
116.684 5.61330
116.734 5.80863
116.784 6.13253
116.835 6.71416
116.885 7.87197
116.910 8.88108
116.935 10.3652
116.973 13.5309
117.010 15.6383
117.048 13.5315
117.085 10.3644
117.121 8.39486
117.157 7.26524
117.193 6.59973
117.228 6.18635
117.300 5.72967
117.372 5.50020
117.443 5.36921
117.515 5.28763
117.658 5.19473
117.801 5.14492
117.945 5.11432
118.231 5.07825
118.804 5.04078
119.377 5.01683
120.523 4.97920
121.670 4.94750
122.816 4.92680
123.389 4.92888
123.962 4.95500
124.535 5.04825
124.821 5.16123
125.108 5.38710
125.251 5.58627
125.395 5.89644
125.538 6.40832
125.681 7.32313
125.824 9.16507
125.896 10.8522
125.968 13.6241
126.039 18.5989
126.111 28.6430
126.147 37.8306
126.182 52.6942
126.218 78.0004
126.254 122.033
126.273 155.752
126.292 194.562
126.330 245.072
126.369 199.529
126.407 127.927
126.439 87.5596
126.471 62.5116
126.503 46.8083
126.535 36.5794
126.600 24.7351
126.664 18.4862
126.728 14.8143
126.792 12.4781
126.921 9.78328
127.049 8.33877
127.177 7.47110
127.434 6.51615
127.691 6.02188
127.948 5.72869
128.461 5.40522
128.975 5.23655
129.488 5.14450
129.745 5.12671
130.002 5.15199
130.130 5.20979
130.258 5.36439
130.323 5.53792
130.387 5.88062
130.419 6.18443
130.451 6.65966
130.483 7.43284
130.515 8.70006
130.553 10.9301
130.590 12.4154
130.628 10.9246
130.665 8.68780
130.692 7.59154
130.718 6.86407
130.771 6.04733
130.824 5.64422
130.876 5.42112
130.982 5.19684
131.088 5.09063
131.299 4.99175
131.510 4.94417
131.933 4.89430
132.355 4.86880
132.778 4.86385
133.200 4.90586
133.411 4.98187
133.517 5.05805
133.623 5.19058
133.728 5.44470
133.781 5.66590
133.834 6.01153
133.887 6.58955
133.939 7.64594
133.966 8.51979
133.992 9.80201
134.019 11.7283
134.045 14.6210
134.083 20.5442
134.120 24.4889
134.158 20.5444
134.195 14.6187
134.229 11.1157
134.262 9.03054
134.296 7.76865
134.329 6.96930
134.397 6.07063
134.464 5.61080
134.531 5.34639
134.598 5.18084
134.733 4.99292
135.001 4.83530
135.270 4.77490
135.539 4.75673
135.808 4.78786
135.942 4.84873
136.076 5.00581
136.144 5.18098
136.211 5.52902
136.244 5.84090
136.278 6.33502
136.312 7.15363
136.345 8.52623
136.383 10.8574
136.420 12.4110
136.458 10.8560
136.495 8.52169
136.531 7.05951
136.568 6.22627
136.604 5.73767
136.640 5.43509
136.712 5.10154
136.785 4.93409
136.930 4.77905
137.075 4.71180
137.654 4.64091
138.234 4.66351
138.813 4.77712
139.393 5.11154
139.682 5.48964
139.972 6.21961
140.117 6.85054
140.262 7.82100
140.407 9.40408
140.552 12.2019
140.696 17.7709
140.769 22.8363
140.841 31.0915
140.914 45.7817
140.986 75.1084
141.022 101.648
141.059 144.142
141.095 215.529
141.131 337.742
141.171 542.955
141.210 684.770
141.250 556.652
141.289 354.922
141.324 236.065
141.358 163.659
141.393 119.017
141.427 90.3906
141.496 57.6238
141.565 40.5679
141.634 30.6283
141.703 24.3595
141.840 17.1780
141.978 13.3613
142.116 11.0852
142.392 8.59733
142.667 7.32111
142.943 6.56980
143.494 5.74836
144.046 5.32183
144.597 5.07129
145.700 4.85076
146.251 4.86552
146.802 5.00860
147.354 5.38997
147.905 6.29478
148.181 7.16151
148.456 8.58064
148.732 11.0401
149.007 15.6676
149.145 19.5998
149.283 25.5606
