Y-91(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
8.03306E+06 0.000416121
8.05881E+06 0.000410765
8.08456E+06 0.000405494
8.11031E+06 0.000400308
8.13607E+06 0.000395204
8.16182E+06 0.000390181
8.18757E+06 0.000385237
8.21332E+06 0.000380371
8.23907E+06 0.000375582
8.26985E+06 0.000371156
8.30062E+06 0.000366798
8.33140E+06 0.000362508
8.36218E+06 0.000358283
8.39295E+06 0.000354122
8.42373E+06 0.000350025
8.45450E+06 0.000345990
8.48528E+06 0.000342016
8.51698E+06 0.000339134
8.54867E+06 0.000336287
8.58037E+06 0.000333474
8.61207E+06 0.000330695
8.64376E+06 0.000327949
8.67546E+06 0.000325236
8.70715E+06 0.000322555
8.73885E+06 0.000319906
8.77149E+06 0.000318271
8.80414E+06 0.000316649
8.83678E+06 0.000315042
8.86943E+06 0.000313450
8.90207E+06 0.000311871
8.93471E+06 0.000310305
8.96736E+06 0.000308753
9.00000E+06 0.000307215
9.03043E+06 0.000309929
9.06085E+06 0.000312657
9.09128E+06 0.000315400
9.12171E+06 0.000318158
9.15214E+06 0.000320931
9.18256E+06 0.000323718
9.21299E+06 0.000326521
9.24342E+06 0.000329338
9.27384E+06 0.000332170
9.30427E+06 0.000335017
9.33470E+06 0.000337879
9.36512E+06 0.000340757
9.39555E+06 0.000343649
9.42598E+06 0.000346556
9.45640E+06 0.000349479
9.48683E+06 0.000352416
9.51890E+06 0.000356631
9.55098E+06 0.000360881
9.58305E+06 0.000365168
9.61512E+06 0.000369491
9.64720E+06 0.000373850
9.67927E+06 0.000378246
9.71134E+06 0.000382679
9.74342E+06 0.000387149
9.77549E+06 0.000391657
9.80756E+06 0.000396202
9.83964E+06 0.000400784
9.87171E+06 0.000405405
9.90378E+06 0.000410063
9.93585E+06 0.000414760
9.96793E+06 0.000419495
1.00000E+07 0.000424268
1.01220E+07 0.000457454
1.02441E+07 0.000492788
1.03661E+07 0.000530388
1.04881E+07 0.000570361
1.06161E+07 0.000607476
1.07441E+07 0.000646514
1.08720E+07 0.000687557
1.10000E+07 0.000730675
1.11540E+07 0.000766877
1.13079E+07 0.000804339
1.14619E+07 0.000843087
1.16158E+07 0.000883147
1.18079E+07 0.000935014
1.20000E+07 0.000989016
1.21250E+07 0.000996583
1.22500E+07 0.00100413
1.23750E+07 0.00101166
1.25000E+07 0.00101916
1.26250E+07 0.00102665
1.27500E+07 0.00103412
1.28750E+07 0.00104156
1.30000E+07 0.00104899
1.31764E+07 0.00104099
1.33527E+07 0.00103316
1.34381E+07 0.00102942
1.35380E+07 0.00102510
1.37690E+07 0.00101529
1.40000E+07 0.00100574
1.42500E+07 0.000991624
1.45000E+07 0.000977946
1.45147E+07 0.000977154
1.45294E+07 0.000976364
1.45441E+07 0.000975576
1.45588E+07 0.000974788
1.45736E+07 0.000974002
1.45883E+07 0.000973218
1.46030E+07 0.000972435
1.46177E+07 0.000971653
1.46324E+07 0.000970873
1.46471E+07 0.000970094
1.46618E+07 0.000969317
1.46765E+07 0.000968541
1.46912E+07 0.000967767
1.47059E+07 0.000966993
1.47207E+07 0.000966222
1.47354E+07 0.000965452
1.47501E+07 0.000964683
1.47648E+07 0.000963915
1.47795E+07 0.000963149
1.47942E+07 0.000962384
1.48089E+07 0.000961621
1.48236E+07 0.000960858
1.48383E+07 0.000960098
1.48530E+07 0.000959338
1.48677E+07 0.000958580
1.48825E+07 0.000957823
1.48972E+07 0.000957068
1.49119E+07 0.000956314
1.49266E+07 0.000955561
1.49413E+07 0.000954810
1.49560E+07 0.000954060
1.49707E+07 0.000953311
1.49854E+07 0.000952567
1.50000E+07 0.000951824
1.50313E+07 0.000950580
1.50625E+07 0.000949340
1.50938E+07 0.000948104
1.51250E+07 0.000946873
1.51563E+07 0.000945645
1.51875E+07 0.000944422
1.52188E+07 0.000943203
1.52500E+07 0.000941988
1.52813E+07 0.000940776
1.53125E+07 0.000939569
1.53438E+07 0.000938366
1.53750E+07 0.000937167
1.54063E+07 0.000935972
1.54375E+07 0.000934781
1.54688E+07 0.000933594
1.55000E+07 0.000932410
1.55313E+07 0.000931231
1.55625E+07 0.000930055
1.55938E+07 0.000928883
1.56250E+07 0.000927715
1.56563E+07 0.000926551
1.56875E+07 0.000925391
1.57188E+07 0.000924234
1.57500E+07 0.000923081
1.57813E+07 0.000921932
1.58125E+07 0.000920786
1.58438E+07 0.000919645
1.58750E+07 0.000918506
1.59063E+07 0.000917372
1.59375E+07 0.000916241
1.59688E+07 0.000915114
1.60000E+07 0.000913990
1.60625E+07 0.000912786
1.61250E+07 0.000911588
1.61875E+07 0.000910396
1.62500E+07 0.000909210
1.63125E+07 0.000908030
1.63750E+07 0.000906857
1.64375E+07 0.000905689
1.65000E+07 0.000904527
1.65625E+07 0.000903372
1.66250E+07 0.000902222
1.66875E+07 0.000901077
1.67500E+07 0.000899939
1.68125E+07 0.000898806
1.68750E+07 0.000897679
1.69375E+07 0.000896557
1.70000E+07 0.000895441
1.71250E+07 0.000895159
1.72500E+07 0.000894879
1.73750E+07 0.000894601
1.75000E+07 0.000894325
1.76250E+07 0.000894051
1.77500E+07 0.000893780
1.78750E+07 0.000893510
1.80000E+07 0.000893242
1.82500E+07 0.000895963
1.85000E+07 0.000898655
1.87500E+07 0.000901319
1.90000E+07 0.000903955
1.95000E+07 0.000914525
2.00000E+07 0.000924946
