51-Sb_n-g
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
4.553800e+01 9.63063006e-02
4.643040e+01 1.10471018e-01
4.698630e+01 1.28156605e-01
4.732280e+01 1.40481246e-01
4.776900e+01 1.68477613e-01
4.821520e+01 2.13085058e-01
4.849320e+01 2.62354136e-01
4.866140e+01 2.93199794e-01
4.888450e+01 3.60004332e-01
4.910760e+01 4.60032310e-01
4.924660e+01 5.60216211e-01
4.933070e+01 6.21590943e-01
4.955380e+01 9.08585056e-01
4.966540e+01 1.14369015e+00
4.977690e+01 1.49394956e+00
4.988850e+01 2.04990263e+00
5.000000e+01 3.01191356e+00
5.011370e+01 4.95482478e+00
5.017060e+01 6.74017407e+00
5.022740e+01 9.71289867e+00
5.028430e+01 1.51966732e+01
5.031270e+01 1.98491532e+01
5.034110e+01 2.69597047e+01
5.036950e+01 3.85354783e+01
5.039800e+01 5.89015205e+01
5.041220e+01 7.51584943e+01
5.042640e+01 9.82118037e+01
5.044060e+01 1.31463682e+02
5.045480e+01 1.79209389e+02
5.047740e+01 2.86548242e+02
5.050000e+01 3.58027365e+02
5.052260e+01 2.86414159e+02
5.054520e+01 1.79046914e+02
5.056120e+01 1.26335901e+02
5.057730e+01 9.13733279e+01
5.059330e+01 6.81608849e+01
5.060930e+01 5.23695116e+01
5.064130e+01 3.33016419e+01
5.067340e+01 2.28746608e+01
5.070540e+01 1.66280016e+01
5.073750e+01 1.26178089e+01
5.080160e+01 7.97500492e+00
5.086560e+01 5.50267654e+00
5.087370e+01 5.31741544e+00
5.092970e+01 4.03903155e+00
5.099380e+01 3.10342485e+00
5.105790e+01 2.47054884e+00
5.118610e+01 1.69631271e+00
5.131060e+01 1.27407799e+00
5.131430e+01 1.26179293e+00
5.144240e+01 1.00493140e+00
5.157060e+01 8.41376489e-01
5.174740e+01 7.16910801e-01
5.182690e+01 6.69456873e-01
5.196580e+01 6.39866719e-01
5.208330e+01 6.30995299e-01
5.218430e+01 6.42114405e-01
5.233960e+01 6.98482929e-01
5.240270e+01 7.27749432e-01
5.259600e+01 9.17607387e-01
5.262110e+01 9.44215205e-01
5.273030e+01 1.14390075e+00
5.283950e+01 1.44958499e+00
5.294870e+01 1.94569844e+00
5.305800e+01 2.82080525e+00
5.310870e+01 3.63282283e+00
5.316720e+01 4.57277787e+00
5.322180e+01 6.18407640e+00
5.327640e+01 8.85984135e+00
5.333100e+01 1.37724029e+01
5.335830e+01 1.79150914e+01
5.338560e+01 2.42107067e+01
5.341290e+01 3.43731458e+01
5.344020e+01 5.20298090e+01
5.346750e+01 8.54524039e+01
5.348120e+01 1.13220131e+02
5.349480e+01 1.52509959e+02
5.350610e+01 1.95156442e+02
5.351740e+01 2.43887209e+02
5.354000e+01 3.04759515e+02
5.356260e+01 2.43777382e+02
5.358520e+01 1.52373258e+02
5.360660e+01 9.61270442e+01
5.362140e+01 7.36721287e+01
5.362800e+01 6.36586563e+01
5.364940e+01 4.44926277e+01
5.367080e+01 3.25757926e+01
5.371360e+01 1.94264903e+01
5.375640e+01 1.28267032e+01
5.379920e+01 9.08495616e+00
5.384200e+01 6.77111347e+00
5.392760e+01 4.18662604e+00
5.401320e+01 2.85553533e+00
5.409880e+01 2.08304878e+00
5.418440e+01 1.59632047e+00
5.427000e+01 1.27126189e+00
5.444110e+01 8.84628554e-01
5.461230e+01 6.98192725e-01
5.464670e+01 6.87185839e-01
5.469790e+01 6.71664247e-01
5.478350e+01 7.30310514e-01
5.482630e+01 8.35516992e-01
5.486910e+01 1.07387402e+00
5.489050e+01 1.30047862e+00
5.491190e+01 1.67207051e+00
5.493330e+01 2.30896234e+00
5.495470e+01 3.41844310e+00
5.497740e+01 5.23162753e+00
5.500000e+01 6.43871927e+00
