92-U_n-tot
>  92-U-235:0.007204
>  92-U-238:0.992796
1.023370e+01 2.53098376e+01
1.023940e+01 2.90218586e+01
1.024520e+01 2.51834750e+01
1.024790e+01 2.24939249e+01
1.025090e+01 1.95097744e+01
1.025500e+01 1.67104086e+01
1.025910e+01 1.48546951e+01
1.026730e+01 1.27826714e+01
1.026780e+01 1.27209858e+01
1.027560e+01 1.17653668e+01
1.028380e+01 1.12026615e+01
1.028780e+01 1.10633607e+01
1.030020e+01 1.06396740e+01
1.031660e+01 1.03727846e+01
1.032760e+01 1.02876648e+01
1.034950e+01 1.01277897e+01
1.036750e+01 1.00638902e+01
1.038230e+01 1.00152618e+01
1.044730e+01 9.90222224e+00
1.044800e+01 9.90111408e+00
1.051370e+01 9.83819682e+00
1.052700e+01 9.82949081e+00
1.071100e+01 9.73539789e+00
1.077660e+01 9.70141686e+00
1.089500e+01 9.65501945e+00
1.103940e+01 9.59540505e+00
1.108140e+01 9.58462335e+00
1.117080e+01 9.56780727e+00
1.117460e+01 9.57017864e+00
1.123650e+01 9.61346216e+00
1.125290e+01 9.66182676e+00
1.126780e+01 9.76271030e+00
1.126940e+01 9.77378782e+00
1.127760e+01 9.89098670e+00
1.128580e+01 1.01060156e+01
1.129400e+01 1.05480175e+01
1.129810e+01 1.09465403e+01
1.130220e+01 1.15474940e+01
1.130800e+01 1.27697017e+01
1.131370e+01 1.35954591e+01
1.131950e+01 1.27885912e+01
1.132520e+01 1.15618429e+01
1.132920e+01 1.09675431e+01
1.133320e+01 1.05696182e+01
1.134120e+01 1.01213362e+01
1.134920e+01 9.89994769e+00
1.135720e+01 9.77798768e+00
1.136090e+01 9.74993021e+00
1.137320e+01 9.65972254e+00
1.138920e+01 9.60784417e+00
1.140750e+01 9.59234817e+00
1.145310e+01 9.57053131e+00
1.145410e+01 9.57092448e+00
1.150070e+01 9.62712165e+00
1.152400e+01 9.68574956e+00
1.154730e+01 9.78672054e+00
1.157060e+01 9.97231139e+00
1.158110e+01 1.01430105e+01
1.159390e+01 1.03529798e+01
1.160560e+01 1.07022108e+01
1.161720e+01 1.12675289e+01
1.162890e+01 1.22351414e+01
1.164050e+01 1.39456405e+01
1.164650e+01 1.52530544e+01
1.165260e+01 1.67990501e+01
1.166460e+01 1.90258640e+01
1.167670e+01 1.72957045e+01
1.168870e+01 1.42888540e+01
1.169600e+01 1.29734258e+01
1.170340e+01 1.20533398e+01
1.171800e+01 1.09612473e+01
1.173270e+01 1.03939959e+01
1.174740e+01 1.00713479e+01
1.176200e+01 9.87249235e+00
1.177670e+01 9.74203005e+00
1.180600e+01 9.58716865e+00
1.183540e+01 9.50235968e+00
1.183690e+01 9.49974426e+00
1.186470e+01 9.45226176e+00
1.192340e+01 9.40102766e+00
1.198200e+01 9.38480710e+00
1.204070e+01 9.39458914e+00
1.209930e+01 9.43686318e+00
1.215800e+01 9.53587158e+00
1.221550e+01 9.75115478e+00
1.224430e+01 9.95050346e+00
1.227300e+01 1.02765581e+01
1.229280e+01 1.06412154e+01
1.231250e+01 1.12362067e+01
1.233230e+01 1.22941640e+01
1.234210e+01 1.31364567e+01
1.234860e+01 1.39045557e+01
1.235200e+01 1.43063882e+01
1.236100e+01 1.57485963e+01
1.237000e+01 1.75794884e+01
1.238800e+01 2.13423646e+01
1.239000e+01 2.15907585e+01
1.239480e+01 2.18974749e+01
1.239950e+01 2.17655455e+01
1.240900e+01 2.03625714e+01
1.242800e+01 1.61748932e+01
1.243900e+01 1.43146536e+01
1.244990e+01 1.29896648e+01
1.247190e+01 1.14053374e+01
1.249380e+01 1.05803749e+01
1.251580e+01 1.01110853e+01
1.253770e+01 9.82202125e+00
1.255960e+01 9.63248587e+00
1.260350e+01 9.40864886e+00
1.264740e+01 9.28926251e+00
1.269130e+01 9.22459927e+00
1.273510e+01 9.19973374e+00
1.277900e+01 9.21998647e+00
1.285300e+01 9.34459816e+00
1.289000e+01 9.28212003e+00
1.292700e+01 9.15940383e+00
1.295750e+01 9.08624542e+00
1.298800e+01 9.03967192e+00
1.304900e+01 8.99205666e+00
1.311000e+01 8.97869395e+00
1.317100e+01 8.99465093e+00
1.326700e+01 9.07260690e+00
1.327500e+01 9.07506415e+00
1.330130e+01 9.06472799e+00
1.332750e+01 9.02805685e+00
1.337200e+01 8.95634478e+00
1.338000e+01 8.94341058e+00
1.343450e+01 8.90372434e+00
1.348900e+01 8.90642727e+00
1.359800e+01 8.98748716e+00
1.384500e+01 9.23367412e+00
1.392900e+01 9.26159715e+00
1.401600e+01 9.25104747e+00
1.410300e+01 9.16839626e+00
1.421900e+01 8.96126824e+00
1.427700e+01 8.86546263e+00
1.433500e+01 8.79529745e+00
1.436000e+01 8.77457202e+00
1.439530e+01 8.75859524e+00
1.439970e+01 8.75647434e+00
1.443940e+01 8.76622259e+00
1.445920e+01 8.79193856e+00
1.447900e+01 8.84571923e+00
1.449890e+01 8.95360721e+00
1.451870e+01 9.16544496e+00
1.453490e+01 9.42653895e+00
1.455100e+01 9.55638752e+00
1.455310e+01 9.54318864e+00
1.456170e+01 9.41502695e+00
1.457030e+01 9.22289028e+00
1.457890e+01 9.03750413e+00
1.458750e+01 8.88974218e+00
1.459870e+01 8.75395801e+00
1.460990e+01 8.66491520e+00
1.463240e+01 8.56374671e+00
1.465480e+01 8.51079052e+00
1.467730e+01 8.47825535e+00
1.472210e+01 8.43818533e+00
1.476700e+01 8.41161795e+00
1.484700e+01 8.37649693e+00
1.492700e+01 8.34831085e+00
1.500700e+01 8.32449495e+00
1.508700e+01 8.30578553e+00
1.516550e+01 8.29802904e+00
1.520480e+01 8.30467506e+00
1.524400e+01 8.32911502e+00
1.527430e+01 8.37176849e+00
1.530450e+01 8.45380313e+00
1.533480e+01 8.61133995e+00
1.536500e+01 8.91583171e+00
1.540100e+01 9.46625602e+00
1.541700e+01 9.54784653e+00
1.541870e+01 9.52527289e+00
1.544300e+01 9.20130238e+00
1.546900e+01 8.75284764e+00
1.548740e+01 8.54092738e+00
1.550590e+01 8.40222376e+00
1.552430e+01 8.31037184e+00
1.554270e+01 8.24742249e+00
1.557960e+01 8.16893288e+00
1.561650e+01 8.12241345e+00
1.565340e+01 8.09112411e+00
1.569020e+01 8.06815236e+00
1.576400e+01 8.03655255e+00
1.583770e+01 8.02126071e+00
1.587460e+01 8.02283059e+00
1.591140e+01 8.03650468e+00
1.594830e+01 8.07466349e+00
1.596670e+01 8.11202949e+00
1.598520e+01 8.17247968e+00
1.600360e+01 8.27445825e+00
1.602200e+01 8.45693218e+00
1.604050e+01 8.81077102e+00
1.604970e+01 9.11128648e+00
1.605890e+01 9.54667531e+00
1.607380e+01 1.05969654e+01
1.608860e+01 1.14966645e+01
1.609600e+01 1.13962176e+01
1.610350e+01 1.09231645e+01
1.611830e+01 9.77051328e+00
1.613260e+01 9.02879737e+00
1.614690e+01 8.60730214e+00
1.616110e+01 8.36220867e+00
1.617540e+01 8.21087875e+00
1.618970e+01 8.11157965e+00
1.620390e+01 8.04297354e+00
1.623250e+01 7.95584237e+00
1.626100e+01 7.90349627e+00
1.628960e+01 7.86863367e+00
1.634670e+01 7.82591856e+00
1.640370e+01 7.80580734e+00
1.643230e+01 7.80428664e+00
1.644210e+01 7.80659311e+00
1.646080e+01 7.80957034e+00
1.648940e+01 7.82661124e+00
1.651790e+01 7.86449424e+00
1.654650e+01 7.93873583e+00
1.657500e+01 8.07710710e+00
1.664600e+01 8.71812405e+00
1.666350e+01 8.73837240e+00
1.668100e+01 8.63704669e+00
1.671600e+01 8.31074635e+00
1.673870e+01 8.13369642e+00
1.676140e+01 8.00179351e+00
1.680680e+01 7.83202587e+00
1.685210e+01 7.73081140e+00
1.689750e+01 7.66242753e+00
1.698830e+01 7.56951217e+00
1.707900e+01 7.50188114e+00
1.726050e+01 7.39380937e+00
1.744200e+01 7.30185310e+00
1.746550e+01 7.29161950e+00
1.754400e+01 7.25336359e+00
1.764500e+01 7.20862154e+00
1.771550e+01 7.18560594e+00
1.778600e+01 7.18090966e+00
1.782130e+01 7.19232408e+00
1.785650e+01 7.22120262e+00
1.789180e+01 7.27976689e+00
1.792700e+01 7.38868188e+00
1.797710e+01 7.68045839e+00
1.802000e+01 7.93131187e+00
1.805570e+01 7.94458260e+00
1.810200e+01 7.76730916e+00
1.810530e+01 7.75053501e+00
1.811300e+01 7.70738007e+00
1.813400e+01 7.56934285e+00
1.815490e+01 7.43664745e+00
1.819700e+01 7.24986661e+00
1.823920e+01 7.13625377e+00
1.832350e+01 7.00452853e+00
1.840770e+01 6.92861906e+00
1.848880e+01 6.88214988e+00
1.849200e+01 6.88110066e+00
1.858950e+01 6.87111591e+00
1.868700e+01 6.87942166e+00
1.878450e+01 6.91074544e+00
1.883330e+01 6.94270594e+00
1.888200e+01 6.99918201e+00
1.892410e+01 7.10005517e+00
1.894510e+01 7.20651512e+00
1.895560e+01 7.29584413e+00
1.896610e+01 7.42806374e+00
1.897790e+01 7.62513188e+00
1.898970e+01 7.72484710e+00
1.900050e+01 7.58640202e+00
1.900150e+01 7.57425045e+00
1.901320e+01 7.40964573e+00
1.902470e+01 7.33875717e+00
1.903610e+01 7.32840781e+00
1.905900e+01 7.39609182e+00
1.910480e+01 7.72419886e+00
1.912770e+01 7.99782753e+00
1.915060e+01 8.39451438e+00
1.917350e+01 8.99930720e+00
1.919640e+01 9.97787814e+00
1.921240e+01 1.09918297e+01
1.922840e+01 1.21660789e+01
1.923920e+01 1.29761770e+01
1.925640e+01 1.47363915e+01
1.926030e+01 1.51394909e+01
1.929650e+01 1.94660460e+01
1.931080e+01 1.93643173e+01
1.932510e+01 1.78924579e+01
1.935370e+01 1.39393393e+01
1.937390e+01 1.18815900e+01
1.938430e+01 1.11803512e+01
1.939410e+01 1.05436358e+01
1.941430e+01 9.70510563e+00
1.943450e+01 9.16588899e+00
1.944820e+01 8.96927504e+00
1.947490e+01 8.85350013e+00
1.948020e+01 8.87508432e+00
1.949620e+01 9.49678054e+00
1.950420e+01 1.04085182e+01
1.951220e+01 1.24981086e+01
1.951530e+01 1.36827073e+01
1.952370e+01 1.69262676e+01
1.953520e+01 1.24449991e+01
1.954250e+01 1.03878835e+01
1.954970e+01 9.38424087e+00
1.955570e+01 9.03984678e+00
1.956430e+01 8.56447194e+00
1.959330e+01 8.12232212e+00
1.959610e+01 8.11467972e+00
1.965140e+01 8.05182527e+00
1.967690e+01 8.12440539e+00
1.975760e+01 8.43675524e+00
1.976760e+01 8.48036811e+00
1.983840e+01 9.22388320e+00
1.991920e+01 1.00954621e+01
2.000000e+01 1.09853574e+01
2.007360e+01 1.26513403e+01
2.010690e+01 1.34220213e+01
2.011030e+01 1.35348994e+01
2.012870e+01 1.41559906e+01
2.014710e+01 1.47870087e+01
2.016030e+01 1.52379571e+01
2.017200e+01 1.57537812e+01
2.018430e+01 1.62655042e+01
2.020290e+01 1.70001140e+01
2.021380e+01 1.74369076e+01
2.022150e+01 1.78090835e+01
2.022710e+01 1.80836867e+01
2.023600e+01 1.85503078e+01
2.024050e+01 1.87857907e+01
2.025380e+01 1.95424777e+01
2.026720e+01 2.03594534e+01
2.026800e+01 2.04111560e+01
2.027390e+01 2.07942409e+01
2.028060e+01 2.12466435e+01
2.028400e+01 2.14892343e+01
2.028720e+01 2.17192230e+01
2.029390e+01 2.22125459e+01
2.030000e+01 2.26799492e+01
2.030060e+01 2.27263125e+01
2.030730e+01 2.32651830e+01
2.032060e+01 2.44107575e+01
2.033400e+01 2.56545933e+01
2.033890e+01 2.61493266e+01
2.034740e+01 2.70110967e+01
2.037410e+01 3.01058502e+01
2.037790e+01 3.06326484e+01
2.040080e+01 3.38134984e+01
2.042750e+01 3.82852376e+01
2.045420e+01 4.37351784e+01
2.045570e+01 4.41124457e+01
2.048090e+01 5.04600758e+01
2.049460e+01 5.47500433e+01
2.050770e+01 5.88602179e+01
2.053360e+01 6.91860053e+01
2.053440e+01 6.95057489e+01
2.055300e+01 7.90757586e+01
2.056110e+01 8.32541244e+01
2.057250e+01 9.09757004e+01
2.058780e+01 1.01378177e+02
2.059190e+01 1.05125026e+02
2.061140e+01 1.23036880e+02
2.061450e+01 1.25900144e+02
2.062830e+01 1.43420321e+02
2.064130e+01 1.59824061e+02
2.064510e+01 1.66731565e+02
2.066200e+01 1.97044480e+02
2.066800e+01 2.07771511e+02
2.067040e+01 2.14251828e+02
2.067880e+01 2.36965488e+02
2.068730e+01 2.59989911e+02
2.069470e+01 2.80063977e+02
2.069580e+01 2.84830864e+02
2.071290e+01 3.59000614e+02
2.072140e+01 3.95892518e+02
2.072990e+01 4.59657299e+02
2.074690e+01 5.87210945e+02
2.074810e+01 5.96215960e+02
2.076150e+01 7.55384705e+02
2.077490e+01 9.84175228e+02
2.078100e+01 1.14213885e+03
2.078820e+01 1.32859321e+03
2.080160e+01 1.87870333e+03
2.081490e+01 2.82862208e+03
