Pb-204(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
6692.41 19.4575
6693.24 27.2527
6694.07 39.1024
6694.89 57.5454
6695.72 86.9224
6696.55 133.880
6697.78 246.850
6699.00 353.335
6699.61 354.896
6700.23 321.423
6701.45 227.060
6702.27 176.899
6703.08 140.456
6704.71 95.3400
6706.34 70.5192
6707.97 55.6053
6709.60 45.9192
6711.23 39.2451
6714.49 30.7934
6717.76 25.7604
6721.02 22.4656
6727.54 18.4634
6734.06 16.1480
6740.58 14.6490
6747.10 13.6026
6753.63 12.8318
6766.67 11.7723
6779.71 11.0775
6792.76 10.5851
6805.80 10.2164
6831.89 9.69651
6857.97 9.34215
6910.15 8.87480
6962.32 8.56341
7014.50 8.32667
7118.85 7.95642
7327.54 7.34053
7536.24 6.68381
7640.59 6.29027
7744.94 5.82027
7849.29 5.23447
7953.64 4.46949
8005.81 3.98935
8057.98 3.42179
8110.16 2.74969
8162.33 1.97460
8214.51 1.20523
8227.55 1.06401
8234.07 1.01270
8240.60 0.979520
8247.12 0.969741
8253.64 0.990164
8260.16 1.04955
8263.42 1.09729
8266.68 1.15927
8273.20 1.33427
8279.73 1.59426
8286.25 1.96557
8292.77 2.48364
8299.29 3.19719
8305.81 4.17337
8312.34 5.50663
8318.86 7.33149
8325.38 9.84423
8331.90 13.3341
8338.42 18.2368
8344.94 25.2187
8351.47 35.3169
8357.99 50.1382
8364.51 72.1139
8371.03 104.575
8383.02 199.754
8395.00 294.148
8401.00 299.181
8406.99 274.138
8418.98 197.764
8429.57 144.808
8440.16 109.808
8450.75 86.7990
8461.34 71.1671
8482.52 52.0316
8503.70 41.1641
8524.88 34.3281
8546.06 29.6956
8588.43 23.8931
8630.79 20.4439
8673.15 18.1706
8715.51 16.5611
8757.87 15.3598
8842.59 13.6752
8927.32 12.5313
9012.04 11.6803
9054.40 11.3241
9075.58 11.1642
9080.88 11.1311
9086.17 11.1130
9088.82 11.1242
9091.47 11.1918
9092.79 11.3007
9094.11 11.6104
9094.78 12.0169
9095.11 12.3975
9095.44 13.0404
9095.77 14.2482
9095.93 15.2939
9096.10 16.9088
9096.27 19.6119
9096.43 24.4908
9096.51 28.5267
9096.60 34.3387
9096.68 43.1092
9096.76 56.0081
9096.88 83.1397
9097.00 101.330
9097.12 83.3836
9097.24 56.3123
