41-Nb_n-tot
>  41-Nb-93:1.000000
1.242650e+02 5.83655000e+00
1.250990e+02 5.79894000e+00
1.259320e+02 5.77145000e+00
1.275990e+02 5.73337000e+00
1.292660e+02 5.70750000e+00
1.326000e+02 5.67253000e+00
1.363630e+02 5.64495000e+00
1.401250e+02 5.62265000e+00
1.476500e+02 5.58337000e+00
1.551750e+02 5.54357000e+00
1.627000e+02 5.49665000e+00
1.702540e+02 5.43265000e+00
1.740310e+02 5.38818000e+00
1.778080e+02 5.32837000e+00
1.796970e+02 5.28949000e+00
1.815850e+02 5.24181000e+00
1.834740e+02 5.18213000e+00
1.853620e+02 5.10669000e+00
1.863060e+02 5.06253000e+00
1.872510e+02 5.01575000e+00
1.881950e+02 4.97280000e+00
1.891390e+02 4.95620000e+00
1.896110e+02 4.97851000e+00
1.900830e+02 5.05131000e+00
1.905550e+02 5.23354000e+00
1.910280e+02 5.67557000e+00
1.912640e+02 6.10993000e+00
1.915000e+02 6.83529000e+00
1.917360e+02 8.11604000e+00
1.919720e+02 1.05700000e+01
1.920900e+02 1.26817000e+01
1.922080e+02 1.59103000e+01
1.923260e+02 2.11331000e+01
1.924440e+02 3.02430000e+01
1.925030e+02 3.75157000e+01
1.925620e+02 4.79440000e+01
1.926210e+02 6.35702000e+01
1.926800e+02 8.82803000e+01
1.927390e+02 1.30161000e+02
1.927690e+02 1.62594000e+02
1.927980e+02 2.07834000e+02
1.928280e+02 2.72815000e+02
1.928570e+02 3.68992000e+02
1.928870e+02 5.14882000e+02
1.929160e+02 7.36497000e+02
1.929580e+02 1.20114000e+03
1.930000e+02 1.53234000e+03
1.930420e+02 1.25180000e+03
1.930840e+02 7.99811000e+02
1.931100e+02 5.95792000e+02
1.931370e+02 4.52574000e+02
1.931890e+02 2.80485000e+02
1.932420e+02 1.89709000e+02
1.932940e+02 1.37404000e+02
1.933460e+02 1.04725000e+02
1.933990e+02 8.30645000e+01
1.935040e+02 5.70846000e+01
1.936090e+02 4.26394000e+01
1.937140e+02 3.37705000e+01
1.939240e+02 2.38168000e+01
1.941330e+02 1.85930000e+01
1.943430e+02 1.54813000e+01
1.945530e+02 1.34602000e+01
1.947630e+02 1.20633000e+01
1.951830e+02 1.02878000e+01
1.956030e+02 9.22832000e+00
1.960220e+02 8.53501000e+00
1.964420e+02 8.05106000e+00
1.972820e+02 7.42654000e+00
1.981210e+02 7.04534000e+00
1.989610e+02 6.79051000e+00
1.998000e+02 6.60897000e+00
2.000000e+02 6.57321000e+00
2.006860e+02 6.46696000e+00
2.013710e+02 6.38060000e+00
2.027420e+02 6.24885000e+00
2.054850e+02 6.08022000e+00
2.082270e+02 5.97648000e+00
2.109690e+02 5.90571000e+00
2.164540e+02 5.81402000e+00
2.219380e+02 5.75581000e+00
2.274230e+02 5.71476000e+00
2.329070e+02 5.68520000e+00
2.356490e+02 5.67565000e+00
2.370200e+02 5.67358000e+00
2.383920e+02 5.67550000e+00
2.397630e+02 5.68698000e+00
2.404480e+02 5.70136000e+00
2.411340e+02 5.72970000e+00
2.414770e+02 5.75425000e+00
2.418190e+02 5.79198000e+00
2.421620e+02 5.85353000e+00
2.425050e+02 5.96284000e+00
2.428480e+02 6.18375000e+00
2.430190e+02 6.38935000e+00
2.431910e+02 6.73550000e+00
2.433620e+02 7.38377000e+00
2.434480e+02 7.94194000e+00
2.435330e+02 8.80817000e+00
2.436190e+02 1.02475000e+01
2.437050e+02 1.28595000e+01
2.437480e+02 1.50104000e+01
2.437900e+02 1.81431000e+01
2.438330e+02 2.28195000e+01
2.438760e+02 2.97964000e+01
2.439380e+02 4.43593000e+01
2.440000e+02 5.40961000e+01
2.440620e+02 4.43688000e+01
2.441240e+02 2.98081000e+01
2.441910e+02 1.99228000e+01
2.442590e+02 1.46623000e+01
2.443260e+02 1.17374000e+01
2.443930e+02 9.99906000e+00
2.444600e+02 8.89402000e+00
2.445280e+02 8.15526000e+00
2.446620e+02 7.26310000e+00
2.447970e+02 6.76853000e+00
2.449310e+02 6.46707000e+00
2.452000e+02 6.13449000e+00
2.454180e+02 5.98990000e+00
2.456360e+02 5.89838000e+00
2.460720e+02 5.79313000e+00
2.465080e+02 5.73681000e+00
2.469440e+02 5.70287000e+00
2.478160e+02 5.66492000e+00
2.486880e+02 5.64446000e+00
2.495590e+02 5.63147000e+00
2.504310e+02 5.62222000e+00
2.521750e+02 5.60915000e+00
2.539190e+02 5.59951000e+00
2.556630e+02 5.59146000e+00
2.591500e+02 5.57761000e+00
2.661250e+02 5.55342000e+00
2.731000e+02 5.53071000e+00
2.870500e+02 5.48453000e+00
2.940250e+02 5.45927000e+00
3.010000e+02 5.43121000e+00
3.054720e+02 5.41122000e+00
3.099450e+02 5.39004000e+00
3.121810e+02 5.38041000e+00
3.132990e+02 5.37706000e+00
3.144170e+02 5.37657000e+00
3.155350e+02 5.38368000e+00
3.160940e+02 5.39445000e+00
3.166530e+02 5.41702000e+00
3.172120e+02 5.46848000e+00
3.174920e+02 5.52001000e+00
3.177710e+02 5.61195000e+00
3.180510e+02 5.79746000e+00
3.181900e+02 5.96931000e+00
3.183300e+02 6.25637000e+00
3.184700e+02 6.78790000e+00
3.185400e+02 7.23961000e+00
3.186100e+02 7.92986000e+00
3.186790e+02 9.05581000e+00
3.187490e+02 1.10402000e+01
3.188190e+02 1.48761000e+01
3.188540e+02 1.81217000e+01
3.188890e+02 2.27870000e+01
3.189450e+02 3.32943000e+01
3.190000e+02 4.03117000e+01
3.190560e+02 3.32985000e+01
3.191110e+02 2.27915000e+01
3.191750e+02 1.53629000e+01
3.192380e+02 1.15386000e+01
3.193020e+02 9.46983000e+00
3.193660e+02 8.26002000e+00
3.194300e+02 7.50159000e+00
3.194930e+02 6.99828000e+00
3.196210e+02 6.39652000e+00
3.197480e+02 6.06514000e+00
3.198750e+02 5.86411000e+00
3.201300e+02 5.64256000e+00
3.203850e+02 5.52917000e+00
3.206390e+02 5.46289000e+00
3.211490e+02 5.39098000e+00
3.216580e+02 5.35313000e+00
3.221680e+02 5.32924000e+00
3.231860e+02 5.29826000e+00
3.242050e+02 5.27562000e+00
3.252240e+02 5.25531000e+00
3.272620e+02 5.21328000e+00
3.282810e+02 5.18933000e+00
3.293000e+02 5.16239000e+00
3.303180e+02 5.13218000e+00
3.313370e+02 5.10057000e+00
3.318470e+02 5.08691000e+00
3.323560e+02 5.07939000e+00
3.328660e+02 5.08817000e+00
3.333750e+02 5.14101000e+00
3.336300e+02 5.20632000e+00
3.338840e+02 5.32713000e+00
3.341390e+02 5.55735000e+00
3.343940e+02 6.02581000e+00
3.345210e+02 6.44320000e+00
3.346490e+02 7.09576000e+00
3.347760e+02 8.17473000e+00
3.349030e+02 1.00939000e+01
3.350310e+02 1.38995000e+01
3.350940e+02 1.73141000e+01
3.351580e+02 2.27705000e+01
3.352220e+02 3.21650000e+01
3.352850e+02 4.99101000e+01
3.353170e+02 6.50294000e+01
3.353490e+02 8.76636000e+01
3.353810e+02 1.22576000e+02
3.354130e+02 1.76620000e+02
3.354350e+02 2.27899000e+02
3.354560e+02 2.87366000e+02
3.355000e+02 3.67833000e+02
3.355440e+02 3.03273000e+02
3.355870e+02 1.96504000e+02
3.356140e+02 1.48807000e+02
3.356410e+02 1.14946000e+02
3.356940e+02 7.37634000e+01
3.357480e+02 5.16971000e+01
3.358010e+02 3.88175000e+01
3.358550e+02 3.07190000e+01
3.359080e+02 2.53121000e+01
3.360150e+02 1.87682000e+01
3.361220e+02 1.50958000e+01
3.362280e+02 1.28232000e+01
3.364420e+02 1.02481000e+01
3.366560e+02 8.88035000e+00
3.368690e+02 8.05722000e+00
3.370830e+02 7.51726000e+00
3.372970e+02 7.14045000e+00
3.377240e+02 6.65576000e+00
