Cu-65(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
5857.90 10.2255
5858.00 12.7575
5858.10 10.1976
5858.21 6.39263
5858.28 4.45871
5858.36 3.20683
5858.51 1.81813
5858.66 1.14870
5858.81 0.787441
5859.11 0.431801
5859.41 0.272211
5860.02 0.136971
5860.62 0.0830221
5861.82 0.0409544
5863.03 0.0252354
5865.44 0.0135197
5867.85 0.00929169
5872.67 0.00622910
5877.49 0.00516278
5887.14 0.00444107
5896.78 0.00423812
5935.36 0.00432132
6012.50 0.00526158
6089.65 0.00696271
6128.23 0.00837296
6147.51 0.00960165
6157.16 0.0115735
6161.98 0.0174909
6164.39 0.0381480
6165.59 0.105794
6166.20 0.291885
6166.50 0.670251
6166.65 1.18961
6166.80 2.39702
6166.90 3.83547
6167.00 4.78374
6167.10 3.82504
6167.20 2.40072
6167.33 1.31580
6167.46 0.791099
6167.71 0.366880
6168.21 0.137788
6169.23 0.0489275
6171.25 0.0210509
6175.30 0.0134384
6183.40 0.0118977
6199.59 0.0126131
6231.98 0.0159455
6264.37 0.0224088
6272.47 0.0257290
6280.56 0.0324071
6284.61 0.0401148
6288.66 0.0598926
6290.69 0.0858752
6292.71 0.155702
6293.72 0.247212
6294.23 0.334219
6294.73 0.484684
6295.24 0.779064
6295.49 1.04485
6295.75 1.47876
6296.00 2.25540
6296.13 2.89684
6296.25 3.83960
6296.38 5.32078
6296.50 7.75208
6296.63 12.0765
6296.76 19.9224
6296.88 32.0166
6297.00 40.4420
6297.12 32.7008
6297.24 20.5396
6297.32 15.2019
6297.39 11.4799
6297.54 6.97173
6297.68 4.59774
6297.83 3.23555
6297.98 2.39313
6298.13 1.83974
6298.42 1.18633
6298.71 0.829406
6299.01 0.614761
6299.59 0.381412
6300.77 0.196866
6301.94 0.127247
6304.29 0.0753957
6306.64 0.0570933
6311.34 0.0449100
6316.04 0.0419449
6334.83 0.0476065
6353.63 0.0631404
6372.42 0.0904629
6381.82 0.111838
6391.22 0.142038
6400.61 0.186524
6410.01 0.255636
6419.41 0.370658
6424.11 0.458538
6428.81 0.579885
6433.51 0.752415
6438.20 1.00491
6442.90 1.38339
6447.60 1.95050
6454.30 3.11830
6461.00 3.91242
6462.79 4.00409
6463.00 4.16119
6463.21 3.96511
6463.91 3.75533
6464.61 3.65869
6466.01 3.44301
6468.81 2.93271
6474.41 1.96564
6481.25 1.19879
6488.08 0.774058
6494.92 0.531546
6501.76 0.384402
6508.59 0.289737
6515.43 0.225748
6529.10 0.147841
6542.78 0.104320
6556.45 0.0777627
6570.12 0.0609195
6576.96 0.0567872
6580.38 0.0629199
6582.09 0.0928872
6582.94 0.187651
6583.37 0.415766
6583.58 0.799360
6583.69 1.22556
6583.80 2.00201
6583.90 3.18042
6584.00 3.95932
6584.10 3.18474
6584.20 2.00518
6584.37 0.963962
6584.53 0.544483
6584.86 0.253125
6585.52 0.115284
6586.84 0.0657849
6589.47 0.0494997
6594.74 0.0423213
6605.28 0.0358928
6626.35 0.0277699
6668.50 0.0185887
6710.65 0.0137799
6731.73 0.0123804
6742.26 0.0124836
6747.53 0.0150958
6750.17 0.0256075
6751.48 0.0612407
6752.14 0.162624
6752.47 0.379083
6752.64 0.693636
6752.80 1.48321
6753.00 2.95490
6753.20 1.48208
6753.33 0.804780
6753.46 0.482066
6753.72 0.224352
6754.23 0.0865995
6755.26 0.0336178
6757.32 0.0169458
6761.44 0.0121034
6769.67 0.0105028
6786.15 0.00953703
6819.10 0.00845718
6884.99 0.00726117
6950.89 0.00689585
6983.83 0.00751512
6992.07 0.00824612
7000.31 0.0103376
7004.43 0.0132334
7008.54 0.0213371
7010.60 0.0323826
7012.66 0.0626544
7013.69 0.102855
7014.72 0.208462
7015.24 0.341487
7015.75 0.664575
7016.01 1.03357
7016.27 1.80889
7016.40 2.56000
7016.52 3.84148
7016.65 6.24902
7016.78 10.9377
7016.89 17.4992
7017.00 21.8812
7017.11 17.5114
7017.22 10.9471
7017.29 7.86034
7017.37 5.76697
7017.52 3.38251
7017.66 2.17615
7017.81 1.50922
7018.11 0.840424
7018.40 0.533574
7018.99 0.270583
7019.58 0.164392
7020.76 0.0811426
7021.94 0.0498391
7024.30 0.0263973
7026.66 0.0178926
7031.38 0.0116810
7036.09 0.00947604
7045.53 0.00790228
7054.97 0.00737129
7092.72 0.00702811
7168.21 0.00765142
7243.71 0.00898046
7319.20 0.0112733
7394.70 0.0154278
7432.44 0.0189278
7470.19 0.0244072
7489.06 0.0284742
7507.94 0.0340783
