Pt-195(n,tot) JEFF-3.2
Energy(eV) XS(b)
188.616 561.379
188.660 351.943
188.705 240.882
188.750 176.733
188.794 136.517
188.839 109.823
188.928 77.5715
189.018 59.5281
189.107 48.3598
189.285 35.7042
189.464 28.9738
189.643 24.9098
189.821 22.2345
190.000 20.3604
190.357 17.9312
190.714 16.4398
191.071 15.4338
191.428 14.7088
192.143 13.7248
192.857 13.0756
194.286 12.2322
195.714 11.6622
197.143 11.2096
198.571 10.8073
200.000 10.4190
201.180 10.1032
201.770 9.96459
202.360 9.88727
202.655 9.91051
202.950 10.0298
203.245 10.3498
203.540 11.1304
203.688 11.8888
203.835 13.1369
203.983 15.2966
204.130 19.3218
204.278 27.7175
204.351 35.5918
204.425 48.6976
204.499 72.5085
204.536 92.1510
204.573 121.065
204.609 165.778
204.646 238.315
204.683 362.020
204.720 576.929
204.760 944.631
204.800 1212.87
204.840 1000.18
204.880 646.478
204.914 441.428
204.947 313.317
204.981 232.598
205.015 179.910
205.082 118.311
205.149 85.5678
205.217 66.1262
205.284 53.6674
205.419 39.1102
205.553 31.1796
205.688 26.3456
205.823 23.1502
205.957 20.9139
206.227 18.0305
206.496 16.2799
206.765 15.1165
207.035 14.2912
207.573 13.1989
208.112 12.5046
209.189 11.6502
210.266 11.1153
211.344 10.7219
213.498 10.1114
215.653 9.56689
216.730 9.28482
217.807 8.98946
218.346 8.84321
218.884 8.71374
219.423 8.63936
219.962 8.73128
220.231 8.93246
220.500 9.36309
220.770 10.2572
221.039 12.1839
221.174 13.9548
221.308 16.7779
221.443 21.5332
221.577 30.1557
221.645 37.2413
221.712 47.6330
221.779 63.5991
221.847 89.6031
221.880 109.064
221.914 135.439
221.948 172.178
221.981 224.816
222.015 303.491
222.049 425.059
222.082 620.969
222.116 938.079
222.158 1544.05
222.200 1987.96
222.242 1635.66
222.284 1052.04
222.312 776.346
222.339 585.158
222.394 360.665
222.450 244.169
222.505 177.748
222.560 136.491
222.615 109.258
222.725 76.5472
222.836 58.3355
222.946 47.0945
223.166 34.3879
223.387 27.6368
223.607 23.5650
223.828 20.8846
224.049 19.0080
224.490 16.5792
224.931 15.0913
225.372 14.0919
225.813 13.3749
226.695 12.4113
227.577 11.7861
229.342 10.9984
231.106 10.4934
232.871 10.1172
236.400 9.53442
241.505 8.80717
244.057 8.42107
246.609 7.97546
249.162 7.41524
250.438 7.06368
251.714 6.64294
252.353 6.40322
252.991 6.14873
253.629 5.90069
254.267 5.73489
254.586 5.75283
254.905 5.93923
255.224 6.49099
255.543 7.90411
255.703 9.31192
255.862 11.6626
255.942 13.4237
256.022 15.7874
256.101 19.0316
256.181 23.5828
256.261 30.1806
256.341 40.1075
256.421 55.7960
256.460 67.1896
256.500 82.2104
256.540 102.582
256.580 130.926
256.620 171.686
256.660 232.499
256.700 328.153
256.740 486.941
256.779 766.294
256.819 1271.02
256.860 2092.66
256.900 2694.97
256.940 2223.13
256.981 1432.80
257.017 952.265
257.053 660.370
257.089 480.725
257.125 365.483
257.197 233.174
257.269 163.800
257.341 123.046
257.414 97.0426
257.558 66.8224
257.702 50.4329
257.846 40.4680
257.990 33.8979
258.135 29.3052
258.423 23.4122
258.712 19.8862
259.000 17.6215
259.288 16.1435
259.865 14.9397
260.154 15.3892
260.442 17.2147
260.731 22.2583
260.875 27.6125
261.019 37.3000
261.163 56.6156
261.236 73.9027
261.308 101.442
261.380 148.374
261.452 235.692
261.488 308.890
261.524 416.804
261.560 580.567
261.596 827.835
261.648 1354.71
261.700 1740.56
261.753 1435.41
261.805 925.075
261.841 677.891
261.876 508.698
261.911 392.651
261.947 311.899
262.018 211.257
262.089 154.271
262.159 119.042
262.230 95.8375
262.372 68.0122
262.514 52.5072
262.655 42.9237
262.939 32.0269
263.222 26.1761
263.506 22.5997
264.073 18.5089
264.639 16.2504
265.206 14.8148
266.340 13.0685
267.474 12.0127
268.608 11.2767
270.875 10.2455
273.143 9.46044
275.410 8.72512
276.544 8.33369
277.111 8.12843
277.678 7.92559
278.244 7.76653
278.528 7.75233
278.811 7.87460
279.095 8.38858
279.237 9.03488
279.378 10.3392
279.520 13.2638
279.591 16.1604
279.662 21.2185
279.733 31.0175
279.768 39.5994
279.803 53.0375
279.839 75.5462
279.857 92.6683
279.874 116.197
279.892 149.353
279.910 197.246
279.927 267.739
279.945 371.286
279.973 605.467
280.000 775.320
280.014 739.534
280.028 638.120
280.055 411.705
280.076 288.760
280.098 209.510
280.119 157.980
280.140 123.445
280.183 82.1807
280.226 59.8060
280.268 46.3433
280.311 37.6560
280.396 27.4366
280.481 21.8364
280.567 18.4101
280.737 14.5494
280.908 12.4839
281.078 11.2165
281.419 9.73968
281.761 8.88757
282.102 8.31490
282.784 7.59884
283.125 7.42411
283.466 7.44252
283.807 7.83888
284.148 9.10562
284.319 10.4470
284.489 12.7448
284.660 16.8530
284.745 20.1145
284.830 24.7161
284.916 31.4187
285.001 41.5448
285.086 57.6025
285.172 84.7119
285.214 105.675
285.257 134.786
285.299 176.639
285.342 239.214
