Co-59(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
13686.9 4.15787
13717.5 4.06402
13778.8 3.90647
13901.3 3.64920
14146.3 3.23409
14391.4 2.85736
14636.4 2.46704
14881.4 2.01966
15003.9 1.75570
15126.4 1.45004
15249.0 1.09257
15310.2 0.900044
15371.5 0.723741
15432.7 0.649906
15463.4 0.735355
15494.0 1.03140
15509.3 1.33063
15524.6 1.80537
15539.9 2.56022
15555.3 3.77408
15570.6 5.77273
15585.9 9.15755
15601.2 15.0712
15616.5 25.5379
15635.8 48.5246
15655.0 72.4731
15664.6 74.4778
15674.3 68.7488
15693.5 49.7630
15711.7 35.5714
15729.9 26.4556
15748.0 20.6241
15766.2 16.7420
15802.6 12.0778
15838.9 9.46449
15875.3 7.82611
15911.7 6.71183
15984.4 5.29680
16057.1 4.43063
16129.8 3.84040
16275.3 3.09713
16420.7 2.76903
16493.4 2.81924
16566.1 3.15567
16638.9 4.08981
16675.2 5.00212
16711.6 6.46467
16747.9 8.86365
16784.3 12.9297
16820.7 20.0775
16857.0 32.9041
16943.0 87.9619
16964.5 90.5910
16986.0 83.5937
17029.0 59.7930
17080.3 38.6109
17131.6 26.8136
17182.9 20.0729
17234.2 15.9241
17285.5 13.1866
17336.8 11.2744
17439.3 8.81093
17541.9 7.30484
17644.5 6.28859
17849.7 4.98686
18054.8 4.16086
18260.0 3.56202
18465.2 3.07893
18567.8 2.84588
18593.4 2.77858
18619.1 2.69505
18631.9 2.63763
18644.7 2.55227
18651.1 2.48582
18657.5 2.38461
18660.7 2.31368
18663.9 2.24251
18665.5 2.24696
18667.1 2.42359
18667.9 2.75248
18668.7 3.64530
18669.1 4.64442
18669.5 6.54632
18669.9 10.4853
18670.1 13.9943
18670.3 19.2808
18671.0 48.2028
18671.2 49.2674
18671.3 45.2494
18671.7 32.1092
18671.9 24.1685
18672.2 18.7346
18672.4 15.0725
18672.7 12.6336
18673.1 9.52915
18673.6 7.75717
18674.1 6.64810
18674.6 5.90353
18675.6 4.98626
18676.6 4.45018
18677.6 4.10965
18679.5 3.70253
18681.5 3.46918
18683.5 3.31992
18687.4 3.13862
18691.3 3.03200
18695.2 2.96081
18703.1 2.86936
18711.0 2.81034
18718.8 2.76711
18734.5 2.70354
18765.9 2.61382
18797.4 2.54270
18923.1 2.30504
19048.7 2.06927
19080.2 1.99634
19111.6 1.89890
19127.3 1.82605
19135.2 1.77560
19143.0 1.70734
19150.9 1.60528
19154.8 1.53079
19158.7 1.42829
19162.7 1.27651
19166.6 1.03321
19168.6 0.857855
19170.5 0.677173
19171.5 0.673929
19172.5 1.03057
19173.0 1.67731
19173.5 3.30773
19173.7 5.02384
19173.9 7.86214
19174.2 13.1762
19174.4 22.5317
19175.0 63.3951
19175.2 65.3767
19175.3 60.3480
19175.6 43.7456
19175.9 29.9674
19176.2 21.8633
19176.5 16.7342
19176.8 13.5461
19177.1 11.3065
19177.3 9.76828
19177.9 7.72561
19178.5 6.47954
19179.1 5.65245
19180.3 4.64350
19181.5 4.04948
19182.6 3.66685
19185.0 3.20011
19187.3 2.92755
19189.7 2.75028
19194.4 2.53190
19199.1 2.40130
19203.8 2.31372
19213.2 2.20097
19222.6 2.12911
19232.0 2.07732
19250.9 2.00347
19288.5 1.90490
19326.1 1.83096
19476.7 1.59999
19627.2 1.39595
19664.9 1.34357
19702.5 1.28682
19740.2 1.22159
19749.6 1.20890
19759.0 1.22186
19763.7 1.27295
19766.0 1.33580
19768.4 1.46052
