Ni-60(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
33346.3 14.0126
33352.0 14.5673
33357.7 15.4747
33363.5 17.0947
33366.3 18.4222
33369.2 20.3688
33372.1 23.3827
33374.9 28.2768
33377.8 36.7047
33380.6 51.6043
33383.6 75.2388
33386.5 90.9735
33389.4 75.2985
33392.3 51.7856
33395.3 36.3305
33398.3 27.8045
33401.3 22.9462
33404.3 20.0078
33407.3 18.1095
33410.3 16.8286
33416.3 15.2611
33422.3 14.3786
33428.3 13.8350
33440.2 13.2243
33452.2 12.9032
33464.2 12.7105
33488.2 12.4922
33512.1 12.3693
33536.1 12.2865
33584.0 12.1716
33632.0 12.0854
33679.9 12.0116
33775.8 11.8808
33967.5 11.6488
34159.3 11.4370
34926.2 10.7074
36460.1 9.59195
37994.0 8.72218
38760.9 8.32937
39144.4 8.13561
39336.1 8.03988
39384.1 8.01772
39432.0 8.00048
39456.0 7.99893
39479.9 8.01801
39491.9 8.05592
39503.9 8.17337
39509.9 8.33735
39512.9 8.49820
39515.9 8.78184
39518.9 9.35533
39520.4 9.88840
39521.9 10.7769
39523.4 12.4436
39524.1 13.8731
39524.9 16.0816
39525.6 19.7268
39526.4 26.2719
39527.1 39.2797
39527.5 50.4164
39527.9 66.7937
39528.4 102.519
39529.0 126.015
39529.6 102.823
39530.1 67.1696
39530.5 50.4130
39530.9 38.8767
39531.3 31.1430
39531.7 25.9556
39532.5 19.4513
39533.2 15.9037
39534.0 13.7347
39534.8 12.3524
39536.3 10.7371
39537.9 9.86393
39539.4 9.34327
39542.5 8.78103
39545.6 8.49779
39548.7 8.33581
39554.9 8.16538
39567.3 8.03228
39579.6 7.97919
39604.4 7.93142
39629.1 7.90566
39678.6 7.87003
39728.1 7.84029
39926.1 7.73027
40124.1 7.61990
40322.1 7.50560
41114.1 6.96882
41510.1 6.60411
41906.1 6.08809
42104.1 5.71956
42302.1 5.21070
42401.1 4.87089
42500.1 4.44266
42549.6 4.18365
42599.1 3.88687
42648.6 3.55447
42661.0 3.47557
42673.4 3.42463
42679.5 3.44017
42685.7 3.56886
42688.8 3.77725
42691.9 4.33844
42693.5 5.02178
42694.2 5.61322
42695.0 6.53582
42695.8 8.10134
42696.6 10.9279
42696.9 13.2960
42697.3 16.6722
42697.7 21.8635
42698.1 29.5037
42698.7 45.5211
42699.2 56.0829
42699.8 45.6780
42700.3 29.7038
42700.8 19.9287
42701.4 14.2917
42701.9 10.8948
42702.4 8.82086
42703.5 6.49959
42704.5 5.32824
42705.6 4.65917
42706.6 4.24104
42708.7 3.76409
42712.9 3.35021
42717.1 3.16415
42725.5 2.96930
42733.9 2.84259
42767.4 2.43476
42801.0 2.01595
42834.6 1.55462
42868.2 1.05306
42901.7 0.541177
42918.5 0.307940
42935.3 0.123019
42943.7 0.0643457
42952.1 0.0464611
42960.5 0.136078
42964.7 0.460052
42965.7 0.752476
42966.8 1.48103
42967.3 2.35816
42967.8 4.28880
42968.1 6.27734
42968.3 9.97112
42968.6 17.7286
42968.7 24.8722
42968.9 36.1045
42969.0 58.3535
42969.2 72.3923
42969.4 58.5662
42969.5 36.3753
42969.7 23.8157
42969.9 16.3195
42970.2 8.59262
42970.5 5.23402
42970.8 3.56437
42971.4 1.95484
42972.0 1.27559
42973.2 0.722501
42974.5 0.521218
42979.4 0.393787
42984.3 0.496506
42989.2 0.677567
42999.0 1.24371
43008.8 2.14695
43018.6 3.52465
43028.5 5.57817
43038.3 8.58476
43048.1 12.8970
43061.4 21.4370
43074.6 33.3777
43087.9 47.0158
43101.1 57.9423
43114.4 62.2762
43127.6 60.3572
43154.1 49.2368
43171.3 42.2387
43188.6 36.6128
43223.0 28.8257
43257.4 23.9972
43291.9 20.8192
43326.3 18.6045
43360.8 16.9865
43429.6 14.7976
43498.5 13.3942
43567.4 12.4209
43705.2 11.1595
43842.9 10.3747
43980.7 9.83593
44256.2 9.13457
44807.3 8.37000
45358.3 7.93025
46460.5 7.38450
47011.5 7.18584
47287.0 7.09685
47424.8 7.05464
47493.7 7.03475
47528.1 7.02629
47545.3 7.02435
47554.0 7.02890
47558.3 7.04987
47560.4 7.12445
47561.5 7.35801
47562.0 7.94188
47562.3 8.97512
47562.6 12.3850
47562.8 17.7520
47563.0 12.3855
47563.3 9.33518
47563.5 8.20513
47563.9 7.48500
47564.8 7.17135
47566.5 7.06420
47570.0 7.03319
47577.0 7.02685
47590.9 7.04005
47604.8 7.12795
47611.8 7.40859
47613.5 7.64403
47615.2 8.19279
47616.1 8.81535
47617.0 10.1864
47617.4 11.6409
47617.9 14.3850
47618.3 20.8236
47618.5 27.4408
47618.7 38.5645
47619.0 56.7851
47619.2 69.5583
47619.4 57.2416
47619.7 39.3263
47619.9 29.6281
47620.1 23.4951
47620.4 17.3409
47620.8 14.9365
47621.2 14.2454
47621.9 16.0416
47622.3 18.9128
47622.7 23.8938
47623.1 33.0904
47623.6 39.3837
47624.1 32.9095
47624.5 23.4110
47625.0 16.5657
47625.6 13.0081
47626.6 9.93589
47627.7 8.73283
47628.7 8.15075
47630.9 7.61526
47633.0 7.38534
47637.2 7.19204
47641.4 7.11347
47658.3 7.02303
47692.2 6.98747
47759.8 6.96038
47895.1 6.91997
48165.7 6.84580
48706.9 6.70757
49248.1 6.57890
49518.7 6.51744
49654.0 6.48750
49721.6 6.47350
49755.4 6.47011
49772.4 6.48253
49780.8 6.54051
49785.0 6.73780
49787.2 7.27590
49788.2 8.35737
49788.7 9.80473
49789.3 13.0227
49789.6 16.9645
49790.0 19.6251
49790.4 16.9998
49790.7 13.0660
49791.1 10.3681
49791.6 8.90905
49792.4 7.63398
49794.0 6.89803
49797.3 6.59456
49803.8 6.49423
49816.9 6.46266
49843.1 6.44902
49895.4 6.43548
50000.0 6.41230
50453.2 6.31655
50679.8 6.26992
