P-31(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
5.20000E+07 1.82022
5.20430E+07 1.81952
5.23211E+07 1.81498
5.26868E+07 1.80894
5.30000E+07 1.80370
5.36319E+07 1.79295
5.40000E+07 1.78657
5.44476E+07 1.77869
5.50000E+07 1.76878
5.60000E+07 1.75068
5.64258E+07 1.74299
5.70000E+07 1.73263
5.71504E+07 1.72991
5.74407E+07 1.72468
5.80000E+07 1.71460
5.85342E+07 1.70497
5.90000E+07 1.69658
6.00000E+07 1.67855
6.10000E+07 1.66068
6.20000E+07 1.64314
6.22850E+07 1.63820
6.23093E+07 1.63778
6.30000E+07 1.62593
6.30374E+07 1.62529
6.40000E+07 1.60906
6.47570E+07 1.59652
6.50000E+07 1.59253
6.58974E+07 1.57809
6.59292E+07 1.57758
6.60000E+07 1.57646
6.70000E+07 1.56073
6.72452E+07 1.55690
6.80000E+07 1.54506
6.90000E+07 1.52915
7.00000E+07 1.51280
7.10000E+07 1.49597
7.20000E+07 1.47894
7.30000E+07 1.46194
7.40000E+07 1.44519
7.43034E+07 1.44019
7.50000E+07 1.42887
7.60000E+07 1.41302
7.64819E+07 1.40551
7.70000E+07 1.39751
7.80000E+07 1.38227
7.90000E+07 1.36722
7.95823E+07 1.35851
8.00000E+07 1.35228
8.10000E+07 1.33706
8.20000E+07 1.32149
8.30000E+07 1.30601
8.40000E+07 1.29098
8.50000E+07 1.27675
8.60000E+07 1.26352
8.70000E+07 1.25100
8.80000E+07 1.23879
8.90000E+07 1.22650
9.00000E+07 1.21380
9.10000E+07 1.20092
9.20000E+07 1.18827
9.30000E+07 1.17588
9.40000E+07 1.16376
9.50000E+07 1.15191
9.60000E+07 1.14030
9.70000E+07 1.12892
9.80000E+07 1.11777
9.90000E+07 1.10689
1.00000E+08 1.09630
1.02000E+08 1.07597
1.04000E+08 1.05663
1.06000E+08 1.03811
1.08000E+08 1.02025
1.10000E+08 1.00294
1.12000E+08 0.986132
1.14000E+08 0.969865
1.16000E+08 0.954133
1.18000E+08 0.938932
1.20000E+08 0.924253
1.22000E+08 0.910173
1.24000E+08 0.896710
1.26000E+08 0.883778
1.28000E+08 0.871300
1.30000E+08 0.859209
1.32000E+08 0.847562
1.34000E+08 0.836429
1.36000E+08 0.825766
1.38000E+08 0.815536
1.40000E+08 0.805705
1.42000E+08 0.796363
1.44000E+08 0.787566
1.46000E+08 0.779241
1.48000E+08 0.771320
1.50000E+08 0.763742
