31-Ga_n-tot
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
5.311250e+02 9.88314690e+00
5.312500e+02 1.00616271e+01
5.313740e+02 1.03530855e+01
5.314990e+02 1.08721196e+01
5.315610e+02 1.12959354e+01
5.316230e+02 1.19173082e+01
5.316860e+02 1.28748299e+01
5.317480e+02 1.44271974e+01
5.318100e+02 1.70953498e+01
5.318720e+02 2.17840927e+01
5.319360e+02 2.92490696e+01
5.320000e+02 3.42271381e+01
5.320640e+02 2.92486771e+01
5.321280e+02 2.17814443e+01
5.321660e+02 1.85779977e+01
5.322050e+02 1.63120385e+01
5.322820e+02 1.35837379e+01
5.323590e+02 1.21389834e+01
5.324360e+02 1.13058520e+01
5.325120e+02 1.07883648e+01
5.325890e+02 1.04469829e+01
5.327430e+02 1.00404033e+01
5.328970e+02 9.81701485e+00
5.330510e+02 9.68091526e+00
5.333580e+02 9.52911753e+00
5.336660e+02 9.44898745e+00
5.339740e+02 9.39995725e+00
5.345890e+02 9.34187981e+00
5.352040e+02 9.30628276e+00
5.358190e+02 9.27998442e+00
5.370500e+02 9.23892334e+00
5.382800e+02 9.20423283e+00
5.395100e+02 9.17213298e+00
5.419710e+02 9.11115594e+00
5.468930e+02 8.99359576e+00
5.511170e+02 8.89418720e+00
5.518140e+02 8.88096078e+00
5.715010e+02 8.50701660e+00
5.911870e+02 8.11785966e+00
6.010300e+02 7.91435515e+00
6.022340e+02 7.88984347e+00
6.034910e+02 7.86675104e+00
6.059520e+02 7.82671517e+00
6.071820e+02 7.81441739e+00
6.077980e+02 7.81430176e+00
6.084130e+02 7.82404242e+00
6.090280e+02 7.85770607e+00
6.093360e+02 7.89585890e+00
6.096430e+02 7.96728612e+00
6.099510e+02 8.11547266e+00
6.101050e+02 8.25413695e+00
6.102580e+02 8.48661639e+00
6.104120e+02 8.91634165e+00
6.104890e+02 9.28024207e+00
6.105660e+02 9.83470889e+00
6.106430e+02 1.07316771e+01
6.107200e+02 1.22952310e+01
6.107970e+02 1.52661536e+01
6.108350e+02 1.77465279e+01
6.108740e+02 2.12563011e+01
6.109370e+02 2.93943761e+01
6.110000e+02 3.48100998e+01
6.110630e+02 2.93807774e+01
6.111270e+02 2.12544585e+01
6.111650e+02 1.77200055e+01
6.112040e+02 1.52393554e+01
6.112810e+02 1.22643946e+01
6.113580e+02 1.07009501e+01
6.114360e+02 9.80489203e+00
6.115130e+02 9.24948266e+00
6.115900e+02 8.88452549e+00
6.117450e+02 8.45077670e+00
6.118990e+02 8.21327310e+00
6.120540e+02 8.06902247e+00
6.123630e+02 7.90887442e+00
6.126720e+02 7.82499741e+00
6.129810e+02 7.77416176e+00
6.135990e+02 7.71485459e+00
6.142170e+02 7.67930210e+00
6.148350e+02 7.65352318e+00
6.160710e+02 7.61392682e+00
6.185430e+02 7.54978513e+00
6.210150e+02 7.49026576e+00
6.277920e+02 7.32307643e+00
6.309030e+02 7.24564306e+00
6.405710e+02 6.97532467e+00
6.407920e+02 6.96891575e+00
6.506800e+02 6.63664847e+00
6.533500e+02 6.53561550e+00
6.556240e+02 6.44380418e+00
6.605680e+02 6.23131817e+00
6.655120e+02 6.01653603e+00
6.661300e+02 5.99469902e+00
6.704560e+02 5.82504017e+00
6.725190e+02 5.79082034e+00
6.729290e+02 5.78202880e+00
6.754010e+02 5.82678966e+00
6.778730e+02 6.08805953e+00
6.789090e+02 6.41426582e+00
6.803450e+02 6.85824910e+00
6.815810e+02 7.66241153e+00
6.821040e+02 8.24290364e+00
6.828170e+02 9.03030476e+00
6.840530e+02 1.14574310e+01
6.852890e+02 1.60585435e+01
6.852980e+02 1.61149859e+01
6.859070e+02 1.99296927e+01
6.865250e+02 2.57101652e+01
6.871430e+02 3.47309398e+01
6.877610e+02 4.96384514e+01
