27-Co_n-g
>  27-Co-59:1.000000
6.372570e+03 1.34124000e-01
6.376600e+03 2.09443000e-01
6.378620e+03 2.81152000e-01
6.380640e+03 4.05071000e-01
6.382650e+03 6.47302000e-01
6.383660e+03 8.65742000e-01
6.384670e+03 1.22120000e+00
6.385680e+03 1.85579000e+00
6.386180e+03 2.37497000e+00
6.386690e+03 3.14095000e+00
6.387190e+03 4.32769000e+00
6.387690e+03 6.27488000e+00
6.388200e+03 9.66673000e+00
6.388700e+03 1.57575000e+01
6.389200e+03 2.52069000e+01
6.389700e+03 3.15812000e+01
6.390200e+03 2.53409000e+01
6.390700e+03 1.58613000e+01
6.391100e+03 1.06861000e+01
6.391500e+03 7.44471000e+00
6.391910e+03 5.39917000e+00
6.392310e+03 4.06226000e+00
6.393120e+03 2.51341000e+00
6.393920e+03 1.69936000e+00
6.394730e+03 1.22436000e+00
6.395530e+03 9.24761000e-01
6.397150e+03 5.83772000e-01
6.398760e+03 4.05041000e-01
6.400370e+03 3.00052000e-01
6.403590e+03 1.88138000e-01
6.406820e+03 1.32912000e-01
6.410040e+03 1.01667000e-01
6.416490e+03 6.94120000e-02
6.422940e+03 5.38960000e-02
6.429380e+03 4.52131000e-02
6.442280e+03 3.62348000e-02
6.468070e+03 2.92158000e-02
6.493860e+03 2.62597000e-02
6.597020e+03 2.14768000e-02
6.803340e+03 1.69638000e-02
7.215990e+03 1.22235000e-02
7.422310e+03 1.12161000e-02
7.628640e+03 1.17179000e-02
7.731800e+03 1.35598000e-02
7.783380e+03 1.56033000e-02
7.834960e+03 1.93861000e-02
7.886540e+03 2.72022000e-02
7.912330e+03 3.45345000e-02
7.938120e+03 4.69070000e-02
7.963910e+03 7.00655000e-02
7.976810e+03 8.99508000e-02
7.989700e+03 1.20685000e-01
7.996150e+03 1.42661000e-01
8.002600e+03 1.71377000e-01
8.009040e+03 2.09719000e-01
8.015490e+03 2.62099000e-01
8.021940e+03 3.35435000e-01
8.028390e+03 4.40376000e-01
8.034830e+03 5.92434000e-01
8.041280e+03 8.08881000e-01
8.051590e+03 1.26131000e+00
8.056750e+03 1.42502000e+00
8.061900e+03 1.43171000e+00
8.072210e+03 1.04645000e+00
