Gd-158(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
406.415 6.08062
406.665 7.37939
406.914 9.14337
407.164 11.6260
407.414 15.2727
407.664 20.9438
407.914 30.4441
408.039 37.7999
408.164 48.1429
408.289 63.3028
408.414 86.6883
408.539 125.301
408.664 194.668
408.727 251.143
408.789 332.826
408.852 453.448
408.914 630.926
409.007 1010.25
409.100 1267.09
409.193 1017.12
409.286 636.190
409.375 400.006
409.463 264.094
409.552 184.107
409.640 134.493
409.729 102.065
409.818 79.8806
409.995 52.5295
410.172 37.0506
410.349 27.4890
410.704 16.8207
411.058 11.3298
411.412 8.14389
411.767 6.13323
412.121 4.78488
412.830 3.14526
413.538 2.22481
414.247 1.65727
414.956 1.28291
416.373 0.835513
417.791 0.588629
419.208 0.438213
420.625 0.339885
423.460 0.223507
426.295 0.160005
429.130 0.121725
431.965 0.0970045
437.634 0.0684786
443.304 0.0539180
454.643 0.0431502
465.982 0.0468669
471.652 0.0551824
477.322 0.0716948
482.991 0.105826
485.826 0.137183
488.661 0.188789
491.496 0.282178
492.913 0.360069
494.330 0.477732
495.748 0.667622
497.165 1.00360
497.874 1.27820
498.228 1.46053
498.583 1.68528
498.760 1.81787
498.937 1.96688
499.114 2.13515
499.291 2.32602
499.469 2.54399
499.646 2.79430
499.823 3.08366
500.000 3.42043
500.195 3.85854
500.389 4.38687
500.584 5.03196
500.778 5.83042
500.973 6.83603
501.167 8.12551
501.362 9.81825
501.557 12.0984
501.751 15.2749
501.946 19.8813
502.140 26.9145
502.335 38.3980
502.529 58.9793
502.627 75.9120
502.724 100.983
502.821 140.110
502.919 204.887
503.016 319.149
503.113 527.350
503.207 843.083
503.300 1056.38
503.394 848.936
503.487 531.864
503.570 345.040
503.653 233.340
503.736 165.406
503.819 122.333
503.985 73.8172
504.151 49.0113
504.317 34.7900
504.482 25.9281
504.814 15.9594
505.146 10.7891
505.478 7.77447
505.809 5.86540
506.141 4.58200
506.805 3.01732
507.468 2.13668
508.132 1.59270
508.795 1.23341
510.122 0.803400
511.449 0.565757
512.776 0.420799
514.103 0.325938
516.757 0.213487
519.411 0.151964
522.065 0.114727
524.719 0.0905314
530.027 0.0621704
535.335 0.0470182
545.951 0.0330832
556.567 0.0293519
561.875 0.0305018
567.183 0.0348350
572.492 0.0461618
575.146 0.0580960
577.800 0.0803070
579.127 0.0992181
580.454 0.128293
581.781 0.176291
583.108 0.263961
583.771 0.337900
584.435 0.450888
585.098 0.636172
585.762 0.971691
586.093 1.25237
586.425 1.67770
586.757 2.36770
587.089 3.59674
587.254 4.60831
587.420 6.11722
587.503 7.16721
587.545 7.79666
587.586 8.51095
587.628 9.33014
587.669 10.2710
587.711 11.3642
587.752 12.6379
587.794 14.1416
587.835 15.9295
587.877 18.0773
587.918 20.6810
587.959 23.8945
588.001 27.9123
588.042 33.0232
588.084 39.6382
588.125 48.4454
588.167 60.4755
588.208 77.4600
588.250 102.335
588.291 140.716
588.333 202.966
588.374 310.295
588.416 499.433
588.458 799.899
588.500 1001.65
588.542 802.747
588.585 502.223
588.610 373.145
588.635 281.759
588.686 171.713
588.737 113.332
588.788 79.7636
588.838 58.8982
588.889 45.1873
588.990 28.9126
589.092 20.0282
589.193 14.6792
589.396 8.84066
589.599 5.89934
589.802 4.21489
590.005 3.16184
590.208 2.46016
590.614 1.61263
591.020 1.14013
591.425 0.850081
591.831 0.659370
592.643 0.432142
593.454 0.307151
594.266 0.231142
595.078 0.181529
596.701 0.122877
598.324 0.0909041
601.571 0.0591637
604.818 0.0446915
608.064 0.0371134
614.557 0.0304489
627.544 0.0293468
640.530 0.0363534
653.516 0.0549804
660.009 0.0741606
666.502 0.109329
669.749 0.138981
672.996 0.184245
676.242 0.258362
679.489 0.392336
680.300 0.442911
681.112 0.504237
681.518 0.539924
681.924 0.579616
682.330 0.623947
682.735 0.673669
683.141 0.729709
683.547 0.793152
683.953 0.865380
684.359 0.948092
684.765 1.04345
685.170 1.15410
685.576 1.28353
685.982 1.43626
686.794 1.83738
687.605 2.43483
688.417 3.38107
688.823 4.07608
689.229 5.00961
689.634 6.30440
690.040 8.17131
690.446 11.0011
690.852 15.5775
691.258 23.6539
691.461 30.1978
691.663 39.7549
691.866 54.3633
692.069 77.8939
692.272 117.859
692.475 187.415
692.688 300.314
692.900 377.848
693.113 304.268
693.325 190.460
693.475 134.669
693.624 97.5001
693.774 72.7651
693.923 55.9126
694.222 35.5406
694.521 24.3861
694.820 17.6980
695.119 13.4009
695.717 8.42390
696.315 5.77139
696.913 4.19718
697.511 3.18830
698.109 2.50373
699.304 1.66158
700.500 1.18335
701.696 0.886154
702.892 0.689037
705.284 0.452140
707.676 0.320764
710.067 0.240495
712.459 0.187961
717.243 0.125819
722.026 0.0920776
726.810 0.0719569
731.593 0.0592077
741.160 0.0452349
750.727 0.0392338
769.861 0.0393741
779.428 0.0444635
788.995 0.0541105
798.562 0.0713746
808.129 0.103852
812.913 0.131398
817.696 0.173437
822.480 0.242048
824.871 0.293873
826.067 0.326562
826.665 0.345067
827.263 0.365244
827.861 0.387306
828.459 0.411485
829.057 0.438072
829.655 0.467386
830.253 0.499825
830.851 0.535837
831.449 0.575972
832.047 0.620886
833.242 0.728386
834.438 0.866976
835.634 1.04990
836.830 1.29823
838.026 1.64732
839.222 2.15977
840.418 2.95536
841.614 4.28631
842.212 5.31496
842.809 6.75888
843.407 8.87151
844.005 12.1247
844.603 17.4749
845.201 27.0355
845.500 34.7811
845.799 45.9277
846.098 62.3001
846.397 86.2808
846.849 138.122
847.300 173.395
847.752 139.386
848.203 87.2347
848.532 60.9584
848.861 43.7157
849.190 32.3846
849.519 24.7457
850.177 15.6078
850.835 10.6554
851.493 7.70768
852.150 5.82297
853.466 3.65026
854.782 2.49781
856.098 1.81605
857.413 1.38030
858.729 1.08544
861.361 0.724645
863.992 0.523903
866.624 0.419387
867.282 0.417912
867.940 0.458996
868.269 0.533956
868.433 0.612081
868.597 0.754820
868.762 1.05176
868.844 1.33465
868.926 1.82227
869.009 2.76939
869.050 3.61430
869.091 4.97603
869.132 7.36564
869.173 12.0838
869.194 16.3314
869.214 23.0613
869.235 34.3628
869.255 53.5125
869.278 85.4380
869.300 106.723
869.322 85.4388
869.345 53.5127
869.368 32.5132
869.391 20.9901
869.414 14.4523
869.438 10.5013
