30-Zn_n-g
>  30-Zn-64:0.491700
>  30-Zn-66:0.277300
>  30-Zn-67:0.040400
>  30-Zn-68:0.184500
>  30-Zn-70:0.006100
1.013020e+02 1.98463145e-02
1.013040e+02 1.98462522e-02
1.013070e+02 1.98461745e-02
1.013140e+02 1.98460125e-02
1.013280e+02 1.98456885e-02
1.013560e+02 1.98450406e-02
1.014130e+02 1.98437381e-02
1.015250e+02 1.98411376e-02
1.017500e+02 1.98359791e-02
1.021990e+02 1.98258882e-02
1.030980e+02 1.98065922e-02
1.048960e+02 1.97716270e-02
1.084930e+02 1.97159258e-02
1.156850e+02 1.96635167e-02
1.300700e+02 1.98225948e-02
1.300710e+02 1.98226488e-02
1.300730e+02 1.98226875e-02
1.300750e+02 1.98227463e-02
1.300800e+02 1.98228575e-02
1.300900e+02 1.98231289e-02
1.301090e+02 1.98235800e-02
1.301480e+02 1.98246143e-02
1.302260e+02 1.98265935e-02
1.303820e+02 1.98305429e-02
1.306930e+02 1.98387488e-02
1.313160e+02 1.98556792e-02
1.325610e+02 1.98922340e-02
1.350530e+02 1.99766103e-02
1.400350e+02 2.01946368e-02
1.500000e+02 2.08776951e-02
1.670200e+02 2.35906585e-02
1.670210e+02 2.35908891e-02
1.670220e+02 2.35912005e-02
1.670240e+02 2.35916530e-02
1.670280e+02 2.35925666e-02
1.670360e+02 2.35945239e-02
1.670520e+02 2.35983401e-02
1.670850e+02 2.36059493e-02
1.671490e+02 2.36212720e-02
1.672780e+02 2.36520559e-02
1.675360e+02 2.37142121e-02
1.680510e+02 2.38412087e-02
1.690810e+02 2.41060468e-02
1.711430e+02 2.46831217e-02
1.752650e+02 2.60645480e-02
1.835100e+02 3.01934674e-02
1.917550e+02 3.78845747e-02
1.938160e+02 4.08560539e-02
1.958780e+02 4.45112256e-02
1.969080e+02 4.66638665e-02
1.979390e+02 4.90812520e-02
1.989690e+02 5.18092697e-02
2.000000e+02 5.49040824e-02
2.018060e+02 6.14860147e-02
2.036130e+02 6.99368834e-02
2.054190e+02 8.10545236e-02
2.072250e+02 9.61099519e-02
2.090310e+02 1.17238712e-01
2.108380e+02 1.48244093e-01
2.126440e+02 1.96461053e-01
2.144500e+02 2.77558159e-01
2.144510e+02 2.77608287e-01
2.144520e+02 2.77682453e-01
2.144540e+02 2.77801293e-01
2.144580e+02 2.78032912e-01
2.144650e+02 2.78443951e-01
2.144660e+02 2.78502670e-01
2.144800e+02 2.79328629e-01
2.144820e+02 2.79446617e-01
2.145100e+02 2.81165928e-01
2.145130e+02 2.81350146e-01
2.145690e+02 2.84736615e-01
2.145770e+02 2.85220393e-01
2.146880e+02 2.92268850e-01
2.147030e+02 2.93221347e-01
2.149260e+02 3.08313676e-01
2.149560e+02 3.10344043e-01
2.154020e+02 3.45165252e-01
2.154610e+02 3.49771672e-01
2.163540e+02 4.44504262e-01
2.164720e+02 4.57022250e-01
2.174840e+02 6.26296749e-01
2.182570e+02 8.48093938e-01
2.184950e+02 9.16383959e-01
2.190000e+02 1.14604226e+00
2.195060e+02 1.47594109e+00
2.200110e+02 1.97364935e+00
2.205170e+02 2.77306485e+00
2.210220e+02 4.17050535e+00
2.212750e+02 5.29181770e+00
2.215280e+02 6.91324166e+00
2.217810e+02 9.36112841e+00
2.220340e+02 1.32361048e+01
2.220640e+02 1.40009213e+01
2.222860e+02 1.96605649e+01
2.225390e+02 3.04909686e+01
2.228200e+02 4.87504892e+01
2.231000e+02 6.08652505e+01
2.233810e+02 4.86216398e+01
2.236610e+02 3.03619844e+01
2.238630e+02 2.13017284e+01
2.240650e+02 1.53342540e+01
